Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
39	0	0.000118438	3.46369e-11	2.29107e-15	7.24253e-10	1.31573e-19	2.1611e-15	6.44828e-12	3.93296e-12	6.49969e-05	0.000138772	1.57445e-08	0.0169409
40	0	0.000118352	3.47351e-11	2.26974e-15	7.24264e-10	1.3043e-19	2.20826e-15	6.60209e-12	4.12797e-12	6.56987e-05	0.000140837	1.57445e-08	0.0161814
41	0	0.000118287	3.48334e-11	2.24765e-15	7.24243e-10	1.29243e-19	2.25501e-15	6.75471e-12	4.32756e-12	6.64043e-05	0.000142925	1.57445e-08	0.0154562
42	0	0.000118238	3.49315e-11	2.22482e-15	7.24223e-10	1.28013e-19	2.30132e-15	6.90609e-12	4.53169e-12	6.71136e-05	0.000145034	1.57445e-08	0.0147637
43	0	0.000118201	3.50297e-11	2.20125e-15	7.24303e-10	1.2674e-19	2.34718e-15	7.05618e-12	4.74033e-12	6.78266e-05	0.000147166	1.57445e-08	0.0141026
44	0	0.000118172	3.51278e-11	2.17697e-15	7.24519e-10	1.25426e-19	2.39258e-15	7.20492e-12	4.95343e-12	6.85432e-05	0.00014932	1.57445e-08	0.0134713
45	0	0.000118151	3.52259e-11	2.15198e-15	7.24722e-10	1.2407e-19	2.43749e-15	7.35228e-12	5.17096e-12	6.92633e-05	0.000151496	1.57445e-08	0.0128685
46	0	0.000118135	3.5324e-11	2.12629e-15	7.24557e-10	1.22675e-19	2.48191e-15	7.4982e-12	5.39287e-12	6.99868e-05	0.000153695	1.57445e-08	0.0122929
47	0	0.000118122	3.5422e-11	2.09994e-15	7.23835e-10	1.2124e-19	2.52582e-15	7.64263e-12	5.61912e-12	7.07136e-05	0.000155916	1.57445e-08	0.0117433
48	0	0.000118113	3.55201e-11	2.07297e-15	7.24129e-10	1.19767e-19	2.56921e-15	7.78553e-12	5.84966e-12	7.14438e-05	0.000158159	1.57445e-08	0.0112185
49	0	0.000118106	3.56181e-11	2.04538e-15	7.24225e-10	1.18258e-19	2.61206e-15	7.92684e-12	6.08445e-12	7.21772e-05	0.000160426	1.57445e-08	0.0107175
