Time	[DC]	[IC]	[ICS]	[HBS]	[IBS]	[EBS]	[HFC]	[EC]	[INHDLS]	[NHDL]	[PFC]	[HCS]	[HCE]	[ACAT]	[CEH]	[HNHDLS]	[VLDLC]	[HLDLRs]	[HLDLRsS]	[HLDLRD]	[IDLC]	[LPL]	[LDLC]	[HSL]	[PLDLRs]	[PLDLRsS]	[PLDLRD]	[PCE]	[PSS]	[HDLC]	[LCAT]	[PCS]	[CETP]	[SRB1]
10	304	3103.14	0	396.756	462.671	3977.73	58971.1	7685.43	0	3.66667	58802.3	0	9831.82	100	100	0	23.1493	100.086	600	10.0029	26.159	100	133.536	100	99.898	575.16	9.99676	9570.47	290.652	52.9993	100	0	100	100
11	304	3098.2	0	396.447	462.308	4373.62	58882	8443.45	0	3.66667	58930.9	0	9816.97	100	100	0	23.1189	100.103	600	11.0038	26.1246	100	133.344	100	99.8762	575.16	10.9956	9591.43	320.085	53.1155	100	0	100	100
12	304	3093.37	0	396.147	461.957	4769.2	58795.8	9199.69	0	3.66667	59058.1	0	9802.6	100	100	0	23.0895	100.122	600	12.0049	26.0913	100	133.156	100	99.8525	575.16	11.9943	9612.15	349.582	53.2304	100	0	100	100
13	304	3088.67	0	395.857	461.617	5164.49	58712.4	9954.21	0	3.66667	59183.8	0	9788.68	100	100	0	23.0611	100.142	600	13.0062	26.0592	100	132.973	100	99.8269	575.16	12.9927	9632.64	379.143	53.3439	100	0	100	100
14	304	3084.09	0	395.576	461.287	5559.49	58631.6	10707	0	3.66667	59308.1	0	9775.21	100	100	0	23.0336	100.163	600	14.0078	26.0282	100	132.794	100	99.7996	575.16	13.9908	9652.9	408.766	53.4562	100	0	100	100
15	304	3079.64	0	395.304	460.967	5954.22	58553.4	11458.3	0	3.66667	59431	0	9762.17	100	100	0	23.0071	100.185	600	15.0095	25.9982	100	132.62	100	99.7705	575.16	14.9887	9672.92	438.451	53.5672	100	0	100	100
16	304	3075.31	0	395.04	460.658	6348.67	58477.7	12207.9	0	3.66667	59552.4	0	9749.55	100	100	0	22.9815	100.208	600	16.0115	25.9692	100	132.45	100	99.7398	575.16	15.9862	9692.71	468.197	53.6769	100	0	100	100
17	304	3071.1	0	394.785	460.358	6742.86	58404.5	12956	0	3.66667	59672.5	0	9737.35	100	100	0	22.9568	100.233	600	17.0137	25.9413	100	132.283	100	99.7074	575.16	16.9835	9712.28	498.003	53.7854	100	0	100	100
18	304	3067.01	0	394.538	460.068	7136.81	58333.7	13702.6	0	3.66667	59791.2	0	9725.54	100	100	0	22.933	100.258	600	18.0161	25.9143	100	132.121	100	99.6734	575.16	17.9804	9731.62	527.869	53.8926	100	0	100	100
19	304	3063.04	0	394.298	459.787	7530.5	58265.2	14447.7	0	3.66667	59908.5	0	9714.13	100	100	0	22.91	100.285	600	19.0188	25.8883	100	131.962	100	99.6378	575.16	18.9769	9750.74	557.794	53.9986	100	0	100	100
20	304	3059.18	0	394.067	459.516	7923.97	58199.1	15191.5	0	3.66667	60024.4	0	9703.1	100	100	0	22.8878	100.312	600	20.0218	25.8632	100	131.808	100	99.6008	575.16	19.9731	9769.63	587.777	54.1033	100	0	100	100
21	304	3055.44	0	393.843	459.253	8317.2	58135.1	15933.9	0	3.66667	60139	0	9692.43	100	100	0	22.8664	100.34	600	21.0251	25.839	100	131.657	100	99.5622	575.16	20.9689	9788.31	617.818	54.2068	100	0	100	100
22	304	3051.81	0	393.627	458.999	8710.21	58073.3	16675	0	3.66667	60252.3	0	9682.13	100	100	0	22.8458	100.37	600	22.0286	25.8157	100	131.51	100	99.5223	575.16	21.9643	9806.77	647.916	54.3092	100	0	100	100
23	304	3048.29	0	393.417	458.753	9103.01	58013.6	17414.8	0	3.66667	60364.2	0	9672.18	100	100	0	22.8259	100.399	600	23.0325	25.7933	100	131.366	100	99.481	575.16	22.9594	9825.01	678.07	54.4103	100	0	100	100
24	304	3044.88	0	393.215	458.516	9495.6	57956	18153.4	0	3.66667	60474.9	0	9662.56	100	100	0	22.8068	100.43	600	24.0366	25.7717	100	131.226	100	99.4383	575.16	23.954	9843.04	708.28	54.5103	100	0	100	100
25	304	3041.57	0	393.02	458.287	9887.99	57900.3	18890.8	0	3.66667	60584.2	0	9653.28	100	100	0	22.7884	100.461	600	25.0411	25.7508	100	131.09	100	99.3944	575.16	24.9481	9860.87	738.545	54.609	100	0	100	100
26	304	3038.37	0	392.831	458.065	10280.2	57846.6	19627.1	0	3.66667	60692.3	0	9644.33	100	100	0	22.7707	100.493	600	26.0459	25.7308	100	130.956	100	99.3492	575.16	25.9418	9878.48	768.864	54.7067	100	0	100	100
27	304	3035.27	0	392.648	457.851	10672.2	57794.7	20362.2	0	3.66667	60799.1	0	9635.68	100	100	0	22.7537	100.526	600	27.051	25.7115	100	130.827	100	99.3027	575.16	26.9351	9895.89	799.237	54.8032	100	0	100	100
28	304	3032.27	0	392.472	457.644	11064	57744.7	21096.3	0	3.66667	60904.7	0	9627.35	100	100	0	22.7373	100.559	600	28.0564	25.693	100	130.7	100	99.2551	575.16	27.9279	9913.09	829.663	54.8985	100	0	100	100
29	304	3029.37	0	392.303	457.445	11455.7	57696.5	21829.3	0	3.66667	61009	0	9619.31	100	100	0	22.7215	100.593	600	29.0621	25.6752	100	130.577	100	99.2064	575.16	28.9202	9930.09	860.141	54.9927	100	0	100	100
30	304	3026.56	0	392.139	457.252	11847.2	57650	22561.3	0	3.66667	61112.1	0	9611.55	100	100	0	22.7064	100.627	600	30.0682	25.6581	100	130.456	100	99.1565	575.16	29.912	9946.89	890.672	55.0859	100	0	100	100
31	304	3023.85	0	391.981	457.067	12238.5	57605.2	23292.4	0	3.66667	61213.9	0	9604.08	100	100	0	22.6919	100.662	600	31.0747	25.6416	100	130.339	100	99.1056	575.16	30.9033	9963.49	921.253	55.1779	100	0	100	100
32	304	3021.23	0	391.828	456.888	12629.7	57562.1	24022.5	0	3.66667	61314.6	0	9596.89	100	100	0	22.6779	100.697	600	32.0815	25.6259	100	130.225	100	99.0536	575.16	31.8941	9979.89	951.885	55.2688	100	0	100	100
33	304	3018.69	0	391.681	456.716	13020.7	57520.5	24751.7	0	3.66667	61414	0	9589.96	100	100	0	22.6645	100.733	600	33.0886	25.6107	100	130.114	100	99.0006	575.16	32.8844	9996.1	982.568	55.3587	100	0	100	100
34	304	3016.25	0	391.54	456.549	13411.6	57480.5	25480	0	3.66667	61512.3	0	9583.29	100	100	0	22.6517	100.768	600	34.0961	25.5962	100	130.005	100	98.9466	575.16	33.8741	10012.1	1013.3	55.4475	100	0	100	100
35	304	3013.89	0	391.404	456.389	13802.3	57442	26207.5	0	3.66667	61609.4	0	9576.87	100	100	0	22.6394	100.805	600	35.104	25.5823	100	129.899	100	98.8917	575.16	34.8633	10027.9	1044.08	55.5352	100	0	100	100
36	304	3011.62	0	391.273	456.235	14192.9	57404.9	26934.2	0	3.66667	61705.4	0	9570.69	100	100	0	22.6277	100.841	600	36.1122	25.569	100	129.797	100	98.8359	575.16	35.852	10043.6	1074.91	55.6219	100	0	100	100
37	304	3009.42	0	391.146	456.087	14583.4	57369.3	27660.2	0	3.66667	61800.2	0	9564.75	100	100	0	22.6164	100.878	600	37.1208	25.5563	100	129.696	100	98.7792	575.16	36.84	10059	1105.78	55.7075	100	0	100	100
38	304	3007.31	0	391.025	455.944	14973.7	57335.1	28385.3	0	3.66667	61893.8	0	9559.04	100	100	0	22.6056	100.916	600	38.1298	25.5441	100	129.599	100	98.7217	575.16	37.8275	10074.3	1136.71	55.7921	100	0	100	100
39	304	3005.28	0	390.908	455.807	15364	57302.2	29109.8	0	3.66667	61986.4	0	9553.56	100	100	0	22.5954	100.953	600	39.1391	25.5324	100	129.504	100	98.6633	575.16	38.8145	10089.4	1167.68	55.8757	100	0	100	100
40	304	3003.32	0	390.796	455.676	15754.1	57270.6	29833.5	0	3.66667	62077.8	0	9548.29	100	100	0	22.5855	100.991	600	40.1489	25.5213	100	129.411	100	98.6042	575.16	39.8008	10104.3	1198.69	55.9584	100	0	100	100
41	304	3001.43	0	390.688	455.549	16144.1	57240.3	30556.6	0	3.66667	62168.2	0	9543.24	100	100	0	22.5761	101.029	600	41.159	25.5107	100	129.322	100	98.5443	575.16	40.7866	10119	1229.76	56.04	100	0	100	100
42	304	2999.62	0	390.585	455.427	16534	57211.2	31279	0	3.66667	62257.4	0	9538.39	100	100	0	22.5672	101.067	600	42.1694	25.5006	100	129.234	100	98.4837	575.16	41.7717	10133.5	1260.86	56.1206	100	0	100	100
43	304	2997.88	0	390.486	455.311	16923.8	57183.3	32000.8	0	3.66667	62345.6	0	9533.74	100	100	0	22.5587	101.105	600	43.1803	25.4909	100	129.149	100	98.4223	575.16	42.7562	10147.9	1292.01	56.2003	100	0	100	100
44	304	2996.21	0	390.391	455.199	17313.5	57156.6	32722.1	0	3.66667	62432.7	0	9529.29	100	100	0	22.5506	101.143	600	44.1915	25.4818	100	129.066	100	98.3603	575.16	43.7401	10162.1	1323.21	56.279	100	0	100	100
45	304	2994.6	0	390.299	455.092	17703.1	57131	33442.7	0	3.66667	62518.8	0	9525.02	100	100	0	22.5428	101.181	600	45.2032	25.473	100	128.985	100	98.2976	575.16	44.7234	10176.1	1354.45	56.3567	100	0	100	100
46	304	2993.06	0	390.212	454.989	18092.6	57106.5	34162.9	0	3.66667	62603.8	0	9520.93	100	100	0	22.5355	101.22	600	46.2152	25.4647	100	128.907	100	98.2343	575.16	45.7061	10190	1385.73	56.4335	100	0	100	100
47	304	2991.59	0	390.128	454.89	18482	57083.1	34882.5	0	3.66667	62687.8	0	9517.03	100	100	0	22.5286	101.258	600	47.2275	25.4569	100	128.831	100	98.1704	575.16	46.6881	10203.7	1417.05	56.5094	100	0	100	100
48	304	2990.17	0	390.048	454.796	18871.4	57060.7	35601.6	0	3.66667	62770.7	0	9513.29	100	100	0	22.522	101.297	600	48.2403	25.4494	100	128.757	100	98.1059	575.16	47.6695	10217.2	1448.41	56.5844	100	0	100	100
49	304	2988.82	0	389.972	454.706	19260.6	57039.3	36320.2	0	3.66667	62852.7	0	9509.73	100	100	0	22.5157	101.335	600	49.2535	25.4424	100	128.685	100	98.0409	575.16	48.6502	10230.6	1479.82	56.6584	100	0	100	100
50	304	2987.52	0	389.898	454.62	19649.8	57018.9	37038.3	0	3.66667	62933.7	0	9506.32	100	100	0	22.5098	101.374	600	50.267	25.4357	100	128.615	100	97.9753	575.16	49.6303	10243.8	1511.27	56.7316	100	0	100	100
51	304	2986.28	0	389.829	454.538	20039	56999.4	37756.1	0	3.66667	63013.6	0	9503.07	100	100	0	22.5043	101.412	600	51.281	25.4294	100	128.547	100	97.9092	575.16	50.6097	10256.8	1542.75	56.8038	100	0	100	100
52	304	2985.1	0	389.762	454.46	20428	56980.8	38473.4	0	3.66667	63092.6	0	9499.98	100	100	0	22.499	101.451	600	52.2953	25.4234	100	128.481	100	97.8426	575.16	51.5885	10269.7	1574.28	56.8752	100	0	100	100
53	304	2983.97	0	389.699	454.385	20817	56963.2	39190.3	0	3.66667	63170.7	0	9497.03	100	100	0	22.4941	101.489	600	53.31	25.4179	100	128.417	100	97.7756	575.16	52.5666	10282.4	1605.85	56.9457	100	0	100	100
54	304	2982.9	0	389.638	454.314	21205.9	56946.4	39906.8	0	3.66667	63247.8	0	9494.23	100	100	0	22.4894	101.528	600	54.3251	25.4126	100	128.355	100	97.7081	575.16	53.544	10294.9	1637.45	57.0153	100	0	100	100
55	304	2981.87	0	389.581	454.246	21594.8	56930.4	40623	0	3.66667	63323.9	0	9491.57	100	100	0	22.4851	101.566	600	55.3405	25.4077	100	128.294	100	97.6402	575.16	54.5207	10307.4	1669.09	57.0841	100	0	100	100
56	304	2980.9	0	389.526	454.182	21983.6	56915.2	41338.8	0	3.66667	63399.1	0	9489.04	100	100	0	22.481	101.604	600	56.3564	25.4031	100	128.236	100	97.5719	575.16	55.4968	10319.6	1700.77	57.152	100	0	100	100
57	304	2979.97	0	389.474	454.12	22372.3	56900.9	42054.3	0	3.66667	63473.4	0	9486.64	100	100	0	22.4772	101.642	600	57.3726	25.3988	100	128.179	100	97.5032	575.16	56.4722	10331.7	1732.49	57.2191	100	0	100	100
58	304	2979.09	0	389.425	454.063	22761	56887.3	42769.5	0	3.66667	63546.7	0	9484.37	100	100	0	22.4737	101.68	600	58.3892	25.3948	100	128.124	100	97.4341	575.16	57.4469	10343.7	1764.25	57.2854	100	0	100	100
59	304	2978.26	0	389.378	454.008	23149.7	56874.4	43484.4	0	3.66667	63619.2	0	9482.23	100	100	0	22.4705	101.718	600	59.4062	25.3911	100	128.07	100	97.3647	575.16	58.4209	10355.5	1796.04	57.3509	100	0	100	100
60	304	2977.47	0	389.334	453.956	23538.3	56862.2	44199	0	3.66667	63690.7	0	9480.2	100	100	0	22.4674	101.756	600	60.4236	25.3877	100	128.018	100	97.295	575.16	59.3941	10367.1	1827.87	57.4155	100	0	100	100
61	304	2976.72	0	389.293	453.907	23926.9	56850.8	44913.3	0	3.66667	63761.4	0	9478.29	100	100	0	22.4647	101.793	600	61.4413	25.3845	100	127.968	100	97.2249	575.16	60.3667	10378.7	1859.73	57.4794	100	0	100	100
62	304	2976.01	0	389.253	453.86	24315.4	56840	45627.4	0	3.66667	63831.2	0	9476.49	100	100	0	22.4621	101.831	600	62.4595	25.3816	100	127.919	100	97.1546	575.16	61.3386	10390	1891.63	57.5425	100	0	100	100
63	304	2975.35	0	389.216	453.817	24703.9	56829.8	46341.3	0	3.66667	63900.2	0	9474.8	100	100	0	22.4598	101.868	600	63.478	25.379	100	127.872	100	97.084	575.16	62.3098	10401.3	1923.56	57.6048	100	0	100	100
64	304	2974.72	0	389.182	453.776	25092.3	56820.3	47054.9	0	3.66667	63968.3	0	9473.22	100	100	0	22.4577	101.905	600	64.4968	25.3766	100	127.826	100	97.0131	575.16	63.2803	10412.4	1955.53	57.6663	100	0	100	100
65	304	2974.14	0	389.149	453.737	25480.7	56811.5	47768.4	0	3.66667	64035.5	0	9471.74	100	100	0	22.4558	101.942	600	65.5161	25.3745	100	127.782	100	96.942	575.16	64.2501	10423.3	1987.53	57.727	100	0	100	100
66	304	2973.58	0	389.119	453.701	25869.1	56803.2	48481.6	0	3.66667	64101.9	0	9470.35	100	100	0	22.4541	101.978	600	66.5357	25.3726	100	127.739	100	96.8706	575.16	65.2192	10434.2	2019.56	57.787	100	0	100	100
67	304	2973.07	0	389.09	453.668	26257.5	56795.4	49194.7	0	3.66667	64167.5	0	9469.06	100	100	0	22.4526	102.015	600	67.5556	25.3709	100	127.698	100	96.7991	575.16	66.1875	10444.9	2051.63	57.8463	100	0	100	100
68	304	2972.59	0	389.064	453.636	26645.8	56788.3	49907.5	0	3.66667	64232.3	0	9467.87	100	100	0	22.4513	102.051	600	68.576	25.3694	100	127.658	100	96.7273	575.16	67.1551	10455.4	2083.73	57.9048	100	0	100	100
69	304	2972.14	0	389.039	453.607	27034.1	56781.6	50620.3	0	3.66667	64296.2	0	9466.76	100	100	0	22.4501	102.087	600	69.5967	25.3681	100	127.619	100	96.6554	575.16	68.1221	10465.8	2115.86	57.9626	100	0	100	100
70	304	2971.73	0	389.017	453.58	27422.4	56775.5	51332.9	0	3.66667	64359.4	0	9465.74	100	100	0	22.4492	102.123	600	70.6177	25.367	100	127.582	100	96.5833	575.16	69.0882	10476.1	2148.03	58.0197	100	0	100	100
71	304	2971.35	0	388.996	453.556	27810.6	56769.9	52045.3	0	3.66667	64421.8	0	9464.81	100	100	0	22.4484	102.158	600	71.6391	25.3661	100	127.546	100	96.5111	575.16	70.0537	10486.3	2180.22	58.076	100	0	100	100
72	304	2971	0	388.976	453.533	28198.9	56764.8	52757.6	0	3.66667	64483.4	0	9463.95	100	100	0	22.4478	102.193	600	72.6609	25.3654	100	127.511	100	96.4387	575.16	71.0185	10496.3	2212.45	58.1317	100	0	100	100
73	304	2970.68	0	388.959	453.512	28587.1	56760.1	53469.8	0	3.66667	64544.2	0	9463.18	100	100	0	22.4473	102.228	600	73.683	25.3649	100	127.477	100	96.3662	575.16	71.9825	10506.2	2244.71	58.1866	100	0	100	100
74	304	2970.38	0	388.943	453.493	28975.3	56755.9	54181.9	0	3.66667	64604.2	0	9462.48	100	100	0	22.447	102.263	600	74.7054	25.3646	100	127.445	100	96.2936	575.16	72.9458	10516	2276.99	58.2409	100	0	100	100
75	304	2970.12	0	388.928	453.476	29363.5	56752.2	54893.9	0	3.66667	64663.5	0	9461.85	100	100	0	22.4469	102.297	600	75.7282	25.3644	100	127.414	100	96.2209	575.16	73.9084	10525.7	2309.31	58.2945	100	0	100	100
76	304	2969.88	0	388.916	453.461	29751.6	56748.9	55605.9	0	3.66667	64722.1	0	9461.3	100	100	0	22.4469	102.331	600	76.7514	25.3644	100	127.383	100	96.1481	575.16	74.8702	10535.2	2341.66	58.3474	100	0	100	100
77	304	2969.67	0	388.904	453.447	30139.8	56745.9	56317.7	0	3.66667	64779.9	0	9460.81	100	100	0	22.447	102.365	600	77.7748	25.3645	100	127.354	100	96.0753	575.16	75.8313	10544.7	2374.03	58.3996	100	0	100	100
78	304	2969.48	0	388.894	453.435	30527.9	56743.4	57029.5	0	3.66667	64837	0	9460.39	100	100	0	22.4473	102.399	600	78.7987	25.3648	100	127.327	100	96.0024	575.16	76.7917	10554	2406.44	58.4512	100	0	100	100
79	304	2969.32	0	388.886	453.425	30916.1	56741.3	57741.2	0	3.66667	64893.4	0	9460.04	100	100	0	22.4477	102.432	600	79.8228	25.3652	100	127.3	100	95.9294	575.16	77.7514	10563.2	2438.87	58.5022	100	0	100	100
80	304	2969.18	0	388.878	453.416	31304.2	56739.5	58452.9	0	3.66667	64949.1	0	9459.74	100	100	0	22.4482	102.465	600	80.8473	25.3658	100	127.274	100	95.8564	575.16	78.7103	10572.2	2471.33	58.5525	100	0	100	100
81	304	2969.06	0	388.872	453.408	31692.3	56738.1	59164.5	0	3.66667	65004	0	9459.51	100	100	0	22.4488	102.497	600	81.8721	25.3665	100	127.249	100	95.7834	575.16	79.6685	10581.2	2503.82	58.6021	100	0	100	100
82	304	2968.96	0	388.867	453.402	32080.4	56737.1	59876.1	0	3.66667	65058.3	0	9459.33	100	100	0	22.4495	102.53	600	82.8973	25.3673	100	127.225	100	95.7104	575.16	80.626	10590	2536.33	58.6511	100	0	100	100
83	304	2968.89	0	388.864	453.398	32468.5	56736.3	60587.6	0	3.66667	65111.9	0	9459.21	100	100	0	22.4504	102.562	600	83.9227	25.3683	100	127.202	100	95.6374	575.16	81.5827	10598.8	2568.88	58.6996	100	0	100	100
84	304	2968.84	0	388.861	453.395	32856.7	56735.9	61299.2	0	3.66667	65164.8	0	9459.14	100	100	0	22.4513	102.594	600	84.9485	25.3694	100	127.18	100	95.5643	575.16	82.5387	10607.4	2601.44	58.7474	100	0	100	100
85	304	2968.8	0	388.86	453.393	33244.8	56735.8	62010.7	0	3.66667	65217	0	9459.13	100	100	0	22.4524	102.625	600	85.9746	25.3706	100	127.159	100	95.4913	575.16	83.494	10615.9	2634.04	58.7946	100	0	100	100
86	304	2968.79	0	388.859	453.392	33632.9	56736	62722.2	0	3.66667	65268.6	0	9459.16	100	100	0	22.4536	102.656	600	87.001	25.3719	100	127.139	100	95.4183	575.16	84.4485	10624.3	2666.66	58.8412	100	0	100	100
87	304	2968.79	0	388.86	453.393	34021	56736.5	63433.7	0	3.66667	65319.5	0	9459.24	100	100	0	22.4548	102.687	600	88.0277	25.3733	100	127.12	100	95.3454	575.16	85.4023	10632.6	2699.31	58.8872	100	0	100	100
88	304	2968.81	0	388.862	453.395	34409.1	56737.3	64145.2	0	3.66667	65369.8	0	9459.37	100	100	0	22.4561	102.718	600	89.0547	25.3748	100	127.102	100	95.2725	575.16	86.3554	10640.8	2731.98	58.9326	100	0	100	100
89	304	2968.85	0	388.864	453.397	34797.2	56738.3	64856.7	0	3.66667	65419.4	0	9459.54	100	100	0	22.4576	102.748	600	90.0821	25.3764	100	127.084	100	95.1997	575.16	87.3078	10648.9	2764.68	58.9774	100	0	100	100
90	304	2968.9	0	388.868	453.401	35185.3	56739.6	65568.3	0	3.66667	65468.4	0	9459.76	100	100	0	22.4591	102.778	600	91.1097	25.3781	100	127.068	100	95.1269	575.16	88.2594	10656.9	2797.4	59.0217	100	0	100	100
91	304	2968.98	0	388.872	453.406	35573.4	56741.2	66279.8	0	3.66667	65516.8	0	9460.02	100	100	0	22.4607	102.807	600	92.1376	25.3799	100	127.052	100	95.0542	575.16	89.2103	10664.8	2830.15	59.0654	100	0	100	100
92	304	2969.06	0	388.878	453.412	35961.5	56743	66991.4	0	3.66667	65564.6	0	9460.31	100	100	0	22.4623	102.836	600	93.1658	25.3818	100	127.037	100	94.9816	575.16	90.1605	10672.5	2862.92	59.1086	100	0	100	100
93	304	2969.16	0	388.884	453.419	36349.7	56745	67703.1	0	3.66667	65611.7	0	9460.65	100	100	0	22.4641	102.865	600	94.1943	25.3837	100	127.022	100	94.9091	575.16	91.11	10680.2	2895.71	59.1512	100	0	100	100
94	304	2969.28	0	388.891	453.427	36737.8	56747.2	68414.7	0	3.66667	65658.2	0	9461.02	100	100	0	22.4659	102.894	600	95.2231	25.3858	100	127.009	100	94.8366	575.16	92.0587	10687.8	2928.53	59.1932	100	0	100	100
95	304	2969.4	0	388.898	453.436	37125.9	56749.7	69126.4	0	3.66667	65704.2	0	9461.43	100	100	0	22.4677	102.922	600	96.2522	25.3879	100	126.996	100	94.7643	575.16	93.0067	10695.3	2961.37	59.2347	100	0	100	100
96	304	2969.54	0	388.907	453.445	37514.1	56752.3	69838.2	0	3.66667	65749.6	0	9461.87	100	100	0	22.4697	102.95	600	97.2816	25.3901	100	126.984	100	94.6921	575.16	93.954	10702.7	2994.23	59.2757	100	0	100	100
97	304	2969.7	0	388.916	453.456	37902.2	56755.2	70550	0	3.66667	65794.3	0	9462.35	100	100	0	22.4717	102.977	600	98.3112	25.3923	100	126.973	100	94.62	575.16	94.9005	10710	3027.12	59.3162	100	0	100	100
98	304	2969.86	0	388.926	453.467	38290.4	56758.2	71261.8	0	3.66667	65838.5	0	9462.85	100	100	0	22.4737	103.005	600	99.3411	25.3947	100	126.962	100	94.5481	575.16	95.8464	10717.2	3060.03	59.3561	100	0	100	100
99	304	2970.04	0	388.936	453.479	38678.6	56761.4	71973.8	0	3.66667	65882.2	0	9463.39	100	100	0	22.4758	103.031	600	100.371	25.397	100	126.952	100	94.4762	575.16	96.7915	10724.3	3092.96	59.3955	100	0	100	100
100	304	2970.23	0	388.947	453.492	39066.7	56764.8	72685.7	0	3.66667	65925.2	0	9463.96	100	100	0	22.478	103.058	600	101.402	25.3995	100	126.942	100	94.4046	575.16	97.7359	10731.3	3125.91	59.4345	100	0	100	100
