Time	[Extracellular glucose]	[Cytosolic glucose]	[ATP]	[Glucose-6-Phosphate]	[ADP]	[Fructose-6-Phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[NAD]	[NADH]	[Phosphoenolpyruvate]	[Pyruvate]	[Acetaldehyde]	[EtOH]	[Extracellular ethanol]	[Glycerol]	[Extracellular glycerol]	[Extracellular acetaldehyde]	[Extracellular cyanide]	[AMP]	[P]	[Mixed flow cyanide]	[Mixed flow glucose]
11	6.66696	2.7608	1.95733	4.12801	1.57972	0.475056	0.126521	3.22096	0.620258	0.359742	0.041159	14.8379	1.47515	19.3591	16.527	4.50094	1.75461	1.28551	5.20472	0.392953	0	5.6	24
12	6.66817	2.68634	2.22894	4.49596	1.42188	0.530207	0.121285	3.11963	0.645587	0.334413	0.040749	15.1762	1.49593	19.3438	16.5337	4.51969	1.75909	1.28738	5.20469	0.279179	0	5.6	24
13	6.66731	2.76498	1.95767	4.11591	1.5795	0.473731	0.126436	3.22002	0.620693	0.359307	0.0411828	15.4689	1.47988	19.3739	16.5393	4.49922	1.7629	1.29019	5.20463	0.392835	0	5.6	24
14	6.66862	2.68014	2.2281	4.51622	1.42247	0.532438	0.120436	3.09984	0.647612	0.332388	0.0407182	15.7575	1.50249	19.3554	16.5458	4.51408	1.76664	1.29213	5.20454	0.279438	0	5.6	24
15	6.66763	2.76988	1.96225	4.10331	1.577	0.472527	0.126438	3.22147	0.621134	0.358866	0.0412094	16.0258	1.48428	19.3883	16.5512	4.49761	1.76974	1.29482	5.20441	0.39075	0	5.6	24
16	6.66905	2.67312	2.22099	4.53564	1.42699	0.534184	0.119554	3.07851	0.649367	0.330633	0.0406854	16.2674	1.50877	19.3663	16.5573	4.50667	1.77284	1.29679	5.20427	0.28202	0	5.6	24
17	6.66793	2.77496	1.97217	4.09225	1.57161	0.47172	0.126496	3.22467	0.621694	0.358306	0.0412362	16.5222	1.48838	19.4022	16.5626	4.4965	1.77531	1.29925	5.20409	0.386219	0	5.6	24
18	6.66945	2.66616	2.2054	4.55006	1.43679	0.534845	0.118713	3.05718	0.650578	0.329422	0.0406565	16.7179	1.5145	19.3768	16.5685	4.49775	1.77785	1.30123	5.2039	0.287811	0	5.6	24
19	6.66822	2.77949	1.98844	4.08542	1.56273	0.471662	0.126564	3.22857	0.622521	0.357479	0.0412596	16.9678	1.49229	19.4154	16.5737	4.49609	1.77979	1.30338	5.20368	0.37883	0	5.6	24
20	6.6698	2.66049	2.17956	4.55445	1.4528	0.533772	0.118012	3.03806	0.650947	0.329053	0.0406389	17.1187	1.51936	19.3872	16.5791	4.48764	1.78184	1.30541	5.20344	0.297634	0	5.6	24
21	6.66851	2.7826	2.01177	4.08589	1.54985	0.472748	0.12658	3.23174	0.623791	0.356209	0.0412751	17.3702	1.49614	19.4276	16.5843	4.49636	1.78333	1.30719	5.20319	0.368373	0	5.6	24
22	6.6701	2.65763	2.14303	4.54375	1.47503	0.530434	0.117563	3.02392	0.650219	0.329781	0.0406407	17.4781	1.52303	19.3981	16.5893	4.47684	1.78495	1.30929	5.20293	0.311945	0	5.6	24
23	6.6688	2.78334	2.04246	4.097	1.53265	0.475395	0.126471	3.23244	0.625684	0.354316	0.0412776	17.7349	1.50013	19.4386	16.5944	4.49714	1.78606	1.31065	5.20265	0.354897	0	5.6	24
24	6.67032	2.65912	2.09746	4.51443	1.50207	0.524629	0.117465	3.01745	0.648279	0.331721	0.0406678	17.8035	1.52526	19.4098	16.5989	4.46601	1.7873	1.31285	5.20236	0.330471	0	5.6	24
25	6.66911	2.78076	2.08008	4.12191	1.51112	0.479987	0.126156	3.22874	0.628371	0.351629	0.0412615	18.0657	1.50444	19.4482	16.6041	4.49802	1.7881	1.3138	5.20206	0.338804	0	5.6	24
26	6.67045	2.66606	2.04712	4.46605	1.53105	0.516637	0.117772	3.02061	0.645231	0.334769	0.040722	18.1011	1.52599	19.4225	16.6081	4.45597	1.78902	1.31609	5.20175	0.351829	0	5.6	24
27	6.66944	2.77402	2.12327	4.16324	1.48582	0.486808	0.125554	3.21859	0.631977	0.348023	0.0412216	18.3653	1.50927	19.456	16.6133	4.49842	1.78958	1.31665	5.20144	0.320908	0	5.6	24
28	6.67049	2.67874	1.9981	4.40185	1.55834	0.507169	0.118476	3.03386	0.641397	0.338603	0.0408002	18.3763	1.5254	19.4363	16.6169	4.44755	1.7902	1.31901	5.20113	0.373562	0	5.6	24
29	6.66981	2.76251	2.16929	4.22216	1.45821	0.4959	0.124599	3.20019	0.63653	0.34347	0.0411541	18.6353	1.51476	19.462	16.6221	4.49761	1.79057	1.31924	5.20081	0.302504	0	5.6	24
30	6.67046	2.69633	1.95686	4.3281	1.58054	0.49718	0.119504	3.05604	0.637241	0.342759	0.0408955	18.6333	1.5239	19.4507	16.6252	4.44151	1.79093	1.32161	5.20049	0.392599	0	5.6	24
31	6.67021	2.74613	2.21358	4.29727	1.43101	0.506886	0.123259	3.17236	0.641875	0.338125	0.0410585	18.8768	1.52099	19.4659	16.6303	4.49476	1.79116	1.32161	5.20016	0.285411	0	5.6	24
32	6.6704	2.717	1.92876	4.25257	1.59521	0.487664	0.120741	3.08461	0.633262	0.346738	0.0409992	18.8751	1.52199	19.4651	16.6331	4.4383	1.79128	1.3239	5.19984	0.406027	0	5.6	24
33	6.67062	2.72553	2.24945	4.38307	1.40858	0.518733	0.121572	3.13533	0.647578	0.332422	0.0409397	19.0908	1.52782	19.468	16.638	4.48914	1.79142	1.3238	5.19952	0.27197	0	5.6	24
34	6.67032	2.73836	1.91712	4.18298	1.60108	0.479511	0.122051	3.11636	0.629906	0.350094	0.0411016	19.1035	1.52016	19.4789	16.6407	4.4381	1.79134	1.32591	5.1992	0.411794	0	5.6	24
35	6.67104	2.70248	2.26853	4.469	1.39658	0.529654	0.119677	3.09157	0.652862	0.327138	0.0408108	19.2791	1.5348	19.4688	16.6453	4.48029	1.7914	1.32585	5.19888	0.264887	0	5.6	24
36	6.67027	2.75794	1.92329	4.12631	1.5977	0.473488	0.123293	3.14781	0.627539	0.352461	0.041193	19.3197	1.51884	19.4915	16.6478	4.44071	1.79115	1.32765	5.19856	0.409014	0	5.6	24
37	6.67143	2.68004	2.26261	4.53967	1.40057	0.537275	0.117837	3.04647	0.656687	0.323313	0.0406941	19.4449	1.5411	19.4695	16.652	4.4683	1.79115	1.32779	5.19825	0.266824	0	5.6	24
38	6.67026	2.77346	1.94697	4.08868	1.5851	0.470273	0.124328	3.17547	0.626459	0.353541	0.0412641	19.5238	1.51832	19.5024	16.6546	4.44557	1.79077	1.32916	5.19794	0.397928	0	5.6	24
39	6.67173	2.66235	2.2268	4.57769	1.42344	0.539289	0.116412	3.00814	0.658017	0.321983	0.040618	19.5935	1.54563	19.4714	16.6583	4.45406	1.7907	1.32962	5.19764	0.279755	0	5.6	24
40	6.67031	2.78305	1.9867	4.07543	1.56364	0.470476	0.125017	3.19592	0.626911	0.353089	0.0413054	19.715	1.51887	19.5113	16.661	4.45183	1.79023	1.33049	5.19733	0.379664	0	5.6	24
41	6.6719	2.65378	2.16378	4.57017	1.46251	0.534599	0.115744	2.9853	0.656304	0.323696	0.0406062	19.731	1.54742	19.4762	16.6641	4.4392	1.7901	1.33132	5.19704	0.303707	0	5.6	24
42	6.67043	2.78527	2.03983	4.09099	1.53411	0.4746	0.125226	3.20584	0.629088	0.350912	0.0413082	19.8919	1.52071	19.5177	16.6671	4.45833	1.78958	1.33165	5.19674	0.356062	0	5.6	24
43	6.6719	2.65729	2.08558	4.51593	1.50902	0.524163	0.115994	2.98362	0.651868	0.328132	0.0406632	19.8635	1.54618	19.4844	16.6695	4.42581	1.78937	1.33287	5.19646	0.335395	0	5.6	24
44	6.67063	2.77914	2.10225	4.13809	1.49819	0.482907	0.124838	3.20219	0.63308	0.34692	0.0412652	20.0524	1.52403	19.5215	16.6728	4.46368	1.78884	1.33271	5.19618	0.329558	0	5.6	24
45	6.67175	2.67277	2.0099	4.42772	1.55188	0.510583	0.117057	3.00273	0.645833	0.334167	0.0407719	19.9952	1.54257	19.4956	16.6747	4.41579	1.78854	1.33423	5.1959	0.368222	0	5.6	24
46	6.67091	2.76439	2.1675	4.21607	1.45928	0.495116	0.123781	3.18272	0.638764	0.341236	0.0411733	20.194	1.52892	19.5224	16.6781	4.46639	1.78804	1.3337	5.19563	0.30322	0	5.6	24
47	6.67152	2.69688	1.95221	4.32537	1.58301	0.496681	0.118647	3.03706	0.639554	0.340446	0.040907	20.1279	1.53783	19.5085	16.6795	4.41035	1.78763	1.33539	5.19537	0.394776	0	5.6	24
48	6.67126	2.74186	2.22585	4.31819	1.42336	0.509972	0.122076	3.14711	0.645606	0.334394	0.0410372	20.3148	1.53526	19.5207	16.683	4.46505	1.78719	1.33467	5.19511	0.28079	0	5.6	24
49	6.67126	2.72445	1.92093	4.2274	1.59923	0.484569	0.120444	3.07903	0.634106	0.345894	0.0410453	20.2613	1.5332	19.5213	16.6842	4.4098	1.78669	1.33634	5.19486	0.40984	0	5.6	24
50	6.67164	2.71411	2.26435	4.42922	1.39917	0.524884	0.119909	3.09843	0.652492	0.327508	0.0408748	20.4143	1.54248	19.5169	16.6875	4.45876	1.7863	1.33565	5.19462	0.266485	0	5.6	24
51	6.67103	2.75042	1.91786	4.14738	1.60058	0.475603	0.122168	3.12149	0.63017	0.34983	0.0411685	20.3941	1.5295	19.5329	16.6886	4.41365	1.78571	1.33711	5.19438	0.411554	0	5.6	24
52	6.67202	2.68581	2.26947	4.52518	1.39612	0.536077	0.117675	3.04473	0.657762	0.322238	0.04072	20.4954	1.54933	19.5128	16.6916	4.44758	1.78538	1.33667	5.19414	0.264412	0	5.6	24
53	6.67089	2.77081	1.94085	4.09465	1.58836	0.470685	0.12359	3.15848	0.628145	0.351855	0.041262	20.524	1.52723	19.5424	16.6929	4.42082	1.78473	1.33773	5.19392	0.400789	0	5.6	24
54	6.67229	2.66335	2.23319	4.57871	1.41941	0.539807	0.115938	2.99856	0.659744	0.320256	0.0406176	20.5642	1.55408	19.5105	16.6953	4.43288	1.78443	1.33771	5.1937	0.2774	0	5.6	24
55	6.67084	2.78288	1.98592	4.07589	1.56406	0.470492	0.124514	3.18501	0.628286	0.351714	0.0413134	20.6479	1.52665	19.5492	16.6969	4.42982	1.78376	1.33823	5.19348	0.380022	0	5.6	24
56	6.6724	2.65321	2.16024	4.57066	1.46467	0.534446	0.115217	2.97323	0.657624	0.322376	0.0406037	20.629	1.55522	19.5123	16.6987	4.4173	1.78346	1.33872	5.19327	0.305089	0	5.6	24
57	6.6709	2.78494	2.04782	4.09571	1.52958	0.4755	0.124774	3.19681	0.630744	0.349256	0.0413123	20.7622	1.52796	19.553	16.7006	4.43881	1.78281	1.33867	5.19306	0.352598	0	5.6	24
58	6.67231	2.65904	2.07034	4.50271	1.51783	0.521893	0.115694	2.97588	0.652091	0.327909	0.0406795	20.6976	1.55252	19.519	16.7019	4.40394	1.78247	1.33963	5.19287	0.34183	0	5.6	24
59	6.67108	2.77615	2.11961	4.1558	1.48797	0.485781	0.124239	3.19034	0.635511	0.344489	0.0412513	20.863	1.53131	19.5536	16.7042	4.44582	1.78188	1.33908	5.19267	0.322419	0	5.6	24
60	6.67205	2.6793	1.98933	4.39757	1.56314	0.506294	0.117121	3.00355	0.644976	0.335024	0.0408135	20.7738	1.54723	19.5295	16.7049	4.3953	1.78149	1.3404	5.19248	0.377527	0	5.6	24
61	6.67136	2.75688	2.1911	4.25205	1.44487	0.500489	0.122867	3.16378	0.642215	0.337785	0.0411306	20.9463	1.53668	19.551	16.7074	4.44885	1.78097	1.33952	5.1923	0.294028	0	5.6	24
62	6.67171	2.70802	1.93568	4.28404	1.59166	0.491423	0.119045	3.04656	0.638132	0.341868	0.0409682	20.8578	1.54123	19.5414	16.7078	4.3925	1.78051	1.34099	5.19212	0.402661	0	5.6	24
63	6.67172	2.72929	2.24786	4.37087	1.40956	0.517255	0.120779	3.11866	0.649844	0.330156	0.0409639	21.0098	1.54365	19.5455	16.7103	4.44636	1.78009	1.34003	5.19195	0.272581	0	5.6	24
64	6.6714	2.73796	1.91593	4.18449	1.6017	0.479629	0.121042	3.09438	0.632764	0.347236	0.0411147	20.9477	1.53597	19.5527	16.7106	4.39536	1.77956	1.34141	5.19178	0.412369	0	5.6	24
65	6.6721	2.69807	2.27271	4.48677	1.39394	0.531934	0.118349	3.06215	0.656591	0.323409	0.0407847	21.0544	1.55106	19.5387	16.7129	4.4378	1.77923	1.34063	5.19162	0.263357	0	5.6	24
66	6.67116	2.76319	1.92865	4.11305	1.59484	0.47223	0.122786	3.13848	0.629509	0.350491	0.0412323	21.0402	1.53227	19.5621	16.7133	4.40271	1.77864	1.3417	5.19146	0.406511	0	5.6	24
67	6.67241	2.67042	2.25201	4.56632	1.40742	0.539609	0.116211	3.00787	0.660277	0.319723	0.0406448	21.0855	1.55693	19.5331	16.7153	4.42424	1.77838	1.34132	5.19131	0.270571	0	5.6	24
68	6.67103	2.77975	1.96884	4.07858	1.57335	0.47006	0.124025	3.17227	0.628692	0.351308	0.0413055	21.1313	1.53052	19.5687	16.7159	4.4128	1.77777	1.34188	5.19116	0.387818	0	5.6	24
69	6.67256	2.65452	2.18543	4.58081	1.44926	0.537085	0.115057	2.97256	0.659415	0.320585	0.0405961	21.1127	1.55919	19.5315	16.7173	4.40846	1.77753	1.34204	5.19102	0.295309	0	5.6	24
70	6.67103	2.78532	2.03011	4.08687	1.53958	0.473688	0.124554	3.1905	0.630491	0.349509	0.0413216	21.2164	1.53094	19.5721	16.7184	4.42348	1.77694	1.34201	5.19088	0.360311	0	5.6	24
71	6.67249	2.65603	2.09208	4.52415	1.50525	0.525425	0.115254	2.96775	0.654295	0.325705	0.0406539	21.1454	1.557	19.5357	16.7192	4.39418	1.77669	1.34273	5.19075	0.332672	0	5.6	24
72	6.67117	2.77882	2.10447	4.14033	1.49689	0.483268	0.124216	3.18895	0.634914	0.345086	0.0412718	21.2905	1.53366	19.572	16.7208	4.43241	1.77616	1.34214	5.19062	0.328644	0	5.6	24
73	6.67223	2.67459	2.00254	4.41886	1.55593	0.509258	0.116607	2.99258	0.6469	0.3331	0.0407869	21.1893	1.55151	19.5446	16.721	4.38464	1.77586	1.34328	5.19049	0.371529	0	5.6	24
74	6.67142	2.76047	2.18081	4.2354	1.45117	0.498032	0.122946	3.1652	0.641611	0.338389	0.0411546	21.3487	1.53868	19.5683	16.7229	4.43728	1.77542	1.34232	5.19037	0.298016	0	5.6	24
75	6.67186	2.70386	1.94089	4.29916	1.58895	0.493308	0.118596	3.03641	0.639505	0.340495	0.0409491	21.2448	1.5449	19.5558	16.7227	4.38145	1.77506	1.34368	5.19025	0.400158	0	5.6	24
76	6.67177	2.7325	2.24332	4.35803	1.41241	0.515525	0.120854	3.12049	0.649529	0.330471	0.0409838	21.3879	1.54559	19.5616	16.7248	4.4362	1.77472	1.3426	5.19013	0.274267	0	5.6	24
77	6.67151	2.73537	1.91636	4.19256	1.6015	0.480537	0.120711	3.08672	0.633632	0.346368	0.0411049	21.3095	1.539	19.5666	16.7245	4.38452	1.77429	1.3439	5.19002	0.412143	0	5.6	24
78	6.67215	2.69999	2.27272	4.4805	1.39391	0.531224	0.118341	3.06235	0.656701	0.323299	0.0407952	21.4083	1.55315	19.5533	16.7264	4.42846	1.77405	1.343	5.18991	0.263368	0	5.6	24
79	6.67124	2.76212	1.92755	4.11585	1.59543	0.472497	0.122568	3.13346	0.630039	0.349961	0.0412301	21.3794	1.53479	19.5754	16.7263	4.39256	1.77356	1.344	5.18981	0.407026	0	5.6	24
80	6.67247	2.67091	2.25338	4.56556	1.40654	0.539611	0.116102	3.00572	0.660683	0.319317	0.0406464	21.4158	1.5592	19.5462	16.7278	4.41516	1.77339	1.34351	5.18971	0.270078	0	5.6	24
81	6.67109	2.77959	1.96865	4.07898	1.57345	0.470096	0.123881	3.16915	0.629086	0.350914	0.0413073	21.4499	1.53272	19.5813	16.728	4.40357	1.77288	1.344	5.18961	0.387906	0	5.6	24
82	6.67261	2.65433	2.1846	4.58099	1.44977	0.537056	0.114912	2.96924	0.659787	0.320213	0.0405953	21.4208	1.56139	19.5436	16.7289	4.3994	1.77274	1.34409	5.18952	0.295629	0	5.6	24
83	6.67108	2.78523	2.03227	4.08804	1.53836	0.473918	0.12443	3.18802	0.630947	0.349053	0.041323	21.5157	1.533	19.5838	16.7297	4.41517	1.77225	1.34397	5.18942	0.359366	0	5.6	24
84	6.67252	2.65643	2.0878	4.52061	1.50774	0.524802	0.115165	2.96547	0.654369	0.325631	0.0406583	21.4335	1.55884	19.5471	16.73	4.3853	1.77209	1.34463	5.18933	0.334459	0	5.6	24
85	6.67121	2.77796	2.10938	4.14527	1.494	0.484073	0.124047	3.18561	0.635602	0.344398	0.041268	21.5711	1.53576	19.5827	16.7312	4.42477	1.77166	1.34395	5.18925	0.326616	0	5.6	24
86	6.67223	2.67646	1.99672	4.4102	1.55912	0.50803	0.116627	2.99287	0.646656	0.333344	0.0407991	21.4598	1.55288	19.5558	16.731	4.37635	1.77146	1.34505	5.18916	0.374161	0	5.6	24
87	6.67147	2.75821	2.18751	4.24595	1.44707	0.499598	0.122676	3.15958	0.642618	0.337382	0.0411418	21.6108	1.54097	19.5779	16.7326	4.42985	1.77112	1.344	5.18908	0.295417	0	5.6	24
88	6.67185	2.70709	1.93663	4.28739	1.59117	0.491831	0.118712	3.03924	0.639117	0.340883	0.040967	21.4998	1.54593	19.5666	16.7321	4.37414	1.77085	1.34531	5.18901	0.402205	0	5.6	24
89	6.67183	2.72873	2.24906	4.37335	1.4088	0.51761	0.120466	3.11189	0.650755	0.329245	0.0409618	21.6315	1.5481	19.5699	16.7338	4.4285	1.77062	1.34417	5.18893	0.27214	0	5.6	24
90	6.67148	2.73915	1.91596	4.18089	1.60167	0.479232	0.120877	3.09109	0.633309	0.346691	0.0411246	21.5503	1.5399	19.5768	16.7333	4.37841	1.77027	1.3454	5.18886	0.412372	0	5.6	24
91	6.67221	2.69537	2.27335	4.49608	1.39355	0.533031	0.117889	3.05165	0.6578	0.3222	0.0407698	21.6341	1.55569	19.5607	16.7348	4.42015	1.77013	1.34449	5.18879	0.263105	0	5.6	24
92	6.67122	2.76542	1.93219	4.10762	1.59296	0.471771	0.122722	3.13791	0.629975	0.350025	0.0412469	21.6069	1.53575	19.5848	16.7344	4.38762	1.76972	1.34538	5.18872	0.404845	0	5.6	24
93	6.67251	2.66702	2.24522	4.57378	1.41177	0.540016	0.115724	2.99582	0.661155	0.318845	0.0406295	21.6258	1.56131	19.5533	16.7356	4.40632	1.76965	1.34493	5.18865	0.273015	0	5.6	24
94	6.67108	2.78142	1.97858	4.07735	1.56806	0.470336	0.123956	3.17206	0.629448	0.350552	0.0413162	21.6643	1.53391	19.5897	16.7356	4.39955	1.76923	1.34527	5.18859	0.383361	0	5.6	24
95	6.67262	2.65316	2.16773	4.57532	1.46012	0.535411	0.114764	2.96404	0.659315	0.320685	0.0405985	21.6177	1.5626	19.5511	16.7362	4.39059	1.76918	1.34542	5.18853	0.302155	0	5.6	24
96	6.6711	2.78477	2.04685	4.09572	1.53013	0.475455	0.124354	3.18769	0.631871	0.348129	0.0413191	21.7166	1.53456	19.591	16.7368	4.41156	1.76878	1.34514	5.18847	0.353021	0	5.6	24
97	6.67248	2.65921	2.06745	4.50085	1.51949	0.521537	0.115309	2.96719	0.6531	0.3269	0.0406827	21.6204	1.55905	19.5554	16.7367	4.37738	1.7687	1.34587	5.18841	0.343054	0	5.6	24
98	6.67126	2.77465	2.12684	4.16386	1.48369	0.487062	0.123762	3.18046	0.637153	0.342847	0.0412473	21.7578	1.53782	19.5885	16.7378	4.42093	1.76837	1.34505	5.18835	0.319478	0	5.6	24
99	6.67215	2.68269	1.97995	4.38262	1.56822	0.504218	0.116992	3.00059	0.645082	0.334918	0.0408363	21.6384	1.55246	19.5644	16.7373	4.37001	1.76823	1.34618	5.1883	0.38183	0	5.6	24
100	6.67154	2.752	2.20428	4.27441	1.43675	0.503765	0.122155	3.14872	0.644681	0.335319	0.0411039	21.7826	1.54357	19.5824	16.7388	4.42509	1.768	1.34505	5.18825	0.28897	0	5.6	24
