Time	[EpoRJAK2]	[EpoRpJAK2]	[p1EpoRpJAK2]	[p2EpoRpJAK2]	[p12EpoRpJAK2]	[EpoRJAK2_CIS]	[SHP1]	[SHP1Act]	[STAT5]	[pSTAT5]	[npSTAT5]	[CISnRNA1]	[CISnRNA2]	[CISnRNA3]	[CISnRNA4]	[CISnRNA5]	[CISRNA]	[CIS]	[SOCS3nRNA1]	[SOCS3nRNA2]	[SOCS3nRNA3]	[SOCS3nRNA4]	[SOCS3nRNA5]	[SOCS3RNA]	[SOCS3]	[Epo]
32	3.60793	0.153366	0.0259314	0.118397	0.070592	-2.07124e-28	26.6023	0.12284	33.2448	33.4643	18.9736	1556.6	1309.65	968.849	630.59	363.3	0.0361565	0.793627	0.00186434	0.00187001	0.00187337	0.00187419	0.00187221	0.0213546	3.70828	1.24997e-07
33	3.61565	0.152257	0.0254572	0.115532	0.0673272	-1.05153e-28	26.6008	0.124269	34.0181	32.7698	18.8591	1567.61	1343.73	1017.17	679.54	402.706	0.0400785	0.924951	0.00185504	0.00186282	0.00186853	0.00187193	0.00187278	0.022543	3.91464	1.24997e-07
34	3.62292	0.151172	0.0250018	0.112812	0.0643183	-7.29242e-29	26.5995	0.125637	34.7865	32.0922	18.727	1575.7	1374.5	1063.35	728.259	443.385	0.0441273	1.06961	0.00184382	0.0018535	0.00186131	0.00186704	0.00187048	0.0237209	4.11919	1.24997e-07
35	3.62977	0.150113	0.0245645	0.110228	0.0615398	-1.0395e-28	26.5982	0.126946	35.5493	31.4311	18.5791	1581.06	1402.02	1107.22	776.478	485.116	0.0482808	1.22792	0.00183088	0.00184227	0.00185197	0.00185981	0.00186556	0.0248864	4.32158	1.24997e-07
36	3.63625	0.149079	0.0241448	0.107774	0.0589698	-1.18359e-28	26.5969	0.1282	36.3056	30.786	18.4173	1583.88	1426.37	1148.67	823.945	527.673	0.0525165	1.40009	0.0018164	0.00182932	0.00184072	0.00185044	0.0018583	0.0260378	4.52153	1.24997e-07
37	3.64238	0.148071	0.0237421	0.105441	0.0565886	-1.02355e-28	26.5957	0.129402	37.0546	30.1568	18.243	1584.36	1447.66	1187.6	870.428	570.826	0.0568116	1.58627	0.00180056	0.00181483	0.00182775	0.00183917	0.00184891	0.0271736	4.71877	1.24997e-07
38	3.64817	0.14709	0.0233556	0.103224	0.0543791	-8.9475e-29	26.5945	0.130554	37.7957	29.543	18.0579	1582.67	1465.99	1223.95	915.716	614.347	0.0611434	1.78652	0.00178351	0.00179898	0.00181326	0.00182619	0.00183763	0.0282925	4.91306	1.24997e-07
39	3.65366	0.146135	0.0229849	0.101116	0.0523261	-7.26008e-29	26.5934	0.131659	38.5284	28.9442	17.8632	1579	1481.48	1257.67	959.618	658.013	0.0654895	2.00081	0.00176539	0.00178193	0.00179741	0.00181169	0.00182463	0.0293932	5.10421	1.24997e-07
40	3.65886	0.145206	0.0226294	0.0991102	0.050416	-7.0346e-29	26.5924	0.13272	39.252	28.3601	17.6602	1573.49	1494.27	1288.75	1001.97	701.605	0.0698284	2.22903	0.00174635	0.00176382	0.00178035	0.00179583	0.00181012	0.0304748	5.29203	1.24997e-07
41	3.66379	0.144304	0.0222884	0.0972025	0.0486365	-7.22819e-29	26.5914	0.133738	39.9662	27.7904	17.45	1566.31	1504.47	1317.18	1042.61	744.914	0.0741391	2.47101	0.00172649	0.00174477	0.00176224	0.00177878	0.00179426	0.0315364	5.47637	1.24997e-07
42	3.66847	0.143428	0.0219615	0.0953871	0.0469769	-6.91652e-29	26.5904	0.134715	40.6705	27.2348	17.2338	1557.61	1512.22	1342.99	1081.43	787.739	0.0784016	2.72649	0.00170593	0.00172492	0.0017432	0.00176067	0.00177721	0.0325772	5.65711	1.24997e-07
43	3.67291	0.142578	0.0216479	0.0936591	0.0454273	-6.15486e-29	26.5894	0.135655	41.3646	26.6929	17.0123	1547.53	1517.66	1366.2	1118.31	829.891	0.0825972	2.99514	0.00168478	0.00170438	0.00172336	0.00174163	0.0017591	0.0335965	5.83412	1.24997e-07
44	3.67713	0.141754	0.0213474	0.0920138	0.0439787	-5.6768e-29	26.5885	0.136558	42.0483	26.1644	16.7867	1536.19	1520.91	1386.86	1153.18	871.195	0.0867084	3.27659	0.00166313	0.00168324	0.00170282	0.00172179	0.00174006	0.0345939	6.00731	1.24997e-07
