Time	[TNF{cytoplasm}]	[TNFR1]	[TRADD_TRAF2_RIP]	[IkB]	[NIK]	[IkK_NFkB]	[NFkB{cytoplasm}]	[MEKK1]	[MKK4/7]	[JNK{cytoplasm}]	[ASK]	[p38{cytoplasm}]	[LPG]	[CD14-TLR]	[MyD88]	[IRAK1/4]	[TRAF6]	[TAB2_TAK1_TAB1]	[MKK1/2]	[ERK1/2{cytoplasm}]	[MKK3/6]	[EGF]	[EGFR]	[PLC gamma]	[PIP2]	[DAG]	[PKC]	[PI3K]	[Akt{cytoplasm}]	[Shc/Grb2/Sos1]	[Ras]	[Raf]	[JAK]	[STAT1/3{cytoplasm}]	[NFkB{nucleus}]	[JNK{nucleus}]	[cjun]	[p38{nucleus}]	[cfos]	[ERK1/2{nucleus}]	[Akt{nucleus}]	[STAT1/3{nucleus}]	[TNF{nucleus}]
10	0.751091	0.888993	0.803866	0.26731	0.0590118	0.0305924	0.418665	0.0432494	0.0896636	0.887335	0.0619692	0.98104	0.00371813	0.00159349	0.0201934	0.128863	0.421323	0.00473508	0.0699483	0.844515	0.0509353	0.00396601	0.0604591	0.0193731	0.00481487	0.328713	0.0159821	0.122534	0.895329	1.15537	0.762465	0.411885	0.00719792	0.567363	0.155999	1.18373	8.30223	0.88503	13.1843	5.10525	2.56795	2.14985	0.691561
11	0.621813	0.746642	0.493016	0.211972	0.0441984	0.0242113	0.352488	0.031935	0.0661606	0.728627	0.0518376	0.942424	0.00204054	0.000874519	0.0114773	0.082677	0.305415	0.00305438	0.0543582	0.726935	0.0447131	0.00217658	0.03655	0.0107373	0.00267492	0.240594	0.0115044	0.0829976	0.778746	1.05454	0.694846	0.349327	0.00388721	0.472404	0.122882	0.953464	9.02382	0.658452	14.3733	5.43495	2.73527	2.24837	0.571647
12	0.514992	0.621507	0.226921	0.142354	0.0253008	0.0169502	0.282895	0.0181011	0.0473389	0.593679	0.0336188	0.87803	0.00111987	0.000479945	0.00649113	0.0524227	0.217495	0.00200631	0.0428607	0.619581	0.0328726	0.00119453	0.0219034	0.00592917	0.001479	0.174532	0.00824281	0.0551233	0.668899	0.953794	0.630117	0.296541	0.00210945	0.392403	0.0948421	0.704885	9.67483	0.469074	15.4769	5.71731	2.8799	2.33031	0.472636
13	0.420674	0.513897	0.104417	0.0742608	0.0124514	0.0095908	0.198873	0.0084204	0.0336717	0.474487	0.0180835	0.746813	0.000614598	0.000263399	0.00365599	0.0329104	0.152566	0.00133079	0.0342978	0.524561	0.019485	0.000655571	0.0130448	0.00326755	0.000815632	0.125754	0.0058854	0.0360368	0.568595	0.855783	0.568953	0.252533	0.00115056	0.325451	0.0649627	0.476825	10.2278	0.303312	16.4606	5.95713	3.00347	2.39831	0.374281
14	0.326217	0.414728	0.0654902	0.0394311	0.00781323	0.00540602	0.123841	0.00474496	0.0261774	0.377153	0.0120007	0.598061	0.000337299	0.000144557	0.002052	0.020486	0.105647	0.000886587	0.0278544	0.442423	0.0133795	0.000359785	0.00773393	0.00179883	0.000449176	0.0901424	0.00419107	0.0232661	0.479276	0.762232	0.511714	0.216083	0.000630758	0.269655	0.0387683	0.30126	10.6618	0.172498	17.262	6.15975	3.10807	2.45469	0.269384
15	0.234777	0.318247	0.0430322	0.0245384	0.00522995	0.00346221	0.0773463	0.00308526	0.0216036	0.304355	0.00822013	0.473964	0.000185114	7.93344e-05	0.00114834	0.0126591	0.0723437	0.000591185	0.0229507	0.37268	0.00942663	0.000197455	0.00456972	0.000989765	0.00024719	0.0643627	0.00297835	0.0148728	0.401292	0.674234	0.458526	0.185932	0.000347525	0.223279	0.0230519	0.190312	10.9795	0.105762	17.863	6.33051	3.19594	2.50138	0.178753
16	0.159649	0.230428	0.0274896	0.0158498	0.00339589	0.00229129	0.0502576	0.001997	0.0182017	0.250361	0.00541115	0.364857	0.000101592	4.35396e-05	0.000641011	0.00777301	0.0490589	0.000393687	0.0191694	0.314229	0.00634757	0.000108365	0.00269293	0.000544469	0.000135988	0.0458182	0.00211307	0.00943212	0.334239	0.592457	0.409355	0.160902	0.000192397	0.1848	0.0145209	0.129268	11.2089	0.0709061	18.3163	6.47439	3.26932	2.54003	0.1156
17	0.105667	0.159446	0.0173147	0.0101161	0.00216142	0.00150512	0.0331423	0.00126724	0.0155276	0.209433	0.00347652	0.269361	5.57551e-05	2.3895e-05	0.000357048	0.00474633	0.0329859	0.00026146	0.0162082	0.265669	0.00414397	5.94721e-05	0.00158354	0.000299494	7.48034e-05	0.0325421	0.00149721	0.00594307	0.277258	0.517274	0.36407	0.139967	0.000107005	0.15291	0.00942834	0.0959529	11.3819	0.0476588	18.6553	6.59585	3.33031	2.57202	0.0750434
18	0.0693592	0.107333	0.0109197	0.0064071	0.00137143	0.000984477	0.0218426	0.000800011	0.0133736	0.177662	0.00222008	0.191326	3.0599e-05	1.31139e-05	0.000198509	0.00288402	0.0220124	0.000173035	0.0138477	0.225514	0.00267432	3.2639e-05	0.000929493	0.000164747	4.11472e-05	0.0230721	0.00105971	0.00372452	0.229271	0.44884	0.322496	0.122274	5.97708e-05	0.126499	0.00616138	0.0759499	11.5196	0.0315728	18.9002	6.69873	3.38082	2.59848	0.0490476
19	0.0454724	0.071238	0.00693991	0.00406665	0.000874602	0.000646066	0.014377	0.000507464	0.0115912	0.152403	0.00142198	0.132007	1.67931e-05	7.19704e-06	0.000110189	0.00174483	0.0145918	0.000114067	0.0119295	0.192342	0.0017245	1.79126e-05	0.000544736	9.06323e-05	2.26354e-05	0.0163357	0.000749414	0.00232349	0.189133	0.387137	0.284445	0.107144	3.35218e-05	0.104637	0.0040323	0.0624693	11.6335	0.0207172	19.0712	6.78625	3.42254	2.62038	0.0321606
20	0.0298308	0.0469785	0.00444861	0.00259838	0.000561691	0.000426761	0.00948299	0.000324451	0.0100778	0.131818	0.000915975	0.089314	9.21623e-06	3.94981e-06	6.10785e-05	0.00105155	0.0096154	7.48884e-05	0.0103395	0.16487	0.00111557	9.83064e-06	0.000318807	4.98654e-05	1.24533e-05	0.0115539	0.000529606	0.00144375	0.155735	0.332012	0.249735	0.094046	1.88707e-05	0.0865456	0.00264801	0.0525519	11.7299	0.0135364	19.1878	6.86109	3.45692	2.63848	0.021126
21	0.0195978	0.0309063	0.00287305	0.00167226	0.000363081	0.000283783	0.00628281	0.000209035	0.00876648	0.114628	0.000593389	0.0596886	5.05798e-06	2.16771e-06	3.38155e-05	0.000631553	0.00630254	4.89675e-05	0.00899655	0.141996	0.000724606	5.39518e-06	0.000186352	2.74396e-05	6.85228e-06	0.00816524	0.000374058	0.000893987	0.128055	0.283199	0.218201	0.0825814	1.06595e-05	0.0715783	0.00174839	0.0448144	11.8127	0.00883477	19.2661	6.92539	3.48521	2.65346	0.0139129
22	0.0129063	0.0203314	0.00186728	0.00108313	0.000236016	0.000189803	0.0041842	0.000135567	0.00761494	0.0999575	0.000386414	0.039603	2.77588e-06	1.18966e-06	1.87019e-05	0.00037813	0.00411139	3.18928e-05	0.00784323	0.122802	0.000472615	2.96094e-06	0.000108806	1.51015e-05	3.77095e-06	0.00576678	0.000264075	0.000551853	0.105182	0.240342	0.189691	0.0724536	6.04004e-06	0.0591973	0.00116132	0.0385267	11.8843	0.00576946	19.3181	6.98088	3.50846	2.66585	0.00919693
23	0.00852855	0.0133958	0.00122052	0.000705472	0.0001542	0.000127579	0.00280062	8.84328e-05	0.00659616	0.0872154	0.000252883	0.0261803	1.52343e-06	6.529e-07	1.03337e-05	0.000225766	0.00267051	2.06944e-05	0.00683932	0.106548	0.000309569	1.625e-06	6.34644e-05	8.31258e-06	2.07556e-06	0.00407085	0.000186361	0.000339705	0.0863255	0.203019	0.16406	0.0634467	3.43209e-06	0.0489565	0.000775733	0.033264	11.9465	0.00377366	19.3526	7.02895	3.52755	2.67609	0.00610703
24	0.00565897	0.00885068	0.000802117	0.000461872	0.000101243	8.61346e-05	0.00188325	5.80022e-05	0.00569247	0.0760087	0.000166321	0.0172878	8.36079e-07	3.5832e-07	5.70526e-06	0.000134455	0.00172786	1.33809e-05	0.00595686	0.092649	0.000203681	8.91818e-07	3.69827e-05	4.57642e-06	1.1426e-06	0.00287257	0.000131479	0.000208583	0.0708063	0.170762	0.141163	0.0554046	1.95509e-06	0.0404866	0.000520807	0.0287645	12.0008	0.00247408	19.3753	7.07071	3.54322	2.68456	0.00407459
25	0.00377173	0.00586896	0.00052997	0.000303909	6.67997e-05	5.83918e-05	0.00127181	3.82468e-05	0.00489166	0.0660771	0.000109942	0.0114246	4.58852e-07	1.96651e-07	3.14768e-06	7.9892e-05	0.00111403	8.6237e-06	0.00517637	0.0806525	0.000134642	4.89442e-07	2.15323e-05	2.51997e-06	6.29117e-07	0.0020264	9.27373e-05	0.000127776	0.0580503	0.143079	0.12085	0.0482142	1.11619e-06	0.0334817	0.000351262	0.0248617	12.0479	0.00162696	19.3903	7.10704	3.55606	2.69157	0.00273129
26	0.0025253	0.00390783	0.000351998	0.000200966	4.42904e-05	3.97361e-05	0.000862329	2.5353e-05	0.0041845	0.0572465	7.30421e-05	0.00756583	2.51823e-07	1.07924e-07	1.73554e-06	4.73721e-05	0.000715963	5.54089e-06	0.00448416	0.0702134	8.94324e-05	2.68612e-07	1.25266e-05	1.38786e-06	3.46455e-07	0.00142916	6.53988e-05	7.81068e-05	0.047576	0.119476	0.102956	0.0417909	6.38497e-07	0.0276885	0.00023791	0.0214474	12.0889	0.00107373	19.4002	7.13868	3.56659	2.69736	0.00183903
27	0.00169828	0.00261333	0.00023498	0.000133543	2.95071e-05	2.7137e-05	0.000586885	1.68923e-05	0.00356322	0.049396	4.87677e-05	0.00502564	1.38204e-07	5.92301e-08	9.56407e-07	2.8036e-05	0.000458797	3.55013e-06	0.00387024	0.0610708	5.96871e-05	1.47417e-07	7.28196e-06	7.64505e-07	1.9083e-07	0.00100776	4.61125e-05	4.7651e-05	0.0389815	0.0994659	0.0873084	0.0360691	3.65861e-07	0.0228975	0.000161766	0.0184485	12.1244	0.000711452	19.4068	7.1662	3.57522	2.70215	0.00124348
28	0.00114697	0.00175526	0.000157625	8.91629e-05	1.97495e-05	1.85935e-05	0.000400823	1.13107e-05	0.00302068	0.0424359	3.2716e-05	0.00335039	7.58478e-08	3.25062e-08	5.26797e-07	1.65636e-05	0.000293221	2.26873e-06	0.00332696	0.0530282	4.00202e-05	8.09044e-08	4.23022e-06	4.21215e-07	1.05132e-07	0.000710516	3.25099e-05	2.90175e-05	0.0319333	0.0825907	0.0737214	0.0309936	2.09948e-07	0.0189355	0.000110391	0.0158133	12.155	0.000473412	19.4111	7.19013	3.58228	2.70612	0.000844126
29	0.00077775	0.00118394	0.000106219	5.98032e-05	1.32773e-05	1.2778e-05	0.000274637	7.60881e-06	0.00254997	0.0362926	2.20472e-05	0.00224235	4.16264e-08	1.78399e-08	2.90043e-07	9.77019e-06	0.000186946	1.44639e-06	0.00284802	0.0459364	2.69528e-05	4.44014e-08	2.45582e-06	2.32124e-07	5.7931e-08	0.000500889	2.29177e-05	1.76404e-05	0.0261558	0.0684236	0.0620037	0.0265145	1.20631e-07	0.015659	7.5584e-05	0.0135026	12.1813	0.000316388	19.4141	7.21088	3.58807	2.70939	0.000575147
30	0.000529375	0.000801832	7.18856e-05	4.02852e-05	8.9637e-06	8.80529e-06	0.000188736	5.14105e-06	0.00214419	0.0309003	1.49208e-05	0.00150682	2.28452e-08	9.79079e-09	1.59632e-07	5.75462e-06	0.000118924	9.2009e-07	0.00242782	0.0396798	1.82285e-05	2.43682e-08	1.42484e-06	1.27948e-07	3.19289e-08	0.000353079	1.61545e-05	1.07069e-05	0.0214212	0.0565768	0.0519622	0.0225847	6.93855e-08	0.0129494	5.19101e-05	0.0114839	12.2038	0.000212363	19.416	7.22883	3.59282	2.7121	0.000393223
31	0.000361583	0.000545129	4.88442e-05	2.72485e-05	6.07547e-06	6.08266e-06	0.000130055	3.48793e-06	0.00179656	0.026196	1.01381e-05	0.00101663	1.25378e-08	5.37333e-09	8.78287e-08	3.3849e-06	7.5498e-05	5.84113e-07	0.00206118	0.034166	1.23768e-05	1.33736e-08	8.26209e-07	7.05411e-08	1.76016e-08	0.000248871	1.13865e-05	6.48898e-06	0.0175422	0.0467041	0.0434077	0.0191576	3.99458e-08	0.0107086	3.57504e-05	0.00972871	12.2229	0.000143143	19.4173	7.24431	3.5967	2.71434	0.000269693
32	0.000247774	0.000371938	3.33109e-05	1.85014e-05	4.13311e-06	4.2112e-06	8.9839e-05	2.3754e-06	0.00150047	0.0221177	6.91381e-06	0.000688586	6.88093e-09	2.94897e-09	4.83089e-08	1.98855e-06	4.78396e-05	3.70129e-07	0.00174309	0.0293182	8.4345e-06	7.33966e-09	4.78831e-07	3.89005e-08	9.7056e-09	0.000175409	8.02536e-06	3.92719e-06	0.0143648	0.0385006	0.0361586	0.016187	2.30144e-08	0.00885563	2.46833e-05	0.00821066	12.2391	9.6876e-05	19.4182	7.25762	3.59988	2.7162	0.000185504
33	0.00017029	0.000254613	2.27948e-05	1.26073e-05	2.82142e-06	2.92135e-06	6.21963e-05	1.62341e-06	0.00124962	0.018604	4.73099e-06	0.000468129	3.77636e-09	1.61844e-09	2.65648e-08	1.16689e-06	3.02616e-05	2.34133e-07	0.0014687	0.0250702	5.76744e-06	4.02811e-09	2.77369e-07	2.14572e-08	5.35299e-09	0.000123627	5.65618e-06	2.37367e-06	0.0117624	0.0317008	0.0300448	0.0136273	1.32677e-08	0.00732326	1.70809e-05	0.00690484	12.2528	6.58151e-05	19.4188	7.26903	3.60248	2.71773	0.000127932
34	0.000117354	0.000174829	1.56471e-05	8.61941e-06	1.93214e-06	2.0302e-06	4.31449e-05	1.11306e-06	0.00103811	0.0155945	3.2474e-06	0.000319369	2.07252e-09	8.88224e-10	1.46046e-08	6.84012e-07	1.9112e-05	1.47871e-07	0.00123331	0.0213623	3.95605e-06	2.21069e-09	1.60594e-07	1.18386e-08	2.9531e-09	8.71285e-05	3.98629e-06	1.43292e-06	0.00963112	0.0260765	0.0249104	0.0114341	7.65257e-09	0.00605604	1.18442e-05	0.00578757	12.2643	4.48739e-05	19.4192	7.27876	3.60461	2.719	8.84375e-05
35	8.10717e-05	0.000120381	1.07712e-05	5.91104e-06	1.32703e-06	1.41314e-06	2.99827e-05	7.65394e-07	0.000860527	0.0130312	2.23537e-06	0.000218593	1.13743e-09	4.87471e-10	8.02757e-09	4.00564e-07	1.20527e-05	9.32545e-08	0.00103244	0.0181401	2.72133e-06	1.21326e-09	9.29417e-08	6.53339e-09	1.62956e-09	6.1404e-05	2.80934e-06	8.64014e-07	0.00788584	0.0214324	0.0206144	0.00956467	4.41562e-09	0.0050081	8.22802e-06	0.0048365	12.274	3.06979e-05	19.4195	7.28704	3.60636	2.72004	6.12668e-05
36	5.61308e-05	8.30993e-05	7.43372e-06	4.06508e-06	9.13873e-07	9.85033e-07	2.08692e-05	5.27727e-07	0.000711976	0.0108588	1.54269e-06	0.000150067	6.2424e-10	2.67532e-10	4.41167e-09	2.34361e-07	7.59061e-06	5.87313e-08	0.000861867	0.0153525	1.87684e-06	6.65856e-10	5.37665e-08	3.60658e-09	8.99452e-10	4.32737e-05	1.97984e-06	5.20408e-07	0.0064567	0.0176035	0.0170314	0.00797898	2.54864e-09	0.0041415	5.72528e-06	0.00403075	12.2821	2.10648e-05	19.4197	7.29406	3.60779	2.72091	4.25257e-05
37	3.894e-05	5.74951e-05	5.14228e-06	2.80278e-06	6.30886e-07	6.87491e-07	1.45466e-05	3.64739e-07	0.000588114	0.00902625	1.06712e-06	0.000103308	3.42593e-10	1.46825e-10	2.42412e-09	1.37004e-07	4.77449e-06	3.69426e-08	0.000717662	0.0129521	1.29747e-06	3.65432e-10	3.10916e-08	1.99146e-09	4.96597e-10	3.04962e-05	1.39525e-06	3.13126e-07	0.0052865	0.0144504	0.0140516	0.00663986	1.47138e-09	0.00342485	3.98963e-06	0.00335111	12.2888	1.44954e-05	19.4198	7.29999	3.60896	2.72163	2.95683e-05
38	2.70624e-05	3.9862e-05	3.5646e-06	1.93697e-06	4.36494e-07	4.80366e-07	1.01524e-05	2.52637e-07	0.000485126	0.00748664	7.397e-07	7.12982e-05	1.8802e-10	8.058e-11	1.33182e-09	8.00273e-08	2.99969e-06	2.32105e-08	0.000596243	0.0108943	8.98857e-07	2.00555e-10	1.79728e-08	1.09995e-09	2.74254e-10	2.14912e-05	9.83258e-07	1.88221e-07	0.00432833	0.0118566	0.0115792	0.00551346	8.49592e-10	0.00283221	2.78377e-06	0.00278008	12.2944	1.00003e-05	19.4199	7.30499	3.60992	2.72222	2.05908e-05
39	1.88377e-05	2.76879e-05	2.47559e-06	1.34145e-06	3.02605e-07	3.35978e-07	7.09356e-06	1.75332e-07	0.0003997	0.00619784	5.13702e-07	4.93189e-05	1.03188e-10	4.42235e-11	7.31617e-10	4.67118e-08	1.88262e-06	1.45672e-08	0.000494383	0.0091379	6.23898e-07	1.10067e-10	1.03857e-08	6.07718e-10	1.51506e-10	1.51451e-05	6.92914e-07	1.13036e-07	0.00354381	0.00972465	0.00953208	0.00456934	4.90616e-10	0.00234212	1.94463e-06	0.002302	12.299	6.91522e-06	19.42	7.30918	3.6107	2.72271	1.43587e-05
40	1.31313e-05	1.92637e-05	1.72215e-06	9.30793e-07	2.10164e-07	2.35198e-07	4.9613e-06	1.21894e-07	0.000328985	0.00512244	3.5735e-07	3.41856e-05	5.66315e-11	2.42706e-11	4.01861e-10	2.7247e-08	1.18037e-06	9.13356e-09	0.000409208	0.00764487	4.33792e-07	6.04069e-11	5.99952e-09	3.35865e-10	8.37216e-11	1.06729e-05	4.88301e-07	6.78237e-08	0.00290147	0.0079735	0.00784011	0.00378048	2.83334e-10	0.00193684	1.35983e-06	0.001903	12.3029	4.79192e-06	19.42	7.3127	3.61135	2.72311	1.00251e-05
41	9.1651e-06	1.34224e-05	1.19981e-06	6.46963e-07	1.462e-07	1.64777e-07	3.47306e-06	8.48754e-08	0.000270551	0.00422759	2.48958e-07	2.37398e-05	3.10804e-11	1.33202e-11	2.20713e-10	1.58832e-08	7.39399e-07	5.72145e-09	0.000338188	0.0063806	3.02075e-07	3.31524e-11	3.46468e-09	1.8568e-10	4.62787e-11	7.52121e-06	3.44107e-07	4.06617e-08	0.00237555	0.00653597	0.00644374	0.00312319	1.63629e-10	0.00160169	9.51761e-07	0.0015709	12.306	3.32684e-06	19.4201	7.31564	3.61187	2.72345	7.00703e-06
42	6.40405e-06	9.36466e-06	8.37012e-07	4.50377e-07	1.01851e-07	1.15521e-07	2.43315e-06	5.91813e-08	0.000222335	0.00348479	1.73674e-07	1.65134e-05	1.70575e-11	7.31036e-12	1.21212e-10	9.25331e-09	4.62775e-07	3.58099e-09	0.00027912	0.00531387	2.10641e-07	1.81947e-11	2.00025e-09	1.02685e-10	2.55896e-11	5.3002e-06	2.42492e-07	2.43582e-08	0.00194495	0.00535647	0.00529278	0.00257685	9.44965e-11	0.00132453	6.66685e-07	0.00129515	12.3087	2.31361e-06	19.4201	7.31809	3.6123	2.72373	4.90227e-06
43	4.47924e-06	6.54125e-06	5.84605e-07	3.13959e-07	7.1048e-08	8.10383e-08	1.7058e-06	4.13165e-08	0.000182602	0.00286948	1.21299e-07	1.15037e-05	9.36152e-12	4.01208e-12	6.65624e-11	5.38787e-09	2.89414e-07	2.23953e-09	0.000230101	0.00441677	1.47062e-07	9.98562e-12	1.15448e-09	5.68059e-11	1.41544e-11	3.73504e-06	1.70884e-07	1.45807e-08	0.0015924	0.00438904	0.00434513	0.00212371	5.45694e-11	0.00109533	4.67328e-07	0.00106667	12.3108	1.61141e-06	19.4201	7.32012	3.61266	2.72396	3.43266e-06
44	3.13573e-06	4.57382e-06	4.08741e-07	2.19132e-07	4.96184e-08	5.68794e-08	1.19661e-06	2.88762e-08	0.000149892	0.00236069	8.48079e-08	8.0245e-06	5.13782e-12	2.20192e-12	3.655e-11	3.13554e-09	1.80864e-07	1.39957e-09	0.0001895	0.00366459	1.02785e-07	5.48034e-12	6.66154e-10	3.14363e-11	7.83187e-12	2.63206e-06	1.20421e-07	8.72173e-09	0.00130375	0.00359582	0.00356559	0.00174856	3.15102e-11	0.000905796	3.27791e-07	0.000877688	12.3126	1.12384e-06	19.4201	7.32182	3.61294	2.72415	2.40543e-06
45	2.19691e-06	3.20108e-06	2.86046e-07	1.53114e-07	3.46883e-08	3.99416e-08	8.39872e-07	2.02012e-08	0.000122989	0.00194063	5.93497e-08	5.60416e-06	2.81976e-12	1.20847e-12	2.00687e-11	1.82388e-09	1.12951e-07	8.74052e-10	0.000155928	0.00303565	7.19076e-08	3.00774e-12	3.84288e-10	1.74029e-11	4.33503e-12	1.8548e-06	8.48601e-08	5.2135e-09	0.00106742	0.0029456	0.00292481	0.00143847	1.81934e-11	0.000749056	2.30045e-07	0.000721626	12.3141	7.84745e-07	19.4201	7.32322	3.61318	2.7243	1.68672e-06
46	1.54023e-06	2.24216e-06	2.00346e-07	1.07091e-07	2.4273e-08	2.80594e-08	5.89767e-07	1.41446e-08	0.000100879	0.00159428	4.15679e-08	3.91795e-06	1.54755e-12	6.63235e-13	1.10187e-11	1.06043e-09	7.04943e-08	5.45513e-10	0.000128207	0.00251105	5.0349e-08	1.65072e-12	2.21635e-10	9.63758e-12	2.40035e-12	1.30706e-06	5.98003e-08	3.11439e-09	0.000873935	0.00241273	0.00239844	0.00118253	1.05033e-11	0.000619439	1.61525e-07	0.00059292	12.3153	5.48549e-07	19.4201	7.32438	3.61337	2.72443	1.18345e-06
47	1.0805e-06	1.57163e-06	1.40424e-07	7.49664e-08	1.69989e-08	1.97194e-08	4.14315e-07	9.91133e-09	8.27179e-05	0.00130903	2.91348e-08	2.74164e-06	8.49331e-13	3.63999e-13	6.04949e-12	6.16289e-10	4.39707e-08	3.40266e-10	0.000105347	0.00207445	3.52806e-08	9.05953e-13	1.27797e-10	5.3392e-12	1.32958e-12	9.21078e-07	4.21408e-08	1.85928e-09	0.000715519	0.00197609	0.00196629	0.000971528	6.06299e-12	0.000512251	1.13464e-07	0.000486894	12.3163	3.83807e-07	19.4201	7.32534	3.61353	2.72454	8.30772e-07
