Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[IR]	[ROS]	[basalROS]	[damDNA]	[E1]	[E2]	[E1_Ub]	[E2_Ub]	[Proteasome]	[Ub]	[p53DUB]	[Mdm2DUB]	[DUB]	[Mdm2_p53_Ub]	[Mdm2_p53_Ub2]	[Mdm2_p53_Ub3]	[Mdm2_p53_Ub4]	[Mdm2_P1_p53_Ub4]	[Mdm2_Ub]	[Mdm2_Ub2]	[Mdm2_Ub3]	[Mdm2_Ub4]	[Mdm2_P_Ub]	[Mdm2_P_Ub2]	[Mdm2_P_Ub3]	[Mdm2_P_Ub4]	[p53_Ub4_Proteasome]	[Mdm2_Ub4_Proteasome]	[Mdm2_P_Ub4_Proteasome]	[GSK3b]	[GSK3b_p53]	[GSK3b_p53_P]	[Abeta]	[AggAbeta_Proteasome]	[AggAbeta]	[AbetaPlaque]	[Tau]	[Tau_P1]	[Tau_P2]	[MT_Tau]	[AggTau]	[AggTau_Proteasome]	[Proteasome_Tau]	[PP1]	[NFT]	[ATP]	[ADP]	[AMP]	[Source]	[Sink]
10	4.76286	5.36731	94.1199	9.97616	10	9.98269e-09	200	1.44205e-11	1.30047e-07	0	-5.27375e-18	10	9.999e-08	10.312	50.2536	89.688	49.7464	500	3858.08	200	200	200	0.431619	0.33279	0.210635	0.0357986	0.150384	0.0032486	0.00149613	0.000504882	0.000167584	7.42872e-11	2.22404e-11	5.40516e-12	1.32021e-12	0.000195124	2.00466e-07	1.2302e-15	499.949	0.0513326	4.11491e-14	1.27189e-05	-2.61078e-15	-2.08988e-13	5.22155e-16	0.056321	0.00966264	0.00161423	99.9332	-4.20147e-09	-7.28453e-11	3.07618e-05	50	1.45691e-11	10000	1000	1000	1	0
11	4.73842	5.40357	93.906	9.9739	10	1.2077e-08	200	1.81459e-11	1.61808e-07	0	-7.73078e-18	10	1.09988e-07	9.56819	46.6714	90.4318	53.3286	500	3852.98	200	200	200	0.44709	0.376275	0.269843	0.0508236	0.259401	0.00356321	0.001899	0.00075683	0.000315003	1.04752e-10	3.63935e-11	1.04071e-11	3.13508e-12	0.000395892	4.32932e-07	3.32837e-15	499.943	0.0566096	5.72936e-14	1.5416e-05	-3.82335e-15	-2.78244e-13	7.64671e-16	0.0595336	0.0105175	0.00181937	99.929	-5.00036e-09	-9.58274e-11	3.60058e-05	50	1.91655e-11	10000	1000	1000	1	0
12	4.71399	5.43975	93.6768	9.97167	10	1.43701e-08	200	2.23451e-11	1.97007e-07	0	-1.09625e-17	10	1.19986e-07	8.9149	43.4721	91.0851	56.5279	499.999	3848.24	200	200	200	0.456313	0.40854	0.322725	0.0661524	0.407095	0.00382085	0.00229894	0.00105685	0.000541315	1.41391e-10	5.57021e-11	1.83167e-11	6.66982e-12	0.000724077	8.47524e-07	7.99529e-15	499.938	0.0619121	7.73628e-14	1.83772e-05	-5.41628e-15	-3.61341e-13	1.08326e-15	0.0624945	0.0113224	0.002017	99.9251	-5.85132e-09	-1.22936e-10	4.1493e-05	50	2.45871e-11	10000	1000	1000	1	0
13	4.68962	5.47587	93.4341	9.96946	10	1.6862e-08	200	2.70272e-11	2.35592e-07	0	-1.51178e-17	10	1.29983e-07	8.33444	40.6175	91.6656	59.3825	499.999	3843.82	200	200	200	0.461331	0.430899	0.366236	0.0805029	0.592578	0.00402535	0.00267848	0.00139235	0.000864135	1.84174e-10	8.07213e-11	2.99458e-11	1.29624e-11	0.0012177	1.52993e-06	1.74083e-14	499.933	0.06724	1.01827e-13	2.16039e-05	-7.46194e-15	-4.59545e-13	1.49239e-15	0.0652257	0.0120798	0.0022067	99.9215	-6.75058e-09	-1.54421e-10	4.7198e-05	50	3.08842e-11	10000	1000	1000	1	0
14	4.66536	5.51191	93.1796	9.96727	10	1.95525e-08	200	3.22007e-11	2.7751e-07	0	-2.0359e-17	10	1.3998e-07	7.8152	38.0696	92.1848	61.9304	499.998	3839.68	200	200	200	0.463669	0.445409	0.399556	0.0930453	0.812256	0.0041828	0.00302494	0.00174808	0.00129759	2.32977e-10	1.11819e-10	4.60519e-11	2.33629e-11	0.0019123	2.58089e-06	3.4911e-14	499.927	0.0725933	1.31163e-13	2.50973e-05	-1.0039e-14	-5.74122e-13	2.0078e-15	0.0677465	0.0127926	0.00238841	99.9181	-7.69465e-09	-1.90516e-10	5.30976e-05	50	3.81032e-11	10000	1000	1000	1	0
15	4.64124	5.54789	92.9148	9.9651	10	2.24416e-08	200	3.78741e-11	3.22707e-07	0	-2.68619e-17	10	1.49978e-07	7.34881	35.7929	92.6512	64.2071	499.997	3835.8	200	200	200	0.46437	0.454182	0.423468	0.103438	1.06105	0.00430025	0.00333062	0.00210846	0.00185111	2.87628e-10	1.49188e-10	6.7285e-11	3.9523e-11	0.0028389	4.11195e-06	6.53098e-14	499.922	0.0779719	1.65857e-13	2.88586e-05	-1.32325e-14	-7.06341e-13	2.64651e-15	0.0700742	0.0134636	0.00256225	99.915	-8.68023e-09	-2.31436e-10	5.91705e-05	50	4.62873e-11	10000	1000	1000	1	0
16	4.6173	5.58379	92.6408	9.96296	10	2.55291e-08	200	4.40557e-11	3.7113e-07	0	-3.48159e-17	10	1.59974e-07	6.92882	33.7555	93.0712	66.2445	499.996	3832.16	200	200	200	0.464104	0.459021	0.439598	0.111719	1.33352	0.00438473	0.00359222	0.00245942	0.00252906	3.47929e-10	1.92877e-10	9.41552e-11	6.33626e-11	0.00402307	6.2404e-06	1.15143e-13	499.917	0.0833755	2.06402e-13	3.28891e-05	-1.71339e-14	-8.57473e-13	3.42679e-15	0.0722243	0.0140954	0.00272851	99.9122	-9.70429e-09	-2.77382e-10	6.53972e-05	50	5.54765e-11	10000	1000	1000	1	0
17	4.59357	5.61964	92.3589	9.96084	10	2.8815e-08	200	5.07537e-11	4.22727e-07	0	-4.4424e-17	10	1.69971e-07	6.54991	31.9292	93.4501	68.0708	499.994	3828.72	200	200	200	0.46328	0.461299	0.449797	0.118147	1.62463	0.00444277	0.00380989	0.00278956	0.00333088	4.13681e-10	2.42823e-10	1.2702e-10	9.70228e-11	0.005485	9.08418e-06	1.9291e-13	499.911	0.088804	2.53296e-13	3.719e-05	-2.18408e-14	-1.02879e-12	4.36819e-15	0.0742109	0.0146907	0.00288752	99.9095	-1.0764e-08	-3.28538e-10	7.17599e-05	50	6.57078e-11	10000	1000	1000	1	0
18	4.57007	5.65542	92.0699	9.95875	10	3.22991e-08	200	5.79762e-11	4.77448e-07	0	-5.59029e-17	10	1.79968e-07	6.20762	30.2899	93.7924	69.7101	499.993	3825.46	200	200	200	0.46214	0.461978	0.455759	0.123071	1.93013	0.00448007	0.00398624	0.00309069	0.00425186	4.84692e-10	2.98886e-10	1.66092e-10	1.42811e-10	0.00724019	1.27574e-05	3.09242e-13	499.906	0.0942575	3.07048e-13	4.17625e-05	-2.74574e-14	-1.22155e-12	5.49151e-15	0.0760469	0.0152521	0.00303966	99.907	-1.18567e-08	-3.85076e-10	7.82422e-05	50	7.70155e-11	10000	1000	1000	1	0
19	4.54681	5.69113	91.7749	9.95667	10	3.59814e-08	200	6.57315e-11	5.35245e-07	0	-6.94833e-17	10	1.89964e-07	5.89811	28.8167	94.1019	71.1833	499.991	3822.38	200	200	200	0.460818	0.461691	0.458848	0.126831	2.24663	0.00450141	0.00412534	0.0033578	0.00528404	5.60782e-10	3.60877e-10	2.11451e-10	2.03144e-10	0.00930025	1.73666e-05	4.77021e-13	499.9	0.0997357	3.68171e-13	4.66078e-05	-3.40941e-14	-1.43705e-12	6.81887e-15	0.077744	0.0157818	0.00318535	99.9047	-1.29801e-08	-4.47155e-10	8.4829e-05	50	8.94315e-11	10000	1000	1000	1	0
20	4.52382	5.72678	91.4746	9.95462	10	3.98617e-08	200	7.40274e-11	5.9607e-07	0	-8.54095e-17	10	1.9996e-07	5.61805	27.4915	94.382	72.5085	499.988	3819.45	200	200	200	0.459391	0.460836	0.460072	0.129719	2.57158	0.00451069	0.00423201	0.00358875	0.00641729	6.41792e-10	4.28584e-10	2.63074e-10	2.80499e-10	0.0116738	2.30082e-05	7.11439e-13	499.895	0.105238	4.37187e-13	5.17272e-05	-4.18676e-14	-1.67654e-12	8.37361e-15	0.0793129	0.0162822	0.00332498	99.9026	-1.41319e-08	-5.14922e-10	9.15066e-05	50	1.02985e-10	10000	1000	1000	1	0
21	4.50109	5.76237	91.1696	9.95259	10	4.39399e-08	200	8.28721e-11	6.59877e-07	0	-1.0394e-16	10	2.09956e-07	5.36451	26.2985	94.6355	73.7015	499.986	3816.65	200	200	200	0.457901	0.459655	0.46013	0.131962	2.90306	0.00451099	0.00431124	0.00378366	0.0076402	7.27577e-10	5.01787e-10	3.20854e-10	3.77365e-10	0.0143673	2.97668e-05	1.03001e-12	499.889	0.110766	5.14623e-13	5.71217e-05	-5.09012e-14	-1.9413e-12	1.01804e-14	0.0807634	0.0167554	0.00345896	99.9006	-1.531e-08	-5.88514e-10	9.82622e-05	50	1.17704e-10	10000	1000	1000	1	0
22	4.47865	5.79789	90.8607	9.95058	10	4.82159e-08	200	9.22735e-11	7.26623e-07	0	-1.25347e-16	10	2.19952e-07	5.13492	25.2238	94.8651	74.7762	499.982	3813.98	200	200	200	0.456371	0.458286	0.459478	0.133725	3.23965	0.00450472	0.00436778	0.00394435	0.00894099	8.18009e-10	5.80273e-10	3.84631e-10	4.9621e-10	0.0173853	3.77147e-05	1.45254e-12	499.884	0.116318	6.01015e-13	6.27927e-05	-6.13243e-14	-2.23262e-12	1.22651e-14	0.0821047	0.0172032	0.00358767	99.8988	-1.65125e-08	-6.68058e-10	0.000105084	50	1.33613e-10	10000	1000	1000	1	0
23	4.45649	5.83336	90.5483	9.9486	10	5.26897e-08	200	1.0224e-10	7.96265e-07	0	-1.49917e-16	10	2.29947e-07	4.92697	24.2552	95.073	75.7448	499.979	3811.43	200	200	200	0.454813	0.45681	0.458407	0.135126	3.5803	0.00449373	0.00440596	0.00407373	0.0103081	9.12974e-10	6.63841e-10	4.5421e-10	6.39451e-10	0.0207314	4.69118e-05	2.00106e-12	499.878	0.121894	6.96905e-13	6.87413e-05	-7.32729e-14	-2.55176e-12	1.46549e-14	0.0833451	0.0176275	0.00371146	99.897	-1.77377e-08	-7.53671e-10	0.000111962	50	1.50737e-10	10000	1000	1000	1	0
24	4.43462	5.86876	90.2329	9.94664	10	5.73611e-08	200	1.12778e-10	8.68763e-07	0	-1.7795e-16	10	2.39942e-07	4.73861	23.3817	95.2614	76.6183	499.975	3808.97	200	200	200	0.453235	0.455271	0.45709	0.136246	3.92419	0.00447939	0.00442955	0.00417534	0.0117306	1.01237e-09	7.52306e-10	5.29378e-10	8.09441e-10	0.0244081	5.74059e-05	2.69978e-12	499.873	0.127494	8.02841e-13	7.49687e-05	-8.68893e-14	-2.9e-12	1.73783e-14	0.0844923	0.0180301	0.0038307	99.8954	-1.89839e-08	-8.45462e-10	0.000118885	50	1.69096e-10	10000	1000	1000	1	0
25	4.41305	5.9041	89.9151	9.9447	10	6.223e-08	200	1.23897e-10	9.44077e-07	0	-2.09762e-16	10	2.49938e-07	4.56799	22.5935	95.432	77.4065	499.971	3806.61	200	200	200	0.451642	0.453695	0.455633	0.137141	4.27068	0.00446274	0.00444174	0.00425293	0.0131986	1.11612e-09	8.45504e-10	6.09923e-10	1.00845e-09	0.0284172	6.92344e-05	3.57495e-12	499.867	0.133118	9.19379e-13	8.14761e-05	-1.02322e-13	-3.27862e-12	2.0465e-14	0.0855533	0.0184124	0.00394571	99.894	-2.02497e-08	-9.43534e-10	0.000125845	50	1.88711e-10	10000	1000	1000	1	0
26	4.39178	5.93937	89.5952	9.94279	10	6.72963e-08	200	1.35604e-10	1.02217e-06	0	-2.45681e-16	10	2.59932e-07	4.41342	21.882	95.5866	78.118	499.967	3804.33	200	200	200	0.450037	0.452096	0.454093	0.137851	4.61927	0.00444453	0.00444515	0.00431019	0.0147033	1.22412e-09	9.43288e-10	6.95635e-10	1.23867e-09	0.0327599	8.24245e-05	4.65478e-12	499.861	0.138766	1.04708e-12	8.82646e-05	-1.19726e-13	-3.68889e-12	2.3946e-14	0.0865346	0.018776	0.0040568	99.8926	-2.15337e-08	-1.04798e-09	0.000132834	50	2.09601e-10	10000	1000	1000	1	0
27	4.37082	5.97459	89.2735	9.94089	10	7.256e-08	200	1.47908e-10	1.10301e-06	0	-2.86051e-16	10	2.69927e-07	4.27339	21.2392	95.7266	78.7608	499.962	3802.13	200	200	200	0.448423	0.450481	0.452507	0.138406	4.96951	0.00442531	0.00444191	0.00435059	0.016237	1.33632e-09	1.04553e-09	7.8632e-10	1.50221e-09	0.0374369	9.69954e-05	5.96936e-12	499.856	0.144438	1.18651e-12	9.53355e-05	-1.39263e-13	-4.1321e-12	2.78538e-14	0.0874424	0.0191222	0.00416426	99.8913	-2.28345e-08	-1.15888e-09	0.000139843	50	2.31784e-10	10000	1000	1000	1	0
28	4.35016	6.00975	88.9505	9.93902	10	7.80208e-08	200	1.60815e-10	1.18655e-06	0	-3.3123e-16	10	2.79922e-07	4.14649	20.658	95.8535	79.342	499.957	3800	200	200	200	0.446801	0.448855	0.450893	0.138827	5.32104	0.00440549	0.00443372	0.00437723	0.0177932	1.45264e-09	1.15212e-09	8.81798e-10	1.80108e-09	0.0424486	0.000112959	7.55047e-12	499.85	0.150134	1.33826e-12	0.00010269	-1.61101e-13	-4.60953e-12	3.22217e-14	0.0882821	0.0194522	0.00426835	99.8901	-2.41511e-08	-1.27633e-09	0.000146866	50	2.55276e-10	10000	1000	1000	1	0
29	4.32981	6.04484	88.6262	9.93717	10	8.36788e-08	200	1.74333e-10	1.27277e-06	0	-3.8159e-16	10	2.89916e-07	4.03149	20.1321	95.9685	79.8679	499.952	3797.93	200	200	200	0.445173	0.447222	0.449263	0.139132	5.67354	0.00438535	0.00442188	0.00439283	0.0193664	1.57304e-09	1.26295e-09	9.81908e-10	2.13724e-09	0.047795	0.000130321	9.43162e-12	499.844	0.155854	1.50289e-12	0.000110329	-1.85414e-13	-5.12245e-12	3.70846e-14	0.0890589	0.0197673	0.00436934	99.889	-2.54823e-08	-1.4004e-09	0.000153896	50	2.80091e-10	10000	1000	1000	1	0
30	4.30978	6.07987	88.3011	9.93535	10	8.95338e-08	200	1.88471e-10	1.36163e-06	0	-4.37518e-16	10	2.9991e-07	3.92721	19.6558	96.0728	80.3442	499.946	3795.92	200	200	200	0.44354	0.445583	0.447622	0.139334	6.02673	0.0043651	0.00440741	0.00439969	0.020952	1.69744e-09	1.37794e-09	1.08651e-09	2.51255e-09	0.0534758	0.000149081	1.16478e-11	499.838	0.161597	1.681e-12	0.000118253	-2.12382e-13	-5.67214e-12	4.24788e-14	0.0897775	0.0200685	0.00446747	99.8879	-2.68271e-08	-1.53115e-09	0.000160928	50	3.06245e-10	10000	1000	1000	1	0
31	4.29006	6.11484	87.9754	9.93354	10	9.55856e-08	200	2.03236e-10	1.45311e-06	0	-4.99417e-16	10	3.09904e-07	3.83263	19.224	96.1674	80.776	499.94	3793.95	200	200	200	0.441904	0.44394	0.445975	0.139446	6.38037	0.00434486	0.0043911	0.00439973	0.0225463	1.82581e-09	1.49702e-09	1.19547e-09	2.92883e-09	0.0594905	0.000169237	1.42356e-11	499.833	0.167363	1.87319e-12	0.000126465	-2.42193e-13	-6.2599e-12	4.84416e-14	0.0904423	0.0203568	0.00456295	99.8869	-2.81846e-08	-1.66866e-09	0.000167956	50	3.33749e-10	10000	1000	1000	1	0
32	4.27065	6.14975	87.6491	9.93176	10	1.01834e-07	200	2.18635e-10	1.54718e-06	0	-5.67701e-16	10	3.19898e-07	3.74679	18.832	96.2532	81.168	499.934	3792.04	200	200	200	0.440265	0.442294	0.444323	0.139478	6.73424	0.00432475	0.00437352	0.00439453	0.0241463	1.95809e-09	1.62012e-09	1.30869e-09	3.38783e-09	0.0658381	0.000190781	1.72329e-11	499.827	0.173153	2.08005e-12	0.000134965	-2.75039e-13	-6.88699e-12	5.50117e-14	0.0910574	0.0206333	0.00465599	99.886	-2.95539e-08	-1.81298e-09	0.000174976	50	3.62618e-10	10000	1000	1000	1	0
33	4.25155	6.18459	87.3226	9.93	10	1.0828e-07	200	2.34677e-10	1.6438e-06	0	-6.42804e-16	10	3.29891e-07	3.66883	18.4757	96.3312	81.5243	499.927	3790.17	200	200	200	0.438626	0.440647	0.442669	0.13944	7.08814	0.00430483	0.00435512	0.00438535	0.0257494	2.09425e-09	1.74718e-09	1.42606e-09	3.89124e-09	0.0725179	0.000213704	2.06791e-11	499.821	0.178966	2.30219e-12	0.000143754	-3.11121e-13	-7.55471e-12	6.22292e-14	0.0916264	0.0208986	0.00474679	99.8852	-3.09342e-08	-1.96418e-09	0.000181982	50	3.92861e-10	10000	1000	1000	1	0
34	4.23277	6.21938	86.996	9.92827	10	1.14922e-07	200	2.51367e-10	1.74296e-06	0	-7.25169e-16	10	3.39884e-07	3.59798	18.1514	96.402	81.8486	499.92	3788.33	200	200	200	0.436985	0.438999	0.441014	0.139338	7.44192	0.00428515	0.00433622	0.0043732	0.0273537	2.23424e-09	1.87814e-09	1.54751e-09	4.44072e-09	0.0795285	0.000237994	2.46144e-11	499.815	0.184802	2.54023e-12	0.000152833	-3.50645e-13	-8.26432e-12	7.01351e-14	0.0921529	0.0211537	0.00483552	99.8844	-3.23249e-08	-2.1223e-09	0.00018897	50	4.2449e-10	10000	1000	1000	1	0
35	4.2143	6.2541	86.6695	9.92655	10	1.2176e-07	200	2.68716e-10	1.84463e-06	0	-8.15259e-16	10	3.49878e-07	3.53352	17.8558	96.4665	82.1442	499.913	3786.53	200	200	200	0.435344	0.437351	0.439358	0.139181	7.7954	0.00426574	0.00431707	0.00435889	0.0289576	2.37803e-09	2.01296e-09	1.67296e-09	5.03787e-09	0.0868687	0.000263638	2.90809e-11	499.809	0.190661	2.79478e-12	0.000162204	-3.93823e-13	-9.01713e-12	7.87722e-14	0.09264	0.0213994	0.00492236	99.8836	-3.37252e-08	-2.28739e-09	0.000195938	50	4.57514e-10	10000	1000	1000	1	0
36	4.19614	6.28875	86.343	9.92486	10	1.28795e-07	200	2.86728e-10	1.94878e-06	0	-9.13549e-16	10	3.5987e-07	3.4748	17.5858	96.5252	82.4142	499.905	3784.77	200	200	200	0.433704	0.435703	0.437703	0.138974	8.14846	0.00424662	0.00429782	0.00434303	0.0305597	2.52557e-09	2.1516e-09	1.80234e-09	5.68426e-09	0.0945369	0.000290621	3.41213e-11	499.803	0.196542	3.06648e-12	0.000171867	-4.40875e-13	-9.81441e-12	8.81842e-14	0.0930906	0.0216362	0.00500746	99.8829	-3.51346e-08	-2.45951e-09	0.00020288	50	4.91943e-10	10000	1000	1000	1	0
37	4.1783	6.32335	86.0169	9.92319	10	1.36026e-07	200	3.05413e-10	2.05541e-06	0	-1.02053e-15	10	3.69863e-07	3.42126	17.3389	96.5787	82.6611	499.897	3783.03	200	200	200	0.432066	0.434057	0.436049	0.138724	8.50098	0.00422781	0.00427862	0.0043261	0.0321592	2.67685e-09	2.29402e-09	1.93561e-09	6.38145e-09	0.102532	0.000318928	3.97797e-11	499.798	0.202447	3.35596e-12	0.000181824	-4.92025e-13	-1.06574e-11	9.84163e-14	0.0935075	0.0218649	0.00509097	99.8823	-3.65524e-08	-2.63869e-09	0.000209796	50	5.27786e-10	10000	1000	1000	1	0
38	4.16077	6.35788	85.6911	9.92155	10	1.43453e-07	200	3.24777e-10	2.16448e-06	0	-1.13671e-15	10	3.79856e-07	3.37238	17.1126	96.6276	82.8874	499.889	3781.32	200	200	200	0.430429	0.432412	0.434397	0.138434	8.85285	0.0042093	0.00425954	0.00430846	0.0337552	2.83182e-09	2.44018e-09	2.0727e-09	7.13094e-09	0.110851	0.000348542	4.61012e-11	499.792	0.208374	3.66385e-12	0.000192076	-5.47505e-13	-1.15475e-11	1.09515e-13	0.0938932	0.022086	0.00517303	99.8816	-3.79781e-08	-2.82497e-09	0.00021668	50	5.65051e-10	10000	1000	1000	1	0
