Time	[receptors]	[R-Smad_cyt]	[R-Smad-P_cyt]	[Smad4_cyt]	[R-Smad-P-Smad4_cyt]	[R-Smad-P-Smad4_nuc]	[R-Smad_nuc]	[R-Smad-P_nuc]	[Smad4_nuc]	[Pi]
72	5043.96	62948.4	1269.45	38690.3	191.904	106290	6925.37	2375.25	4828.17	242051
73	4999.28	63332.8	1251.31	39095	191.141	105896	6962	2366.87	4818	245632
74	4955.09	63719.3	1233.5	39502.3	190.383	105500	6998.81	2358.42	4807.73	249204
75	4911.38	64107.6	1216.01	39912	189.63	105101	7035.81	2349.93	4797.37	252765
76	4868.16	64497.7	1198.84	40324	188.882	104700	7072.97	2341.38	4786.94	256316
77	4825.42	64889.5	1181.98	40738.1	188.137	104297	7110.29	2332.79	4776.43	259857
78	4783.15	65282.7	1165.42	41154.2	187.397	103893	7147.74	2324.16	4765.84	263387
79	4741.35	65677.4	1149.16	41572.2	186.66	103486	7185.33	2315.48	4755.18	266907
80	4700.01	66073.4	1133.21	41991.9	185.926	103078	7223.04	2306.76	4744.45	270416
81	4659.13	66470.5	1117.54	42413.3	185.196	102668	7260.86	2298.01	4733.65	273915
82	4618.69	66868.8	1102.16	42836.2	184.468	102257	7298.78	2289.23	4722.79	277403
83	4578.71	67268.1	1087.07	43260.5	183.744	101844	7336.79	2280.41	4711.87	280881
84	4539.17	67668.3	1072.25	43686.1	183.022	101430	7374.89	2271.57	4700.89	284348
85	4500.06	68069.3	1057.7	44112.9	182.303	101015	7413.06	2262.69	4689.85	287804
86	4461.39	68471.1	1043.42	44540.9	181.586	100599	7451.31	2253.79	4678.76	291249
87	4423.14	68873.6	1029.4	44969.9	180.872	100182	7489.61	2244.87	4667.62	294684
88	4385.31	69276.7	1015.63	45399.8	180.159	99763.6	7527.97	2235.93	4656.42	298107
89	4347.91	69680.4	1002.12	45830.6	179.45	99344.7	7566.38	2226.96	4645.18	301520
90	4310.91	70084.5	988.856	46262.3	178.742	98925.1	7604.83	2217.98	4633.89	304922
91	4274.33	70489.1	975.832	46694.6	178.036	98504.8	7643.32	2208.98	4622.55	308312
92	4238.15	70894	963.044	47127.7	177.332	98083.8	7681.84	2199.97	4611.18	311692
93	4202.37	71299.2	950.487	47561.3	176.631	97662.4	7720.38	2190.94	4599.76	315060
94	4166.99	71704.7	938.158	47995.4	175.931	97240.4	7758.94	2181.89	4588.3	318417
95	4131.99	72110.3	926.051	48429.9	175.233	96818	7797.52	2172.84	4576.8	321763
96	4097.38	72516.1	914.162	48864.9	174.537	96395.3	7836.1	2163.78	4565.26	325098
97	4063.16	72922	902.487	49300.2	173.843	95972.3	7874.69	2154.71	4553.69	328422
98	4029.31	73327.9	891.02	49735.7	173.15	95549	7913.28	2145.63	4542.08	331734
99	3995.84	73733.8	879.758	50171.5	172.46	95125.6	7951.86	2136.54	4530.45	335035
100	3962.74	74139.6	868.696	50607.4	171.771	94702	7990.43	2127.45	4518.78	338325
