Time	[ADP]	[ATP]	[H+{"mitochondrial matrix"}]	[H+{cytoplasm}]	[NAD(+)]	[NADH]	[acetyl-CoA]	[alpha-ketoglutarate]	[citrate]	[oxaloacetate]	[oxygen]	[phosphate]	[pyruvate]	[water]	Values[DeltaPsi]
75	0.913582	3.24642	1	1	0.937281	0.132719	0.067535	0.256931	0.400555	0.00513422	1	2.44	0.139544	1	150.413
76	0.914172	3.24583	1	1	0.937444	0.132556	0.0676015	0.25666	0.400473	0.00513027	1	2.44	0.139543	1	150.393
77	0.914751	3.24525	1	1	0.937603	0.132397	0.067667	0.256395	0.400396	0.00512639	1	2.44	0.139542	1	150.373
78	0.915319	3.24468	1	1	0.937757	0.132243	0.0677316	0.256136	0.400323	0.00512259	1	2.44	0.139541	1	150.354
79	0.915876	3.24412	1	1	0.937908	0.132092	0.0677951	0.255882	0.400255	0.00511885	1	2.44	0.139541	1	150.335
80	0.916421	3.24358	1	1	0.938054	0.131946	0.0678576	0.255635	0.400191	0.00511519	1	2.44	0.13954	1	150.317
81	0.916956	3.24304	1	1	0.938196	0.131804	0.067919	0.255393	0.400131	0.00511161	1	2.44	0.139539	1	150.299
82	0.917479	3.24252	1	1	0.938335	0.131665	0.0679793	0.255157	0.400075	0.00510809	1	2.44	0.139539	1	150.282
83	0.91799	3.24201	1	1	0.938469	0.131531	0.0680385	0.254926	0.400022	0.00510465	1	2.44	0.139539	1	150.265
84	0.918491	3.24151	1	1	0.9386	0.1314	0.0680966	0.254702	0.399974	0.00510129	1	2.44	0.139539	1	150.249
85	0.91898	3.24102	1	1	0.938727	0.131273	0.0681536	0.254483	0.399928	0.005098	1	2.44	0.139538	1	150.233
86	0.919457	3.24054	1	1	0.93885	0.13115	0.0682095	0.25427	0.399886	0.00509478	1	2.44	0.139538	1	150.218
87	0.919923	3.24008	1	1	0.93897	0.13103	0.0682642	0.254062	0.399847	0.00509164	1	2.44	0.139538	1	150.202
88	0.920378	3.23962	1	1	0.939086	0.130914	0.0683178	0.25386	0.399812	0.00508857	1	2.44	0.139538	1	150.188
89	0.920822	3.23918	1	1	0.939199	0.130801	0.0683702	0.253663	0.399779	0.00508557	1	2.44	0.139538	1	150.173
90	0.921254	3.23875	1	1	0.939308	0.130692	0.0684215	0.253472	0.399748	0.00508265	1	2.44	0.139539	1	150.16
91	0.921676	3.23832	1	1	0.939413	0.130587	0.0684717	0.253286	0.399721	0.0050798	1	2.44	0.139539	1	150.146
92	0.922086	3.23791	1	1	0.939516	0.130484	0.0685207	0.253106	0.399696	0.00507702	1	2.44	0.139539	1	150.133
93	0.922485	3.23751	1	1	0.939615	0.130385	0.0685686	0.25293	0.399673	0.00507432	1	2.44	0.139539	1	150.12
94	0.922874	3.23713	1	1	0.939711	0.130289	0.0686153	0.25276	0.399652	0.00507168	1	2.44	0.13954	1	150.108
95	0.923252	3.23675	1	1	0.939804	0.130196	0.0686609	0.252595	0.399634	0.00506912	1	2.44	0.13954	1	150.096
96	0.923619	3.23638	1	1	0.939893	0.130107	0.0687054	0.252435	0.399618	0.00506662	1	2.44	0.139541	1	150.085
97	0.923976	3.23602	1	1	0.93998	0.13002	0.0687488	0.252279	0.399603	0.0050642	1	2.44	0.139541	1	150.073
98	0.924322	3.23568	1	1	0.940064	0.129936	0.068791	0.252129	0.399591	0.00506184	1	2.44	0.139542	1	150.063
99	0.924659	3.23534	1	1	0.940145	0.129855	0.0688322	0.251983	0.39958	0.00505954	1	2.44	0.139542	1	150.052
100	0.924985	3.23502	1	1	0.940223	0.129777	0.0688722	0.251842	0.399571	0.00505732	1	2.44	0.139543	1	150.042
