Time	[PPase]	[Smad2_n]	[pSmad2_n]	[GFP-Smad2_n]	[pGFP-Smad2_n]	[pSmad2/pSmad2_n]	[pSmad2/Smad4_n]	[Smad4_n]	[pGFP-Smad2/pSmad2_n]	[pGFP-Smad2/Smad4_n]	[pGFP-Smad2/pGFP_Smad2_n]	[pSmad2/pSmad2_c]	[pSmad2/Smad4_c]	[Smad4_c]	[Smad2_c]	[pSmad2_c]	[GFP-Smad2_c]	[pGFP-Smad2_c]	[pGFP-Smad2/pSmad2_c]	[pGFP-Smad2/Smad4_c]	[pGFP-Smad2/pGFP-Smad2_c]	[TGFb_c]	[R_act]	[R]	[R_inact]	[SB-431542]
26	1	28.5132	0.000893658	28.5132	0.000893658	7.03251e-07	0.00418601	50.7791	7.03251e-07	0.00418601	7.03251e-07	4.32267e-06	0.015824	50.7465	60.5518	0.0207346	60.5518	0.0207346	4.32267e-06	0.015824	4.32267e-06	0.066	0.119608	0.880392	0	0
27	1	28.513	0.000985955	28.513	0.000985955	8.49334e-07	0.0047592	50.7789	8.49334e-07	0.0047592	8.49334e-07	5.01616e-06	0.0173047	50.7432	60.5489	0.0219321	60.5489	0.0219321	5.01616e-06	0.0173047	5.01616e-06	0.066	0.123911	0.876089	0	0
28	1	28.5128	0.00108425	28.5128	0.00108425	1.01782e-06	0.00538262	50.7786	1.01782e-06	0.00538262	1.01782e-06	5.78432e-06	0.0188511	50.7396	60.5459	0.0231435	60.5459	0.0231435	5.78432e-06	0.0188511	5.78432e-06	0.066	0.128193	0.871807	0	0
29	1	28.5126	0.00118875	28.5126	0.00118875	1.21097e-06	0.00605822	50.7783	1.21097e-06	0.00605822	1.21097e-06	6.63132e-06	0.0204622	50.7359	60.5428	0.0243681	60.5428	0.0243681	6.63132e-06	0.0204622	6.63132e-06	0.066	0.132454	0.867546	0	0
30	1	28.5124	0.00129968	28.5124	0.00129968	1.43116e-06	0.00678792	50.778	1.43116e-06	0.00678792	1.43116e-06	7.56129e-06	0.0221375	50.7321	60.5396	0.025605	60.5396	0.025605	7.56129e-06	0.0221375	7.56129e-06	0.066	0.136694	0.863306	0	0
31	1	28.5121	0.00141725	28.5121	0.00141725	1.68088e-06	0.00757357	50.7777	1.68088e-06	0.00757357	1.68088e-06	8.57835e-06	0.0238759	50.728	60.5364	0.0268537	60.5364	0.0268537	8.57835e-06	0.0238759	8.57835e-06	0.066	0.140914	0.859086	0	0
32	1	28.5118	0.00154168	28.5118	0.00154168	1.96271e-06	0.00841701	50.7774	1.96271e-06	0.00841701	1.96271e-06	9.6866e-06	0.0256766	50.7238	60.533	0.0281137	60.533	0.0281137	9.6866e-06	0.0256766	9.6866e-06	0.066	0.145113	0.854887	0	0
33	1	28.5116	0.0016732	28.5116	0.0016732	2.27934e-06	0.00932003	50.7771	2.27934e-06	0.00932003	2.27934e-06	1.08901e-05	0.0275387	50.7195	60.5295	0.0293844	60.5295	0.0293844	1.08901e-05	0.0275387	1.08901e-05	0.066	0.149291	0.850709	0	0
34	1	28.5113	0.00181202	28.5113	0.00181202	2.63359e-06	0.0102844	50.7767	2.63359e-06	0.0102844	2.63359e-06	1.21929e-05	0.0294613	50.7149	60.526	0.0306653	60.526	0.0306653	1.21929e-05	0.0294613	1.21929e-05	0.066	0.153449	0.846551	0	0
35	1	28.5109	0.00195836	28.5109	0.00195836	3.02834e-06	0.0113118	50.7763	3.02834e-06	0.0113118	3.02834e-06	1.35991e-05	0.0314434	50.7102	60.5223	0.0319559	60.5223	0.0319559	1.35991e-05	0.0314434	1.35991e-05	0.066	0.157586	0.842414	0	0
36	1	28.5106	0.00211246	28.5106	0.00211246	3.46661e-06	0.0124039	50.7759	3.46661e-06	0.0124039	3.46661e-06	1.51125e-05	0.033484	50.7054	60.5186	0.0332559	60.5186	0.0332559	1.51125e-05	0.033484	1.51125e-05	0.066	0.161704	0.838296	0	0
37	1	28.5102	0.00227452	28.5102	0.00227452	3.95149e-06	0.0135624	50.7755	3.95149e-06	0.0135624	3.95149e-06	1.67372e-05	0.0355822	50.7003	60.5147	0.0345648	60.5147	0.0345648	1.67372e-05	0.0355822	1.67372e-05	0.066	0.165801	0.834199	0	0
38	1	28.5099	0.00244477	28.5099	0.00244477	4.48618e-06	0.0147889	50.775	4.48618e-06	0.0147889	4.48618e-06	1.8477e-05	0.037737	50.6951	60.5108	0.0358822	60.5108	0.0358822	1.8477e-05	0.037737	1.8477e-05	0.066	0.169878	0.830122	0	0
