Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
20	5	0.346753	0.11163	0.111723	4.9462	0.0885902	2.5661	0.95631	1.08983	1.43857	4.16869	0.422135	0.9	0	1	3.61277	1.95272	3.47712	0.000363892	0	0.0166743	0.00054054	0.0120659	13.1245	0.01	0.123991	0.203461	0.01	0.203159	5	0.522878	0.387226	1.59329	0	3.94766	9.56936	0.116916	0	0.367554	0	0.0538039	19.0307	0.00139944	0.0124458	0.00588102	0.996436	4.9551	1145.37	0.508706	0.0523399
21	5	0.347086	0.112032	0.112125	4.94619	0.0882244	2.56658	0.954539	1.09196	1.43784	4.17573	0.422976	0.9	0	1	3.61276	1.95441	3.47709	0.000363924	0	0.0166745	0.000540554	0.0120665	13.2654	0.01	0.124101	0.204775	0.01	0.204474	5	0.522907	0.38724	1.59573	0	3.94768	9.56932	0.116938	0	0.367555	0	0.0538076	19.0351	0.00139946	0.0124455	0.00588137	0.997114	4.95724	1147.2	0.507748	0.0523223
22	5	0.347354	0.112387	0.11248	4.94618	0.0879066	2.56693	0.952997	1.09379	1.43724	4.18138	0.423699	0.9	0	1	3.61275	1.9558	3.47707	0.000363951	0	0.0166746	0.000540566	0.0120669	13.3903	0.01	0.124184	0.205934	0.01	0.205632	5	0.522931	0.387252	1.59767	0	3.94769	9.56878	0.116954	0	0.367555	0	0.053815	19.04	0.00139948	0.0124452	0.00588168	0.99766	4.9591	1148.67	0.506964	0.0523099
23	5	0.347569	0.112701	0.112793	4.94618	0.0876298	2.56717	0.951651	1.09537	1.43675	4.1859	0.42432	0.9	0	1	3.61274	1.95693	3.47705	0.000363974	0	0.0166748	0.000540576	0.0120673	13.501	0.01	0.124246	0.206956	0.01	0.206655	5	0.522952	0.387263	1.59922	0	3.9477	9.56789	0.116965	0	0.367555	0	0.0538248	19.0451	0.00139949	0.012445	0.00588194	0.998101	4.96072	1149.85	0.506321	0.0523013
24	5	0.347742	0.112978	0.11307	4.94616	0.0873881	2.56733	0.950474	1.09673	1.43634	4.18951	0.424856	0.9	0	1	3.61273	1.95787	3.47703	0.000363994	0	0.0166749	0.000540585	0.0120677	13.599	0.01	0.124291	0.207858	0.01	0.207557	5	0.52297	0.387272	1.60045	0	3.9477	9.56674	0.116972	0	0.367555	0	0.0538362	19.0502	0.0013995	0.0124447	0.00588216	0.998457	4.96214	1150.79	0.505792	0.0522957
25	5	0.347881	0.113223	0.113315	4.94615	0.0871766	2.56742	0.949442	1.09791	1.436	4.19241	0.425318	0.9	0	1	3.61272	1.95864	3.47701	0.000364011	0	0.016675	0.000540593	0.012068	13.6859	0.01	0.124324	0.208655	0.01	0.208354	5	0.522986	0.38728	1.60143	0	3.94771	9.56542	0.116976	0	0.367555	0	0.0538483	19.0551	0.00139951	0.0124446	0.00588236	0.998745	4.96338	1151.54	0.505357	0.0522922
26	5	0.347993	0.11344	0.113532	4.94614	0.0869912	2.56747	0.948536	1.09892	1.43573	4.19472	0.425716	0.9	0	1	3.61271	1.95928	3.477	0.000364026	0	0.0166751	0.000540601	0.0120683	13.7629	0.01	0.124347	0.209359	0.01	0.209058	5	0.522999	0.387287	1.60221	0	3.94771	9.56397	0.116977	0	0.367556	0	0.0538607	19.0598	0.00139952	0.0124444	0.00588252	0.998977	4.96447	1152.15	0.504998	0.0522903
27	5	0.348083	0.113632	0.113724	4.94613	0.0868282	2.56747	0.947739	1.0998	1.4355	4.19657	0.42606	0.9	0	1	3.61271	1.9598	3.47699	0.000364039	0	0.0166752	0.000540607	0.0120685	13.831	0.01	0.124362	0.209982	0.01	0.20968	5	0.523011	0.387294	1.60283	0	3.94771	9.56245	0.116977	0	0.367556	0	0.053873	19.0643	0.00139953	0.0124443	0.00588267	0.999165	4.96543	1152.63	0.504702	0.0522896
28	5	0.348155	0.113802	0.113894	4.94611	0.0866848	2.56744	0.947036	1.10055	1.43531	4.19805	0.426356	0.9	0	1	3.6127	1.96023	3.47698	0.00036405	0	0.0166752	0.000540612	0.0120687	13.8914	0.01	0.124372	0.210532	0.01	0.210231	5	0.523021	0.387299	1.60331	0	3.94771	9.56089	0.116976	0	0.367556	0	0.053885	19.0684	0.00139953	0.0124441	0.00588279	0.999317	4.96628	1153.01	0.504457	0.0522898
29	5	0.348213	0.113953	0.114045	4.9461	0.0865583	2.56739	0.946416	1.1012	1.43515	4.19922	0.426612	0.9	0	1	3.6127	1.96059	3.47697	0.00036406	0	0.0166753	0.000540617	0.0120688	13.9449	0.01	0.124377	0.211019	0.01	0.210718	5	0.523029	0.387304	1.6037	0	3.94771	9.5593	0.116973	0	0.367556	0	0.0538965	19.0721	0.00139954	0.012444	0.0058829	0.99944	4.96703	1153.32	0.504254	0.0522904
30	5	0.348259	0.114087	0.114179	4.94609	0.0864466	2.56733	0.945868	1.10177	1.43502	4.20016	0.426832	0.9	0	1	3.61269	1.96089	3.47696	0.000364068	0	0.0166754	0.000540621	0.012069	13.9922	0.01	0.124378	0.211451	0.01	0.211149	5	0.523037	0.387308	1.604	0	3.94771	9.55771	0.11697	0	0.367556	0	0.0539073	19.0755	0.00139955	0.0124439	0.00588299	0.999539	4.96769	1153.56	0.504087	0.0522915
31	5	0.348296	0.114206	0.114298	4.94608	0.0863477	2.56724	0.945382	1.10225	1.43492	4.20089	0.427022	0.9	0	1	3.61269	1.96114	3.47696	0.000364075	0	0.0166754	0.000540625	0.0120691	14.0342	0.01	0.124377	0.211833	0.01	0.211531	5	0.523043	0.387312	1.60424	0	3.94771	9.55612	0.116966	0	0.367556	0	0.0539174	19.0786	0.00139955	0.0124439	0.00588307	0.999618	4.96827	1153.75	0.503948	0.0522928
32	5	0.348326	0.114311	0.114403	4.94607	0.08626	2.56715	0.944951	1.10267	1.43483	4.20147	0.427185	0.9	0	1	3.61269	1.96134	3.47695	0.000364081	0	0.0166754	0.000540628	0.0120692	14.0713	0.01	0.124374	0.212171	0.01	0.21187	5	0.523049	0.387315	1.60442	0	3.94771	9.55455	0.116962	0	0.367556	0	0.0539267	19.0813	0.00139955	0.0124438	0.00588314	0.999682	4.96879	1153.9	0.503834	0.0522941
33	5	0.348349	0.114405	0.114497	4.94606	0.086182	2.56705	0.944568	1.10302	1.43475	4.20192	0.427324	0.9	0	1	3.61268	1.96151	3.47695	0.000364086	0	0.0166755	0.000540631	0.0120693	14.1042	0.01	0.12437	0.212472	0.01	0.212171	5	0.523053	0.387318	1.60456	0	3.9477	9.553	0.116957	0	0.367556	0	0.0539354	19.0837	0.00139956	0.0124437	0.0058832	0.999733	4.96925	1154.02	0.50374	0.0522955
34	5	0.348367	0.114489	0.114581	4.94606	0.0861126	2.56694	0.944227	1.10333	1.43469	4.20227	0.427443	0.9	0	1	3.61268	1.96164	3.47694	0.00036409	0	0.0166755	0.000540634	0.0120694	14.1333	0.01	0.124365	0.212739	0.01	0.212437	5	0.523057	0.38732	1.60467	0	3.9477	9.55147	0.116952	0	0.367556	0	0.0539433	19.0858	0.00139956	0.0124437	0.00588325	0.999773	4.96966	1154.11	0.503663	0.0522969
35	5	0.348381	0.114563	0.114655	4.94605	0.0860507	2.56683	0.943922	1.10358	1.43464	4.20253	0.427544	0.9	0	1	3.61268	1.96176	3.47694	0.000364094	0	0.0166756	0.000540636	0.0120695	14.1591	0.01	0.124359	0.212976	0.01	0.212674	5	0.523061	0.387322	1.60475	0	3.9477	9.54996	0.116946	0	0.367556	0	0.0539505	19.0876	0.00139956	0.0124436	0.00588329	0.999805	4.97003	1154.17	0.5036	0.0522982
36	5	0.348391	0.114629	0.114722	4.94604	0.0859954	2.56671	0.943649	1.1038	1.43461	4.20273	0.42763	0.9	0	1	3.61268	1.96185	3.47694	0.000364097	0	0.0166756	0.000540638	0.0120695	14.182	0.01	0.124352	0.213187	0.01	0.212885	5	0.523063	0.387324	1.6048	0	3.9477	9.54848	0.116941	0	0.367556	0	0.0539571	19.0892	0.00139957	0.0124436	0.00588332	0.99983	4.97036	1154.23	0.503548	0.0522994
37	5	0.348399	0.114689	0.114781	4.94604	0.0859457	2.56659	0.943405	1.10399	1.43457	4.20287	0.427702	0.9	0	1	3.61267	1.96192	3.47693	0.0003641	0	0.0166756	0.00054064	0.0120696	14.2023	0.01	0.124345	0.213374	0.01	0.213073	5	0.523066	0.387326	1.60484	0	3.9477	9.54701	0.116935	0	0.367556	0	0.053963	19.0905	0.00139957	0.0124435	0.00588335	0.999848	4.97065	1154.26	0.503507	0.0523005
38	5	0.348405	0.114742	0.114834	4.94603	0.0859011	2.56646	0.943185	1.10414	1.43455	4.20297	0.427762	0.9	0	1	3.61267	1.96198	3.47693	0.000364102	0	0.0166756	0.000540641	0.0120696	14.2203	0.01	0.124338	0.213542	0.01	0.21324	5	0.523068	0.387328	1.60487	0	3.9477	9.54557	0.116929	0	0.367557	0	0.0539684	19.0916	0.00139957	0.0124435	0.00588338	0.999862	4.97091	1154.29	0.503474	0.0523015
39	5	0.348409	0.114789	0.114882	4.94603	0.0858609	2.56634	0.942987	1.10426	1.43453	4.20303	0.427811	0.9	0	1	3.61267	1.96202	3.47693	0.000364104	0	0.0166756	0.000540643	0.0120696	14.2362	0.01	0.12433	0.213691	0.01	0.213389	5	0.523069	0.387329	1.60488	0	3.9477	9.54414	0.116924	0	0.367557	0	0.0539733	19.0925	0.00139957	0.0124435	0.0058834	0.999872	4.97115	1154.3	0.503449	0.0523023
40	5	0.348411	0.114832	0.114924	4.94602	0.0858246	2.56621	0.942808	1.10436	1.43451	4.20306	0.427851	0.9	0	1	3.61267	1.96206	3.47693	0.000364106	0	0.0166757	0.000540644	0.0120696	14.2504	0.01	0.124323	0.213824	0.01	0.213523	5	0.523071	0.38733	1.60488	0	3.9477	9.54272	0.116918	0	0.367557	0	0.0539776	19.0933	0.00139957	0.0124434	0.00588341	0.999878	4.97137	1154.31	0.503429	0.052303
41	5	0.348412	0.114871	0.114963	4.94602	0.0857916	2.56608	0.942645	1.10445	1.4345	4.20306	0.427883	0.9	0	1	3.61267	1.96208	3.47693	0.000364107	0	0.0166757	0.000540645	0.0120697	14.263	0.01	0.124316	0.213944	0.01	0.213642	5	0.523072	0.387331	1.60488	0	3.9477	9.54132	0.116912	0	0.367557	0	0.0539815	19.0938	0.00139958	0.0124434	0.00588343	0.999882	4.97156	1154.31	0.503415	0.0523036
42	5	0.348412	0.114905	0.114997	4.94601	0.0857615	2.56595	0.942497	1.10451	1.43449	4.20304	0.427907	0.9	0	1	3.61267	1.9621	3.47693	0.000364108	0	0.0166757	0.000540646	0.0120697	14.2741	0.01	0.124308	0.214051	0.01	0.21375	5	0.523073	0.387332	1.60487	0	3.9477	9.53993	0.116905	0	0.367557	0	0.0539851	19.0942	0.00139958	0.0124434	0.00588344	0.999883	4.97174	1154.3	0.503405	0.0523041
43	5	0.348411	0.114937	0.115029	4.94601	0.0857341	2.56581	0.942362	1.10455	1.43449	4.20301	0.427925	0.9	0	1	3.61267	1.96211	3.47693	0.000364108	0	0.0166757	0.000540647	0.0120697	14.2841	0.01	0.124301	0.214148	0.01	0.213846	5	0.523073	0.387333	1.60485	0	3.9477	9.53854	0.116899	0	0.367557	0	0.0539882	19.0944	0.00139958	0.0124434	0.00588345	0.999882	4.9719	1154.3	0.503399	0.0523045
44	5	0.348409	0.114965	0.115057	4.94601	0.0857089	2.56568	0.942237	1.10458	1.43449	4.20296	0.427937	0.9	0	1	3.61267	1.96212	3.47693	0.000364109	0	0.0166757	0.000540648	0.0120697	14.2929	0.01	0.124293	0.214234	0.01	0.213933	5	0.523074	0.387334	1.60484	0	3.9477	9.53716	0.116893	0	0.367557	0	0.053991	19.0946	0.00139958	0.0124433	0.00588345	0.99988	4.97205	1154.28	0.503397	0.0523047
