Time	[CS]	[CD]	[CDCS]	[UVR8M]	[UCS]	[UVR8D]	[RUP]	[UR]	[UVR8_M]	[COP1]	[HY5]	[FHY3]	[DWD]	[CDW]
85	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
86	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
87	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
88	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
89	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
90	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
91	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
92	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
93	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
94	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
95	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
96	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
97	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
98	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
99	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
100	16.708	0.169544	0.0570411	3.73755	1.53749	2.65058	48.5526	27.8863	0	4.2	3.01639	5	8.22659	11.7734
