Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[PDK1]	[PP2A]	[AKT]	[PI3P]	[PTEN]	[PIP2]	[p-PI3K]	[s3]	[PI3K]	[Time]	[PDK2]	[PDK1_cyto]	[p-AKT:PI3P]	[pp-AKT:PI3P]	[AKT:PI3P]	[s35]	[s37]	[pre_time]	[Time]	[AP-1]	[pp-JNKK]	[pp-JNK]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[KLF2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[Shc]	[p-Src]	[p-FAK]	[Src]	[FAK]	[JNKK]	[MEKK1]	[p-Shc]	[JNK]	[p-JNKK]	[p-MEKK1]	[Ras:GTP]	[Ras:GDP]	[p-JNK]	[KLF2]	[eNOS{Cell}]	[aAP-1]	[eNOS{nucleus}]	[p-FAK:Shc]	[Grb2:Sos]	[p-FAK:p-Shc]	[p-FAK:p-Shc:Grb2:Sos]	[p-Shc:Grb2:Sos]	[eNOS{nucleus}]	[sa49_degraded]	[s117]	[s118]	[Shear Stress]
20	1.5e+06	2.82972e+06	123.135	4731.02	0	6.5986	-72.4271	65.8285	11316.3	48096.2	-60000	10	-10	2.8319	150	81.5853	4.29887	0.1	6877.29	56.2091	-20	43.7909	20	3	997.168	1.87252	1.72428	114.817	0.00179984	9999.91	-20	20	50	0.00589736	2.29914e-08	0.0432781	3.1099	363.858	10.0092	2.09961	34.5903	7618.34	199987	1.11707	0.00945297	11.3124	0.107564	499582	418.238	0.637617	0.0821632	752.21	20.6344	0.740175	69.3656	12.3725	299.703	98.419	179.593	299.997	0.290694	1.58101	0.966412	119.034	0.00301502	10.0092	3.214	6.19669e-12	-0.00180083	1.98268	1.20225	57.4178	7.48787	1.30988	-0.00180083	0.0673818	0.00399083	0.00134706	0
21	1.5e+06	2.82951e+06	124.74	4790.21	0	6.89636	-79.4727	72.5763	11918.2	50648.9	-63000	10.5	-10.5	3.05961	150	76.2139	4.6258	0.1	6871.59	52.6082	-21	47.3918	21	3	996.94	1.95651	1.72462	120.104	0.00188983	9999.9	-21	21	50	0.00590082	2.40986e-08	0.0440554	3.1892	368.336	10.0097	2.10976	34.351	7613.55	199986	1.14894	0.00967083	11.5041	0.108628	499558	442.135	0.640724	0.0825189	751.768	20.8044	0.740403	69.1956	12.1317	299.703	98.4087	179.794	299.997	0.291109	1.59131	0.983787	119.016	0.00301569	10.0097	3.214	6.82196e-12	-0.00189091	1.97353	1.19779	57.6634	7.49201	1.3102	-0.00189091	0.0706394	0.00419384	0.00141524	0
22	1.5e+06	2.82925e+06	126.476	4854.17	0	7.18964	-86.8093	79.6197	12526	53226.4	-66000	11	-11	3.29076	150	71.244	4.95514	0.1	6866.29	48.7451	-22	51.2549	22	3	996.709	2.05113	1.72503	124.979	0.00197982	9999.9	-22	22	50	0.0059054	2.52033e-08	0.0449062	3.2761	373.176	10.0101	2.12098	34.0875	7608.36	199986	1.18425	0.00991079	11.7149	0.109796	499533	466.643	0.64425	0.0829255	751.368	20.9765	0.740604	69.0235	11.9094	299.703	98.398	179.971	299.997	0.291563	1.60204	1.00097	118.999	0.00301637	10.0101	3.214	7.47646e-12	-0.001981	1.96384	1.19367	57.8913	7.49581	1.31052	-0.001981	0.0738733	0.00439794	0.00148377	0
23	1.5e+06	2.82897e+06	128.345	4922.96	0	7.47851	-94.4327	86.9541	13140.2	55830.3	-69000	11.5	-11.5	3.52337	150	66.6936	5.28362	0.1	6861.41	44.7323	-23	55.2677	23	3	996.477	2.15666	1.72551	129.423	0.00206982	9999.89	-23	23	50	0.00591114	2.63055e-08	0.0458317	3.37091	378.383	10.0106	2.13323	33.7991	7602.78	199986	1.22316	0.0101738	11.9452	0.111069	499508	491.826	0.64821	0.0833851	751.005	21.1506	0.740778	68.8494	11.704	299.702	98.3868	180.129	299.997	0.292056	1.6132	1.01797	118.982	0.00301706	10.0106	3.214	8.16012e-12	-0.00207109	1.95367	1.18987	58.1033	7.49931	1.31082	-0.00207109	0.0770812	0.00460323	0.00155269	0
24	1.5e+06	2.82864e+06	130.349	4996.61	0	7.76304	-102.338	94.5753	13761.2	58462.5	-72000	12	-12	3.75515	150	62.5689	5.6076	0.1	6856.96	40.6711	-24	59.3289	24	3	996.245	2.27326	1.72608	133.431	0.00215981	9999.89	-24	24	50	0.00591807	2.74056e-08	0.0468329	3.47398	383.957	10.011	2.14645	33.4855	7596.79	199986	1.26585	0.0104609	12.1953	0.11245	499482	517.75	0.652613	0.0838991	750.674	21.3267	0.74093	68.6733	11.5138	299.701	98.3752	180.27	299.997	0.29259	1.62477	1.03479	118.965	0.00301776	10.011	3.214	8.87287e-12	-0.00216119	1.94308	1.18635	58.3006	7.50254	1.31111	-0.00216119	0.0802606	0.00480981	0.00162206	0
25	1.5e+06	2.82827e+06	132.488	5075.13	0	8.04329	-110.522	102.479	14389.4	61124.6	-75000	12.5	-12.5	3.98356	150	58.8657	5.92319	0.1	6852.94	36.6495	-25	63.3505	25	3	996.016	2.4009	1.72673	137.006	0.0022498	9999.88	-25	25	50	0.00592623	2.85039e-08	0.0479103	3.58566	389.9	10.0115	2.16059	33.1463	7590.4	199985	1.31252	0.010773	12.4654	0.113937	499456	544.487	0.657468	0.0844687	750.37	21.5047	0.741063	68.4953	11.3376	299.701	98.3633	180.397	299.997	0.293165	1.63675	1.05145	118.949	0.00301846	10.0115	3.214	9.61464e-12	-0.00225129	1.93213	1.18308	58.4847	7.50552	1.3114	-0.00225129	0.0834091	0.00501779	0.00169191	0
26	1.5e+06	2.82785e+06	134.764	5158.55	0	8.31933	-118.98	110.66	15025.1	63818.2	-78000	13	-13	4.20591	150	55.5717	6.22647	0.1	6849.35	32.7413	-26	67.2587	26	3	995.794	2.53939	1.72749	140.16	0.00233979	9999.88	-26	26	50	0.00593565	2.96005e-08	0.0490641	3.70632	396.213	10.012	2.17557	32.7812	7583.61	199985	1.36334	0.0111111	12.7557	0.115532	499428	572.11	0.66278	0.0850946	750.092	21.6845	0.741177	68.3155	11.1742	299.7	98.3509	180.512	299.997	0.293783	1.64912	1.06794	118.932	0.00301919	10.012	3.214	1.03854e-11	-0.0023414	1.92086	1.18004	58.6565	7.50827	1.31168	-0.0023414	0.0865244	0.00522725	0.0017623	0
27	1.5e+06	2.82739e+06	137.177	5246.86	0	8.59121	-127.707	119.116	15668.9	66545.1	-81000	13.5	-13.5	4.4195	150	52.6673	6.5137	0.1	6846.15	29.0059	-27	70.9941	27	3	995.581	2.68841	1.72835	142.915	0.00242978	9999.87	-27	27	50	0.00594636	3.06958e-08	0.0502943	3.83633	402.897	10.0124	2.19128	32.3901	7576.41	199984	1.41852	0.0114763	13.0662	0.117234	499399	600.696	0.66855	0.0857772	749.835	21.866	0.741275	68.134	11.0226	299.7	98.3381	180.617	299.997	0.294443	1.66187	1.08429	118.916	0.00301992	10.0124	3.214	1.1185e-11	-0.00243151	1.90932	1.17722	58.817	7.51082	1.31195	-0.00243151	0.089604	0.00543827	0.00183327	0
28	1.5e+06	2.82688e+06	139.727	5340.06	0	8.85901	-136.701	127.842	16321.1	69306.7	-84000	14	-14	4.62176	150	50.1282	6.78153	0.1	6843.35	25.4884	-28	74.5116	28	3	995.378	2.84746	1.72933	145.294	0.00251978	9999.87	-28	28	50	0.00595839	3.17901e-08	0.0516004	3.97608	409.949	10.0129	2.20763	31.973	7568.81	199984	1.47822	0.0118695	13.3968	0.119043	499370	630.325	0.674778	0.0865167	749.597	22.0491	0.741359	67.9509	10.8817	299.699	98.325	180.714	299.997	0.295148	1.67501	1.10048	118.9	0.00302068	10.0129	3.214	1.20135e-11	-0.00252162	1.89755	1.17459	58.9672	7.51319	1.31222	-0.00252162	0.0926453	0.00565093	0.00190488	0
29	1.5e+06	2.82632e+06	142.416	5438.14	0	9.12278	-145.956	136.833	16982.1	72104.6	-87000	14.5	-14.5	4.81042	150	47.9266	7.02727	0.1	6840.9	22.2208	-29	77.7792	29	3	995.19	3.0159	1.73043	147.326	0.00260977	9999.86	-29	29	50	0.00597179	3.28836e-08	0.0529812	4.12596	417.37	10.0133	2.22449	31.53	7560.8	199984	1.54264	0.0122917	13.7473	0.120957	499339	661.08	0.68146	0.0873127	749.377	22.2339	0.741429	67.7661	10.7509	299.698	98.3115	180.803	299.997	0.295897	1.68851	1.11654	118.883	0.00302145	10.0133	3.214	1.28709e-11	-0.00261174	1.88558	1.17214	59.1077	7.51538	1.31248	-0.00261174	0.095646	0.00586528	0.00197717	0
