Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[PDK1]	[PP2A]	[AKT]	[PI3P]	[PTEN]	[PIP2]	[p-PI3K]	[s3]	[PI3K]	[Time]	[PDK2]	[PDK1_cyto]	[p-AKT:PI3P]	[pp-AKT:PI3P]	[AKT:PI3P]	[s35]	[s37]	[pre_time]	[Time]	[AP-1]	[pp-JNKK]	[pp-JNK]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[KLF2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[Shc]	[p-Src]	[p-FAK]	[Src]	[FAK]	[JNKK]	[MEKK1]	[p-Shc]	[JNK]	[p-JNKK]	[p-MEKK1]	[Ras:GTP]	[Ras:GDP]	[p-JNK]	[KLF2]	[eNOS{Cell}]	[aAP-1]	[eNOS{nucleus}]	[p-FAK:Shc]	[Grb2:Sos]	[p-FAK:p-Shc]	[p-FAK:p-Shc:Grb2:Sos]	[p-Shc:Grb2:Sos]	[eNOS{nucleus}]	[sa49_degraded]	[s117]	[s118]	[Shear Stress]
65	1.5e+06	2.76111e+06	311.973	11302.9	0	16.3865	-624.214	607.827	52428.5	203831	-195000	32.5	-32.5	5.5669	150	37.8073	7.81563	0.1	6829.99	0.0323029	-65	99.9677	65	3	994.433	10.4611	1.87182	149.859	0.00584948	9999.69	-65	65	50	0.0076149	7.46608e-08	0.11293	18.5627	856.947	10.03	2.2227	9.696	7085.37	199962	6.82114	0.0503766	29.6863	0.228667	496744	3256	1.04903	0.132181	746.348	29.5988	0.740298	60.4012	9.36364	299.637	97.63	182.438	299.997	0.355128	2.37003	1.63129	118.369	0.00308695	10.03	3.214	6.33595e-11	-0.00585875	1.45332	1.14131	60.9038	7.53992	1.31877	-0.00585875	0.16489	0.0142166	0.0052803	0
66	1.5e+06	2.75785e+06	317.804	11493.9	0	16.5371	-640.826	624.289	53956.7	208369	-198000	33	-33	5.55186	150	37.8487	7.79444	0.1	6830.05	0.0316708	-66	99.9683	66	3	994.448	10.6545	1.87854	149.617	0.00593947	9999.69	-66	66	50	0.00769995	7.59863e-08	0.113766	19.2224	871.115	10.0304	2.19963	9.29528	7070.15	199961	6.99586	0.0520053	29.9201	0.231804	496617	3382.66	1.05764	0.133234	746.327	29.8162	0.740225	60.1838	9.37161	299.635	97.6067	182.466	299.997	0.35768	2.39335	1.64436	118.356	0.00309057	10.0304	3.214	6.53423e-11	-0.00594902	1.44279	1.14125	60.9065	7.53986	1.31889	-0.00594902	0.165787	0.0144363	0.00539238	0
67	1.5e+06	2.7545e+06	323.664	11685.2	0	16.6854	-657.586	640.901	55525.2	212950	-201000	33.5	-33.5	5.5369	150	37.8902	7.77337	0.1	6830.12	0.0312258	-67	99.9688	67	3	994.463	10.8467	1.88541	149.377	0.00602946	9999.68	-67	67	50	0.00778753	7.73271e-08	0.114545	19.8954	885.289	10.0309	2.17608	8.91257	7054.93	199961	7.16927	0.0536608	30.138	0.234929	496488	3512.38	1.06604	0.134261	746.309	30.034	0.740151	59.966	9.38085	299.632	97.5831	182.493	299.997	0.36028	2.41687	1.65738	118.343	0.00309435	10.0309	3.214	6.73599e-11	-0.0060393	1.43237	1.14121	60.9078	7.53978	1.31901	-0.0060393	0.166647	0.0146538	0.00550536	0
68	1.5e+06	2.75107e+06	329.552	11876.8	0	16.8315	-674.491	657.659	57134.3	217572	-204000	34	-34	5.52201	150	37.9316	7.7524	0.1	6830.18	0.0309142	-68	99.9691	68	3	994.478	11.0378	1.89242	149.137	0.00611946	9999.68	-68	68	50	0.00787767	7.86837e-08	0.115267	20.582	899.472	10.0314	2.15211	8.54718	7039.7	199961	7.34137	0.0553436	30.3405	0.238041	496355	3645.14	1.07426	0.135264	746.292	30.2522	0.740077	59.7478	9.39129	299.629	97.5594	182.52	299.997	0.362927	2.44058	1.67036	118.33	0.00309827	10.0314	3.214	6.94127e-11	-0.00612958	1.42206	1.1412	60.9079	7.53968	1.31912	-0.00612958	0.167472	0.0148692	0.00561923	0
69	1.5e+06	2.74756e+06	335.47	12068.6	0	16.9754	-691.538	674.563	58784.3	222235	-207000	34.5	-34.5	5.50719	150	37.973	7.73154	0.1	6830.24	0.0306972	-69	99.9693	69	3	994.493	11.2278	1.89957	148.899	0.00620945	9999.67	-69	69	50	0.00797041	8.00567e-08	0.115936	21.2824	913.666	10.0318	2.12778	8.19834	7024.47	199960	7.51216	0.0570543	30.5284	0.241144	496219	3780.9	1.08229	0.136243	746.277	30.4708	0.740001	59.5292	9.40289	299.626	97.5355	182.547	299.997	0.365622	2.46448	1.68328	118.317	0.00310234	10.0318	3.214	7.1501e-11	-0.00621986	1.41184	1.14121	60.9067	7.53956	1.31923	-0.00621986	0.168263	0.0150823	0.00573396	0
70	1.5e+06	2.74397e+06	341.421	12260.8	0	17.1171	-708.726	691.609	60475.4	226939	-210000	35	-35	5.49246	150	38.0144	7.7108	0.1	6830.3	0.0305469	-70	99.9695	70	3	994.508	11.4166	1.90685	148.661	0.00629944	9999.67	-70	70	50	0.00806579	8.14467e-08	0.116554	21.9968	927.875	10.0323	2.10316	7.86532	7009.22	199960	7.68168	0.0587937	30.7022	0.244237	496080	3919.66	1.09014	0.1372	746.263	30.6897	0.739925	59.3103	9.41561	299.624	97.5114	182.573	299.997	0.368363	2.48857	1.69616	118.304	0.00310657	10.0323	3.214	7.36253e-11	-0.00631015	1.40174	1.14123	60.9043	7.53942	1.31934	-0.00631015	0.169022	0.0152932	0.00584953	0
71	1.5e+06	2.7403e+06	347.404	12453.4	0	17.2567	-726.053	708.796	62207.6	231682	-213000	35.5	-35.5	5.4778	150	38.0557	7.69016	0.1	6830.37	0.0304433	-71	99.9696	71	3	994.522	11.6042	1.91427	148.425	0.00638943	9999.66	-71	71	50	0.00816383	8.28545e-08	0.117124	22.7256	942.102	10.0327	2.07829	7.54736	6993.96	199960	7.84996	0.0605624	30.8627	0.247324	495939	4061.38	1.09783	0.138135	746.251	30.909	0.739849	59.091	9.42939	299.621	97.4871	182.598	299.997	0.371151	2.51285	1.709	118.291	0.00311096	10.0327	3.214	7.57861e-11	-0.00640044	1.39174	1.14128	60.9008	7.53927	1.31945	-0.00640044	0.16975	0.0155018	0.00596592	0
72	1.5e+06	2.73654e+06	353.424	12646.5	0	17.3942	-743.516	726.122	63980.9	236466	-216000	36	-36	5.46322	150	38.097	7.66963	0.1	6830.43	0.0303723	-72	99.9696	72	3	994.537	11.7908	1.92182	148.189	0.00647942	9999.66	-72	72	50	0.00826458	8.42806e-08	0.117648	23.4692	956.351	10.0332	2.05324	7.24372	6978.67	199959	8.01705	0.0623615	31.0105	0.250405	495794	4206.04	1.10535	0.139049	746.241	31.1286	0.739772	58.8714	9.4442	299.618	97.4627	182.623	299.997	0.373985	2.53732	1.72179	118.278	0.00311552	10.0332	3.214	7.79838e-11	-0.00649074	1.38184	1.14134	60.8961	7.5391	1.31956	-0.00649074	0.170449	0.0157082	0.00608312	0
73	1.5e+06	2.7327e+06	359.481	12840	0	17.5296	-761.113	743.584	65795.4	241288	-219000	36.5	-36.5	5.44871	150	38.1383	7.6492	0.1	6830.49	0.0303239	-73	99.9697	73	3	994.551	11.9762	1.92951	147.955	0.00656942	9999.66	-73	73	50	0.00836807	8.57256e-08	0.118127	24.2279	970.627	10.0337	2.02802	6.95367	6963.35	199959	8.18303	0.0641919	31.1461	0.253483	495646	4353.63	1.11272	0.139944	746.232	31.3485	0.739694	58.6515	9.46	299.615	97.438	182.648	299.997	0.376866	2.56196	1.73454	118.265	0.00312025	10.0337	3.214	8.02188e-11	-0.00658104	1.37205	1.14142	60.8903	7.53891	1.31967	-0.00658104	0.171119	0.0159121	0.0062011	0
74	1.5e+06	2.72879e+06	365.579	13034.2	0	17.663	-778.843	761.18	67650.8	246149	-222000	37	-37	5.43428	150	38.1795	7.62889	0.1	6830.55	0.0302911	-74	99.9697	74	3	994.566	12.1606	1.93734	147.722	0.00665941	9999.65	-74	74	50	0.00847432	8.71903e-08	0.118565	25.0021	984.934	10.0341	2.0027	6.67652	6948	199959	8.34794	0.0660546	31.2702	0.256558	495496	4504.12	1.11995	0.140821	746.224	31.5688	0.739616	58.4312	9.47675	299.612	97.4132	182.672	299.997	0.379792	2.58679	1.74725	118.253	0.00312515	10.0341	3.214	8.24918e-11	-0.00667135	1.36236	1.14152	60.8836	7.53871	1.31977	-0.00667135	0.171763	0.0161138	0.00631987	0
75	1.5e+06	2.72479e+06	371.72	13229	0	17.7943	-796.703	778.909	69547	251048	-225000	37.5	-37.5	5.41993	150	38.2207	7.60868	0.1	6830.61	0.0302689	-75	99.9697	75	3	994.58	12.3438	1.94529	147.489	0.0067494	9999.65	-75	75	50	0.00858339	8.86754e-08	0.118963	25.7924	999.277	10.0346	1.97729	6.4116	6932.61	199958	8.51186	0.0679509	31.3833	0.259633	495343	4657.5	1.12704	0.14168	746.218	31.7893	0.739537	58.2107	9.49441	299.609	97.3882	182.696	299.997	0.382764	2.6118	1.75992	118.24	0.00313023	10.0346	3.214	8.48032e-11	-0.00676166	1.35277	1.14163	60.8758	7.5385	1.31987	-0.00676166	0.172382	0.016313	0.00643938	0
76	1.5e+06	2.72072e+06	377.907	13424.5	0	17.9238	-814.692	796.768	71483.8	255985	-228000	38	-38	5.40564	150	38.2618	7.58858	0.1	6830.67	0.0302541	-76	99.9697	76	3	994.594	12.526	1.95338	147.258	0.00683939	9999.64	-76	76	50	0.0086953	9.01814e-08	0.119324	26.5992	1013.66	10.0351	1.95183	6.15826	6917.17	199958	8.67487	0.0698819	31.4859	0.262709	495186	4813.74	1.134	0.142522	746.213	32.0101	0.739459	57.9899	9.51294	299.606	97.363	182.72	299.997	0.385782	2.63698	1.77254	118.227	0.0031355	10.0351	3.214	8.71535e-11	-0.00685197	1.34329	1.14176	60.867	7.53826	1.31997	-0.00685197	0.172975	0.01651	0.00655965	0
77	1.5e+06	2.71656e+06	384.141	13620.9	0	18.0512	-832.807	814.756	73460.7	260959	-231000	38.5	-38.5	5.39144	150	38.3028	7.56858	0.1	6830.73	0.0302442	-77	99.9698	77	3	994.609	12.707	1.9616	147.028	0.00692938	9999.64	-77	77	50	0.00881008	9.17092e-08	0.119648	27.4231	1028.09	10.0355	1.92635	5.91589	6901.68	199958	8.83703	0.0718488	31.5786	0.265788	495027	4972.84	1.14084	0.143349	746.209	32.2311	0.739379	57.7689	9.53232	299.602	97.3377	182.743	299.997	0.388844	2.66234	1.78513	118.215	0.00314095	10.0355	3.214	8.95433e-11	-0.00694229	1.33391	1.14191	60.8574	7.53802	1.32007	-0.00694229	0.173546	0.0167045	0.00668064	0
78	1.5e+06	2.71233e+06	390.427	13818.1	0	18.1768	-851.047	832.87	75477.5	265970	-234000	39	-39	5.37731	150	38.3439	7.54868	0.1	6830.8	0.0302376	-78	99.9698	78	3	994.623	12.887	1.96995	146.798	0.00701938	9999.63	-78	78	50	0.00892778	9.32595e-08	0.119938	28.2646	1042.58	10.036	1.90087	5.68392	6886.13	199958	8.99843	0.0738529	31.6617	0.268871	494865	5134.77	1.14757	0.144161	746.206	32.4524	0.7393	57.5476	9.5525	299.599	97.3121	182.765	299.997	0.391952	2.68787	1.79767	118.202	0.0031466	10.036	3.214	9.19732e-11	-0.00703261	1.32463	1.14207	60.8468	7.53776	1.32017	-0.00703261	0.174094	0.0168967	0.00680236	0
79	1.5e+06	2.70802e+06	396.767	14016.3	0	18.3004	-869.409	851.109	77533.6	271018	-237000	39.5	-39.5	5.36325	150	38.3848	7.52889	0.1	6830.86	0.0302333	-79	99.9698	79	3	994.637	13.0659	1.97843	146.57	0.00710937	9999.63	-79	79	50	0.00904843	9.4833e-08	0.120195	29.1243	1057.12	10.0365	1.87542	5.4618	6870.52	199957	9.15912	0.0758957	31.7358	0.27196	494700	5299.53	1.15419	0.144959	746.205	32.6739	0.73922	57.3261	9.57347	299.596	97.2864	182.788	299.997	0.395105	2.71358	1.81018	118.19	0.00315244	10.0365	3.214	9.44438e-11	-0.00712294	1.31545	1.14225	60.8354	7.53749	1.32026	-0.00712294	0.17462	0.0170864	0.00692478	0
80	1.5e+06	2.70364e+06	403.165	14215.5	0	18.4222	-887.893	869.47	79628.6	276103	-240000	40	-40	5.34926	150	38.4257	7.50921	0.1	6830.92	0.0302304	-80	99.9698	80	3	994.651	13.2438	1.98704	146.342	0.00719936	9999.62	-80	80	50	0.00917207	9.64304e-08	0.120421	30.0028	1071.72	10.0369	1.85	5.24902	6854.83	199957	9.3192	0.0779784	31.8012	0.275056	494533	5467.11	1.16071	0.145744	746.204	32.8957	0.739139	57.1043	9.59519	299.593	97.2605	182.809	299.997	0.398302	2.73945	1.82265	118.177	0.00315849	10.0369	3.214	9.69556e-11	-0.00721327	1.30637	1.14244	60.8231	7.53721	1.32035	-0.00721327	0.175126	0.0172738	0.00704789	0
81	1.5e+06	2.69918e+06	409.622	14415.8	0	18.5422	-906.495	887.953	81762	281223	-243000	40.5	-40.5	5.33535	150	38.4666	7.48962	0.1	6830.98	0.0302285	-81	99.9698	81	3	994.665	13.4206	1.99577	146.116	0.00728935	9999.62	-81	81	50	0.00929872	9.80526e-08	0.120616	30.9008	1086.4	10.0374	1.82464	5.04511	6839.06	199957	9.47873	0.0801025	31.8583	0.278161	494363	5637.49	1.16714	0.146517	746.205	33.1176	0.739059	56.8824	9.61763	299.589	97.2345	182.831	299.997	0.401543	2.7655	1.83508	118.165	0.00316474	10.0374	3.214	9.95094e-11	-0.0073036	1.29739	1.14264	60.81	7.53692	1.32045	-0.0073036	0.175613	0.0174588	0.00717169	0
82	1.5e+06	2.69464e+06	416.142	14617.4	0	18.6603	-925.214	906.554	83933.2	286379	-246000	41	-41	5.3215	150	38.5074	7.47013	0.1	6831.04	0.0302273	-82	99.9698	82	3	994.678	13.5963	2.00463	145.891	0.00737934	9999.61	-82	82	50	0.00942844	9.97003e-08	0.120783	31.8188	1101.14	10.0378	1.79935	4.8496	6823.21	199957	9.63777	0.0822695	31.9075	0.281276	494189	5810.66	1.17347	0.147278	746.207	33.3397	0.738978	56.6603	9.64076	299.586	97.2083	182.852	299.997	0.404828	2.79171	1.84747	118.153	0.00317121	10.0378	3.214	1.02106e-10	-0.00739394	1.28851	1.14285	60.7961	7.53661	1.32054	-0.00739394	0.17608	0.0176415	0.00729617	0
83	1.5e+06	2.69003e+06	422.727	14820.1	0	18.7767	-944.049	925.273	86141.5	291571	-249000	41.5	-41.5	5.30773	150	38.5482	7.45075	0.1	6831.1	0.0302265	-83	99.9698	83	3	994.692	13.771	2.01362	145.666	0.00746934	9999.61	-83	83	50	0.00956125	1.01374e-07	0.120923	32.7576	1115.97	10.0383	1.77414	4.66208	6807.26	199956	9.79639	0.0844808	31.9491	0.284401	494013	5986.62	1.17972	0.148029	746.21	33.562	0.738897	56.438	9.66457	299.582	97.1819	182.873	299.997	0.408157	2.81809	1.85983	118.14	0.00317789	10.0383	3.214	1.04745e-10	-0.00748428	1.27972	1.14308	60.7815	7.53629	1.32062	-0.00748428	0.17653	0.0178217	0.00742131	0
84	1.5e+06	2.68535e+06	429.382	15024.2	0	18.8913	-962.998	944.107	88386.3	296798	-252000	42	-42	5.29403	150	38.5889	7.43147	0.1	6831.16	0.030226	-84	99.9698	84	3	994.706	13.9447	2.02273	145.443	0.00755933	9999.6	-84	84	50	0.0096972	1.03076e-07	0.121036	33.7178	1130.88	10.0388	1.74903	4.48216	6791.22	199956	9.95466	0.086738	31.9835	0.287539	493835	6165.36	1.18589	0.148769	746.214	33.7845	0.738816	56.2155	9.68902	299.579	97.1554	182.893	299.997	0.411529	2.84463	1.87215	118.128	0.00318479	10.0388	3.214	1.07429e-10	-0.00757463	1.27103	1.14332	60.7662	7.53596	1.32071	-0.00757463	0.176962	0.0179996	0.00754711	0
85	1.5e+06	2.6806e+06	436.108	15229.7	0	19.0043	-982.059	963.055	90666.8	302060	-255000	42.5	-42.5	5.2804	150	38.6295	7.41228	0.1	6831.22	0.0302257	-85	99.9698	85	3	994.72	14.1174	2.03196	145.22	0.00764932	9999.6	-85	85	50	0.00983631	1.04805e-07	0.121123	34.7002	1145.87	10.0392	1.72403	4.30947	6775.08	199956	10.1126	0.0890425	32.0108	0.290691	493653	6346.87	1.19198	0.149499	746.219	34.0071	0.738735	55.9929	9.71409	299.575	97.1287	182.913	299.997	0.414944	2.87133	1.88444	118.116	0.00319192	10.0392	3.214	1.10157e-10	-0.00766498	1.26244	1.14358	60.7501	7.53563	1.3208	-0.00766498	0.177377	0.0181752	0.00767356	0
86	1.5e+06	2.67577e+06	442.908	15436.6	0	19.1155	-1001.23	982.115	92982.4	307356	-258000	43	-43	5.26684	150	38.6702	7.3932	0.1	6831.28	0.0302255	-86	99.9698	86	3	994.733	14.289	2.04132	144.999	0.00773931	9999.59	-86	86	50	0.00997863	1.06563e-07	0.121187	35.7054	1160.96	10.0397	1.69915	4.14366	6758.83	199956	10.2704	0.0913959	32.0315	0.293856	493469	6531.16	1.198	0.15022	746.225	34.2298	0.738653	55.7702	9.73976	299.572	97.1018	182.933	299.997	0.418403	2.89819	1.89669	118.103	0.00319928	10.0397	3.214	1.1293e-10	-0.00775533	1.25394	1.14384	60.7334	7.53528	1.32088	-0.00775533	0.177776	0.0183484	0.00780065	0
87	1.5e+06	2.67087e+06	449.786	15645.1	0	19.225	-1020.51	1001.29	95332.2	312687	-261000	43.5	-43.5	5.25335	150	38.7107	7.37421	0.1	6831.34	0.0302254	-87	99.9698	87	3	994.747	14.4596	2.0508	144.778	0.00782931	9999.59	-87	87	50	0.0101242	1.08351e-07	0.121226	36.734	1176.14	10.0402	1.6744	3.98443	6742.47	199956	10.4279	0.0937998	32.0456	0.297037	493282	6718.21	1.20396	0.150932	746.231	34.4527	0.738572	55.5473	9.76601	299.568	97.0748	182.952	299.997	0.421904	2.92522	1.9089	118.091	0.00320688	10.0402	3.214	1.1575e-10	-0.00784569	1.24553	1.14411	60.716	7.53492	1.32096	-0.00784569	0.17816	0.0185192	0.00792837	0
88	1.5e+06	2.66591e+06	456.743	15855.1	0	19.3329	-1039.9	1020.56	97715.6	318052	-264000	44	-44	5.23993	150	38.7512	7.35531	0.1	6831.4	0.0302253	-88	99.9698	88	3	994.76	14.6292	2.06041	144.558	0.0079193	9999.58	-88	88	50	0.010273	1.10169e-07	0.121243	37.787	1191.42	10.0406	1.64978	3.83145	6725.99	199955	10.5853	0.0962556	32.0536	0.300233	493092	6908.03	1.20984	0.151635	746.239	34.6757	0.73849	55.3243	9.79281	299.564	97.0476	182.971	299.997	0.425447	2.9524	1.92108	118.079	0.00321472	10.0406	3.214	1.18617e-10	-0.00793606	1.23722	1.1444	60.6979	7.53455	1.32105	-0.00793606	0.17853	0.0186878	0.00805672	0
89	1.5e+06	2.66087e+06	463.782	16066.7	0	19.4392	-1059.39	1039.95	100132	323452	-267000	44.5	-44.5	5.22657	150	38.7917	7.33652	0.1	6831.46	0.0302252	-89	99.9698	89	3	994.773	14.7978	2.07013	144.339	0.00800929	9999.58	-89	89	50	0.0104252	1.1202e-07	0.121238	38.8649	1206.81	10.0411	1.62531	3.68447	6709.38	199955	10.7426	0.0987648	32.0555	0.303447	492899	7100.61	1.21567	0.152331	746.247	34.8988	0.738408	55.1012	9.82015	299.561	97.0203	182.99	299.997	0.429033	2.97974	1.93323	118.067	0.00322281	10.0411	3.214	1.21531e-10	-0.00802642	1.229	1.1447	60.6793	7.53418	1.32113	-0.00802642	0.178885	0.018854	0.00818569	0
90	1.5e+06	2.65577e+06	470.906	16280.1	0	19.5438	-1078.99	1059.44	102579	328885	-270000	45	-45	5.21329	150	38.8321	7.31782	0.1	6831.51	0.0302252	-90	99.9698	90	3	994.787	14.9654	2.07997	144.122	0.00809928	9999.57	-90	90	50	0.0105807	1.13902e-07	0.121212	39.9685	1222.3	10.0416	1.60099	3.54321	6692.65	199955	10.8998	0.101329	32.0516	0.306677	492704	7295.95	1.22143	0.153018	746.257	35.122	0.738326	54.878	9.848	299.557	96.9928	183.008	299.997	0.432661	3.00723	1.94535	118.055	0.00323115	10.0416	3.214	1.24494e-10	-0.0081168	1.22087	1.145	60.66	7.53379	1.3212	-0.0081168	0.179226	0.0190179	0.00831527	0
91	1.5e+06	2.6506e+06	478.116	16495.1	0	19.6469	-1098.68	1079.04	105058	334351	-273000	45.5	-45.5	5.20007	150	38.8725	7.29922	0.1	6831.57	0.0302252	-91	99.9698	91	3	994.8	15.132	2.08993	143.905	0.00818927	9999.57	-91	91	50	0.0107396	1.15818e-07	0.121165	41.0984	1237.89	10.042	1.57684	3.40744	6675.8	199955	11.057	0.10395	32.0422	0.309926	492506	7494.05	1.22713	0.153698	746.267	35.3453	0.738244	54.6547	9.87635	299.553	96.9651	183.027	299.997	0.43633	3.03488	1.95743	118.043	0.00323975	10.042	3.214	1.27507e-10	-0.00820717	1.21283	1.14532	60.6402	7.5334	1.32128	-0.00820717	0.179555	0.0191795	0.00844546	0
92	1.5e+06	2.64537e+06	485.416	16711.8	0	19.7485	-1118.48	1098.74	107567	339852	-276000	46	-46	5.18692	150	38.9128	7.28071	0.1	6831.63	0.0302252	-92	99.9698	92	3	994.813	15.2977	2.10001	143.689	0.00827927	9999.57	-92	92	50	0.010902	1.17769e-07	0.121099	42.2554	1253.6	10.0425	1.55285	3.27692	6658.81	199955	11.2142	0.106629	32.0273	0.313193	492305	7694.91	1.23278	0.154371	746.278	35.5686	0.738162	54.4314	9.90518	299.549	96.9373	183.044	299.997	0.440041	3.06269	1.96948	118.031	0.00324861	10.0425	3.214	1.3057e-10	-0.00829755	1.20488	1.14565	60.6198	7.533	1.32136	-0.00829755	0.17987	0.0193388	0.00857625	0
93	1.5e+06	2.64007e+06	492.806	16930.4	0	19.8485	-1138.38	1118.53	110105	345385	-279000	46.5	-46.5	5.17383	150	38.953	7.26229	0.1	6831.69	0.0302252	-93	99.9698	93	3	994.826	15.4623	2.11021	143.473	0.00836926	9999.56	-93	93	50	0.0110678	1.19755e-07	0.121014	43.4402	1269.42	10.043	1.52904	3.15145	6641.68	199955	11.3713	0.109367	32.0072	0.316479	492101	7898.53	1.23837	0.155037	746.289	35.792	0.73808	54.208	9.93448	299.545	96.9094	183.062	299.997	0.443794	3.09064	1.9815	118.018	0.00325773	10.043	3.214	1.33684e-10	-0.00838794	1.19701	1.14598	60.5988	7.53259	1.32143	-0.00838794	0.180174	0.0194958	0.00870763	0
94	1.5e+06	2.63471e+06	500.289	17150.7	0	19.947	-1158.38	1138.43	112672	350951	-282000	47	-47	5.16081	150	38.9932	7.24397	0.1	6831.75	0.0302251	-94	99.9698	94	3	994.839	15.626	2.12053	143.259	0.00845925	9999.56	-94	94	50	0.0112372	1.21778e-07	0.12091	44.6534	1285.36	10.0434	1.50542	3.03081	6624.42	199955	11.5286	0.112166	31.982	0.319783	491895	8104.92	1.24391	0.155696	746.302	36.0155	0.737997	53.9845	9.96421	299.541	96.8813	183.079	299.997	0.447587	3.11875	1.99349	118.007	0.00326714	10.0434	3.214	1.3685e-10	-0.00847833	1.18924	1.14632	60.5774	7.53217	1.32151	-0.00847833	0.180466	0.0196507	0.0088396	0
95	1.5e+06	2.62929e+06	507.866	17372.9	0	20.0441	-1178.47	1158.43	115266	356551	-285000	47.5	-47.5	5.14786	150	39.0334	7.22574	0.1	6831.81	0.0302251	-95	99.9698	95	3	994.852	15.7888	2.13096	143.046	0.00854924	9999.55	-95	95	50	0.01141	1.23838e-07	0.120788	45.8958	1301.4	10.0439	1.48198	2.91482	6607.02	199954	11.6858	0.115027	31.952	0.323108	491686	8314.07	1.2494	0.156349	746.315	36.239	0.737915	53.761	9.99438	299.537	96.853	183.096	299.997	0.451421	3.14701	2.00545	117.995	0.00327682	10.0439	3.214	1.40069e-10	-0.00856872	1.18155	1.14668	60.5554	7.53174	1.32158	-0.00856872	0.180747	0.0198032	0.00897215	0
96	1.5e+06	2.62381e+06	515.539	17596.9	0	20.1396	-1198.66	1178.52	117886	362183	-288000	48	-48	5.13497	150	39.0735	7.2076	0.1	6831.87	0.0302251	-96	99.9698	96	3	994.865	15.9505	2.1415	142.833	0.00863923	9999.55	-96	96	50	0.0115865	1.25937e-07	0.120648	47.1678	1317.57	10.0443	1.45875	2.8033	6589.48	199954	11.8431	0.117952	31.9172	0.326451	491474	8525.98	1.25483	0.156995	746.329	36.4625	0.737833	53.5375	10.025	299.533	96.8246	183.113	299.997	0.455295	3.17541	2.01737	117.983	0.00328678	10.0443	3.214	1.43343e-10	-0.00865912	1.17394	1.14704	60.533	7.53131	1.32165	-0.00865912	0.181017	0.0199536	0.00910528	0
97	1.5e+06	2.61826e+06	523.308	17822.7	0	20.2338	-1218.94	1198.71	120532	367847	-291000	48.5	-48.5	5.12214	150	39.1136	7.18955	0.1	6831.92	0.0302251	-97	99.9698	97	3	994.878	16.1114	2.15216	142.622	0.00872923	9999.54	-97	97	50	0.0117666	1.28076e-07	0.120492	48.4701	1333.84	10.0448	1.43572	2.69609	6571.8	199954	12.0005	0.120941	31.8779	0.329814	491259	8740.66	1.26022	0.157635	746.343	36.6861	0.737751	53.3139	10.0559	299.529	96.796	183.129	299.997	0.45921	3.20397	2.02927	117.971	0.00329704	10.0448	3.214	1.46672e-10	-0.00874952	1.16642	1.14741	60.51	7.53087	1.32172	-0.00874952	0.181277	0.0201017	0.00923899	0
98	1.5e+06	2.61266e+06	531.175	18050.3	0	20.3265	-1239.31	1218.99	123203	373544	-294000	49	-49	5.10938	150	39.1536	7.1716	0.1	6831.98	0.0302251	-98	99.9698	98	3	994.891	16.2713	2.16293	142.411	0.00881922	9999.54	-98	98	50	0.0119504	1.30256e-07	0.12032	49.8033	1350.23	10.0453	1.41291	2.59303	6553.98	199954	12.1579	0.123996	31.8341	0.333197	491042	8958.11	1.26555	0.158268	746.358	36.9096	0.737669	53.0904	10.0873	299.525	96.7673	183.145	299.997	0.463164	3.23267	2.04114	117.959	0.00330759	10.0453	3.214	1.50057e-10	-0.00883992	1.15898	1.14779	60.4866	7.53043	1.32179	-0.00883992	0.181527	0.0202477	0.00937326	0
99	1.5e+06	2.607e+06	539.14	18279.7	0	20.4178	-1259.78	1239.36	125898	379272	-297000	49.5	-49.5	5.09669	150	39.1935	7.15373	0.1	6832.04	0.0302251	-99	99.9698	99	3	994.903	16.4302	2.17382	142.201	0.00890921	9999.53	-99	99	50	0.0121379	1.32478e-07	0.120132	51.1679	1366.73	10.0457	1.39033	2.49396	6536.03	199954	12.3153	0.127119	31.7861	0.336599	490822	9178.32	1.27084	0.158895	746.374	37.1332	0.737586	52.8668	10.119	299.521	96.7385	183.161	299.997	0.467159	3.26152	2.05297	117.947	0.00331845	10.0457	3.214	1.53499e-10	-0.00893033	1.15163	1.14817	60.4628	7.52997	1.32185	-0.00893033	0.181767	0.0203915	0.00950809	0
