Time	[EmptySet]	[A]	[C]	[DA]	[DAp]	[DR]	[DRp]	[MA]	[MR]	[R]
75	0	1.23768	290.357	0.975981	0.0240186	0.98781	0.0121898	6.05063	0.841559	121.563
76	0	1.74138	303.494	0.966593	0.0334075	0.98295	0.0170501	6.44961	1.09157	91.8877
77	0	3.06662	327.315	0.943093	0.0569071	0.970491	0.0295089	7.38511	1.55176	59.247
78	0	188.247	393.417	0.213926	0.786074	0.35143	0.64857	33.5042	7.88236	1.16528
79	0	1149.77	513.285	0.0416903	0.95831	0.0800423	0.919958	48.0087	38.8551	0.30767
80	0	1374.46	764.791	0.0351006	0.964899	0.0678207	0.932179	48.4181	60.132	0.387507
81	0	1215.01	1100.21	0.0395188	0.960481	0.0760334	0.923967	48.2555	73.0224	0.602836
82	0	883.157	1484.6	0.053558	0.946442	0.101673	0.898327	47.6798	80.1775	1.06695
83	0	460	1892.03	0.0978648	0.902135	0.178308	0.821692	45.9329	82.6728	2.50209
84	0	1.11304	2002.32	0.971748	0.0282518	0.9876	0.0124005	12.433	70.5294	284.47
85	0	0.0873921	915.604	0.99824	0.00175985	0.999123	0.00087684	5.08422	42.8635	1454.14
86	0	0.0738195	497.058	0.998525	0.00147487	0.999262	0.000737802	5.06666	26.0364	1715.41
87	0	0.0775272	342.962	0.998455	0.00154517	0.999226	0.00077392	5.06892	15.8292	1634.01
88	0	0.0878576	286.465	0.998251	0.001749	0.999123	0.00087653	5.07761	9.64125	1444.26
89	0	0.103011	266.026	0.997951	0.00204908	0.998973	0.00102731	5.09069	5.89312	1234.89
90	0	0.122922	258.984	0.997556	0.00244354	0.998775	0.00122548	5.108	3.6267	1038.28
91	0	0.1482	257.007	0.997056	0.00294407	0.998523	0.001477	5.13002	2.26095	864.791
92	0	0.179897	257.053	0.996429	0.00357112	0.998208	0.00179223	5.15762	1.4438	716.144
93	0	0.219501	258.036	0.995647	0.00435347	0.997814	0.00218582	5.19207	0.962179	590.745
94	0	0.269019	259.603	0.99467	0.0053299	0.997323	0.00267749	5.23505	0.687562	485.889
95	0	0.331163	261.686	0.993447	0.00655251	0.996706	0.00329382	5.28885	0.542895	398.655
96	0	0.409677	264.344	0.991907	0.00809264	0.995929	0.00407135	5.35657	0.482689	326.267
97	0	0.509917	267.713	0.989948	0.0100516	0.994938	0.00506215	5.44261	0.481099	266.223
98	0	0.63999	272.014	0.987419	0.0125811	0.993655	0.00634464	5.55351	0.525007	216.318
99	0	0.813245	277.592	0.984072	0.0159282	0.991953	0.00804723	5.69984	0.610492	174.591
100	0	1.05472	285.026	0.97945	0.0205505	0.989591	0.0104091	5.90086	0.74227	139.227
