Time	[D]	[CDK5]	[D_CDK5]	[D75]	[CK1]	[D_CK1]	[D137]	[PKA]	[D_PKA]	[D34]	[D34_CDK5]	[D34_CK1]	[PP2B]	[D34_PP2B]	[D34:75]	[D34:137]	[D75_CK1]	[D75_PKA]	[PP2A]	[D75_PP2A]	[PP2AP]	[D75_PP2AP]	[D75:137]	[D137_CDK5]	[D137_PKA]	[D137_PP2C]	[PP2C]	[D34:75_CK1]	[D34:137_CDK5]	[D34:75:137]	[D75:137_PKA]	[D34:75_PP2B]	[D34:137_PP2B]	[D34:75:137_PP2B]	[D34:75_PP2A]	[D75:137_PP2A]	[D34:75:137_PP2A]	[D34:75_PP2AP]	[D75:137_PP2AP]	[D34:75:137_PP2AP]	[D34:137_PP2C]	[D75:137_PP2C]	[PDE]	[PP2Binactive]	[D34:75:137_PP2C]	[CK1P]	[CK1P_PP2B]	[PDE_PKA]	[PDEP]	[PP2A_PKA]	[Ca]	[PP2BinactiveCa2]	[R2C2]	[cAMP]	[cAMP_R2C2]	[cAMP2_R2C2]	[cAMP3_R2C2]	[cAMP4_R2C2]	[cAMP4_R2C]	[cAMP4_R2]	[cAMP_PDE]	[AMP]	[cAMP_PDEP]	[Empty]
10	3.1554e-06	8.93469e-08	1.05271e-07	1.42987e-06	6.55354e-09	6.04431e-09	1.60612e-07	0	0	0	0	0	8.46809e-09	0	0	0	2.73122e-09	0	1.71271e-07	2.73481e-08	0	0	7.20538e-08	5.3819e-09	0	9.60826e-09	1.19094e-07	0	0	0	0	0	0	0	0	1.38068e-09	0	0	0	0	0	4.29758e-09	2e-06	2.92959e-07	0	1.4941e-07	1.26086e-09	0	0	0	1.04136e-08	2.93118e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
11	3.1262e-06	8.99443e-08	1.04993e-07	1.47135e-06	7.0418e-09	6.42854e-09	1.5022e-07	0	0	0	0	0	9.39165e-09	0	0	0	3.01872e-09	0	1.70622e-07	2.80398e-08	0	0	7.01162e-08	5.06243e-09	0	9.02882e-09	1.19767e-07	0	0	0	0	0	0	0	0	1.33814e-09	0	0	0	0	0	4.20412e-09	2e-06	2.90579e-07	0	1.48124e-07	1.38707e-09	0	0	0	1.06483e-08	3.06422e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
12	3.10114e-06	9.044e-08	1.04726e-07	1.50477e-06	7.6137e-09	6.89335e-09	1.42817e-07	0	0	0	0	0	1.02871e-08	0	0	0	3.33872e-09	0	1.70098e-07	2.85927e-08	0	0	6.88285e-08	4.83446e-09	0	8.60977e-09	1.20249e-07	0	0	0	0	0	0	0	0	1.30914e-09	0	0	0	0	0	4.14128e-09	2e-06	2.88344e-07	0	1.46649e-07	1.50481e-09	0	0	0	1.08639e-08	3.18641e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
13	3.07928e-06	9.08512e-08	1.0446e-07	1.53143e-06	8.22434e-09	7.39471e-09	1.38026e-07	0	0	0	0	0	1.1154e-08	0	0	0	3.67218e-09	0	1.69675e-07	2.90302e-08	0	0	6.82666e-08	4.68874e-09	0	8.33367e-09	1.20551e-07	0	0	0	0	0	0	0	0	1.29479e-09	0	0	0	0	0	4.11527e-09	2e-06	2.8624e-07	0	1.45094e-07	1.61484e-09	0	0	0	1.10629e-08	3.29907e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
14	3.05994e-06	9.1192e-08	1.04193e-07	1.55249e-06	8.84571e-09	7.90576e-09	1.35458e-07	0	0	0	0	0	1.19923e-08	0	0	0	4.00622e-09	0	1.69333e-07	2.93726e-08	0	0	6.84217e-08	4.61448e-09	0	8.18087e-09	1.20692e-07	0	0	0	0	0	0	0	0	1.29471e-09	0	0	0	0	0	4.12698e-09	2e-06	2.84257e-07	0	1.43524e-07	1.71786e-09	0	0	0	1.12475e-08	3.4033e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
15	3.0426e-06	9.14748e-08	1.03924e-07	1.5689e-06	9.46071e-09	8.41044e-09	1.34745e-07	0	0	0	0	0	1.28021e-08	0	0	0	4.33255e-09	0	1.69056e-07	2.96368e-08	0	0	6.92369e-08	4.60076e-09	0	8.13173e-09	1.20694e-07	0	0	0	0	0	0	0	0	1.30764e-09	0	0	0	0	0	4.17402e-09	2e-06	2.82383e-07	0	1.41982e-07	1.81454e-09	0	0	0	1.14191e-08	3.5e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
16	3.02689e-06	9.17094e-08	1.03653e-07	1.5815e-06	1.00592e-08	8.8995e-09	1.35555e-07	0	0	0	0	0	1.35839e-08	0	0	0	4.64613e-09	0	1.68831e-07	2.98368e-08	0	0	7.06307e-08	4.63727e-09	0	8.16777e-09	1.2058e-07	0	0	0	0	0	0	0	0	1.33189e-09	0	0	0	0	0	4.25219e-09	2e-06	2.80611e-07	0	1.4049e-07	1.90546e-09	0	0	0	1.15792e-08	3.58996e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
17	3.01253e-06	9.19044e-08	1.03381e-07	1.59098e-06	1.06356e-08	9.36792e-09	1.37597e-07	0	0	0	0	0	1.43381e-08	0	0	0	4.94416e-09	0	1.6865e-07	2.99847e-08	0	0	7.2513e-08	4.71474e-09	0	8.27241e-09	1.20371e-07	0	0	0	0	0	0	0	0	1.36569e-09	0	0	0	0	0	4.35652e-09	2e-06	2.78933e-07	0	1.39061e-07	1.99111e-09	0	0	0	1.17289e-08	3.67382e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
18	2.99929e-06	9.20666e-08	1.03108e-07	1.59791e-06	1.1187e-08	9.81332e-09	1.40619e-07	0	0	0	0	0	1.50655e-08	0	0	0	5.22539e-09	0	1.68502e-07	3.00903e-08	0	0	7.47949e-08	4.825e-09	0	8.43113e-09	1.20087e-07	0	0	0	0	0	0	0	0	1.40726e-09	0	0	0	0	0	4.48198e-09	2e-06	2.77341e-07	0	1.37702e-07	2.07194e-09	0	0	0	1.18693e-08	3.75217e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
19	2.98702e-06	9.22018e-08	1.02837e-07	1.60279e-06	1.17124e-08	1.02349e-08	1.44409e-07	0	0	0	0	0	1.57667e-08	0	0	0	5.48952e-09	0	1.68383e-07	3.01617e-08	0	0	7.73933e-08	4.96105e-09	0	8.63158e-09	1.19745e-07	0	0	0	0	0	0	0	0	1.45501e-09	0	0	0	0	0	4.62381e-09	2e-06	2.7583e-07	0	1.36415e-07	2.14834e-09	0	0	0	1.20012e-08	3.8255e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
20	2.97557e-06	9.23148e-08	1.02568e-07	1.606e-06	1.22117e-08	1.0633e-08	1.4879e-07	0	0	0	0	0	1.64425e-08	0	0	0	5.73691e-09	0	1.68287e-07	3.02056e-08	0	0	8.02344e-08	5.11697e-09	0	8.86338e-09	1.19359e-07	0	0	0	0	0	0	0	0	1.50749e-09	0	0	0	0	0	4.77776e-09	2e-06	2.74394e-07	0	1.35198e-07	2.22065e-09	0	0	0	1.21253e-08	3.89425e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
21	2.96483e-06	9.24094e-08	1.02303e-07	1.60789e-06	1.26856e-08	1.10082e-08	1.53613e-07	0	0	0	0	0	1.70937e-08	0	0	0	5.96823e-09	0	1.68209e-07	3.02276e-08	0	0	8.3254e-08	5.28778e-09	0	9.11794e-09	1.18942e-07	0	0	0	0	0	0	0	0	1.56347e-09	0	0	0	0	0	4.94016e-09	2e-06	2.73029e-07	0	1.34049e-07	2.28916e-09	0	0	0	1.22422e-08	3.9588e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
22	2.95473e-06	9.24889e-08	1.02042e-07	1.60871e-06	1.31352e-08	1.13617e-08	1.58757e-07	0	0	0	0	0	1.77209e-08	0	0	0	6.18441e-09	0	1.68146e-07	3.02322e-08	0	0	8.63976e-08	5.46936e-09	0	9.38823e-09	1.18504e-07	0	0	0	0	0	0	0	0	1.62191e-09	0	0	0	0	0	5.10792e-09	2e-06	2.7173e-07	0	1.32965e-07	2.35415e-09	0	0	0	1.23527e-08	4.0195e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
23	2.94519e-06	9.25559e-08	1.01786e-07	1.60869e-06	1.35616e-08	1.16946e-08	1.64122e-07	0	0	0	0	0	1.83251e-08	0	0	0	6.38643e-09	0	1.68095e-07	3.0223e-08	0	0	8.96194e-08	5.65832e-09	0	9.6686e-09	1.18053e-07	0	0	0	0	0	0	0	0	1.68191e-09	0	0	0	0	0	5.2785e-09	2e-06	2.70492e-07	0	1.31942e-07	2.41584e-09	0	0	0	1.2457e-08	4.07666e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
24	2.93616e-06	9.26126e-08	1.01535e-07	1.60801e-06	1.39659e-08	1.20082e-08	1.69626e-07	0	0	0	0	0	1.8907e-08	0	0	0	6.57531e-09	0	1.68054e-07	3.02031e-08	0	0	9.2882e-08	5.85188e-09	0	9.95448e-09	1.17596e-07	0	0	0	0	0	0	0	0	1.74276e-09	0	0	0	0	0	5.44985e-09	2e-06	2.69313e-07	0	1.30976e-07	2.47446e-09	0	0	0	1.25558e-08	4.13053e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
25	2.92759e-06	9.26608e-08	1.01291e-07	1.60681e-06	1.43496e-08	1.23038e-08	1.75204e-07	0	0	0	0	0	1.94673e-08	0	0	0	6.75203e-09	0	1.68021e-07	3.0175e-08	0	0	9.61546e-08	6.04779e-09	0	1.02423e-08	1.17137e-07	0	0	0	0	0	0	0	0	1.80387e-09	0	0	0	0	0	5.62034e-09	2e-06	2.68189e-07	0	1.30064e-07	2.5302e-09	0	0	0	1.26494e-08	4.18138e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
26	2.91944e-06	9.2702e-08	1.01054e-07	1.60522e-06	1.47138e-08	1.25824e-08	1.80802e-07	0	0	0	0	0	2.00069e-08	0	0	0	6.91753e-09	0	1.67995e-07	3.01405e-08	0	0	9.94126e-08	6.24423e-09	0	1.05291e-08	1.16682e-07	0	0	0	0	0	0	0	0	1.86477e-09	0	0	0	0	0	5.78871e-09	2e-06	2.67116e-07	0	1.29203e-07	2.58323e-09	0	0	0	1.27382e-08	4.22942e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
27	2.91168e-06	9.27372e-08	1.00823e-07	1.60333e-06	1.50596e-08	1.28453e-08	1.86377e-07	0	0	0	0	0	2.05264e-08	0	0	0	7.07269e-09	0	1.67974e-07	3.01014e-08	0	0	1.02636e-07	6.43976e-09	0	1.08128e-08	1.16233e-07	0	0	0	0	0	0	0	0	1.92508e-09	0	0	0	0	0	5.95398e-09	2e-06	2.66091e-07	0	1.28389e-07	2.63372e-09	0	0	0	1.28224e-08	4.27485e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
28	2.90427e-06	9.27677e-08	1.00599e-07	1.60122e-06	1.53882e-08	1.30935e-08	1.91897e-07	0	0	0	0	0	2.10266e-08	0	0	0	7.21833e-09	0	1.67957e-07	3.00589e-08	0	0	1.05811e-07	6.63321e-09	0	1.10917e-08	1.15793e-07	0	0	0	0	0	0	0	0	1.9845e-09	0	0	0	0	0	6.11543e-09	2e-06	2.65113e-07	0	1.27618e-07	2.68181e-09	0	0	0	1.29025e-08	4.31785e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
29	2.8972e-06	9.2794e-08	1.00382e-07	1.59896e-06	1.57007e-08	1.33279e-08	1.97335e-07	0	0	0	0	0	2.15082e-08	0	0	0	7.35519e-09	0	1.67943e-07	3.0014e-08	0	0	1.08923e-07	6.8237e-09	0	1.13646e-08	1.15363e-07	0	0	0	0	0	0	0	0	2.0428e-09	0	0	0	0	0	6.27253e-09	2e-06	2.64178e-07	0	1.26889e-07	2.72765e-09	0	0	0	1.29786e-08	4.35858e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
30	2.89044e-06	9.2817e-08	1.00172e-07	1.59658e-06	1.59978e-08	1.35496e-08	2.02669e-07	0	0	0	0	0	2.19718e-08	0	0	0	7.48396e-09	0	1.67933e-07	2.99676e-08	0	0	1.11965e-07	7.01051e-09	0	1.16304e-08	1.14945e-07	0	0	0	0	0	0	0	0	2.09981e-09	0	0	0	0	0	6.42491e-09	2e-06	2.63285e-07	0	1.26197e-07	2.77136e-09	0	0	0	1.30511e-08	4.3972e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
31	2.88398e-06	9.28372e-08	9.99697e-08	1.59414e-06	1.62807e-08	1.37593e-08	2.07885e-07	0	0	0	0	0	2.24182e-08	0	0	0	7.60524e-09	0	1.67924e-07	2.99203e-08	0	0	1.1493e-07	7.19311e-09	0	1.18885e-08	1.14539e-07	0	0	0	0	0	0	0	0	2.15539e-09	0	0	0	0	0	6.57233e-09	2e-06	2.6243e-07	0	1.25542e-07	2.81306e-09	0	0	0	1.31201e-08	4.43384e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
32	2.87779e-06	9.2855e-08	9.97739e-08	1.59167e-06	1.655e-08	1.39579e-08	2.12971e-07	0	0	0	0	0	2.28479e-08	0	0	0	7.71961e-09	0	1.67918e-07	2.98727e-08	0	0	1.17813e-07	7.37111e-09	0	1.21386e-08	1.14147e-07	0	0	0	0	0	0	0	0	2.20946e-09	0	0	0	0	0	6.71466e-09	2e-06	2.61613e-07	0	1.2492e-07	2.85286e-09	0	0	0	1.31858e-08	4.46863e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
33	2.87187e-06	9.28708e-08	9.9585e-08	1.58918e-06	1.68066e-08	1.41459e-08	2.17918e-07	0	0	0	0	0	2.32616e-08	0	0	0	7.82758e-09	0	1.67913e-07	2.98252e-08	0	0	1.2061e-07	7.54423e-09	0	1.23802e-08	1.13768e-07	0	0	0	0	0	0	0	0	2.26194e-09	0	0	0	0	0	6.85183e-09	2e-06	2.60831e-07	0	1.24329e-07	2.89085e-09	0	0	0	1.32485e-08	4.50168e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
34	2.86619e-06	9.28849e-08	9.94029e-08	1.58671e-06	1.70512e-08	1.43242e-08	2.22721e-07	0	0	0	0	0	2.36598e-08	0	0	0	7.92961e-09	0	1.67909e-07	2.97781e-08	0	0	1.23321e-07	7.71227e-09	0	1.26133e-08	1.13403e-07	0	0	0	0	0	0	0	0	2.31281e-09	0	0	0	0	0	6.98384e-09	2e-06	2.60082e-07	0	1.23768e-07	2.92714e-09	0	0	0	1.33083e-08	4.5331e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
35	2.86075e-06	9.28975e-08	9.92274e-08	1.58426e-06	1.72845e-08	1.44933e-08	2.27376e-07	0	0	0	0	0	2.40431e-08	0	0	0	8.02613e-09	0	1.67906e-07	2.97316e-08	0	0	1.25943e-07	7.87513e-09	0	1.28379e-08	1.13051e-07	0	0	0	0	0	0	0	0	2.36203e-09	0	0	0	0	0	7.11075e-09	2e-06	2.59365e-07	0	1.23234e-07	2.96181e-09	0	0	0	1.33654e-08	4.56299e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
36	2.85554e-06	9.2909e-08	9.90583e-08	1.58186e-06	1.7507e-08	1.46539e-08	2.31882e-07	0	0	0	0	0	2.44122e-08	0	0	0	8.11751e-09	0	1.67904e-07	2.96861e-08	0	0	1.28478e-07	8.03274e-09	0	1.3054e-08	1.12713e-07	0	0	0	0	0	0	0	0	2.40961e-09	0	0	0	0	0	7.23263e-09	2e-06	2.58679e-07	0	1.22727e-07	2.99495e-09	0	0	0	1.34199e-08	4.59144e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
37	2.85054e-06	9.29193e-08	9.88956e-08	1.5795e-06	1.77194e-08	1.48063e-08	2.36238e-07	0	0	0	0	0	2.47674e-08	0	0	0	8.2041e-09	0	1.67903e-07	2.96415e-08	0	0	1.30925e-07	8.18509e-09	0	1.32617e-08	1.12389e-07	0	0	0	0	0	0	0	0	2.45556e-09	0	0	0	0	0	7.34961e-09	2e-06	2.58021e-07	0	1.22244e-07	3.02663e-09	0	0	0	1.3472e-08	4.61852e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
38	2.84575e-06	9.29288e-08	9.8739e-08	1.57719e-06	1.79222e-08	1.49512e-08	2.40445e-07	0	0	0	0	0	2.51094e-08	0	0	0	8.28624e-09	0	1.67902e-07	2.95981e-08	0	0	1.33285e-07	8.33222e-09	0	1.34611e-08	1.12077e-07	0	0	0	0	0	0	0	0	2.49989e-09	0	0	0	0	0	7.4618e-09	2e-06	2.5739e-07	0	1.21783e-07	3.05693e-09	0	0	0	1.35217e-08	4.64433e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
39	2.84115e-06	9.29375e-08	9.85883e-08	1.57495e-06	1.81159e-08	1.50889e-08	2.44504e-07	0	0	0	0	0	2.54387e-08	0	0	0	8.3642e-09	0	1.67902e-07	2.95559e-08	0	0	1.35561e-07	8.47418e-09	0	1.36526e-08	1.11778e-07	0	0	0	0	0	0	0	0	2.54263e-09	0	0	0	0	0	7.56936e-09	2e-06	2.56786e-07	0	1.21345e-07	3.08591e-09	0	0	0	1.35693e-08	4.66893e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
40	2.83674e-06	9.29455e-08	9.84434e-08	1.57277e-06	1.8301e-08	1.52199e-08	2.48418e-07	0	0	0	0	0	2.57556e-08	0	0	0	8.43825e-09	0	1.67901e-07	2.95149e-08	0	0	1.37753e-07	8.61105e-09	0	1.38362e-08	1.11491e-07	0	0	0	0	0	0	0	0	2.58381e-09	0	0	0	0	0	7.67243e-09	2e-06	2.56207e-07	0	1.20927e-07	3.11365e-09	0	0	0	1.36148e-08	4.69238e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
41	2.83251e-06	9.29529e-08	9.83041e-08	1.57065e-06	1.84779e-08	1.53446e-08	2.52189e-07	0	0	0	0	0	2.60607e-08	0	0	0	8.50865e-09	0	1.67901e-07	2.94752e-08	0	0	1.39864e-07	8.74294e-09	0	1.40123e-08	1.11217e-07	0	0	0	0	0	0	0	0	2.62347e-09	0	0	0	0	0	7.77117e-09	2e-06	2.55652e-07	0	1.20529e-07	3.14019e-09	0	0	0	1.36583e-08	4.71476e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
42	2.82845e-06	9.29598e-08	9.81702e-08	1.56861e-06	1.86471e-08	1.54634e-08	2.55821e-07	0	0	0	0	0	2.63544e-08	0	0	0	8.57561e-09	0	1.67902e-07	2.94367e-08	0	0	1.41896e-07	8.86996e-09	0	1.41811e-08	1.10953e-07	0	0	0	0	0	0	0	0	2.66165e-09	0	0	0	0	0	7.86574e-09	2e-06	2.55119e-07	0	1.20148e-07	3.16561e-09	0	0	0	1.36999e-08	4.73612e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
43	2.82456e-06	9.29662e-08	9.80415e-08	1.56663e-06	1.88088e-08	1.55765e-08	2.59317e-07	0	0	0	0	0	2.66371e-08	0	0	0	8.63934e-09	0	1.67902e-07	2.93996e-08	0	0	1.43851e-07	8.99224e-09	0	1.43428e-08	1.10701e-07	0	0	0	0	0	0	0	0	2.69838e-09	0	0	0	0	0	7.95632e-09	2e-06	2.54608e-07	0	1.19785e-07	3.18995e-09	0	0	0	1.37398e-08	4.75651e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
44	2.82082e-06	9.29722e-08	9.79178e-08	1.56471e-06	1.89636e-08	1.56843e-08	2.62682e-07	0	0	0	0	0	2.69093e-08	0	0	0	8.70003e-09	0	1.67903e-07	2.93638e-08	0	0	1.45732e-07	9.10991e-09	0	1.44977e-08	1.10459e-07	0	0	0	0	0	0	0	0	2.73372e-09	0	0	0	0	0	8.04304e-09	2e-06	2.54118e-07	0	1.19439e-07	3.21326e-09	0	0	0	1.3778e-08	4.77598e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
45	2.81724e-06	9.29779e-08	9.7799e-08	1.56287e-06	1.91118e-08	1.57871e-08	2.65919e-07	0	0	0	0	0	2.71713e-08	0	0	0	8.75785e-09	0	1.67903e-07	2.93292e-08	0	0	1.4754e-07	9.22311e-09	0	1.46462e-08	1.10228e-07	0	0	0	0	0	0	0	0	2.7677e-09	0	0	0	0	0	8.12608e-09	2e-06	2.53647e-07	0	1.19108e-07	3.23559e-09	0	0	0	1.38146e-08	4.79458e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
46	2.8138e-06	9.29832e-08	9.76848e-08	1.56109e-06	1.92536e-08	1.58851e-08	2.69032e-07	0	0	0	0	0	2.74236e-08	0	0	0	8.81298e-09	0	1.67904e-07	2.92959e-08	0	0	1.49279e-07	9.33199e-09	0	1.47883e-08	1.10006e-07	0	0	0	0	0	0	0	0	2.80038e-09	0	0	0	0	0	8.20559e-09	2e-06	2.53196e-07	0	1.18791e-07	3.25699e-09	0	0	0	1.38496e-08	4.81236e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	0
