Time	[d]	[ad]	[e]	[r]	[rs]	[x]	[ip3]	[kg]	[gstar]	[ro]	[ip3con]	[dcon]	[atp]	[y]	[delta]	[ca]
70	0.759053	0.694006	0.451503	0.803622	1.18426	0.556248	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
71	0.76223	0.694006	0.617647	0.71231	1.14258	0.292295	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
72	0.718287	0.694006	0.799008	0.608497	1.09898	0.199284	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
73	0.641524	0.694006	0.986904	0.50868	1.05503	0.178736	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
74	0.550438	0.694006	1.1747	0.423005	1.01265	0.188222	0.943973	8.82353	0.0983305	0.950275	1	0.999958	477.761	478.187	0.0119647	0.299989
75	0.460653	0.619727	1.35731	0.355578	0.973607	0.21079	0.832391	8.82353	0.0852131	0.809954	1	0.000382141	106.547	492.906	0.0119647	0.225711
76	0.333188	0.41	1.53034	0.306876	0.943988	0.239694	0.013	8.82353	0.00135417	7.73467e-15	0.549834	3.21965e-15	1.93367e-13	500	0.0119647	0.0159835
77	0.246919	0.41	1.6894	0.275604	0.925861	0.271753	0.013	8.82353	0.00135417	-3.39813e-18	0.549834	0	-8.49532e-17	500	0.0119647	0.0159835
78	0.192194	0.41	1.83106	0.258818	0.915779	0.306124	0.013	8.82353	0.00135417	1.01237e-17	0.549834	0	2.53092e-16	500	0.0119647	0.0159835
79	0.158706	0.41	1.95263	0.253361	0.911701	0.343057	0.013	8.82353	0.00135417	3.8816e-19	0.549834	0	9.70399e-18	500	0.0119647	0.0159835
80	0.138526	0.41	2.05183	0.256625	0.912619	0.383268	0.013	8.82353	0.00135417	6.63334e-20	0.549834	0	1.65834e-18	500	0.0119647	0.0159835
81	0.126392	0.41	2.12657	0.266731	0.918161	0.427775	0.013	8.82353	0.00135417	-8.34592e-18	0.549834	0	-2.08648e-16	500	0.0119647	0.0159835
82	0.119158	0.41	2.17487	0.282476	0.928243	0.477951	0.013	8.82353	0.00135417	-3.07886e-17	0.549834	0	-7.69716e-16	500	0.0119647	0.0159835
83	0.115091	0.41	2.19479	0.30322	0.942824	0.535738	0.013	8.82353	0.00135417	-1.61489e-17	0.549834	0	-4.03722e-16	500	0.0119647	0.0159835
