Time	[b_Met]	[b_Ser]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[Folate]	[H2O2]	[CO2]	[Formaldehyde]	[c_THF]	[m_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathione]	[Homocysteine]	[c_Serine]	[S-adenosylhomocysteine]	[S-adenosylmethionine]	[c_Methionine]	[c_formate]	[m_Serine]	[m_Glycine]	[m_Formate]	[Sarcosine]	[Dimethylglycine]
29	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.3046	22.1812	9.5395	0.239563	0.146879	2.15158	0.0178895	1.44232	1.41447	15.162	93.783	51.8211	173.562	0.467011	12.4502	0.960983	2876.5	153.87	11.91	435.94	59.0805	6094.45	5.3145	0.888189	206.201	6.9753	18.2127	27.5834	27.0108	478.842	1013.72	94.6676	5.22912	0.641377
30	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.3595	22.4407	9.48511	0.241087	0.147675	2.14862	0.0180054	1.42107	1.40045	14.9378	92.0743	50.7675	172.586	0.462757	12.3864	0.961034	2811.08	155.079	12.0362	422.626	58.5365	5986.54	5.23836	0.894875	200.597	7.01511	18.3923	27.6655	25.5704	444.305	976.131	90.2784	5.21725	0.640375
31	52.5	262.5	10	50	50	20	20.1	0.01	0	500	1.40776	22.6269	9.43554	0.242511	0.148425	2.14765	0.0181137	1.40651	1.39075	14.7758	90.7709	49.7818	171.558	0.458424	12.3188	0.961051	2750.22	156.082	12.0848	414.038	57.9827	5879.05	5.22532	0.900514	197.037	7.05447	18.5644	27.7313	24.4693	423.065	952.115	86.9328	5.21571	0.640177
32	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.16146	21.4133	5.10163	0.489874	0.271227	3.33852	0.0372932	1.62017	1.52237	15.6442	278.801	59.7237	187.378	0.455739	12.2931	0.943659	3012.29	186.047	9.79855	837.018	57.6462	5840.97	24.2361	1.04285	543.472	15.4889	76.1217	76.4712	13.7107	1110.56	1516.61	57.4225	8.26441	0.662578
33	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.71954	21.3727	3.16304	0.564913	0.304111	3.60513	0.0432626	1.64376	1.53585	15.6477	354.521	62.4796	187.686	0.456587	12.3177	0.940401	3186.92	195.958	9.5565	1059.26	57.7587	5879.19	41.563	1.24606	611.546	26.8403	124.001	68.5644	11.8759	1784.24	2065.61	52.2153	10.6193	0.690855
34	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.28853	21.4399	2.48422	0.58775	0.31377	3.68064	0.0450931	1.64085	1.534	15.5853	409.192	64.5961	188.348	0.459171	12.3633	0.939518	3316.74	199.966	9.55563	1175.9	58.0909	5951.2	51.1627	1.33058	657.507	36.2189	158.733	59.4454	11.4267	2308.46	2385.26	50.9019	11.2695	0.666596
35	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.56301	21.3743	3.60056	0.509012	0.279786	3.40882	0.0388138	1.64373	1.53583	15.6461	140.798	54.9962	172.365	0.461175	12.3822	0.942737	3095.66	174.141	9.52709	862.892	58.3424	5980.83	41.4141	1.56148	346.988	30.2529	92.0661	25.2081	11.8973	1892.75	2164.06	52.2118	10.4612	0.901036
36	52.5	262.5	10	50	50	20	20.1	0.01	0	500	3.58873	21.2263	6.14897	0.404077	0.231331	2.99633	0.0305629	1.63632	1.53211	15.8052	114.634	52.6849	172.11	0.460432	12.3622	0.948052	2943	167.391	10.1463	656.08	58.244	5948.02	25.1305	1.20181	296.801	13.7776	44.6415	28.4373	14.3719	1303.25	1671.02	59.1958	8.24805	0.819163
37	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.61779	21.1818	4.52465	0.510247	0.280379	3.42802	0.0389074	1.65254	1.54138	15.8242	318.13	62.0392	188.377	0.459677	12.3606	0.942539	3154.79	189.612	9.63014	967.116	58.1514	5946.4	31.749	1.06536	606.622	17.8243	86.5567	74.0669	13.1512	1675.17	1882.46	55.9822	8.94049	0.6634
38	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.82866	21.3476	3.04583	0.565766	0.304488	3.61193	0.043331	1.64741	1.53798	15.667	387.935	64.4545	188.842	0.461309	12.3929	0.94032	3305.04	195.538	9.53683	1133.02	58.3629	5999.29	44.6527	1.23307	652.188	28.2006	129.244	66.4624	11.8065	2193.92	2269.7	52.0403	10.7006	0.675251
39	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.3276	21.4481	2.45172	0.586364	0.313188	3.67615	0.0449818	1.64022	1.53362	15.578	435.771	66.3667	189.53	0.464147	12.4391	0.939569	3420.59	198.697	9.57721	1220.72	58.7271	6077.25	52.6627	1.31438	684.11	36.8734	161.201	58.4656	11.397	2610.1	2509.98	50.8124	11.2442	0.654594
40	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.55634	21.3489	3.60965	0.508206	0.279434	3.40762	0.0387499	1.64654	1.53749	15.6671	146.978	56.5187	173.535	0.466252	12.4585	0.942752	3189.14	172.985	9.50117	899.629	58.9914	6109.94	42.5773	1.53007	366.155	30.2322	92.2136	24.8559	11.9141	2110.13	2259.8	52.2762	10.3807	0.88514
