Time	[S1]	[DNA_000]	[DNA_100]	[DNA_010]	[DNA_001]	[DNA_110]	[DNA_101]	[DNA_011]	[DNA_111]	[DNA_1B10]	[DNA_01B1]	[DNA_1B11]	[DNA_11B1]	[DNA_1B1B1]
42	9.76038e-11	9.78405e-11	9.5496e-15	1.90992e-12	9.5496e-15	1.86415e-16	9.32076e-19	1.86415e-16	1.77568e-20	1.11849e-13	1.11849e-13	1.05663e-17	1.05663e-17	6.33968e-15
43	9.76037e-11	9.78405e-11	9.5496e-15	1.90992e-12	9.5496e-15	1.86415e-16	9.32075e-19	1.86415e-16	1.77899e-20	1.11849e-13	1.11849e-13	1.05927e-17	1.05927e-17	6.35555e-15
44	9.76037e-11	9.78405e-11	9.54959e-15	1.90992e-12	9.54959e-15	1.86415e-16	9.32074e-19	1.86415e-16	1.78208e-20	1.11849e-13	1.11849e-13	1.06175e-17	1.06175e-17	6.37043e-15
45	9.76036e-11	9.78405e-11	9.54959e-15	1.90992e-12	9.54959e-15	1.86415e-16	9.32074e-19	1.86415e-16	1.78501e-20	1.11849e-13	1.11849e-13	1.0641e-17	1.0641e-17	6.38452e-15
46	9.76036e-11	9.78405e-11	9.54958e-15	1.90992e-12	9.54958e-15	1.86414e-16	9.32073e-19	1.86414e-16	1.78753e-20	1.11849e-13	1.11849e-13	1.06611e-17	1.06611e-17	6.3966e-15
47	9.76036e-11	9.78405e-11	9.54958e-15	1.90992e-12	9.54958e-15	1.86414e-16	9.32072e-19	1.86414e-16	1.78984e-20	1.11849e-13	1.11849e-13	1.06796e-17	1.06796e-17	6.40771e-15
48	9.76035e-11	9.78405e-11	9.54958e-15	1.90991e-12	9.54958e-15	1.86414e-16	9.32072e-19	1.86414e-16	1.79198e-20	1.11849e-13	1.11849e-13	1.06967e-17	1.06967e-17	6.41799e-15
49	9.76035e-11	9.78405e-11	9.54957e-15	1.90991e-12	9.54957e-15	1.86414e-16	9.32071e-19	1.86414e-16	1.79397e-20	1.11848e-13	1.11848e-13	1.07127e-17	1.07127e-17	6.42756e-15
50	9.76035e-11	9.78405e-11	9.54957e-15	1.90991e-12	9.54957e-15	1.86414e-16	9.3207e-19	1.86414e-16	1.79584e-20	1.11848e-13	1.11848e-13	1.07277e-17	1.07277e-17	6.43656e-15
51	9.76034e-11	9.78405e-11	9.54957e-15	1.90991e-12	9.54957e-15	1.86414e-16	9.3207e-19	1.86414e-16	1.79762e-20	1.11848e-13	1.11848e-13	1.07419e-17	1.07419e-17	6.44512e-15
52	9.76034e-11	9.78404e-11	9.54956e-15	1.90991e-12	9.54956e-15	1.86414e-16	9.32069e-19	1.86414e-16	1.7993e-20	1.11848e-13	1.11848e-13	1.07554e-17	1.07554e-17	6.45319e-15
53	9.76034e-11	9.78404e-11	9.54956e-15	1.90991e-12	9.54956e-15	1.86414e-16	9.32069e-19	1.86414e-16	1.80073e-20	1.11848e-13	1.11848e-13	1.07669e-17	1.07669e-17	6.46008e-15
54	9.76034e-11	9.78404e-11	9.54956e-15	1.90991e-12	9.54956e-15	1.86414e-16	9.32069e-19	1.86414e-16	1.80206e-20	1.11848e-13	1.11848e-13	1.07775e-17	1.07775e-17	6.46645e-15
55	9.76034e-11	9.78404e-11	9.54956e-15	1.90991e-12	9.54956e-15	1.86414e-16	9.32068e-19	1.86414e-16	1.8033e-20	1.11848e-13	1.11848e-13	1.07874e-17	1.07874e-17	6.47239e-15
56	9.76034e-11	9.78404e-11	9.54955e-15	1.90991e-12	9.54955e-15	1.86414e-16	9.32068e-19	1.86414e-16	1.80445e-20	1.11848e-13	1.11848e-13	1.07966e-17	1.07966e-17	6.47795e-15
57	9.76033e-11	9.78404e-11	9.54955e-15	1.90991e-12	9.54955e-15	1.86413e-16	9.32068e-19	1.86413e-16	1.80555e-20	1.11848e-13	1.11848e-13	1.08054e-17	1.08054e-17	6.48322e-15
58	9.76033e-11	9.78404e-11	9.54955e-15	1.90991e-12	9.54955e-15	1.86413e-16	9.32067e-19	1.86413e-16	1.8066e-20	1.11848e-13	1.11848e-13	1.08138e-17	1.08138e-17	6.48827e-15
59	9.76033e-11	9.78404e-11	9.54955e-15	1.90991e-12	9.54955e-15	1.86413e-16	9.32067e-19	1.86413e-16	1.80793e-20	1.11848e-13	1.11848e-13	1.08244e-17	1.08244e-17	6.49464e-15
60	9.76033e-11	9.78404e-11	9.54955e-15	1.90991e-12	9.54955e-15	1.86413e-16	9.32067e-19	1.86413e-16	1.80863e-20	1.11848e-13	1.11848e-13	1.08301e-17	1.08301e-17	6.49804e-15
61	9.76033e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32067e-19	1.86413e-16	1.80932e-20	1.11848e-13	1.11848e-13	1.08356e-17	1.08356e-17	6.50135e-15
62	9.76033e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32066e-19	1.86413e-16	1.80999e-20	1.11848e-13	1.11848e-13	1.0841e-17	1.0841e-17	6.50458e-15
63	9.76033e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32066e-19	1.86413e-16	1.81065e-20	1.11848e-13	1.11848e-13	1.08462e-17	1.08462e-17	6.50773e-15
64	9.76033e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32066e-19	1.86413e-16	1.81129e-20	1.11848e-13	1.11848e-13	1.08513e-17	1.08513e-17	6.51079e-15
65	9.76032e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32066e-19	1.86413e-16	1.81191e-20	1.11848e-13	1.11848e-13	1.08563e-17	1.08563e-17	6.51378e-15
66	9.76032e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32066e-19	1.86413e-16	1.81248e-20	1.11848e-13	1.11848e-13	1.08609e-17	1.08609e-17	6.51652e-15
67	9.76032e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32066e-19	1.86413e-16	1.813e-20	1.11848e-13	1.11848e-13	1.0865e-17	1.0865e-17	6.51901e-15
68	9.76032e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81349e-20	1.11848e-13	1.11848e-13	1.0869e-17	1.0869e-17	6.52136e-15
69	9.76032e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81395e-20	1.11848e-13	1.11848e-13	1.08727e-17	1.08727e-17	6.52358e-15
70	9.76032e-11	9.78404e-11	9.54954e-15	1.90991e-12	9.54954e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81438e-20	1.11848e-13	1.11848e-13	1.08761e-17	1.08761e-17	6.52567e-15
71	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81479e-20	1.11848e-13	1.11848e-13	1.08794e-17	1.08794e-17	6.52763e-15
72	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81517e-20	1.11848e-13	1.11848e-13	1.08824e-17	1.08824e-17	6.52945e-15
73	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81552e-20	1.11848e-13	1.11848e-13	1.08852e-17	1.08852e-17	6.53113e-15
74	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81584e-20	1.11848e-13	1.11848e-13	1.08878e-17	1.08878e-17	6.53269e-15
75	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81614e-20	1.11848e-13	1.11848e-13	1.08902e-17	1.08902e-17	6.53411e-15
76	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81641e-20	1.11848e-13	1.11848e-13	1.08923e-17	1.08923e-17	6.53539e-15
77	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32065e-19	1.86413e-16	1.81669e-20	1.11848e-13	1.11848e-13	1.08946e-17	1.08946e-17	6.53675e-15
78	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81695e-20	1.11848e-13	1.11848e-13	1.08967e-17	1.08967e-17	6.53803e-15
79	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.8172e-20	1.11848e-13	1.11848e-13	1.08987e-17	1.08987e-17	6.53921e-15
80	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81743e-20	1.11848e-13	1.11848e-13	1.09005e-17	1.09005e-17	6.5403e-15
81	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81763e-20	1.11848e-13	1.11848e-13	1.09022e-17	1.09022e-17	6.5413e-15
82	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81782e-20	1.11848e-13	1.11848e-13	1.09037e-17	1.09037e-17	6.5422e-15
83	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81799e-20	1.11848e-13	1.11848e-13	1.0905e-17	1.0905e-17	6.543e-15
84	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81814e-20	1.11848e-13	1.11848e-13	1.09062e-17	1.09062e-17	6.54371e-15
85	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81826e-20	1.11848e-13	1.11848e-13	1.09072e-17	1.09072e-17	6.54433e-15
86	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81837e-20	1.11848e-13	1.11848e-13	1.09081e-17	1.09081e-17	6.54485e-15
87	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81832e-20	1.11848e-13	1.11848e-13	1.09076e-17	1.09076e-17	6.54458e-15
88	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81848e-20	1.11848e-13	1.11848e-13	1.0909e-17	1.0909e-17	6.54537e-15
89	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81863e-20	1.11848e-13	1.11848e-13	1.09101e-17	1.09101e-17	6.54607e-15
90	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81876e-20	1.11848e-13	1.11848e-13	1.09112e-17	1.09112e-17	6.54669e-15
91	9.76032e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81887e-20	1.11848e-13	1.11848e-13	1.0912e-17	1.0912e-17	6.54723e-15
92	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81896e-20	1.11848e-13	1.11848e-13	1.09128e-17	1.09128e-17	6.54769e-15
93	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81904e-20	1.11848e-13	1.11848e-13	1.09135e-17	1.09135e-17	6.54807e-15
94	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81911e-20	1.11848e-13	1.11848e-13	1.0914e-17	1.0914e-17	6.54838e-15
95	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81916e-20	1.11848e-13	1.11848e-13	1.09144e-17	1.09144e-17	6.54863e-15
96	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.8192e-20	1.11848e-13	1.11848e-13	1.09147e-17	1.09147e-17	6.54882e-15
97	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81923e-20	1.11848e-13	1.11848e-13	1.09149e-17	1.09149e-17	6.54895e-15
98	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81924e-20	1.11848e-13	1.11848e-13	1.0915e-17	1.0915e-17	6.54903e-15
99	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81925e-20	1.11848e-13	1.11848e-13	1.09151e-17	1.09151e-17	6.54905e-15
100	9.76031e-11	9.78404e-11	9.54953e-15	1.90991e-12	9.54953e-15	1.86413e-16	9.32064e-19	1.86413e-16	1.81924e-20	1.11848e-13	1.11848e-13	1.0915e-17	1.0915e-17	6.54902e-15
