Time	[cLc]	[cLm]	[cLn]	[cP7c]	[cP7m]	[cP7n]	[cP9c]	[cP9m]	[cP9n]	[cPn]	[cTc]	[cTm]	[cTn]	[cXc]	[cXm]	[cXn]	[cYc]	[cYm]	[cYn]
21	1.3924	0.318585	1.34749	9.58738	0.719395	1.00737	5.54092	0.0768284	3.48564	0.856697	0.269051	1.37344	8.63474	4.49044	5.02256	10.8464	14.3181	0.568844	2.16655
22	2.01897	0.432983	1.96366	8.47285	1.05997	0.88769	5.28185	0.12954	3.32113	0.856826	0.246469	1.15045	8.49779	5.42354	5.59182	13.1381	12.8282	0.466456	1.94106
23	2.77681	0.54752	2.71749	8.25507	1.52301	0.861882	5.08328	0.216754	3.19378	0.856917	0.220109	0.932454	8.11154	6.35727	6.05832	15.4401	11.3586	0.382868	1.71855
24	3.61753	0.652585	3.56155	8.91652	2.06692	0.928343	4.96576	0.341377	3.11645	0.856982	0.192461	0.7354	7.53565	7.24922	6.40391	17.6494	9.9551	0.315211	1.50601
25	4.48576	0.740236	4.44053	10.3743	2.64426	1.07863	4.9485	0.500256	3.1013	0.857029	0.165457	0.568003	6.83639	8.04475	6.60285	19.6342	8.64967	0.261251	1.30832
26	5.32131	0.803523	5.2939	12.5131	3.21374	1.30088	5.04546	0.684313	3.15736	0.857062	0.140379	0.432581	6.07653	8.67188	6.62319	21.22	7.46333	0.219492	1.12868
27	6.0584	0.835789	6.0553	15.2086	3.74396	1.58223	5.26217	0.879696	3.2885	0.857085	0.117924	0.327133	5.30852	9.04422	6.43868	22.1955	6.40931	0.189413	0.96906
28	6.62499	0.830827	6.65179	18.3357	4.21174	1.90969	5.59358	1.06906	3.49199	0.857102	0.0983714	0.247554	4.57156	9.07965	6.05067	22.3543	5.49682	0.17197	0.830844
29	6.94703	0.784777	7.00751	21.7665	4.5986	2.26997	6.02281	1.23274	3.75776	0.857114	0.0817341	0.189299	3.89182	8.73394	5.50284	21.577	4.73606	0.170619	0.715518
30	6.96278	0.699558	7.05724	25.3641	4.88743	2.64873	6.5208	1.35031	4.06808	0.857122	0.0678958	0.148406	3.28457	8.02931	4.8681	19.9046	4.1456	0.193217	0.625803
31	17.3248	4.83208	16.2654	29.2029	5.47658	3.05157	7.13535	1.83879	4.44274	0.148267	0.0676434	0.206851	2.8879	7.05859	4.22638	17.5534	10.1694	4.27191	1.49934
32	27.9352	3.99459	27.6065	34.1876	6.46745	3.57352	8.34351	3.08303	5.17008	0.0211195	0.079671	0.367066	2.71585	5.96246	3.63497	14.8656	17.9758	4.14259	2.68723
33	32.7896	2.58886	33.2065	40.4062	7.32852	4.22755	10.3167	4.28487	6.37992	0.0028799	0.0923967	0.493468	2.75734	4.88351	3.12263	12.1956	23.7596	3.63216	3.57319
34	32.6229	1.44017	33.4979	47.5197	7.99055	4.97848	12.8812	5.19022	7.9704	0.000390155	0.106385	0.610159	2.94075	3.93061	2.70041	9.8202	27.6534	3.13428	4.1718
35	29.2388	0.703859	30.2853	55.1982	8.46409	5.79137	15.8016	5.75916	9.79462	5.28091e-05	0.124935	0.754322	3.25191	3.16416	2.3769	7.89679	30.01	2.68686	4.53577
36	24.3626	0.312985	25.3782	63.1547	8.76147	6.63568	18.8457	5.98626	11.7065	7.14707e-06	0.150861	0.950017	3.71912	2.606	2.17203	6.48401	31.1315	2.29114	4.71087
37	19.2039	0.131758	20.0828	71.121	8.883	7.48281	21.7901	5.86968	13.5653	9.67251e-07	0.186204	1.2094	4.39051	2.2652	2.13026	5.60349	31.2639	1.94179	4.7346
38	14.4474	0.0540486	15.1525	78.8156	8.81276	8.30281	24.4218	5.41983	15.2364	1.30904e-07	0.231669	1.5296	5.31573	2.16417	2.32138	5.30585	30.6102	1.63365	4.63796
39	10.4199	0.0219714	10.9538	85.9118	8.51757	9.06091	26.5521	4.68337	16.5994	1.77168e-08	0.285417	1.88384	6.52333	2.34058	2.79192	5.68239	29.3444	1.36386	4.44757
40	7.23039	0.00895729	7.61491	92.0105	7.95382	9.71467	28.0467	3.7632	17.5668	2.39792e-09	0.341979	2.21603	7.99072	2.81012	3.48894	6.78001	27.6221	1.13086	4.18721
41	4.84896	0.00372587	5.11413	96.6417	7.09146	10.214	28.8589	2.80562	18.1052	3.24543e-10	0.392863	2.45339	9.61937	3.53719	4.28584	8.52152	25.5834	0.932703	3.87836
42	3.16139	0.00164619	3.33776	99.3285	5.95609	10.5078	29.0394	1.94917	18.2425	4.39249e-11	0.429459	2.53736	11.2389	4.4574	5.07846	10.7519	23.3528	0.766328	3.54003
43	2.01693	0.00084703	2.13097	99.7234	4.66091	10.5581	28.7092	1.27437	18.0529	5.94491e-12	0.446363	2.45028	12.648	5.51161	5.81607	13.3238	21.0363	0.627931	3.18849
44	1.26707	0.000583877	1.3393	97.7563	3.38306	10.3563	28.0141	0.793829	17.6278	8.04588e-13	0.442878	2.21912	13.6723	6.65764	6.48248	16.1304	18.7212	0.513556	2.8371
45	0.788093	0.000573374	0.83318	93.6809	2.28616	9.92851	27.0864	0.476781	17.0515	1.08905e-13	0.42232	1.89906	14.2084	7.86742	7.07652	19.1004	16.4764	0.419486	2.49638
46	0.487678	0.000728689	0.515528	87.9792	1.45371	9.32577	26.0273	0.27884	16.3892	1.47419e-14	0.390144	1.5508	14.2393	9.12167	7.60215	22.1852	14.3534	0.342416	2.17419
47	0.301926	0.00106126	0.318969	81.1974	0.882235	8.60647	24.9066	0.159992	15.6858	1.99578e-15	0.351948	1.22228	13.8219	10.4056	8.06404	25.3474	12.3878	0.279506	1.87598
48	0.188824	0.0016553	0.199112	73.8171	0.518461	7.82247	23.7685	0.0905749	14.9702	2.69249e-16	0.31212	0.940434	13.057	11.706	8.46559	28.5544	10.6015	0.228369	1.60507
49	0.121847	0.00267933	0.127867	66.205	0.299124	7.01335	22.6398	0.050832	14.2597	3.65357e-17	0.273425	0.713054	12.0581	13.0085	8.8075	31.7707	9.00502	0.187056	1.36301
50	0.0850078	0.0044191	0.0882227	58.6186	0.172098	6.20695	21.5361	0.0284289	13.5645	4.99989e-18	0.237304	0.536223	10.9285	14.2946	9.08609	34.952	7.59939	0.154035	1.14998
51	0.0694645	0.00731216	0.0706581	51.2344	0.101335	5.42235	20.4657	0.0159853	12.8901	6.84864e-19	0.204384	0.401428	9.7515	15.5378	9.29078	38.0345	6.37901	0.128201	0.965073
52	0.0713004	0.011938	0.0708033	44.1767	0.0644983	4.67293	19.4332	0.00922765	12.2394	9.36704e-20	0.174867	0.299803	8.58822	16.6971	9.40073	40.9202	5.33395	0.108945	0.806771
53	0.089888	0.0188928	0.0877558	37.5394	0.0491592	3.9687	18.4406	0.00577991	11.6139	1.28756e-20	0.148744	0.223795	7.48055	17.7087	9.38201	43.4562	4.45242	0.0963127	0.673257
54	0.126267	0.0285376	0.122464	31.4002	0.0496075	3.31789	17.4888	0.0044286	11.0141	1.79028e-21	0.125897	0.167467	6.45495	18.4778	9.19044	45.4149	3.72349	0.091356	0.562837
55	0.181432	0.0407924	0.176	25.8279	0.0643386	2.7277	16.578	0.00467971	10.44	2.57658e-22	0.106151	0.126358	5.52624	18.8809	8.78825	46.4947	3.14036	0.0968168	0.474436
56	0.25515	0.0552191	0.248281	20.8843	0.093924	2.20451	15.708	0.00646741	9.89176	3.67873e-23	0.0893082	0.0972863	4.70085	18.7889	8.17339	46.3742	2.70507	0.11842	0.408291
57	0.345951	0.0713444	0.337938	16.6198	0.139354	1.75347	14.8788	0.00994199	9.36914	5.65212e-24	0.075189	0.0782759	3.9796	18.1123	7.39607	44.8203	2.43613	0.167162	0.367085
58	0.451975	0.0888891	0.443114	13.0652	0.201146	1.37765	14.0903	0.015327	8.87217	1.04919e-24	0.0636922	0.0687576	3.36028	16.841	6.53887	41.7911	2.38108	0.262929	0.357814
59	0.57165	0.107697	0.562201	10.2232	0.279205	1.07715	13.3425	0.0228493	8.40085	2.83917e-26	0.0549122	0.070381	2.84043	15.0543	5.67999	37.4667	2.63565	0.438617	0.394651
60	0.703399	0.127395	0.693666	8.06353	0.372944	0.84867	12.6357	0.0327112	7.95523	-1.1881e-26	0.0493947	0.0891368	2.42129	12.9042	4.87238	32.2119	3.36539	0.739481	0.502242
61	0.844107	0.146864	0.834634	6.52468	0.481054	0.685641	11.9698	0.0450351	7.5354	-2.81128e-27	0.0486289	0.139457	2.11492	10.5879	4.1435	26.5087	4.80524	1.20249	0.715891
62	0.986288	0.163569	0.978165	5.52194	0.60047	0.579114	11.345	0.0596946	7.14138	1.0856e-29	0.0556502	0.248421	1.95558	8.31794	3.50354	20.8829	7.17692	1.79748	1.06968
63	1.11452	0.173166	1.10966	4.95751	0.724431	0.518803	10.7609	0.0759583	6.77304	9.2362e-29	0.0748784	0.45101	2.01073	6.28725	2.95409	15.8179	10.47	2.35894	1.56398
64	1.20424	0.170689	1.20516	4.72676	0.840268	0.493744	10.2165	0.0920108	6.42966	-1.49541e-29	0.109759	0.764813	2.37345	4.6303	2.49796	11.6584	14.204	2.63644	2.1286
65	1.22945	0.154553	1.23796	4.71905	0.929361	0.492377	9.70887	0.104816	6.10958	-8.48833e-31	0.159023	1.1589	3.11837	3.40253	2.16006	8.5537	17.5607	2.54514	2.64009
66	1.18077	0.13028	1.19609	4.81883	0.972641	0.502629	9.23321	0.111113	5.80981	8.4925e-31	0.216231	1.56271	4.24608	2.61115	2.03412	6.52307	19.9561	2.24911	3.0077
67	1.07977	0.109101	1.09798	4.91657	0.961301	0.513002	8.78319	0.109454	5.52642	7.11696e-32	0.273455	1.90821	5.67139	2.27938	2.2753	5.61575	21.2802	1.91122	3.21273
68	0.976912	0.103302	0.992001	4.93213	0.906415	0.514974	8.35296	0.101683	5.25566	1.75495e-32	0.32404	2.15154	7.25534	2.42093	2.89124	5.87465	21.6734	1.59737	3.27578
69	0.936565	0.122387	0.942332	4.84162	0.840768	0.50583	7.93922	0.0925689	4.99535	8.52675e-34	0.363196	2.27178	8.84122	2.95761	3.69501	7.12624	21.3348	1.32418	3.22695
70	1.01844	0.170419	1.01033	4.693	0.811238	0.490341	7.54253	0.0883342	4.74566	3.68526e-34	0.387989	2.26626	10.279	3.76454	4.52352	9.06625	20.4537	1.09238	3.09509
71	1.26048	0.244512	1.23706	4.59959	0.86543	0.480172	7.1677	0.0957352	4.50944	6.42254e-24	0.397334	2.14746	11.4423	4.74224	5.30286	11.4436	19.1938	0.898181	2.90518
72	1.67039	0.336647	1.63362	4.71183	1.03718	0.490982	6.8238	0.121955	4.29219	2.50547e-24	0.391934	1.93994	12.241	5.82853	6.00934	14.0995	17.6911	0.736758	2.67804
73	2.22966	0.43726	2.18401	5.17622	1.33514	0.53817	6.52411	0.173967	4.1021	-8.28943e-25	0.374051	1.67631	12.6297	6.98611	6.63914	16.9387	16.0563	0.603335	2.43062
74	2.90349	0.53749	2.85477	6.09855	1.74114	0.633001	6.28514	0.256802	3.94941	-1.89002e-24	0.347028	1.3916	12.6108	8.19092	7.19488	19.9	14.3772	0.493563	2.17631
75	3.6487	0.629734	3.60323	7.52765	2.2198	0.780847	6.12453	0.37175	3.84519	-1.5893e-25	0.31457	1.11659	12.2291	9.42491	7.68016	22.9382	12.7211	0.403634	1.92541
76	4.41756	0.707441	4.38163	9.46101	2.7314	0.981704	6.05815	0.515455	3.79952	4.5162e-26	0.280005	0.872419	11.5589	10.6715	8.0969	26.0123	11.1376	0.330306	1.68549
77	5.15883	0.764782	5.13835	11.8598	3.24059	1.23174	6.09721	0.680066	3.81966	-2.43111e-27	0.245815	0.669026	10.6873	11.9118	8.44341	29.0763	9.66113	0.270892	1.46181
78	5.81766	0.796506	5.81794	14.6621	3.71939	1.52465	6.24581	0.854031	3.9085	-1.37506e-26	0.213558	0.507259	9.69875	13.1209	8.71212	32.0702	8.31343	0.223253	1.25766
79	6.33658	0.798338	6.36194	17.7901	4.14651	1.85244	6.49931	1.02312	4.06351	-3.03415e-27	0.18406	0.382674	8.66487	14.2623	8.88674	34.9062	7.10641	0.185818	1.07485
80	6.66003	0.768267	6.71307	21.1531	4.50521	2.20568	6.8435	1.17158	4.27617	-1.5192e-27	0.157657	0.288814	7.64087	15.2807	8.93962	37.4521	6.04472	0.157683	0.914075
81	6.74442	0.708443	6.82496	24.6462	4.78114	2.57342	7.25457	1.28354	4.53194	-4.76059e-28	0.134395	0.219196	6.66551	16.0954	8.83291	39.5133	5.12879	0.138839	0.775368
82	6.57236	0.626372	6.67654	28.1484	4.96111	2.94298	7.70028	1.34524	4.81087	2.705e-24	0.11416	0.168217	5.76346	16.5988	8.52986	40.8285	4.35815	0.130657	0.658629
83	6.16406	0.533791	6.2843	31.5218	5.03295	3.29978	8.14271	1.34793	5.08936	1.13497e-22	0.0967635	0.131489	4.9483	16.6731	8.01842	41.1057	3.73594	0.136827	0.564277
84	5.57721	0.443189	5.70361	34.6121	4.98712	3.62754	8.54278	1.2907	5.34281	-3.5553e-22	0.0820068	0.105967	4.22567	16.2258	7.33137	40.1079	3.27535	0.165043	0.494217
85	4.89267	0.364059	5.0154	37.2558	4.81979	3.90885	8.86605	1.18194	5.54931	-1.69071e-22	0.0697472	0.0901082	3.59629	15.2299	6.53893	37.753	3.00966	0.229733	0.453338
86	4.19297	0.301118	4.30432	39.2936	4.53701	4.12672	9.08811	1.03786	5.69305	3.73416e-22	0.0599841	0.0842921	3.05887	13.7417	5.7183	34.1646	3.0076	0.355639	0.451796
87	3.5439	0.254782	3.63943	40.591	4.15817	4.26673	9.19793	0.878412	5.76655	6.61058e-23	0.0530179	0.0919665	2.61357	11.8913	4.92868	29.6527	3.39277	0.579707	0.507954
88	2.98552	0.222638	3.06397	41.0635	3.71605	4.31961	9.19785	0.722123	5.77076	1.00194e-23	0.0497695	0.12227	2.26692	9.85759	4.20487	24.6534	4.3556	0.942542	0.650291
89	2.53171	0.200613	2.59433	40.6949	3.25152	4.28339	9.1005	0.582225	5.71328	5.07479e-25	0.0522997	0.194103	2.04026	7.83674	3.56246	19.6513	6.12005	1.45309	0.912769
90	2.17421	0.183567	2.224	39.542	2.80352	4.16387	8.92423	0.465233	5.60546	-1.32281e-26	0.0641503	0.337301	1.98081	6.00656	3.00568	15.092	8.8069	2.02499	1.31478
91	1.8888	0.166192	1.92964	37.7196	2.39857	3.97309	8.68861	0.371692	5.45963	2.69261e-26	0.0893638	0.580117	2.16589	4.49045	2.53514	11.292	12.2015	2.45133	1.82608
92	1.64495	0.145271	1.68044	35.3702	2.04514	3.72618	8.41105	0.298124	5.28685	1.97629e-27	0.129427	0.919885	2.6808	3.33739	2.15983	8.38484	15.6559	2.54383	2.35031
93	1.41971	0.121949	1.45184	32.6332	1.73689	3.43799	8.10518	0.239484	5.09583	-1.75573e-28	0.180681	1.30684	3.56766	2.54184	1.92676	6.36137	18.4436	2.34502	2.77647
94	1.20905	0.101519	1.23756	29.6277	1.4631	3.12129	7.78076	0.191463	4.89284	8.97974e-29	0.235901	1.67066	4.78735	2.10492	1.96025	5.21602	20.2245	2.03104	3.05075
95	1.03102	0.0920153	1.05354	26.4571	1.22019	2.78708	7.44495	0.151904	4.68245	-9.47327e-30	0.287796	1.95514	6.22947	2.06609	2.37558	5.04053	21.0267	1.7121	3.17613
96	0.923844	0.103145	0.93636	23.2293	1.01893	2.44677	7.10397	0.12103	4.46857	-1.03915e-31	0.330703	2.12828	7.74774	2.42467	3.08905	5.84871	21.0211	1.4256	3.17816
97	0.939114	0.143617	0.93705	20.0813	0.885454	2.11469	6.76458	0.101013	4.25541	-1.96961e-32	0.360867	2.17903	9.19094	3.09583	3.9135	7.4455	20.3982	1.17925	3.08576
98	1.12559	0.216055	1.10591	17.1937	0.856024	1.80968	6.43517	0.0957464	4.04815	-2.66999e-33	0.376406	2.11308	10.4239	3.97685	4.72723	9.57741	19.3304	0.971449	2.92525
99	1.50799	0.31436	1.47118	14.7833	0.965192	1.5544	6.12693	0.111179	3.85367	-3.70453e-34	0.377229	1.94931	11.342	4.99258	5.48038	12.0542	17.9643	0.798003	2.71901
100	2.07723	0.426977	2.02752	13.0665	1.22858	1.3715	5.85496	0.154955	3.68128	-5.04707e-35	0.364868	1.71615	11.8811	6.09592	6.15813	14.7558	16.4201	0.654235	2.48544
