Time	[LHY mRNA]	[LHY protein in cytoplasm]	[LHY protein in nucleus]	[TOC1 mRNA]	[TOC1 protein  in cytoplasm]	[TOC1 protein in nucleus]	[X mRNA]	[X protein in cytoplasm]	[X protein in nucleus]	[Y mRNA]	[Y protein in the cytoplasm]	[Y protein in nucleus]	[light sensitive protein P]	[PPR7/9 mRNA]	[PPR7/9 protein in cytoplasm]	[PPR7/9 protein in nucleus]
42	0.0103314	0.000284588	0.00120297	1.16305	27.848	2.51071	0.145367	1.30868	0.381572	0.00392872	0.00203656	0.0162016	0.780988	5.72364	0.0647795	2.29894
43	0.025677	0.000708363	0.0030156	0.896411	26.0722	2.33072	0.144671	1.37829	0.402717	0.00456465	0.00170333	0.0126276	0.803544	7.6333	0.0955378	1.8499
44	0.0601158	0.00166408	0.00722303	0.683092	23.4548	2.02861	0.142437	1.44072	0.421893	0.00636979	0.00158215	0.010155	0.819294	9.54366	0.146382	1.4998
45	0.126557	0.00352315	0.0158273	0.530307	20.264	1.64489	0.138028	1.49357	0.438451	0.0102661	0.00173587	0.00874051	0.830355	11.2135	0.223061	1.23418
46	0.2294	0.00643483	0.0303788	0.438609	16.7948	1.23038	0.130125	1.53294	0.451381	0.0175088	0.00229861	0.00853648	0.838154	12.6039	0.334559	1.04313
47	0.351887	0.00995193	0.0498033	0.408148	13.3705	0.844199	0.116599	1.55222	0.458971	0.0263405	0.00327028	0.00979731	0.843667	13.7469	0.491242	0.920874
48	0.494598	0.0135648	0.0700084	0.429006	10.328	0.543519	0.0959928	1.54191	0.458613	0.0439643	0.0041889	0.0121824	0.828416	14.7172	0.701665	0.864909
49	1.37963	0.039785	0.212393	0.509801	7.96154	0.356171	0.0720188	1.49491	0.447812	0.121597	0.0174825	0.0305531	0.146368	16.3689	1.1119	0.888153
50	1.19963	0.0352702	0.240518	0.622241	6.50689	0.256878	0.0515288	1.41433	0.426566	0.0388964	0.0104595	0.0415068	0.020836	17.0284	1.61104	1.01403
51	0.862233	0.0254746	0.184625	0.709704	5.77285	0.21286	0.0388261	1.31313	0.398008	0.0266256	0.00696583	0.0384751	0.00284096	17.4611	2.11484	1.2283
52	0.544787	0.0161298	0.118113	0.799149	5.55502	0.198715	0.0326951	1.20487	0.366281	0.032122	0.00637231	0.0337512	0.000384874	17.8056	2.62408	1.51424
53	0.308286	0.00914039	0.0669239	0.904065	5.74958	0.205211	0.0312344	1.09916	0.334567	0.0445553	0.0070711	0.0312538	5.20946e-05	18.0847	3.14153	1.85928
54	0.161099	0.00478079	0.0349516	1.03236	6.31358	0.230209	0.0334159	1.00264	0.305054	0.0608393	0.0086	0.031803	7.05044e-06	18.2972	3.66493	2.25349
55	0.080262	0.00238292	0.017394	1.1919	7.25739	0.276461	0.0390169	0.920498	0.279383	0.076964	0.010569	0.0352357	9.54185e-07	18.4242	4.18605	2.68769
56	0.0390948	0.00116069	0.00845229	1.38178	8.62469	0.351373	0.0483192	0.85756	0.259001	0.0891316	0.0124874	0.0406729	1.29137e-07	18.4177	4.68723	3.15168
57	0.0189657	0.000562794	0.00408005	1.58789	10.4457	0.465863	0.0614785	0.81851	0.245315	0.0956478	0.0139788	0.0468371	1.74778e-08	18.1782	5.1332	3.63139
58	0.00931252	0.000276022	0.00198439	1.79068	12.7083	0.632129	0.0776779	0.806899	0.239505	0.0954621	0.0148025	0.0524756	2.36605e-09	17.5301	5.45748	4.10416
59	0.00471914	0.000139564	0.000988179	1.97164	15.36	0.860181	0.0948743	0.823381	0.242036	0.0856897	0.0146232	0.0563734	3.20536e-10	16.2371	5.54825	4.53161
60	0.00254435	7.49484e-05	0.000516289	2.11143	18.3087	1.1522	0.110657	0.864793	0.252292	0.0641747	0.013025	0.0570915	0.0069282	14.1327	5.25399	4.85243
61	0.00148515	4.35091e-05	0.000289265	2.18174	21.3762	1.48421	0.123194	0.924946	0.268668	0.0283853	0.00922447	0.0525515	0.339858	11.3313	4.43611	4.98323
62	0.00106486	3.08106e-05	0.000188557	2.14372	24.2815	1.84667	0.132462	0.997034	0.289141	0.0147681	0.00642659	0.0439822	0.519903	8.30924	3.05316	4.83545
63	0.00107939	3.06538e-05	0.000165059	1.99243	26.6533	2.17928	0.138754	1.07535	0.31193	0.00827481	0.00461428	0.0350824	0.629638	5.77869	1.2507	4.34896
64	0.00176273	4.90142e-05	0.000226986	1.7516	28.1566	2.42605	0.14265	1.15541	0.335595	0.00532557	0.00340284	0.027304	0.700758	4.35084	0.0611981	3.57403
65	0.00410069	0.000113056	0.000484037	1.46025	28.5746	2.54369	0.144731	1.23405	0.359088	0.00413127	0.00258341	0.0210265	0.748412	4.39557	0.0521418	2.86533
66	0.0103445	0.000284948	0.0012045	1.16253	27.8472	2.51071	0.145369	1.30903	0.381679	0.00392805	0.00203564	0.0161937	0.780988	5.72565	0.0648048	2.2984
67	0.0257077	0.000709212	0.00301929	0.895964	26.0695	2.33047	0.14467	1.37862	0.402818	0.00456549	0.00170275	0.0126217	0.803544	7.63576	0.0955888	1.84948
68	0.0601807	0.00166589	0.00723114	0.682744	23.4507	2.02816	0.142433	1.44102	0.421986	0.00637299	0.00158195	0.0101509	0.819294	9.54595	0.146463	1.49947
69	0.126672	0.00352639	0.0158427	0.530065	20.2591	1.64431	0.13802	1.49384	0.438536	0.0102737	0.0017362	0.00873825	0.830355	11.2155	0.223181	1.23394
70	0.229563	0.00643947	0.0304028	0.438473	16.7895	1.22977	0.130109	1.53318	0.451455	0.0175223	0.00229972	0.00853644	0.838154	12.6055	0.334734	1.04297
71	0.352067	0.00995713	0.049833	0.408114	13.3654	0.843654	0.116573	1.55241	0.459032	0.0263522	0.00327183	0.00979974	0.843667	13.7483	0.491483	0.920797
72	0.494752	0.0135693	0.0700375	0.429043	10.3236	0.543127	0.0959558	1.54204	0.458656	0.0439626	0.00418975	0.0121859	0.828416	14.7183	0.701981	0.864911
73	1.37969	0.0397868	0.212413	0.509818	7.9581	0.355927	0.0719799	1.49496	0.447834	0.121581	0.0174804	0.0305529	0.146368	16.3698	1.1123	0.888236
74	1.19958	0.0352689	0.240518	0.622225	6.50425	0.256725	0.051497	1.41432	0.426569	0.0388942	0.0104586	0.0415042	0.020836	17.0292	1.61154	1.0142
75	0.862101	0.0254709	0.184605	0.709695	5.77086	0.212757	0.0388027	1.31308	0.397997	0.0266269	0.00696557	0.0384727	0.00284096	17.4617	2.11541	1.22856
76	0.544635	0.0161254	0.118084	0.799169	5.55361	0.198644	0.0326784	1.20479	0.36626	0.0321264	0.00637247	0.0337497	0.000384875	17.8062	2.62471	1.51458
77	0.308165	0.00913686	0.0668998	0.904119	5.74871	0.205166	0.031223	1.09907	0.33454	0.0445636	0.00707175	0.0312536	5.20944e-05	18.0852	3.14221	1.8597
78	0.161023	0.00477853	0.0349358	1.03245	6.3132	0.230187	0.0334091	1.00254	0.305025	0.0608502	0.00860115	0.0318045	7.05034e-06	18.2976	3.66563	2.25398
79	0.0802189	0.00238164	0.017385	1.19202	7.25749	0.276462	0.0390143	0.9204	0.279353	0.0769745	0.0105704	0.0352389	9.54173e-07	18.4244	4.18676	2.68825
80	0.0390721	0.00116002	0.00844751	1.38192	8.62525	0.351401	0.0483208	0.85747	0.258973	0.0891391	0.0124887	0.0406771	1.29135e-07	18.4178	4.68794	3.15229
81	0.0189541	0.000562451	0.00407761	1.58803	10.4466	0.465926	0.0614839	0.818434	0.245292	0.0956514	0.0139797	0.0468416	1.74776e-08	18.1781	5.13386	3.63203
82	0.00930664	0.000275848	0.00198315	1.79082	12.7096	0.632234	0.0776861	0.806841	0.239486	0.0954609	0.0148029	0.0524795	2.36608e-09	17.5295	5.45802	4.10481
83	0.00471614	0.000139476	0.000987552	1.97177	15.3617	0.860334	0.0948835	0.823342	0.242023	0.0856811	0.0146229	0.0563759	3.20568e-10	16.2357	5.54853	4.53222
84	0.00254279	7.49022e-05	0.000515966	2.11152	18.3107	1.1524	0.110666	0.864772	0.252284	0.0641597	0.0130237	0.0570915	0.00692821	14.1305	5.25386	4.85294
85	0.00148434	4.34851e-05	0.000289097	2.18179	21.3783	1.48445	0.123201	0.924939	0.268665	0.0283754	0.00922311	0.0525491	0.339858	11.3285	4.43544	4.98354
86	0.00106445	3.07985e-05	0.000188471	2.14371	24.2835	1.84693	0.132468	0.997037	0.289141	0.0147621	0.00642549	0.0439787	0.519903	8.30631	3.05193	4.83548
87	0.00107931	3.06511e-05	0.000165026	1.99237	26.655	2.17952	0.138757	1.07536	0.311932	0.00827162	0.00461348	0.0350787	0.629637	5.77631	1.24913	4.34867
88	0.00176331	4.90297e-05	0.000227032	1.75149	28.1579	2.42625	0.142652	1.15543	0.335598	0.00532388	0.00340228	0.0273007	0.700757	4.34948	0.0611617	3.57357
89	0.00410271	0.000113112	0.000484259	1.46012	28.5754	2.54383	0.144732	1.23406	0.359093	0.00413032	0.00258301	0.0210237	0.748411	4.39539	0.0521346	2.86495
90	0.0103499	0.000285097	0.00120512	1.1624	27.8475	2.51078	0.14537	1.30905	0.381684	0.00392751	0.00203534	0.0161915	0.780988	5.72625	0.0648103	2.29809
91	0.0257208	0.000709574	0.00302084	0.895841	26.0693	2.33047	0.144671	1.37863	0.402823	0.00456526	0.00170254	0.01262	0.803544	7.63663	0.0956052	1.84924
92	0.0602088	0.00166667	0.00723465	0.682643	23.4501	2.0281	0.142433	1.44104	0.421991	0.00637316	0.00158182	0.0101496	0.819294	9.54682	0.146492	1.49929
93	0.126722	0.0035278	0.0158494	0.529986	20.2581	1.6442	0.138019	1.49386	0.43854	0.0102745	0.00173617	0.00873736	0.830355	11.2162	0.223225	1.2338
94	0.229633	0.00644145	0.0304131	0.438416	16.7883	1.22964	0.130107	1.53318	0.451458	0.0175239	0.00229981	0.00853597	0.838154	12.6062	0.334798	1.04287
95	0.352143	0.00995931	0.0498456	0.408078	13.3642	0.843531	0.116567	1.55241	0.459033	0.0263533	0.00327197	0.00979967	0.843667	13.7488	0.491572	0.920735
96	0.494816	0.0135712	0.0700495	0.429019	10.3224	0.543029	0.095947	1.54203	0.458654	0.0439604	0.00418973	0.012186	0.828416	14.7187	0.702098	0.864885
97	1.37975	0.0397886	0.212427	0.509789	7.95708	0.355857	0.0719696	1.49494	0.447828	0.121572	0.0174792	0.0305514	0.146368	16.3702	1.11245	0.888245
98	1.1996	0.0352694	0.240526	0.622188	6.50335	0.256674	0.0514874	1.41428	0.426558	0.0388924	0.010458	0.0415017	0.020836	17.0295	1.61172	1.01424
99	0.862076	0.0254702	0.184603	0.709661	5.77007	0.212716	0.0387945	1.31302	0.397982	0.0266266	0.00696526	0.0384705	0.00284096	17.462	2.11562	1.22864
100	0.544594	0.0161242	0.118078	0.799146	5.55293	0.198611	0.0326716	1.20473	0.366243	0.0321273	0.00637234	0.033748	0.000384874	17.8064	2.62494	1.51469
