Time	[Z1]	[Z2]	[Z3]	[Z4]	[E1]	[E2]	[E3]	[E4]
63	0.500499	10	10	100	1.73285e-06	1.87727e-06	6.49166e-07	1.31862e-06
64	0.500499	10	10	100	1.60454e-06	1.73826e-06	6.01098e-07	1.22098e-06
65	0.500499	10	10	100	1.48573e-06	1.60955e-06	5.56588e-07	1.13057e-06
66	0.500499	10	10	100	1.37571e-06	1.49037e-06	5.15375e-07	1.04686e-06
67	0.500499	10	10	100	1.27385e-06	1.38001e-06	4.77213e-07	9.69341e-07
68	0.500499	10	10	100	1.17952e-06	1.27783e-06	4.41877e-07	8.97564e-07
69	0.500499	10	10	100	1.09218e-06	1.18321e-06	4.09158e-07	8.31103e-07
70	0.500499	10	10	100	1.01131e-06	1.0956e-06	3.78861e-07	7.69563e-07
71	0.5005	10	10	100	9.36429e-07	1.01447e-06	3.50808e-07	7.1258e-07
72	0.5005	10	10	100	8.6709e-07	9.39355e-07	3.24832e-07	6.59816e-07
73	0.5005	10	10	100	8.02886e-07	8.69799e-07	3.0078e-07	6.10959e-07
74	0.5005	10	10	100	7.43435e-07	8.05394e-07	2.78508e-07	5.6572e-07
75	0.5005	10	10	100	6.88387e-07	7.45758e-07	2.57886e-07	5.23831e-07
76	0.5005	10	10	100	6.37415e-07	6.90539e-07	2.38791e-07	4.85044e-07
77	0.5005	10	10	100	5.90218e-07	6.39408e-07	2.21109e-07	4.49129e-07
78	0.5005	10	10	100	5.46515e-07	5.92063e-07	2.04737e-07	4.15873e-07
79	0.5005	10	10	100	5.06049e-07	5.48223e-07	1.89577e-07	3.8508e-07
80	0.5005	10	10	100	4.68578e-07	5.0763e-07	1.7554e-07	3.56566e-07
81	0.5005	10	10	100	4.33882e-07	4.70042e-07	1.62542e-07	3.30164e-07
82	0.5005	10	10	100	4.01755e-07	4.35238e-07	1.50507e-07	3.05717e-07
83	0.5005	10	10	100	3.72007e-07	4.03011e-07	1.39362e-07	2.8308e-07
84	0.5005	10	10	100	3.44462e-07	3.7317e-07	1.29043e-07	2.6212e-07
85	0.5005	10	10	100	3.18956e-07	3.45539e-07	1.19488e-07	2.42711e-07
86	0.5005	10	10	100	2.95339e-07	3.19953e-07	1.10641e-07	2.2474e-07
87	0.5005	10	10	100	2.73471e-07	2.96262e-07	1.02448e-07	2.08099e-07
88	0.5005	10	10	100	2.53222e-07	2.74326e-07	9.48627e-08	1.9269e-07
89	0.5005	10	10	100	2.34472e-07	2.54013e-07	8.78386e-08	1.78422e-07
90	0.5005	10	10	100	2.17111e-07	2.35205e-07	8.13346e-08	1.65211e-07
91	0.5005	10	10	100	2.01035e-07	2.17789e-07	7.53122e-08	1.52978e-07
92	0.5005	10	10	100	1.86149e-07	2.01663e-07	6.97357e-08	1.41651e-07
93	0.5005	10	10	100	1.72366e-07	1.86731e-07	6.45721e-08	1.31162e-07
94	0.5005	10	10	100	1.59603e-07	1.72904e-07	5.97909e-08	1.2145e-07
95	0.5005	10	10	100	1.47785e-07	1.60102e-07	5.53637e-08	1.12458e-07
96	0.5005	10	10	100	1.36842e-07	1.48247e-07	5.12643e-08	1.04131e-07
97	0.5005	10	10	100	1.2671e-07	1.3727e-07	4.74684e-08	9.64204e-08
98	0.5005	10	10	100	1.17328e-07	1.27106e-07	4.39536e-08	8.9281e-08
99	0.5005	10	10	100	1.0864e-07	1.17694e-07	4.06991e-08	8.26702e-08
100	0.5005	10	10	100	1.00596e-07	1.0898e-07	3.76856e-08	7.65489e-08
