Time	[Mad1:C-Mad2]	[O-Mad2]	[Mad1:C-Mad2:O-Mad2*]	[Cdc20]	[Cdc20:C-Mad2]	[Bub3:BubR1]	[MCC]	[Bub3:BubR1:Cdc20]	[APC]	[MCC:APC]	[APC:Cdc20]
26	4.99251e-08	1.00529e-07	7.48639e-11	1.32173e-07	1.04776e-09	9.7971e-08	1.74057e-09	6.8036e-10	5.64124e-09	2.6608e-08	5.77507e-08
27	4.99258e-08	9.95421e-08	7.41818e-11	1.32079e-07	1.04838e-09	9.69909e-08	1.75047e-09	6.73745e-10	5.55174e-09	2.75849e-08	5.68634e-08
28	4.99265e-08	9.85652e-08	7.35057e-11	1.31986e-07	1.04901e-09	9.60206e-08	1.76059e-09	6.67081e-10	5.46307e-09	2.85517e-08	5.59852e-08
29	4.99272e-08	9.7598e-08	7.28355e-11	1.31894e-07	1.04966e-09	9.50601e-08	1.77094e-09	6.6039e-10	5.37523e-09	2.95086e-08	5.51162e-08
30	4.99278e-08	9.66404e-08	7.21713e-11	1.31803e-07	1.05031e-09	9.41092e-08	1.78152e-09	6.53691e-10	5.28821e-09	3.04556e-08	5.42562e-08
31	4.99285e-08	9.56924e-08	7.15129e-11	1.31712e-07	1.05098e-09	9.31679e-08	1.79235e-09	6.46998e-10	5.20201e-09	3.13928e-08	5.34052e-08
32	4.99291e-08	9.47537e-08	7.08603e-11	1.31621e-07	1.05166e-09	9.22359e-08	1.80342e-09	6.40323e-10	5.11662e-09	3.23203e-08	5.2563e-08
33	4.99298e-08	9.38244e-08	7.02135e-11	1.31531e-07	1.05235e-09	9.13133e-08	1.81475e-09	6.33677e-10	5.03205e-09	3.32383e-08	5.17296e-08
34	4.99304e-08	9.29043e-08	6.95725e-11	1.31442e-07	1.05306e-09	9.03998e-08	1.82633e-09	6.27068e-10	4.94827e-09	3.41468e-08	5.0905e-08
35	4.99311e-08	9.19933e-08	6.89372e-11	1.31353e-07	1.05378e-09	8.94955e-08	1.83819e-09	6.20502e-10	4.8653e-09	3.50458e-08	5.00889e-08
36	4.99317e-08	9.10914e-08	6.83076e-11	1.31264e-07	1.05452e-09	8.86002e-08	1.85032e-09	6.13983e-10	4.78312e-09	3.59354e-08	4.92814e-08
37	4.99323e-08	9.01984e-08	6.76836e-11	1.31176e-07	1.05527e-09	8.77139e-08	1.86273e-09	6.07517e-10	4.70173e-09	3.68159e-08	4.84824e-08
38	4.99329e-08	8.93144e-08	6.70652e-11	1.31089e-07	1.05604e-09	8.68364e-08	1.87544e-09	6.01105e-10	4.62113e-09	3.76871e-08	4.76918e-08
39	4.99335e-08	8.84391e-08	6.64524e-11	1.31001e-07	1.05683e-09	8.59676e-08	1.88845e-09	5.94747e-10	4.54131e-09	3.85492e-08	4.69095e-08
40	4.99342e-08	8.75724e-08	6.58451e-11	1.30914e-07	1.05763e-09	8.51075e-08	1.90176e-09	5.8845e-10	4.46227e-09	3.94023e-08	4.61354e-08
41	4.99348e-08	8.67144e-08	6.52432e-11	1.30828e-07	1.05845e-09	8.42559e-08	1.91539e-09	5.82211e-10	4.38399e-09	4.02465e-08	4.53695e-08
42	4.99354e-08	8.5865e-08	6.46468e-11	1.30742e-07	1.05928e-09	8.34129e-08	1.92934e-09	5.76032e-10	4.30649e-09	4.10818e-08	4.46118e-08
43	4.99359e-08	8.50239e-08	6.40558e-11	1.30656e-07	1.06014e-09	8.25782e-08	1.94363e-09	5.69914e-10	4.22975e-09	4.19082e-08	4.3862e-08
44	4.99365e-08	8.41912e-08	6.34701e-11	1.30571e-07	1.06101e-09	8.17519e-08	1.95827e-09	5.63857e-10	4.15377e-09	4.2726e-08	4.31202e-08
45	4.99371e-08	8.33668e-08	6.28897e-11	1.30486e-07	1.06191e-09	8.09338e-08	1.97326e-09	5.57861e-10	4.07854e-09	4.35351e-08	4.23864e-08
46	4.99377e-08	8.25506e-08	6.23146e-11	1.30401e-07	1.06282e-09	8.01238e-08	1.98862e-09	5.51928e-10	4.00407e-09	4.43356e-08	4.16603e-08
47	4.99383e-08	8.17425e-08	6.17447e-11	1.30316e-07	1.06375e-09	7.9322e-08	2.00435e-09	5.46056e-10	3.93034e-09	4.51276e-08	4.0942e-08
48	4.99388e-08	8.09424e-08	6.11801e-11	1.30232e-07	1.06471e-09	7.85281e-08	2.02047e-09	5.40245e-10	3.85736e-09	4.59112e-08	4.02314e-08
49	4.99394e-08	8.01503e-08	6.06206e-11	1.30148e-07	1.06569e-09	7.77421e-08	2.03699e-09	5.34496e-10	3.78512e-09	4.66864e-08	3.95285e-08
50	4.99399e-08	7.9366e-08	6.00662e-11	1.30064e-07	1.06669e-09	7.6964e-08	2.05392e-09	5.28808e-10	3.71361e-09	4.74533e-08	3.88331e-08
51	4.99405e-08	7.85896e-08	5.95168e-11	1.29981e-07	1.06771e-09	7.61936e-08	2.07128e-09	5.2318e-10	3.64284e-09	4.82119e-08	3.81452e-08
52	4.9941e-08	7.78208e-08	5.89725e-11	1.29897e-07	1.06876e-09	7.54309e-08	2.08907e-09	5.17612e-10	3.5728e-09	4.89624e-08	3.74648e-08
53	4.99416e-08	7.70597e-08	5.84333e-11	1.29814e-07	1.06984e-09	7.46759e-08	2.10731e-09	5.12103e-10	3.50348e-09	4.97047e-08	3.67918e-08
54	4.99421e-08	7.63062e-08	5.78989e-11	1.29731e-07	1.07094e-09	7.39284e-08	2.12602e-09	5.06653e-10	3.43489e-09	5.0439e-08	3.61261e-08
55	4.99426e-08	7.55601e-08	5.73695e-11	1.29648e-07	1.07207e-09	7.31883e-08	2.14521e-09	5.01261e-10	3.36701e-09	5.11652e-08	3.54677e-08
56	4.99432e-08	7.48215e-08	5.6845e-11	1.29566e-07	1.07322e-09	7.24556e-08	2.16488e-09	4.95926e-10	3.29986e-09	5.18836e-08	3.48166e-08
57	4.99437e-08	7.40902e-08	5.63254e-11	1.29483e-07	1.0744e-09	7.17303e-08	2.18507e-09	4.90648e-10	3.23341e-09	5.2594e-08	3.41726e-08
58	4.99442e-08	7.33661e-08	5.58105e-11	1.29401e-07	1.07562e-09	7.10121e-08	2.20579e-09	4.85427e-10	3.16768e-09	5.32966e-08	3.35357e-08
59	4.99447e-08	7.26493e-08	5.53005e-11	1.29319e-07	1.07686e-09	7.03012e-08	2.22704e-09	4.80261e-10	3.10266e-09	5.39915e-08	3.29058e-08
60	4.99452e-08	7.19396e-08	5.47951e-11	1.29236e-07	1.07813e-09	6.95974e-08	2.24885e-09	4.75149e-10	3.03835e-09	5.46786e-08	3.2283e-08
61	4.99457e-08	7.1237e-08	5.42945e-11	1.29154e-07	1.07944e-09	6.89006e-08	2.27124e-09	4.70092e-10	2.97474e-09	5.53581e-08	3.16672e-08
62	4.99462e-08	7.05413e-08	5.37986e-11	1.29072e-07	1.08078e-09	6.82108e-08	2.29422e-09	4.65089e-10	2.91183e-09	5.60299e-08	3.10583e-08
63	4.99467e-08	6.98526e-08	5.33073e-11	1.2899e-07	1.08216e-09	6.75279e-08	2.31782e-09	4.60139e-10	2.84963e-09	5.66942e-08	3.04562e-08
64	4.99472e-08	6.91707e-08	5.28206e-11	1.28907e-07	1.08357e-09	6.68518e-08	2.34205e-09	4.55242e-10	2.78812e-09	5.73509e-08	2.9861e-08
65	4.99477e-08	6.84955e-08	5.23385e-11	1.28825e-07	1.08502e-09	6.61825e-08	2.36693e-09	4.50396e-10	2.72731e-09	5.80002e-08	2.92725e-08
66	4.99481e-08	6.78271e-08	5.18609e-11	1.28743e-07	1.08651e-09	6.55199e-08	2.39249e-09	4.45602e-10	2.66719e-09	5.8642e-08	2.86908e-08
67	4.99486e-08	6.71654e-08	5.13879e-11	1.2866e-07	1.08804e-09	6.4864e-08	2.41875e-09	4.40859e-10	2.60777e-09	5.92764e-08	2.81158e-08
68	4.99491e-08	6.65102e-08	5.09193e-11	1.28578e-07	1.08961e-09	6.42146e-08	2.44573e-09	4.36166e-10	2.54904e-09	5.99035e-08	2.75474e-08
69	4.99495e-08	6.58616e-08	5.04551e-11	1.28495e-07	1.09122e-09	6.35717e-08	2.47345e-09	4.31523e-10	2.49101e-09	6.05233e-08	2.69857e-08
70	4.995e-08	6.52194e-08	4.99954e-11	1.28412e-07	1.09288e-09	6.29353e-08	2.50194e-09	4.2693e-10	2.43366e-09	6.11358e-08	2.64305e-08
71	4.99505e-08	6.45836e-08	4.954e-11	1.28329e-07	1.09458e-09	6.23053e-08	2.53122e-09	4.22384e-10	2.377e-09	6.17411e-08	2.58819e-08
72	4.99509e-08	6.39541e-08	4.9089e-11	1.28246e-07	1.09633e-09	6.16816e-08	2.56131e-09	4.17887e-10	2.32104e-09	6.23392e-08	2.53398e-08
73	4.99514e-08	6.33309e-08	4.86423e-11	1.28162e-07	1.09813e-09	6.10642e-08	2.59226e-09	4.13437e-10	2.26576e-09	6.29301e-08	2.48042e-08
74	4.99518e-08	6.27139e-08	4.81999e-11	1.28078e-07	1.09998e-09	6.0453e-08	2.62408e-09	4.09034e-10	2.21117e-09	6.35139e-08	2.4275e-08
75	4.99522e-08	6.2103e-08	4.77617e-11	1.27994e-07	1.10188e-09	5.9848e-08	2.65679e-09	4.04677e-10	2.15727e-09	6.40905e-08	2.37522e-08
76	4.99527e-08	6.14982e-08	4.73278e-11	1.27909e-07	1.10384e-09	5.9249e-08	2.69044e-09	4.00366e-10	2.10406e-09	6.46602e-08	2.32358e-08
77	4.99531e-08	6.08995e-08	4.6898e-11	1.27825e-07	1.10586e-09	5.86561e-08	2.72505e-09	3.96101e-10	2.05154e-09	6.52227e-08	2.27257e-08
78	4.99535e-08	6.03067e-08	4.64724e-11	1.27739e-07	1.10793e-09	5.80692e-08	2.76065e-09	3.9188e-10	1.9997e-09	6.57783e-08	2.2222e-08
79	4.99539e-08	5.97198e-08	4.6051e-11	1.27654e-07	1.11007e-09	5.74882e-08	2.79727e-09	3.87703e-10	1.94856e-09	6.63268e-08	2.17246e-08
80	4.99544e-08	5.91387e-08	4.56336e-11	1.27567e-07	1.11227e-09	5.69131e-08	2.83495e-09	3.8357e-10	1.89811e-09	6.68684e-08	2.12335e-08
81	4.99548e-08	5.85635e-08	4.52204e-11	1.27481e-07	1.11453e-09	5.63437e-08	2.87372e-09	3.7948e-10	1.84834e-09	6.7403e-08	2.07486e-08
82	4.99552e-08	5.7994e-08	4.48112e-11	1.27393e-07	1.11686e-09	5.57802e-08	2.91362e-09	3.75432e-10	1.79927e-09	6.79307e-08	2.027e-08
83	4.99556e-08	5.74301e-08	4.4406e-11	1.27306e-07	1.11927e-09	5.52224e-08	2.95468e-09	3.71427e-10	1.7509e-09	6.84515e-08	1.97976e-08
84	4.9956e-08	5.68719e-08	4.40048e-11	1.27217e-07	1.12174e-09	5.46702e-08	2.99694e-09	3.67463e-10	1.70322e-09	6.89654e-08	1.93314e-08
85	4.99564e-08	5.63192e-08	4.36076e-11	1.27128e-07	1.1243e-09	5.41236e-08	3.04044e-09	3.63541e-10	1.65624e-09	6.94724e-08	1.88713e-08
86	4.99568e-08	5.57721e-08	4.32143e-11	1.27038e-07	1.12693e-09	5.35826e-08	3.08522e-09	3.59659e-10	1.60995e-09	6.99726e-08	1.84175e-08
87	4.99572e-08	5.52304e-08	4.2825e-11	1.26948e-07	1.12964e-09	5.3047e-08	3.13131e-09	3.55818e-10	1.56437e-09	7.04659e-08	1.79698e-08
88	4.99576e-08	5.46941e-08	4.24395e-11	1.26856e-07	1.13244e-09	5.25169e-08	3.17875e-09	3.52016e-10	1.51949e-09	7.09523e-08	1.75282e-08
89	4.99579e-08	5.41632e-08	4.2058e-11	1.26764e-07	1.13532e-09	5.19923e-08	3.2276e-09	3.48253e-10	1.47531e-09	7.14319e-08	1.70928e-08
90	4.99583e-08	5.36375e-08	4.16802e-11	1.26671e-07	1.1383e-09	5.1473e-08	3.27788e-09	3.4453e-10	1.43184e-09	7.19046e-08	1.66635e-08
91	4.99587e-08	5.31171e-08	4.13063e-11	1.26577e-07	1.14137e-09	5.0959e-08	3.32965e-09	3.40844e-10	1.38907e-09	7.23705e-08	1.62404e-08
92	4.99591e-08	5.26019e-08	4.09361e-11	1.26482e-07	1.14453e-09	5.04502e-08	3.38294e-09	3.37197e-10	1.34702e-09	7.28296e-08	1.58233e-08
93	4.99594e-08	5.20919e-08	4.05698e-11	1.26386e-07	1.1478e-09	4.99467e-08	3.43781e-09	3.33587e-10	1.30568e-09	7.32819e-08	1.54124e-08
94	4.99598e-08	5.15869e-08	4.02071e-11	1.2629e-07	1.15117e-09	4.94483e-08	3.49429e-09	3.30014e-10	1.26506e-09	7.37274e-08	1.50076e-08
95	4.99602e-08	5.1087e-08	3.98482e-11	1.26192e-07	1.15466e-09	4.89551e-08	3.55243e-09	3.26477e-10	1.22516e-09	7.4166e-08	1.46088e-08
96	4.99605e-08	5.05921e-08	3.9493e-11	1.26092e-07	1.15825e-09	4.84669e-08	3.61228e-09	3.22977e-10	1.18597e-09	7.45978e-08	1.42162e-08
97	4.99609e-08	5.01022e-08	3.91414e-11	1.25992e-07	1.16196e-09	4.79838e-08	3.67388e-09	3.19513e-10	1.14751e-09	7.50228e-08	1.38297e-08
98	4.99612e-08	4.96171e-08	3.87935e-11	1.25891e-07	1.16579e-09	4.75056e-08	3.73728e-09	3.16083e-10	1.10978e-09	7.5441e-08	1.34492e-08
99	4.99616e-08	4.9137e-08	3.84492e-11	1.25788e-07	1.16975e-09	4.70325e-08	3.80253e-09	3.12689e-10	1.07277e-09	7.58523e-08	1.30749e-08
100	4.99619e-08	4.86616e-08	3.81085e-11	1.25684e-07	1.17383e-09	4.65642e-08	3.86967e-09	3.0933e-10	1.0365e-09	7.62568e-08	1.27067e-08
