Time	[Rec]	[Rec_i]	[IL13_Rec]	[p_IL13_Rec]	[p_IL13_Rec_i]	[JAK2]	[pJAK2]	[SHP1]	[STAT5]	[pSTAT5]	[SOCS3mRNA]	[DecoyR]	[IL13_DecoyR]	[SOCS3]	[CD274mRNA]	[IL13]
60	1.37404	112.485	3.6325e-05	0.0697964	0.0615459	2.5069	0.293104	91	124.311	40.689	2.78358	0.334301	0.0056993	66.705	0.105984	2.265
61	1.37392	112.475	3.67779e-05	0.0697925	0.061549	2.51053	0.289468	91	124.2	40.8005	2.87152	0.334207	0.00579348	68.946	0.109332	2.265
62	1.3738	112.464	3.72423e-05	0.0697883	0.0615511	2.51417	0.285834	91	124.11	40.8904	2.95968	0.334112	0.00588762	71.1808	0.112689	2.265
63	1.37368	112.454	3.77174e-05	0.0697839	0.0615523	2.51779	0.282209	91	124.04	40.9598	3.04801	0.334018	0.00598175	73.4075	0.116052	2.265
64	1.37356	112.443	3.82027e-05	0.0697792	0.0615526	2.5214	0.278598	91	123.991	41.0094	3.13647	0.333924	0.00607584	75.6244	0.11942	2.265
65	1.37344	112.433	3.86979e-05	0.0697742	0.0615522	2.52499	0.275009	91	123.96	41.0403	3.22502	0.33383	0.00616991	77.8298	0.122792	2.265
66	1.37332	112.422	3.92022e-05	0.0697691	0.0615511	2.52855	0.271447	91	123.947	41.0533	3.31361	0.333736	0.00626395	80.0222	0.126165	2.265
67	1.3732	112.412	3.97153e-05	0.0697638	0.0615495	2.53208	0.267915	91	123.951	41.0494	3.40221	0.333642	0.00635797	82.2001	0.129538	2.265
68	1.37307	112.401	4.02367e-05	0.0697584	0.0615474	2.53558	0.26442	91	123.971	41.0292	3.49079	0.333548	0.00645196	84.3623	0.132911	2.265
69	1.37295	112.39	4.07658e-05	0.0697529	0.0615449	2.53904	0.260964	91	124.006	40.9937	3.5793	0.333454	0.00654592	86.5075	0.136281	2.265
70	1.37282	112.38	4.13023e-05	0.0697472	0.061542	2.54245	0.257551	91	124.056	40.9437	3.66773	0.33336	0.00663985	88.6346	0.139648	2.265
71	1.3727	112.369	4.18455e-05	0.0697414	0.0615387	2.54582	0.254184	91	124.12	40.88	3.75603	0.333266	0.00673376	90.7426	0.14301	2.265
72	1.37257	112.359	4.23952e-05	0.0697355	0.0615352	2.54913	0.250865	91	124.197	40.8032	3.84418	0.333172	0.00682765	92.8304	0.146366	2.265
73	1.37245	112.348	4.29507e-05	0.0697296	0.0615314	2.5524	0.247598	91	124.286	40.7142	3.93215	0.333078	0.0069215	94.8973	0.149716	2.265
74	1.37232	112.338	4.35117e-05	0.0697236	0.0615273	2.55562	0.244383	91	124.386	40.6136	4.01991	0.332985	0.00701533	96.9424	0.153057	2.265
75	1.37219	112.327	4.40777e-05	0.0697175	0.061523	2.55878	0.241222	91	124.498	40.5022	4.10745	0.332891	0.00710914	98.965	0.15639	2.265
76	1.37207	112.317	4.46483e-05	0.0697114	0.0615186	2.56188	0.238118	91	124.619	40.3806	4.19473	0.332797	0.00720291	100.964	0.159713	2.265
77	1.37194	112.306	4.5223e-05	0.0697052	0.061514	2.56493	0.23507	91	124.751	40.2494	4.28175	0.332703	0.00729667	102.94	0.163026	2.265
78	1.37182	112.296	4.58014e-05	0.069699	0.0615093	2.56792	0.23208	91	124.891	40.1092	4.36847	0.33261	0.00739039	104.892	0.166328	2.265
79	1.37169	112.285	4.63831e-05	0.0696928	0.0615045	2.57085	0.229148	91	125.039	39.9607	4.45487	0.332516	0.00748409	106.819	0.169618	2.265
80	1.37156	112.275	4.69677e-05	0.0696865	0.0614995	2.57372	0.226275	91	125.196	39.8044	4.54095	0.332422	0.00757776	108.721	0.172896	2.265
81	1.37143	112.264	4.75546e-05	0.0696802	0.0614945	2.57654	0.223461	91	125.359	39.6409	4.62668	0.332329	0.00767141	110.598	0.17616	2.265
82	1.37131	112.254	4.81436e-05	0.0696739	0.0614893	2.57929	0.220707	91	125.529	39.4707	4.71206	0.332235	0.00776502	112.449	0.17941	2.265
83	1.37118	112.243	4.87343e-05	0.0696675	0.0614841	2.58199	0.218012	91	125.706	39.2943	4.79706	0.332141	0.00785862	114.274	0.182647	2.265
84	1.37105	112.233	4.93261e-05	0.0696612	0.0614788	2.58462	0.215376	91	125.888	39.1121	4.88167	0.332048	0.00795218	116.073	0.185868	2.265
85	1.37092	112.222	4.99189e-05	0.0696548	0.0614735	2.5872	0.212799	91	126.075	38.9247	4.96588	0.331954	0.00804572	117.846	0.189075	2.265
86	1.3708	112.212	5.05121e-05	0.0696484	0.0614681	2.58972	0.21028	91	126.268	38.7325	5.04968	0.331861	0.00813924	119.593	0.192265	2.265
87	1.37067	112.201	5.11054e-05	0.069642	0.0614627	2.59218	0.207819	91	126.464	38.5359	5.13307	0.331767	0.00823272	121.314	0.19544	2.265
88	1.37054	112.191	5.16985e-05	0.0696356	0.0614573	2.59458	0.205416	91	126.665	38.3353	5.21602	0.331674	0.00832618	123.008	0.198599	2.265
89	1.37041	112.181	5.2291e-05	0.0696291	0.0614518	2.59693	0.20307	91	126.869	38.1311	5.29854	0.33158	0.00841962	124.676	0.20174	2.265
90	1.37029	112.17	5.28826e-05	0.0696227	0.0614463	2.59922	0.200779	91	127.076	37.9237	5.38061	0.331487	0.00851303	126.318	0.204865	2.265
91	1.37016	112.16	5.34728e-05	0.0696163	0.0614407	2.60146	0.198545	91	127.287	37.7134	5.46223	0.331394	0.00860641	127.933	0.207973	2.265
92	1.37003	112.149	5.40615e-05	0.0696098	0.0614352	2.60364	0.196364	91	127.499	37.5006	5.5434	0.3313	0.00869976	129.523	0.211064	2.265
93	1.3699	112.139	5.46483e-05	0.0696034	0.0614296	2.60576	0.194238	91	127.714	37.2856	5.6241	0.331207	0.00879309	131.086	0.214136	2.265
94	1.36978	112.128	5.52329e-05	0.0695969	0.061424	2.60784	0.192164	91	127.931	37.0687	5.70434	0.331114	0.0088864	132.624	0.217191	2.265
95	1.36965	112.118	5.58149e-05	0.0695905	0.0614184	2.60986	0.190143	91	128.15	36.8501	5.78411	0.33102	0.00897967	134.137	0.220229	2.265
96	1.36952	112.107	5.63942e-05	0.069584	0.0614127	2.61183	0.188172	91	128.37	36.6302	5.86341	0.330927	0.00907292	135.624	0.223248	2.265
97	1.36939	112.097	5.69704e-05	0.0695776	0.0614071	2.61375	0.186251	91	128.591	36.4093	5.94222	0.330834	0.00916615	137.086	0.226249	2.265
98	1.36926	112.086	5.75433e-05	0.0695711	0.0614014	2.61562	0.18438	91	128.813	36.1875	6.02057	0.330741	0.00925935	138.522	0.229232	2.265
99	1.36914	112.076	5.81127e-05	0.0695646	0.0613958	2.61744	0.182556	91	129.035	35.9651	6.09843	0.330647	0.00935252	139.935	0.232196	2.265
100	1.36901	112.065	5.86782e-05	0.0695582	0.0613901	2.61922	0.18078	91	129.258	35.7423	6.17581	0.330554	0.00944566	141.322	0.235142	2.265
