Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa3_degraded]	[sa10_degraded]	[IR_complex]	[pro_IR_complex]	[p1IR_complex]	[p2IR_complex]	[p1p2IRcomplex]	[AKT]	[pAKT]	[mTOR]	[pmTOR]	[S6K]	[pS6K]	[X]	[pX]	[sa28_degraded]	[sa27_degraded]	[sa26_degraded]	[F6P_proxy]
10	1.23557	1	17.6471	187.029	1.41277	14.0271	61.8401	17.0437	8.38088	1	0.975322	7.03872	11.1614	-78.9342	0.382102	-0.515288	-3.56964	0.703868	49.9717	46.2223	263.9	275.025	133.772	4.33812	1.03903	0.0959164	0.073193	2.77699	0.0076446	14.9913	0.05018	163.482	0.0410584	15.1547	17.6471
11	1.23557	1	16.5913	196.078	1.37456	14.3891	65.7617	18.1297	9.2911	1	1.01084	3.11715	10.7994	-87.9839	0.420312	-0.46508	-2.51383	-0.382102	49.747	46.2223	262.748	266.696	128.763	4.33812	1.03599	0.0959164	0.0738026	2.77699	0.00838128	14.9913	0.0512633	175.932	0.0437736	17.2429	16.5913
12	1.23557	1	15.5354	205.128	1.33635	14.7511	69.6832	19.2157	10.238	1	1.04247	-0.804416	10.4374	-97.0337	0.458522	-0.414873	-1.45802	-1.46807	49.3295	46.2223	260.528	259.314	124.533	4.33812	1.02958	0.0959164	0.0741157	2.77699	0.0090393	14.9913	0.052352	187.945	0.0464103	19.3176	15.5354
13	1.23557	1	14.4796	214.178	1.29814	15.1131	73.6048	20.3017	11.2092	1	1.06971	-4.72599	10.0754	-106.083	0.496733	-0.364666	-0.402214	-2.55404	48.7854	46.2223	257.612	252.621	120.855	4.33812	1.02095	0.0959164	0.0742412	2.77699	0.00961886	14.9913	0.0534423	199.584	0.0489766	21.3716	14.4796
14	1.23557	1	13.4238	223.228	1.25993	15.4751	77.5264	21.3876	12.1939	1	1.09251	-8.64756	9.71344	-115.133	0.534943	-0.314458	0.653596	-3.64001	48.1597	46.2223	254.247	246.441	117.576	4.33812	1.01085	0.0959164	0.074247	2.77699	0.0101224	14.9913	0.054532	210.895	0.0514785	23.4006	13.4238
15	1.23557	1	12.368	232.278	1.22172	15.8371	81.448	22.4736	13.1821	1	1.11116	-12.5691	9.35144	-124.183	0.573153	-0.264251	1.70941	-4.72598	47.4827	46.2223	250.602	240.655	114.589	4.33812	0.999789	0.0959164	0.0741757	2.77699	0.0105536	14.9913	0.0556194	221.908	0.0539204	25.4018	12.368
16	1.23557	1	12.2474	227.451	1.20362	16.9231	83.2579	22.9261	14.1668	1	1.12613	-14.3791	8.26547	-119.356	0.591252	-0.364367	1.83007	-5.17847	46.7751	46.2223	246.792	235.182	111.822	4.33812	0.988111	0.0959164	0.0740538	2.77699	0.010917	14.9913	0.0567036	232.65	0.056306	27.3734	12.2474
17	1.23557	1	12.1267	222.624	1.18552	18.009	85.0679	23.3786	15.1498	1	1.13796	-16.189	7.1795	-114.53	0.609352	-0.464483	1.95073	-5.63096	46.0511	46.2223	242.893	229.963	109.225	4.33812	0.976055	0.0959164	0.0738983	2.77699	0.0112175	14.9913	0.057784	243.137	0.058638	29.3143	12.1267
18	1.23557	1	12.006	217.798	1.16742	19.095	86.8778	23.8311	16.1347	1	1.14717	-17.999	6.09353	-109.703	0.627451	-0.564599	2.0714	-6.08345	45.3204	46.2223	238.958	224.956	106.762	4.33812	0.963788	0.0959164	0.0737197	2.77699	0.0114602	14.9913	0.0588601	253.384	0.0609187	31.2242	12.006
19	1.23557	1	11.8854	212.971	1.14932	20.181	88.6878	24.2835	17.1246	1	1.15427	-19.8089	5.00756	-104.877	0.645551	-0.664715	2.19206	-6.53594	44.5899	46.2223	235.025	220.132	104.411	4.33812	0.951425	0.0959164	0.0735253	2.77699	0.0116499	14.9913	0.0599315	263.403	0.0631502	33.1028	11.8854
20	1.23557	1	11.7647	208.145	1.13122	21.2669	90.4977	24.736	18.1225	1	1.15968	-21.6189	3.92159	-100.05	0.66365	-0.764831	2.31273	-6.98843	43.8641	46.2223	231.119	215.469	102.152	4.33812	0.939048	0.0959164	0.0733195	2.77699	0.0117917	14.9913	0.0609982	273.203	0.0653341	34.9504	11.7647
21	1.23557	1	11.5988	204.525	1.1629	21.4932	91.7043	25.1131	19.1305	1	1.16377	-22.8255	3.69535	-96.4303	0.631976	-0.732229	2.47864	-7.3655	43.1464	46.2223	227.256	210.949	99.9729	4.33812	0.926716	0.0959164	0.0731054	2.77699	0.0118903	14.9913	0.0620599	282.793	0.067472	36.7672	11.5988
22	1.23557	1	11.4329	200.905	1.19457	21.7194	92.911	25.4902	20.1487	1	1.16682	-24.0322	3.46911	-92.8104	0.600302	-0.699628	2.64455	-7.74257	42.4388	46.2223	223.449	206.561	97.8649	4.33812	0.91447	0.0959164	0.0728852	2.77699	0.0119501	14.9913	0.0631166	292.179	0.0695652	38.5536	11.4329
23	1.23557	1	11.267	197.285	1.22624	21.9457	94.1176	25.8673	21.1762	1	1.16907	-25.2388	3.24286	-89.1905	0.568628	-0.667026	2.81047	-8.11965	41.743	46.2223	219.705	202.294	95.8206	4.33812	0.902339	0.0959164	0.0726602	2.77699	0.0119755	14.9913	0.0641682	301.369	0.0716151	40.31	11.267
24	1.23557	1	11.101	193.665	1.25792	22.1719	95.3243	26.2443	22.2123	1	1.17068	-26.4454	3.01662	-85.5706	0.536954	-0.634425	2.97638	-8.49672	41.0597	46.2223	216.03	198.142	93.8348	4.33812	0.890344	0.0959164	0.0724317	2.77699	0.0119703	14.9913	0.0652146	310.367	0.0736228	42.037	11.101
25	1.23557	1	10.9351	190.045	1.28959	22.3982	96.5309	26.6214	23.2562	1	1.1718	-27.6521	2.79037	-81.9507	0.505279	-0.601823	3.14229	-8.8738	40.3897	46.2223	212.426	194.097	91.9033	4.33812	0.878499	0.0959164	0.0722002	2.77699	0.0119384	14.9913	0.0662558	319.18	0.0755893	43.7352	10.9351
26	1.23557	1	10.7692	186.425	1.32127	22.6244	97.7375	26.9985	24.3072	1	1.17254	-28.8587	2.56413	-78.3308	0.473605	-0.569222	3.3082	-9.25087	39.7332	46.2223	208.896	190.156	90.023	4.33812	0.866816	0.0959164	0.0719663	2.77699	0.0118831	14.9913	0.0672917	327.811	0.0775158	45.4051	10.7692
27	1.23557	1	10.6033	182.805	1.35294	22.8507	98.9442	27.3756	25.3645	1	1.17297	-30.0654	2.33789	-74.7109	0.441931	-0.53662	3.47412	-9.62794	39.0905	46.2223	205.439	186.312	88.1911	4.33812	0.8553	0.0959164	0.0717305	2.77699	0.0118076	14.9913	0.0683223	336.267	0.0794033	47.0473	10.6033
28	1.23557	1	10.4374	179.185	1.38461	23.0769	100.151	27.7526	26.4274	1	1.17316	-31.272	2.11164	-71.091	0.410257	-0.504019	3.64003	-10.005	38.4615	46.2223	202.058	182.564	86.4054	4.33812	0.843957	0.0959164	0.0714931	2.77699	0.0117148	14.9913	0.0693477	344.551	0.0812527	48.6624	10.4374
29	1.23557	1	10.2715	175.566	1.41629	23.3031	101.357	28.1297	27.4951	1	1.17315	-32.4786	1.8854	-67.4711	0.378583	-0.471417	3.80594	-10.3821	37.8462	46.2223	198.75	178.907	84.6642	4.33812	0.83279	0.0959164	0.0712542	2.77699	0.0116072	14.9913	0.0703677	352.667	0.083065	50.251	10.2715
30	1.23557	1	10.1056	171.946	1.44796	23.5294	102.564	28.5068	28.567	1	1.17298	-33.6853	1.65915	-63.8512	0.346908	-0.438816	3.97186	-10.7592	37.2444	46.2223	195.515	175.339	82.9658	4.33812	0.8218	0.0959164	0.0710142	2.77699	0.0114874	14.9913	0.0713824	360.621	0.0848411	51.8136	10.1056
31	1.23557	1	10.176	171.644	1.47964	23.8989	103.067	28.8135	29.6422	1	1.17268	-34.188	1.28962	-63.5495	0.315234	-0.43576	3.90147	-11.0659	36.6559	46.2223	192.352	171.858	81.3089	4.33812	0.810987	0.0959164	0.0707731	2.77699	0.0113573	14.9913	0.0723918	368.415	0.0865819	53.3509	10.176
32	1.23557	1	10.2463	171.342	1.51131	24.2684	103.57	29.1202	30.7201	1	1.17226	-34.6908	0.92009	-63.2478	0.28356	-0.432705	3.83108	-11.3725	36.0806	46.2223	189.26	168.46	79.6921	4.33812	0.800352	0.0959164	0.0705311	2.77699	0.0112189	14.9913	0.0733959	376.054	0.0882881	54.8634	10.2463
33	1.23557	1	10.3167	171.041	1.54299	24.638	104.072	29.4268	31.7999	1	1.17175	-35.1936	0.550558	-62.9462	0.251886	-0.429649	3.76069	-11.6792	35.5182	46.2223	186.238	165.143	78.1143	4.33812	0.789894	0.0959164	0.0702883	2.77699	0.011074	14.9913	0.0743946	383.541	0.0899607	56.3517	10.3167
34	1.23557	1	10.3871	170.739	1.57466	25.0075	104.575	29.7335	32.8808	1	1.17117	-35.6963	0.181026	-62.6445	0.220212	-0.426593	3.69031	-11.9859	34.9684	46.2223	183.284	161.906	76.5744	4.33812	0.779613	0.0959164	0.0700448	2.77699	0.010924	14.9913	0.0753879	390.88	0.0916004	57.8163	10.3871
35	1.23557	1	10.4575	170.437	1.60633	25.377	105.078	30.0402	33.9622	1	1.17051	-36.1991	-0.188506	-62.3429	0.188537	-0.423538	3.61992	-12.2926	34.431	46.2223	180.397	158.746	75.0714	4.33812	0.769506	0.0959164	0.0698007	2.77699	0.0107702	14.9913	0.0763759	398.075	0.0932081	59.2577	10.4575
36	1.23557	1	10.5279	170.136	1.63801	25.7466	105.581	30.3469	35.0433	1	1.16979	-36.7019	-0.558038	-62.0412	0.156863	-0.420482	3.54953	-12.5993	33.9058	46.2223	177.575	155.662	73.6044	4.33812	0.759573	0.0959164	0.0695561	2.77699	0.0106139	14.9913	0.0773586	405.129	0.0947844	60.6765	10.5279
37	1.23557	1	10.5983	169.834	1.66968	26.1161	106.083	30.6536	36.1234	1	1.16902	-37.2046	-0.92757	-61.7395	0.125189	-0.417426	3.47915	-12.906	33.3924	46.2223	174.817	152.651	72.1724	4.33812	0.749811	0.0959164	0.0693111	2.77699	0.0104559	14.9913	0.0783359	412.046	0.0963302	62.0732	10.5983
38	1.23557	1	10.6687	169.532	1.70136	26.4856	106.586	30.9603	37.2017	1	1.1682	-37.7074	-1.2971	-61.4379	0.0935148	-0.414371	3.40876	-13.2127	32.8906	46.2223	172.122	149.712	70.7746	4.33812	0.74022	0.0959164	0.0690656	2.77699	0.0102973	14.9913	0.0793078	418.828	0.0978461	63.4483	10.6687
39	1.23557	1	10.7391	169.231	1.73303	26.8552	107.089	31.267	38.2776	1	1.16734	-38.2102	-1.66663	-61.1362	0.0618406	-0.411315	3.33837	-13.5193	32.4001	46.2223	169.489	146.843	69.4101	4.33812	0.730796	0.0959164	0.0688199	2.77699	0.0101387	14.9913	0.0802744	425.48	0.099333	64.8023	10.7391
40	1.23557	1	10.8094	168.929	1.76471	27.2247	107.592	31.5736	39.3505	1	1.16645	-38.7129	-2.03617	-60.8346	0.0301664	-0.40826	3.26799	-13.826	31.9208	46.2223	166.915	144.042	68.0782	4.33812	0.721539	0.0959164	0.0685739	2.77699	0.00998087	14.9913	0.0812357	432.003	0.100791	66.1356	10.8094
41	1.23557	1	10.8798	168.627	1.79638	27.5942	108.095	31.8803	40.4196	1	1.16552	-39.2157	-2.4057	-60.5329	-0.00150779	-0.405204	3.1976	-14.1327	31.4523	46.2223	164.399	141.308	66.7779	4.33812	0.712446	0.0959164	0.0683278	2.77699	0.00982423	14.9913	0.0821917	438.401	0.102222	67.4488	10.8798
42	1.23557	1	10.9502	168.326	1.82805	27.9638	108.597	32.187	41.4844	1	1.16456	-39.7185	-2.77523	-60.2312	-0.033182	-0.402148	3.12721	-14.4394	30.9943	46.2223	161.941	138.639	65.5086	4.33812	0.703516	0.0959164	0.0680815	2.77699	0.00966928	14.9913	0.0831423	444.678	0.103626	68.7422	10.9502
43	1.23557	1	11.0206	168.024	1.85973	28.3333	109.1	32.4937	42.5441	1	1.16358	-40.2212	-3.14476	-59.9296	-0.0648562	-0.399093	3.05682	-14.7461	30.5468	46.2223	159.539	136.034	64.2696	4.33812	0.694745	0.0959164	0.0678352	2.77699	0.00951638	14.9913	0.0840876	450.835	0.105003	70.0164	11.0206
44	1.23557	1	11.091	167.722	1.8914	28.7028	109.603	32.8004	43.5981	1	1.16257	-40.724	-3.51429	-59.6279	-0.0965304	-0.396037	2.98644	-15.0528	30.1093	46.2223	157.191	133.491	63.06	4.33812	0.686132	0.0959164	0.0675889	2.77699	0.00936583	14.9913	0.0850276	456.877	0.106354	71.2717	11.091
45	1.23557	1	11.1614	167.421	1.92308	29.0724	110.106	33.1071	44.6458	1	1.16155	-41.2268	-3.88383	-59.3263	-0.128205	-0.392981	2.91605	-15.3595	29.6817	46.2223	154.896	131.008	61.8793	4.33812	0.677676	0.0959164	0.0673427	2.77699	0.00921788	14.9913	0.0859623	462.804	0.10768	72.5087	11.1614
46	1.23557	1	11.2318	167.119	1.95475	29.4419	110.608	33.4138	45.6867	1	1.16051	-41.7295	-4.25336	-59.0246	-0.159879	-0.389926	2.84566	-15.6662	29.2638	46.2223	152.654	128.584	60.7266	4.33812	0.669373	0.0959164	0.0670966	2.77699	0.00907271	14.9913	0.0868917	468.622	0.108982	73.7277	11.2318
47	1.23557	1	11.3022	166.817	1.98642	29.8114	111.111	33.7205	46.7201	1	1.15945	-42.2323	-4.62289	-58.7229	-0.191553	-0.38687	2.77528	-15.9728	28.8553	46.2223	150.462	126.218	59.6014	4.33812	0.661222	0.0959164	0.0668507	2.77699	0.00893047	14.9913	0.0878158	474.331	0.110259	74.9291	11.3022
48	1.23557	1	11.3725	166.516	2.0181	30.181	111.614	34.0271	47.7454	1	1.15837	-42.735	-4.99242	-58.4213	-0.223227	-0.383814	2.70489	-16.2795	28.456	46.2223	148.32	123.908	58.503	4.33812	0.653221	0.0959164	0.0666051	2.77699	0.00879125	14.9913	0.0887347	479.934	0.111513	76.1133	11.3725
49	1.23557	1	11.4429	166.214	2.04977	30.5505	112.117	34.3338	48.7621	1	1.15729	-43.2378	-5.36195	-58.1196	-0.254901	-0.380759	2.6345	-16.5862	28.0657	46.2223	146.227	121.654	57.4307	4.33812	0.645367	0.0959164	0.0663598	2.77699	0.00865511	14.9913	0.0896483	485.435	0.112744	77.2807	11.4429
50	1.23557	1	11.5133	165.912	2.08145	30.92	112.619	34.6405	49.7696	1	1.15619	-43.7406	-5.73149	-57.818	-0.286576	-0.377703	2.56411	-16.8929	27.6841	46.2223	144.181	119.453	56.3839	4.33812	0.637658	0.0959164	0.0661148	2.77699	0.00852211	14.9913	0.0905567	490.835	0.113953	78.4317	11.5133
51	1.23557	1	11.5837	165.611	2.11312	31.2896	113.122	34.9472	50.7674	1	1.15508	-44.2433	-6.10102	-57.5163	-0.31825	-0.374648	2.49373	-17.1996	27.3112	46.2223	142.181	117.304	55.3621	4.33812	0.630093	0.0959164	0.0658703	2.77699	0.00839225	14.9913	0.0914598	496.137	0.11514	79.5667	11.5837
52	1.23557	1	11.6541	165.309	2.1448	31.6591	113.625	35.2539	51.7549	1	1.15397	-44.7461	-6.47055	-57.2147	-0.349924	-0.371592	2.42334	-17.5063	26.9467	46.2223	140.227	115.207	54.3646	4.33812	0.622669	0.0959164	0.0656262	2.77699	0.00826552	14.9913	0.0923577	501.343	0.116306	80.686	11.6541
53	1.23557	1	11.7245	165.008	2.17647	32.0286	114.128	35.5606	52.7317	1	1.15285	-45.2489	-6.84008	-56.913	-0.381598	-0.368536	2.35295	-17.813	26.5904	46.2223	138.316	113.159	53.3908	4.33812	0.615385	0.0959164	0.0653827	2.77699	0.00814191	14.9913	0.0932505	506.456	0.117451	81.79	11.7245
54	1.23557	1	11.7949	164.706	2.20814	32.3982	114.63	35.8673	53.6971	1	1.15172	-45.7516	-7.20961	-56.6113	-0.413272	-0.365481	2.28257	-18.1197	26.2421	46.2223	136.449	111.16	52.4403	4.33812	0.608237	0.0959164	0.0651397	2.77699	0.00802137	14.9913	0.094138	511.477	0.118576	82.8791	11.7949
55	1.23557	1	11.8652	164.404	2.23982	32.7677	115.133	36.174	54.6507	1	1.15058	-46.2544	-7.57915	-56.3097	-0.444947	-0.362425	2.21218	-18.4263	25.9016	46.2223	134.624	109.209	51.5123	4.33812	0.601224	0.0959164	0.0648974	2.77699	0.00790386	14.9913	0.0950204	516.409	0.119681	83.9535	11.8652
56	1.23557	1	11.9356	164.103	2.27149	33.1372	115.636	36.4806	55.5921	1	1.14944	-46.7572	-7.94868	-56.008	-0.476621	-0.359369	2.14179	-18.733	25.5687	46.2223	132.841	107.304	50.6065	4.33812	0.594344	0.0959164	0.0646559	2.77699	0.00778933	14.9913	0.0958977	521.254	0.120766	85.0135	11.9356
57	1.23557	1	12.006	163.801	2.30317	33.5067	116.139	36.7873	56.5206	1	1.1483	-47.2599	-8.31821	-55.7064	-0.508295	-0.356314	2.0714	-19.0397	25.2434	46.2223	131.097	105.445	49.7222	4.33812	0.587594	0.0959164	0.064415	2.77699	0.0076777	14.9913	0.0967699	526.015	0.121833	86.0597	12.006
58	1.23557	1	12.0764	163.499	2.33484	33.8763	116.642	37.094	57.4359	1	1.14716	-47.7627	-8.68774	-55.4047	-0.539969	-0.353258	2.00102	-19.3464	24.9253	46.2223	129.393	103.63	48.859	4.33812	0.580974	0.0959164	0.064175	2.77699	0.0075689	14.9913	0.0976369	530.692	0.122881	87.0921	12.0764
59	1.23557	1	12.1468	163.198	2.36652	34.2458	117.144	37.4007	58.3376	1	1.14601	-48.2655	-9.05727	-55.103	-0.571643	-0.350203	1.93063	-19.6531	24.6144	46.2223	127.728	101.858	48.0163	4.33812	0.57448	0.0959164	0.0639359	2.77699	0.00746288	14.9913	0.0984989	535.288	0.123911	88.1112	12.1468
60	1.23557	1	12.2172	162.896	2.39819	34.6153	117.647	37.7074	59.225	1	1.14486	-48.7682	-9.42681	-54.8014	-0.603318	-0.347147	1.86024	-19.9598	24.3104	46.2223	126.1	100.128	47.1937	4.33812	0.568111	0.0959164	0.0636976	2.77699	0.00735954	14.9913	0.0993558	539.806	0.124924	89.1173	12.2172
61	1.23557	1	12.2876	162.594	2.42986	34.9849	118.15	38.0141	60.0979	1	1.1437	-49.271	-9.79634	-54.4997	-0.634992	-0.344091	1.78986	-20.2665	24.0133	46.2223	124.509	98.4397	46.3906	4.33812	0.561864	0.0959164	0.0634603	2.77699	0.00725883	14.9913	0.100208	544.246	0.12592	90.1105	12.2876
62	1.23557	1	12.358	162.293	2.46154	35.3544	118.653	38.3208	60.9558	1	1.14255	-49.7738	-10.1659	-54.1981	-0.666666	-0.341036	1.71947	-20.5732	23.7228	46.2223	122.953	96.7914	45.6067	4.33812	0.555738	0.0959164	0.0632241	2.77699	0.00716065	14.9913	0.101055	548.611	0.126898	91.0914	12.358
63	1.23557	1	12.4283	161.991	2.49321	35.7239	119.155	38.6274	61.7982	1	1.1414	-50.2765	-10.5354	-53.8964	-0.69834	-0.33798	1.64908	-20.8798	23.4388	46.2223	121.433	95.1823	44.8415	4.33812	0.549731	0.0959164	0.0629889	2.77699	0.00706493	14.9913	0.101896	552.902	0.127861	92.06	12.4283
64	1.23557	1	12.4987	161.689	2.52489	36.0935	119.658	38.9341	62.6247	1	1.14024	-50.7793	-10.9049	-53.5947	-0.730014	-0.334924	1.57869	-21.1865	23.1612	46.2223	119.946	93.6114	44.0944	4.33812	0.54384	0.0959164	0.0627548	2.77699	0.0069716	14.9913	0.102733	557.122	0.128807	93.0167	12.4987
65	1.23557	1	12.5691	161.388	2.55656	36.463	120.161	39.2408	63.435	1	1.13909	-51.2821	-11.2745	-53.2931	-0.761689	-0.331869	1.50831	-21.4932	22.8897	46.2223	118.494	92.078	43.3652	4.33812	0.538065	0.0959164	0.0625218	2.77699	0.00688059	14.9913	0.103565	561.272	0.129738	93.9617	12.5691
66	1.23557	1	12.6395	161.086	2.58823	36.8325	120.664	39.5475	64.2287	1	1.13793	-51.7848	-11.644	-52.9914	-0.793363	-0.328813	1.43792	-21.7999	22.6244	46.2223	117.074	90.581	42.6533	4.33812	0.532402	0.0959164	0.0622901	2.77699	0.00679181	14.9913	0.104392	565.353	0.130654	94.8954	12.6395
67	1.23557	1	12.7099	160.784	2.61991	37.2021	121.166	39.8542	65.0054	1	1.13677	-52.2876	-12.0135	-52.6898	-0.825037	-0.325758	1.36753	-22.1066	22.365	46.2223	115.686	89.1197	41.9583	4.33812	0.52685	0.0959164	0.0620596	2.77699	0.0067052	14.9913	0.105215	569.367	0.131555	95.818	12.7099
68	1.23557	1	12.7803	160.483	2.65158	37.5716	121.669	40.1609	65.7646	1	1.13562	-52.7903	-12.3831	-52.3881	-0.856711	-0.322702	1.29715	-22.4133	22.1114	46.2223	114.329	87.6932	41.2799	4.33812	0.521408	0.0959164	0.0618304	2.77699	0.00662069	14.9913	0.106032	573.317	0.132442	96.7296	12.7803
69	1.23557	1	12.8507	160.181	2.68326	37.9411	122.172	40.4676	66.5061	1	1.13446	-53.2931	-12.7526	-52.0865	-0.888385	-0.319646	1.22676	-22.72	21.8634	46.2223	113.002	86.3005	40.6176	4.33812	0.516072	0.0959164	0.0616026	2.77699	0.00653822	14.9913	0.106844	577.202	0.133314	97.6306	12.8507
70	1.23557	1	12.9211	159.879	2.71493	38.3107	122.675	40.7743	67.2295	1	1.13331	-53.7959	-13.1221	-51.7848	-0.92006	-0.316591	1.15637	-23.0266	21.621	46.2223	111.706	84.941	39.9711	4.33812	0.510843	0.0959164	0.0613761	2.77699	0.00645771	14.9913	0.107652	581.026	0.134173	98.5213	12.9211
71	1.23557	1	12.9914	159.578	2.74661	38.6802	123.177	41.0809	67.9344	1	1.13216	-54.2986	-13.4917	-51.4831	-0.951734	-0.313535	1.08599	-23.3333	21.384	46.2223	110.438	83.6139	39.3399	4.33812	0.505716	0.0959164	0.061151	2.77699	0.0063791	14.9913	0.108455	584.789	0.135018	99.4017	12.9914
72	1.23557	1	13.0618	159.276	2.77828	39.0497	123.68	41.3876	68.6205	1	1.131	-54.8014	-13.8612	-51.1815	-0.983408	-0.310479	1.0156	-23.64	21.1523	46.2223	109.199	82.3183	38.7238	4.33812	0.500692	0.0959164	0.0609274	2.77699	0.00630234	14.9913	0.109253	588.493	0.13585	100.272	13.0618
73	1.23557	1	13.1322	158.974	2.80995	39.4193	124.183	41.6943	69.2875	1	1.12985	-55.3042	-14.2307	-50.8798	-1.01508	-0.307424	0.945211	-23.9467	20.9258	46.2223	107.988	81.0535	38.1223	4.33812	0.495767	0.0959164	0.0607053	2.77699	0.00622737	14.9913	0.110047	592.139	0.136669	101.133	13.1322
74	1.23557	1	13.2026	158.673	2.84163	39.7888	124.686	42.001	69.935	1	1.1287	-55.8069	-14.6003	-50.5782	-1.04676	-0.304368	0.874824	-24.2534	20.7043	46.2223	106.804	79.8188	37.5351	4.33812	0.490941	0.0959164	0.0604848	2.77699	0.00615412	14.9913	0.110836	595.729	0.137475	101.984	13.2026
75	1.23557	1	13.273	158.371	2.8733	40.1583	125.189	42.3077	70.5627	1	1.12756	-56.3097	-14.9698	-50.2765	-1.07843	-0.301312	0.804437	-24.5601	20.4877	46.2223	105.647	78.6134	36.9619	4.33812	0.486211	0.0959164	0.0602658	2.77699	0.00608255	14.9913	0.11162	599.263	0.13827	102.826	13.273
76	1.23557	1	13.3434	158.069	2.90498	40.5279	125.691	42.6144	71.1704	1	1.12641	-56.8125	-15.3393	-49.9748	-1.1101	-0.298257	0.73405	-24.8668	20.276	46.2223	104.515	77.4367	36.4023	4.33812	0.481576	0.0959164	0.0600484	2.77699	0.0060126	14.9913	0.112399	602.744	0.139052	103.659	13.3434
