Time	[Rec]	[Rec_i]	[IL13_Rec]	[p_IL13_Rec]	[p_IL13_Rec_i]	[JAK2]	[pJAK2]	[SHP1]	[STAT5]	[pSTAT5]	[CD274mRNA]	[IL13]
62	1.739	117.947	0.00414635	0.0352781	0.0273924	23.6962	0.303785	9.4	206.554	2.44566	1.41337	3.776
63	1.73883	117.936	0.00414631	0.0352748	0.0273898	23.6962	0.303759	9.4	206.554	2.44586	1.44173	3.776
64	1.73867	117.924	0.00414627	0.0352714	0.0273872	23.6963	0.303733	9.4	206.554	2.44601	1.47008	3.776
65	1.7385	117.913	0.00414623	0.035268	0.0273846	23.6963	0.303707	9.4	206.554	2.44613	1.49844	3.776
66	1.73834	117.902	0.00414619	0.0352646	0.027382	23.6963	0.303681	9.4	206.554	2.44621	1.5268	3.776
67	1.73817	117.891	0.00414615	0.0352613	0.0273794	23.6963	0.303655	9.4	206.554	2.44626	1.55516	3.776
68	1.738	117.879	0.0041461	0.0352579	0.0273767	23.6964	0.30363	9.4	206.554	2.44629	1.58351	3.776
69	1.73784	117.868	0.00414606	0.0352545	0.0273741	23.6964	0.303604	9.4	206.554	2.44629	1.61187	3.776
70	1.73767	117.857	0.00414602	0.0352512	0.0273715	23.6964	0.303578	9.4	206.554	2.44627	1.64023	3.776
71	1.73751	117.846	0.00414598	0.0352478	0.0273689	23.6964	0.303552	9.4	206.554	2.44623	1.66859	3.776
72	1.73734	117.834	0.00414594	0.0352444	0.0273663	23.6965	0.303526	9.4	206.554	2.44617	1.69695	3.776
73	1.73717	117.823	0.0041459	0.0352411	0.0273637	23.6965	0.3035	9.4	206.554	2.4461	1.72531	3.776
74	1.73701	117.812	0.00414585	0.0352377	0.0273611	23.6965	0.303474	9.4	206.554	2.44601	1.75366	3.776
75	1.73684	117.801	0.00414581	0.0352343	0.0273584	23.6966	0.303448	9.4	206.554	2.44591	1.78202	3.776
76	1.73668	117.789	0.00414577	0.035231	0.0273558	23.6966	0.303422	9.4	206.554	2.4458	1.81037	3.776
77	1.73651	117.778	0.00414573	0.0352276	0.0273532	23.6966	0.303396	9.4	206.554	2.44568	1.83873	3.776
78	1.73634	117.767	0.00414569	0.0352243	0.0273506	23.6966	0.30337	9.4	206.554	2.44555	1.86708	3.776
79	1.73618	117.756	0.00414564	0.0352209	0.027348	23.6967	0.303344	9.4	206.555	2.44541	1.89543	3.776
80	1.73601	117.744	0.0041456	0.0352175	0.0273454	23.6967	0.303318	9.4	206.555	2.44527	1.92378	3.776
81	1.73585	117.733	0.00414556	0.0352142	0.0273428	23.6967	0.303293	9.4	206.555	2.44511	1.95212	3.776
82	1.73568	117.722	0.00414552	0.0352108	0.0273402	23.6967	0.303267	9.4	206.555	2.44496	1.98047	3.776
83	1.73552	117.711	0.00414548	0.0352074	0.0273376	23.6968	0.303241	9.4	206.555	2.44479	2.00881	3.776
84	1.73535	117.699	0.00414544	0.0352041	0.0273349	23.6968	0.303215	9.4	206.555	2.44463	2.03715	3.776
85	1.73518	117.688	0.00414539	0.0352007	0.0273323	23.6968	0.303189	9.4	206.556	2.44446	2.06549	3.776
86	1.73502	117.677	0.00414535	0.0351973	0.0273297	23.6968	0.303163	9.4	206.556	2.44428	2.09383	3.776
87	1.73485	117.666	0.00414531	0.035194	0.0273271	23.6969	0.303137	9.4	206.556	2.4441	2.12216	3.776
88	1.73469	117.654	0.00414527	0.0351906	0.0273245	23.6969	0.303111	9.4	206.556	2.44392	2.1505	3.776
89	1.73452	117.643	0.00414523	0.0351873	0.0273219	23.6969	0.303085	9.4	206.556	2.44374	2.17883	3.776
90	1.73436	117.632	0.00414518	0.0351839	0.0273193	23.6969	0.303059	9.4	206.556	2.44355	2.20716	3.776
91	1.73419	117.621	0.00414514	0.0351805	0.0273167	23.697	0.303034	9.4	206.557	2.44337	2.23548	3.776
92	1.73402	117.609	0.0041451	0.0351772	0.0273141	23.697	0.303008	9.4	206.557	2.44318	2.26381	3.776
93	1.73386	117.598	0.00414506	0.0351738	0.0273115	23.697	0.302982	9.4	206.557	2.44298	2.29213	3.776
94	1.73369	117.587	0.00414502	0.0351705	0.0273088	23.697	0.302956	9.4	206.557	2.44279	2.32045	3.776
95	1.73353	117.576	0.00414497	0.0351671	0.0273062	23.6971	0.30293	9.4	206.557	2.4426	2.34877	3.776
96	1.73336	117.565	0.00414493	0.0351637	0.0273036	23.6971	0.302904	9.4	206.558	2.4424	2.37708	3.776
97	1.7332	117.553	0.00414489	0.0351604	0.027301	23.6971	0.302878	9.4	206.558	2.4422	2.4054	3.776
98	1.73303	117.542	0.00414485	0.035157	0.0272984	23.6971	0.302852	9.4	206.558	2.44201	2.43371	3.776
99	1.73286	117.531	0.00414481	0.0351537	0.0272958	23.6972	0.302827	9.4	206.558	2.44181	2.46201	3.776
100	1.7327	117.52	0.00414477	0.0351503	0.0272932	23.6972	0.302801	9.4	206.558	2.44161	2.49032	3.776
