Time	[FeIII]	[FeII]	[FeII_O2]	[FeIII_star]	[FeII_star]	[FeII_star_O2]	[FeIII_NO]	[FeII_NO]	[NADPH]	[O2]	[citruline]	[NO3]	[NO]	[NADPplus]	[FeIII_t]
53	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
54	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
55	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
56	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
57	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
58	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
59	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
60	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
61	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
62	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
63	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
64	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
65	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
66	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
67	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
68	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
69	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
70	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
71	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
72	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
73	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
74	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
75	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
76	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
77	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
78	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
79	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
80	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
81	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
82	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
83	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
84	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
85	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
86	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
87	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
88	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
89	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
90	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
91	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
92	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
93	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
94	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
95	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
96	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
97	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
98	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
99	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
100	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
