Time	[ProCasp3]	[XIAP]	[Casp9(p35-p12)]	[ProCasp9]	[C3]	[Casp9(p35-p10)]	[XIAP-Casp3]	[XIAP-Casp9]	[XIAP-Casp9-Casp3]	[XIAP-p2 fragment]	[XIAP-p2frag-Casp3]	[BIR12]	[BIR12-Casp3]	[BIR3R]	[BIR3R-Casp9]	[BIR3R-p2frag]	[XIAP-2*SMAC]	[BIR12-SMAC]	[BIR3R-SMAC]	[SMAC]	[APAF1]	[XIAP-p2frag-2*SMAC]	[Casp3 Substrate]	[Clevage Products]	[SMAC in mitochondrium]	[Cytochrome C in mitochondrium]	[cytosolic Cytochrome C]
26	1.02026e-07	7.48009e-08	1.01878e-06	1.18624e-05	0.0592647	0.0212969	4.91176e-06	2.72089e-11	2.31168e-10	6.05771e-09	3.87086e-07	0.00252681	0.0497195	0.0292904	8.56634e-06	0.0164051	2.05594e-06	0.000542409	6.54524e-05	0.0959974	3.34201	1.51e-10	5.6863e-05	0.999943	0.00959973	6.05545e-05	9.99994
27	3.19427e-08	3.66433e-08	7.49337e-07	8.77588e-06	0.0589447	0.0211795	2.39368e-06	9.87432e-12	8.24174e-11	2.89735e-09	1.84148e-07	0.00253333	0.049412	0.0291217	6.10605e-06	0.0163156	1.0148e-06	0.000541883	6.52547e-05	0.0963439	3.34201	7.27399e-11	2.79772e-05	0.999972	0.0086947	3.8147e-05	9.99996
28	1.00653e-08	1.803e-08	5.53862e-07	6.49244e-06	0.058625	0.0210611	1.17161e-06	3.61405e-12	2.97132e-11	1.39114e-09	8.7933e-08	0.00253833	0.0491063	0.0289528	4.41822e-06	0.016225	5.0216e-07	0.000540853	6.50243e-05	0.0966027	3.34201	3.5002e-11	1.3818e-05	0.999986	0.007875	2.40311e-05	9.99998
29	3.19223e-09	8.91012e-09	4.10711e-07	4.80314e-06	0.0583058	0.0209423	5.75926e-07	1.33182e-12	1.08101e-11	6.7025e-10	4.21474e-08	0.002542	0.0488032	0.0287846	3.23027e-06	0.0161338	2.49153e-07	0.000539381	6.47551e-05	0.096783	3.342	1.70981e-11	6.85097e-06	0.999993	0.00713257	1.51386e-05	9.99998
30	1.01902e-09	4.42219e-09	3.05213e-07	3.55339e-06	0.0579869	0.0208234	2.84313e-07	4.9361e-13	3.96329e-12	3.24308e-10	2.02782e-08	0.0025445	0.0485029	0.0286174	2.37843e-06	0.0160425	1.23966e-07	0.000537519	6.44467e-05	0.0968927	3.342	8.23184e-12	3.40974e-06	0.999997	0.00646014	9.53675e-06	9.99999
31	3.27402e-10	2.20412e-09	2.27136e-07	2.62882e-06	0.0576685	0.0207045	1.40946e-07	1.83863e-13	1.46287e-12	1.57486e-10	9.79337e-09	0.00254595	0.0482055	0.0284513	1.75955e-06	0.0159511	6.18591e-08	0.000535314	6.41013e-05	0.0969388	3.342	4.0027e-12	1.70354e-06	0.999998	0.0058511	6.00778e-06	9.99999
32	1.05874e-10	1.10321e-09	1.69192e-07	1.94481e-06	0.0573508	0.020586	7.01641e-08	6.87982e-14	5.43239e-13	7.67695e-11	4.74766e-09	0.00254646	0.0479111	0.0282863	1.30586e-06	0.0158599	3.09601e-08	0.000532804	6.37221e-05	0.0969276	3.342	1.95072e-12	8.54357e-07	0.999999	0.00529948	3.78466e-06	10
33	3.44594e-11	5.54484e-10	1.26109e-07	1.43878e-06	0.0570338	0.0204678	3.50727e-08	2.58522e-14	2.02864e-13	3.75654e-11	2.31032e-09	0.00254612	0.0476193	0.0281223	9.71223e-07	0.015769	1.55431e-08	0.000530026	6.33126e-05	0.096865	3.342	9.5329e-13	4.30112e-07	1	0.00479987	2.38419e-06	10
34	1.12883e-11	2.79838e-10	9.40366e-08	1.06442e-06	0.0567176	0.0203501	1.76034e-08	9.75392e-15	7.61561e-14	1.84518e-11	1.12852e-09	0.00254501	0.0473303	0.0279594	7.23382e-07	0.0156784	7.82767e-09	0.000527011	6.28762e-05	0.096756	3.342	4.67185e-13	2.17357e-07	1	0.00434735	1.50195e-06	10
35	3.72192e-12	1.41807e-10	7.01414e-08	7.87463e-07	0.0564024	0.0202329	8.87126e-09	3.69455e-15	2.8733e-14	9.09782e-12	5.53335e-10	0.00254321	0.0470438	0.0277976	5.39315e-07	0.0155881	3.95473e-09	0.000523787	6.24162e-05	0.0966054	3.342	2.29653e-13	1.10259e-07	1	0.0039375	9.46167e-07	10
36	1.23527e-12	7.21514e-11	5.23286e-08	5.82569e-07	0.0560881	0.0201162	4.48869e-09	1.40483e-15	1.08932e-14	4.49863e-12	2.72338e-10	0.0025408	0.0467599	0.0276368	4.02355e-07	0.0154983	2.00452e-09	0.000520379	6.19355e-05	0.0964173	3.342	1.173e-13	5.61433e-08	1	0.00356629	5.96048e-07	10
37	4.12665e-13	3.68583e-11	3.9045e-08	4.30988e-07	0.0557749	0.0200001	2.28026e-09	5.3615e-16	4.14875e-15	2.23844e-12	1.34544e-10	0.00253782	0.0464783	0.027477	3.00317e-07	0.0154089	1.01937e-09	0.000516812	6.1437e-05	0.0961957	3.342	5.51759e-14	2.8696e-08	1	0.00323007	3.75488e-07	10
38	1.3876e-13	1.89039e-11	2.91365e-08	3.18847e-07	0.0554628	0.0198847	1.16297e-09	2.05445e-16	1.58746e-15	1.12041e-12	6.6719e-11	0.00253435	0.046199	0.0273181	2.24231e-07	0.0153199	5.20113e-10	0.000513104	6.0923e-05	0.0959438	3.342	2.35379e-14	1.47223e-08	1	0.00292555	2.36543e-07	10
39	4.70056e-14	9.73403e-12	2.17443e-08	2.35885e-07	0.0551519	0.0197698	5.9548e-10	7.89853e-17	6.10309e-16	5.33846e-13	3.32119e-11	0.00253041	0.045922	0.0271603	1.67463e-07	0.0152315	2.66276e-10	0.000509276	6.03959e-05	0.095665	3.342	3.79943e-14	7.5818e-09	1	0.00264974	1.49014e-07	10
40	1.60321e-14	5.03196e-12	1.62285e-08	1.74509e-07	0.0548423	0.0196556	3.06098e-10	3.04796e-17	2.35557e-16	4.13901e-13	1.65851e-11	0.00252607	0.0456471	0.0270033	1.2509e-07	0.0151435	1.36784e-10	0.000505343	5.98577e-05	0.095362	3.342	-1.15181e-13	3.91916e-09	1	0.00239993	9.38735e-08	10
41	5.49991e-15	2.61134e-12	1.21125e-08	1.29103e-07	0.0545339	0.019542	1.57954e-10	1.18081e-17	9.13054e-17	1.64551e-13	8.31141e-12	0.00252136	0.0453743	0.0268473	9.34515e-08	0.015056	7.05034e-11	0.000501321	5.93102e-05	0.0950374	3.342	-9.08112e-15	2.03342e-09	1	0.00217368	5.91372e-08	10
42	1.9035e-15	1.36044e-12	9.04089e-09	9.55109e-08	0.0542269	0.019429	8.18249e-11	4.59945e-18	3.55604e-17	3.03158e-14	4.19948e-12	0.00251632	0.0451036	0.0266922	6.98235e-08	0.014969	3.64657e-11	0.000497223	5.8755e-05	0.0946935	3.342	3.29722e-14	1.05899e-09	1	0.00196875	3.72546e-08	10
43	6.63325e-16	7.11507e-13	6.74847e-09	7.06596e-08	0.0539212	0.0193167	4.25519e-11	1.79351e-18	1.39184e-17	1.61872e-13	2.11707e-12	0.00251099	0.0448348	0.0265381	5.21745e-08	0.0148824	1.89266e-11	0.000493061	5.81937e-05	0.0943325	3.342	-1.25039e-13	5.53577e-10	1	0.00178314	2.34694e-08	10
44	2.32524e-16	3.73503e-13	5.03751e-09	5.22744e-08	0.0536169	0.019205	2.22106e-11	7.03582e-19	5.45608e-18	8.66391e-13	1.08367e-12	0.00250538	0.0445679	0.0263848	3.89899e-08	0.0147964	9.85628e-12	0.000488845	5.76274e-05	0.0939561	3.342	-8.56602e-13	2.90422e-10	1	0.00161504	1.4785e-08	10
45	8.15146e-17	1.96774e-13	3.76047e-09	3.86729e-08	0.053314	0.019094	1.16345e-11	2.75836e-19	2.14779e-18	1.00139e-14	5.35589e-13	0.00249954	0.044303	0.0262324	2.91392e-08	0.0147108	5.14946e-12	0.000484587	5.70575e-05	0.0935662	3.342	-3.00043e-16	1.52894e-10	1	0.00146278	9.31399e-09	10
46	2.87576e-17	1.04049e-13	2.80726e-09	2.86104e-08	0.0530126	0.0189836	6.11695e-12	1.08795e-19	8.49475e-19	4.866e-15	2.73451e-13	0.00249349	0.0440399	0.026081	2.17787e-08	0.0146258	2.69951e-12	0.000480294	5.64849e-05	0.0931643	3.342	1.16085e-16	8.07819e-11	1	0.00132487	5.86741e-09	10
47	1.01988e-17	5.52196e-14	2.09575e-09	2.11661e-08	0.0527127	0.0188738	3.22775e-12	4.30512e-20	3.37202e-19	2.5092e-15	1.4018e-13	0.00248724	0.0437785	0.0259304	1.62785e-08	0.0145412	1.41995e-12	0.000475974	5.59106e-05	0.0927519	3.342	2.29828e-17	4.28335e-11	1	0.00119997	3.69619e-09	10
48	3.64206e-18	2.94139e-14	1.56463e-09	1.56588e-08	0.0524142	0.0187647	1.70951e-12	1.71149e-20	1.34506e-19	1.35556e-15	7.21123e-14	0.00248082	0.043519	0.0257807	1.21682e-08	0.0144571	7.49487e-13	0.000471634	5.53355e-05	0.0923301	3.342	-4.89457e-17	2.27944e-11	1	0.00108684	2.32843e-09	10
49	1.31672e-18	1.57305e-14	1.16815e-09	1.15845e-08	0.0521172	0.0186562	9.09012e-13	6.82514e-21	5.38471e-20	6.77158e-16	3.72523e-14	0.00247424	0.0432612	0.0256318	9.09624e-09	0.0143735	3.9709e-13	0.000467281	5.47602e-05	0.0919002	3.342	-8.71152e-18	1.21777e-11	1	0.000984375	1.46687e-09	10
50	4.77986e-19	8.44188e-15	8.72174e-10	8.57025e-09	0.0518218	0.0185483	4.85028e-13	2.73465e-21	2.1694e-20	3.65812e-16	1.92782e-14	0.00246754	0.043005	0.0254838	6.80022e-09	0.0142904	2.11069e-13	0.000462921	5.41855e-05	0.0914632	3.342	3.88712e-18	6.52797e-12	1	0.000891572	9.24085e-10	10
51	1.78498e-19	4.54983e-15	6.51215e-10	6.34035e-09	0.0515278	0.018441	2.59911e-13	1.09814e-21	8.72588e-21	1.69342e-16	1.00525e-14	0.00246071	0.0427506	0.0253367	5.08406e-09	0.0142078	1.12654e-13	0.000458557	5.3612e-05	0.09102	3.342	5.9317e-18	3.5141e-12	1	0.000807518	5.82189e-10	10
52	6.47454e-20	2.45941e-15	4.86251e-10	4.69064e-09	0.0512354	0.0183344	1.39689e-13	4.4285e-22	3.55654e-21	1.01043e-16	5.23453e-15	0.00245377	0.0424977	0.0251904	3.80121e-09	0.0141256	6.02943e-14	0.000454196	5.30401e-05	0.0905715	3.342	2.30005e-18	1.89726e-12	1	0.000731388	3.66771e-10	10
53	2.57835e-20	1.33539e-15	3.63091e-10	3.47018e-09	0.0509445	0.0182283	7.54167e-14	1.79971e-22	1.44731e-21	4.69755e-17	2.75089e-15	0.00244674	0.0422465	0.025045	2.84222e-09	0.0140439	3.24138e-14	0.00044984	5.24704e-05	0.0901184	3.342	1.91715e-18	1.02888e-12	1	0.000662435	2.31079e-10	10
54	9.7013e-21	7.27622e-16	2.71136e-10	2.56728e-09	0.0506552	0.0181229	4.08604e-14	7.45718e-23	5.98518e-22	3.02013e-17	1.44252e-15	0.00243962	0.0419969	0.0249004	2.1253e-09	0.0139627	1.74849e-14	0.000445494	5.19033e-05	0.0896615	3.342	9.33576e-19	5.59915e-13	1	0.000599983	1.45592e-10	10
55	3.49816e-21	3.97675e-16	2.02477e-10	1.8993e-09	0.0503674	0.0180181	2.22007e-14	2.96646e-23	2.43341e-22	1.55346e-17	7.59449e-16	0.00243244	0.0417489	0.0247567	1.58929e-09	0.0138819	9.45599e-15	0.000441161	5.13391e-05	0.0892014	3.342	2.42665e-18	3.05562e-13	1	0.000543419	9.17266e-11	10
56	1.5804e-21	2.18208e-16	1.5121e-10	1.40513e-09	0.0500812	0.0179139	1.21154e-14	1.28837e-23	1.0096e-22	2.02953e-18	4.01592e-16	0.00242519	0.0415024	0.0246138	1.18854e-09	0.0138017	5.13747e-15	0.000436843	5.07781e-05	0.0887386	3.342	8.73897e-18	1.67483e-13	1	0.000492188	5.77929e-11	10
57	4.70904e-22	1.20119e-16	1.12929e-10	1.03953e-09	0.0497965	0.0178103	6.62903e-15	5.11216e-24	4.21729e-23	-1.767e-17	2.09079e-16	0.00241788	0.0412574	0.0244717	8.88889e-10	0.0137218	2.79703e-15	0.000432543	5.02207e-05	0.0882737	3.342	2.80629e-17	9.20364e-14	1	0.000445786	3.64119e-11	10
58	1.972e-22	6.65059e-17	8.43431e-11	7.6906e-10	0.0495134	0.0177073	3.64371e-15	1.23213e-24	1.55643e-23	-9.25342e-17	1.17763e-16	0.00241053	0.041014	0.0243305	6.64826e-10	0.0136425	1.52806e-15	0.000428264	4.9667e-05	0.0878072	3.342	9.13624e-17	5.07896e-14	1	0.000403759	2.2944e-11	10
59	1.6117e-22	3.73671e-17	6.29962e-11	5.68967e-10	0.0492318	0.0176049	2.01803e-15	-3.35019e-24	1.29056e-23	1.32915e-15	2.90551e-16	0.00240313	0.040772	0.02419	4.97272e-10	0.0135636	8.35576e-16	0.000424007	4.91174e-05	0.0873394	3.342	-1.57645e-15	2.81833e-14	1	0.000365694	1.44598e-11	10
60	3.29252e-23	2.22265e-17	4.70541e-11	4.20932e-10	0.0489518	0.0175031	1.1324e-15	-1.73854e-23	2.19138e-23	1.87531e-14	3.40517e-15	0.00239571	0.0405315	0.0240504	3.71967e-10	0.0134851	4.43272e-16	0.000419774	4.85719e-05	0.0868707	3.342	-2.24588e-14	1.56651e-14	1	0.000331218	9.11208e-12	10
61	1.61966e-23	1.49471e-17	3.51482e-11	3.11415e-10	0.0486733	0.0174019	6.56065e-16	-3.40673e-23	3.42954e-23	2.60957e-14	4.71001e-15	0.00238825	0.0402925	0.0239115	2.78255e-10	0.0134072	2.15157e-16	0.000415566	4.80308e-05	0.0864015	3.342	-3.21114e-14	8.73681e-15	1	0.000299992	5.74249e-12	10
62	5.02781e-23	4.06668e-18	2.62564e-11	2.30397e-10	0.0483963	0.0173012	3.20147e-16	3.08741e-23	-3.0685e-23	-1.84162e-13	-1.23882e-15	0.00238077	0.0400549	0.0237735	2.08167e-10	0.0133296	1.72157e-16	0.000411385	4.74942e-05	0.085932	3.342	1.84214e-13	4.91844e-15	1	0.00027171	3.62089e-12	10
63	2.57162e-23	-4.70292e-19	1.96153e-11	1.70459e-10	0.048121	0.0172012	1.50931e-16	4.10387e-23	-4.00997e-23	4.84931e-14	-2.28925e-14	0.00237327	0.0398188	0.0236363	1.55744e-10	0.0132525	1.28527e-16	0.000407233	4.69622e-05	0.0854626	3.342	-2.17249e-14	2.77842e-15	1	0.000246094	2.28349e-12	10
64	-4.68619e-24	9.35873e-18	1.46542e-11	1.26111e-10	0.0478471	0.0171017	1.8844e-16	-7.76192e-23	7.69643e-23	1.02303e-13	3.62471e-14	0.00236575	0.0395841	0.0234998	1.16528e-10	0.0131759	-4.21836e-17	0.00040311	4.64349e-05	0.0849935	3.342	-1.38843e-13	1.55938e-15	1	0.000222893	1.43909e-12	10
65	3.81193e-24	-2.84375e-18	1.09484e-11	9.33005e-11	0.0475748	0.0170028	1.76463e-17	4.3971e-23	-4.3764e-23	-4.97378e-14	-3.88118e-14	0.00235823	0.0393508	0.0233642	8.71918e-11	0.0130997	7.27418e-17	0.000399017	4.59125e-05	0.084525	3.342	9.10014e-14	8.82075e-16	1	0.000201879	9.0704e-13	10
66	6.56626e-24	4.99259e-18	8.18033e-12	6.90278e-11	0.047304	0.0169045	8.29324e-17	-5.06642e-23	5.07943e-23	2.25304e-13	6.03333e-14	0.0023507	0.0391188	0.0232293	6.52455e-11	0.0130239	-3.79698e-17	0.000394955	4.53948e-05	0.0840571	3.342	-2.87168e-13	5.05557e-16	1	0.000182847	5.72087e-13	10
67	-2.62515e-24	-9.68068e-19	6.11227e-12	5.10693e-11	0.0470347	0.0168067	4.25309e-18	1.97775e-23	-2.00644e-23	-3.06335e-13	-4.09315e-14	0.00234316	0.0388883	0.0230952	4.88259e-11	0.0129486	2.48762e-17	0.000390924	4.48822e-05	0.0835902	3.342	3.47165e-13	2.8675e-16	1	0.000165609	3.60619e-13	10
68	-2.26648e-24	-3.73045e-19	4.56719e-12	3.7782e-11	0.046767	0.0167095	4.95392e-18	4.92888e-24	-4.85423e-24	7.21364e-14	8.73666e-15	0.00233562	0.0386591	0.0229619	3.65399e-11	0.0128737	1.12145e-17	0.000386926	4.43744e-05	0.0831243	3.342	-7.63485e-14	1.61969e-16	1	0.000149996	2.27179e-13	10
69	-7.09574e-26	2.39122e-19	3.41266e-12	2.79499e-11	0.0465008	0.0166129	7.67173e-18	-1.59905e-24	1.6197e-24	7.09557e-15	1.81361e-14	0.00232809	0.0384313	0.0228294	2.73455e-11	0.0127993	1.05281e-18	0.00038296	4.38717e-05	0.0826597	3.342	-2.92051e-14	9.24288e-17	1	0.000135855	1.43052e-13	10
70	-7.21656e-26	-6.74663e-20	2.54997e-12	2.06751e-11	0.0462361	0.0165168	2.00515e-18	2.01591e-24	-2.03396e-24	-1.67326e-14	-2.2795e-14	0.00232055	0.0382048	0.0226976	2.04649e-11	0.0127253	3.17101e-18	0.000379028	4.3374e-05	0.0821964	3.342	4.16718e-14	5.29634e-17	1	0.000123047	9.00162e-14	10
71	-2.00186e-25	7.37231e-20	1.90544e-12	1.52941e-11	0.0459729	0.0164213	2.45631e-18	-5.22633e-25	5.30699e-25	-4.15469e-14	3.26504e-14	0.00231303	0.0379797	0.0225666	1.53166e-11	0.0126517	3.74982e-19	0.000375128	4.28814e-05	0.0817345	3.342	7.73151e-16	3.03117e-17	1	0.000111446	5.66479e-14	10
