Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]
31	0.00506263	0.00695897	0.000381031	1.60145e-05	0.0546333	6.99075e-05	0.000471043	4.07392e-05	0.000336397	0.00542708	8.2728e-07	0.000126681	1.82689e-05	0.0294255	5.25466e-05	0.00110942	0.00103229	0.000736518	0.000788036	3.73073e-05	0.00972632	1.29648e-05	4.82458e-05	7.91628e-07
32	0.00522062	0.00723549	0.000393879	1.68318e-05	0.0545265	7.40584e-05	0.000470139	4.07044e-05	0.000336431	0.00554194	8.61341e-07	0.000126677	1.92539e-05	0.0294159	5.38523e-05	0.00114318	0.00105745	0.000754473	0.000812117	3.82407e-05	0.00972297	1.36666e-05	4.82356e-05	8.24916e-07
33	0.00537842	0.00751224	0.00040657	1.76535e-05	0.0544238	7.82183e-05	0.000469251	4.06668e-05	0.00033645	0.00565193	8.95055e-07	0.000126667	2.02284e-05	0.0294067	5.51185e-05	0.00117639	0.0010822	0.00077213	0.000835809	3.91459e-05	0.00971994	1.43609e-05	4.8225e-05	8.57846e-07
34	0.00553598	0.00778914	0.000419127	1.84789e-05	0.0543252	8.23828e-05	0.000468379	4.06263e-05	0.000336457	0.00575707	9.28398e-07	0.000126653	2.11911e-05	0.029398	5.63488e-05	0.00120906	0.00110653	0.000789491	0.000859116	4.00253e-05	0.00971723	1.5047e-05	4.8214e-05	8.90395e-07
35	0.00569324	0.00806612	0.00043157	1.93075e-05	0.0542306	8.65479e-05	0.000467523	4.0583e-05	0.000336449	0.00585739	9.6135e-07	0.000126634	2.21409e-05	0.0293898	5.75461e-05	0.0012412	0.00113046	0.000806564	0.000882043	4.08812e-05	0.00971482	1.57239e-05	4.82026e-05	9.22543e-07
36	0.00585013	0.00834307	0.000443917	2.01388e-05	0.0541402	9.07099e-05	0.000466683	4.05371e-05	0.000336429	0.00595291	9.93892e-07	0.000126611	2.3077e-05	0.029382	5.87136e-05	0.00127281	0.00115399	0.000823353	0.000904595	4.17156e-05	0.00971273	1.6391e-05	4.81908e-05	9.54274e-07
37	0.00600659	0.00861992	0.000456187	2.09721e-05	0.0540538	9.48654e-05	0.000465859	4.04886e-05	0.000336395	0.00604366	1.02601e-06	0.000126583	2.39984e-05	0.0293746	5.98539e-05	0.0013039	0.00117713	0.000839861	0.000926777	4.25306e-05	0.00971093	1.70478e-05	4.81786e-05	9.85574e-07
38	0.00616253	0.00889658	0.000468395	2.1807e-05	0.0539714	9.90113e-05	0.000465052	4.04375e-05	0.000336348	0.00612966	1.05769e-06	0.000126553	2.49045e-05	0.0293676	6.09696e-05	0.00133448	0.00119988	0.000856095	0.000948594	4.3328e-05	0.00970944	1.76937e-05	4.8166e-05	1.01643e-06
39	0.00631789	0.00917293	0.000480558	2.26429e-05	0.0538931	0.000103144	0.000464262	4.0384e-05	0.000336288	0.00621096	1.08891e-06	0.000126518	2.57947e-05	0.0293611	6.20632e-05	0.00136456	0.00122225	0.000872058	0.000970052	4.41096e-05	0.00970824	1.83282e-05	4.8153e-05	1.04683e-06
40	0.00647258	0.00944889	0.000492687	2.34795e-05	0.0538188	0.000107262	0.000463488	4.03281e-05	0.000336216	0.00628758	1.11968e-06	0.00012648	2.66685e-05	0.0293549	6.31369e-05	0.00139414	0.00124426	0.000887755	0.000991155	4.48768e-05	0.00970732	1.89511e-05	4.81396e-05	1.07678e-06
41	0.00662654	0.00972434	0.000504797	2.43161e-05	0.0537485	0.000111361	0.000462732	4.02698e-05	0.000336131	0.00635958	1.14999e-06	0.000126439	2.75254e-05	0.0293492	6.41928e-05	0.00142323	0.00126589	0.000903191	0.00101191	4.56312e-05	0.00970669	1.9562e-05	4.81258e-05	1.10625e-06
42	0.00677966	0.00999918	0.000516897	2.51525e-05	0.0536822	0.000115438	0.000461993	4.02093e-05	0.000336034	0.00642697	1.17982e-06	0.000126394	2.83651e-05	0.0293439	6.52328e-05	0.00145184	0.00128716	0.000918369	0.00103232	4.63743e-05	0.00970633	2.01607e-05	4.81116e-05	1.13526e-06
43	0.00693188	0.0102733	0.000528998	2.59881e-05	0.0536197	0.000119491	0.000461271	4.01467e-05	0.000335925	0.00648983	1.20918e-06	0.000126346	2.91872e-05	0.0293389	6.62587e-05	0.00147998	0.00130808	0.000933295	0.0010524	4.71072e-05	0.00970625	2.07469e-05	4.80971e-05	1.16379e-06
44	0.00708311	0.0105465	0.00054111	2.68225e-05	0.0535612	0.000123517	0.000460566	4.00819e-05	0.000335805	0.00654818	1.23806e-06	0.000126295	2.99915e-05	0.0293343	6.72723e-05	0.00150765	0.00132865	0.000947972	0.00107214	4.78312e-05	0.00970642	2.13203e-05	4.80822e-05	1.19185e-06
45	0.00723326	0.0108188	0.00055324	2.76552e-05	0.0535066	0.000127513	0.000459879	4.00152e-05	0.000335673	0.00660209	1.26646e-06	0.00012624	3.07777e-05	0.0293301	6.82751e-05	0.00153487	0.00134888	0.000962404	0.00109155	4.85475e-05	0.00970686	2.18809e-05	4.80668e-05	1.21943e-06
46	0.00738225	0.01109	0.000565396	2.84857e-05	0.0534558	0.000131476	0.00045921	3.99465e-05	0.000335529	0.0066516	1.29437e-06	0.000126183	3.15456e-05	0.0293262	6.92685e-05	0.00156163	0.00136877	0.000976597	0.00111065	4.9257e-05	0.00970756	2.24285e-05	4.80512e-05	1.24653e-06
47	0.00753	0.0113599	0.000577585	2.93138e-05	0.0534087	0.000135403	0.000458558	3.9876e-05	0.000335375	0.00669677	1.32181e-06	0.000126123	3.22951e-05	0.0293227	7.0254e-05	0.00158795	0.00138833	0.000990552	0.00112943	4.99609e-05	0.00970849	2.2963e-05	4.80351e-05	1.27315e-06
48	0.00767641	0.0116285	0.000589811	3.01388e-05	0.0533655	0.000139292	0.000457924	3.98037e-05	0.00033521	0.00673766	1.34876e-06	0.00012606	3.3026e-05	0.0293196	7.12329e-05	0.00161383	0.00140757	0.00100428	0.00114789	5.06599e-05	0.00970968	2.34842e-05	4.80187e-05	1.2993e-06
