Time	[ADP]	[ATP]	[MT]	[20S]	[Hsc70]	[Hsp90]	[CHIP]	[Bag2]	[26S]	[TauH3RUb]	[TauH4RUb]	[Nucleus3]	[Nucleus4]	[Agg33]	[Ap]	[Agg43]	[Bp]	[Tau03R]	[TauN3R]	[TauH3R]	[Tau0*3R]	[Tau03RMT]	[TauN*3R]	[TauN3RMT]	[TauH*3R]	[TauH3RMT]	[TauH3R-Hsc70]	[TauH3R-Hsp90]	[Tau03R-Hsp90]	[TauH3R-CHIP-Hsc70]	[TauH3R-CHIP-Hsc70-Bag2]	[Tau04R]	[TauN4R]	[TauH4R]	[Tau0*4R]	[Tau04RMT]	[TauN*4R]	[TauN4RMT]	[TauH*4R]	[TauH4RMT]	[TauH4R-Hsc70]	[TauH4R-Hsp90]	[Tau04R-Hsp90]	[TauH4R-CHIP-Hsc70]	[TauH4R-CHIP-Hsc70-Bag2]
10	0.0887756	0.911224	14.4	1	0.1	0.1	0.1	0.1	1	8.61974e-11	1.11996e-10	3.47566e-26	7.00501e-26	1.70465e-37	6.18725e-49	5.61298e-37	3.3494e-48	0.00607214	0.000225917	4.43243e-06	0.000458359	0.166791	5.25849e-05	0.190562	2.17601e-06	8.55199e-05	1.04005e-08	3.10222e-10	6.34394e-11	2.12729e-09	4.52224e-10	0.00388321	0.000312588	3.43855e-05	0.000233551	0.151753	8.78548e-06	0.089227	1.31361e-05	0.0015368	1.80132e-09	1.02097e-10	5.25701e-11	7.59947e-11	4.48989e-16
11	0.0907518	0.909248	14.3393	1	0.1	0.1	0.1	0.1	1	1.33547e-10	1.59148e-10	9.46704e-26	1.55045e-25	8.14564e-37	5.18166e-48	1.94812e-36	1.82629e-47	0.00610684	0.000253691	5.1985e-06	0.000473689	0.178007	5.97179e-05	0.215519	2.54571e-06	9.96128e-05	1.3444e-08	4.44476e-10	1.02516e-10	3.02685e-09	7.2075e-10	0.00389396	0.000319567	4.15021e-05	0.000238677	0.162248	1.00874e-05	0.102887	1.66483e-05	0.00194264	2.28242e-09	1.35541e-10	7.66217e-11	9.85887e-11	5.98762e-16
12	0.0926865	0.907314	14.2786	1	0.1	0.1	0.1	0.1	1	1.96267e-10	2.19664e-10	2.29861e-25	3.19921e-25	3.26043e-36	3.41708e-47	6.04843e-36	8.54791e-47	0.00614194	0.000281669	5.97282e-06	0.000489212	0.189277	6.6895e-05	0.240417	2.91898e-06	0.000113721	1.68263e-08	6.09916e-10	1.57113e-10	4.12506e-09	1.0893e-09	0.0039045	0.000326748	4.95916e-05	0.000243694	0.17236	1.14308e-05	0.116874	2.06379e-05	0.00240076	2.85275e-09	1.76274e-10	1.08164e-10	1.257e-10	7.80532e-16
13	0.0945317	0.905468	14.2178	1	0.1	0.1	0.1	0.1	1	2.76191e-10	2.96117e-10	5.07584e-25	6.23763e-25	1.12753e-35	1.84979e-46	1.71629e-35	3.53689e-46	0.00617755	0.000309796	6.75183e-06	0.000504989	0.20065	7.41025e-05	0.265205	3.2942e-06	0.000127781	2.05194e-08	8.07917e-10	2.30494e-10	5.42729e-09	1.57578e-09	0.00391482	0.00033414	5.86821e-05	0.000248618	0.18213	1.28124e-05	0.131147	2.51177e-05	0.00291197	3.52224e-09	2.25362e-10	1.4877e-10	1.57936e-10	9.99084e-16
14	0.0962749	0.903725	14.1571	1	0.1	0.1	0.1	0.1	1	3.7485e-10	3.91402e-10	1.03532e-24	1.16052e-24	3.44952e-35	8.48408e-46	4.5211e-35	1.32155e-45	0.00621378	0.000338024	7.53301e-06	0.00052107	0.212165	8.13296e-05	0.289844	3.67024e-06	0.000141749	2.44965e-08	1.03934e-09	3.26019e-10	6.93546e-09	2.19763e-09	0.00392496	0.000341738	6.87988e-05	0.000253461	0.191592	1.42295e-05	0.145672	3.00999e-05	0.00347691	4.30065e-09	2.83926e-10	2.00227e-10	1.95909e-10	1.25945e-15
15	0.0979183	0.902082	14.0964	1	0.1	0.1	0.1	0.1	1	4.93462e-10	5.08733e-10	1.97449e-24	2.07546e-24	9.51331e-35	3.38369e-45	1.11872e-34	4.53382e-45	0.0062507	0.000366319	8.31459e-06	0.000537498	0.223855	8.85677e-05	0.314302	4.04628e-06	0.000155591	2.87333e-08	1.30459e-09	4.47093e-10	8.64867e-09	2.97146e-09	0.00393495	0.000349532	7.99649e-05	0.000258232	0.200775	1.56798e-05	0.16042	3.55957e-05	0.00409616	5.19751e-09	3.53125e-10	2.64551e-10	2.40229e-10	1.56678e-15
16	0.0994693	0.900531	14.0357	1	0.0999999	0.1	0.1	0.1	1	6.32937e-10	6.51639e-10	3.55539e-24	3.58763e-24	2.40057e-34	1.19659e-44	2.62351e-34	1.44524e-44	0.00628838	0.000394648	9.09524e-06	0.000554306	0.235746	9.58096e-05	0.338552	4.42171e-06	0.000169285	3.32072e-08	1.60372e-09	5.97124e-10	1.05638e-08	3.91282e-09	0.00394478	0.000357512	9.22021e-05	0.00026294	0.209702	1.71614e-05	0.175367	4.16157e-05	0.00477015	6.22212e-09	4.34145e-10	3.4399e-10	2.91496e-10	1.92627e-15
17	0.100936	0.899064	13.975	1	0.0999999	0.1	0.1	0.1	1	7.93896e-10	8.23957e-10	6.09243e-24	6.01988e-24	5.60946e-34	3.81109e-44	5.87034e-34	4.3185e-44	0.0063269	0.000422987	9.87393e-06	0.000571526	0.247857	0.000103049	0.362575	4.79608e-06	0.000182815	3.78982e-08	1.93649e-09	7.79486e-10	1.26761e-08	5.03605e-09	0.00395449	0.000365668	0.000105531	0.000267594	0.218395	1.86727e-05	0.190489	4.81699e-05	0.00549926	7.38352e-09	5.28186e-10	4.41025e-10	3.50303e-10	2.34312e-15
18	0.102328	0.897672	13.9143	1	0.0999999	0.1	0.1	0.1	1	9.76694e-10	1.02982e-09	9.99941e-24	9.83847e-24	1.22628e-33	1.11076e-43	1.26076e-33	1.22227e-43	0.0063663	0.000451315	1.06499e-05	0.000589184	0.260206	0.000110281	0.386351	5.16902e-06	0.000196166	4.27885e-08	2.3024e-09	9.97495e-10	1.49795e-08	6.35414e-09	0.00396409	0.000373991	0.00011997	0.0002722	0.226872	2.02121e-05	0.205769	5.5268e-05	0.00628379	8.69053e-09	6.36453e-10	5.58376e-10	4.17226e-10	2.82244e-15
19	0.103651	0.896349	13.8537	1	0.0999999	0.1	0.1	0.1	1	1.18146e-09	1.27367e-09	1.58039e-23	1.57038e-23	2.52832e-33	2.99012e-43	2.60972e-33	3.29007e-43	0.00640663	0.000479612	1.14225e-05	0.000607304	0.272809	0.000117502	0.409866	5.54025e-06	0.00020933	4.78621e-08	2.70078e-09	1.25438e-09	1.74672e-08	7.87872e-09	0.0039736	0.000382472	0.000135539	0.000276764	0.235149	2.17786e-05	0.221191	6.29189e-05	0.00712394	1.01517e-08	7.60153e-10	6.98995e-10	4.92831e-10	3.36928e-15
20	0.104912	0.895088	13.793	1	0.0999999	0.1	0.1	0.1	1	1.40811e-09	1.56019e-09	2.41603e-23	2.45347e-23	4.94965e-33	7.49601e-43	5.22353e-33	8.44995e-43	0.00644794	0.000507863	1.21913e-05	0.000625908	0.285678	0.000124707	0.433107	5.90954e-06	0.000222298	5.31051e-08	3.13082e-09	1.55328e-09	2.01316e-08	9.62e-09	0.00398301	0.000391106	0.000152256	0.000281291	0.24324	2.33711e-05	0.23674	7.11316e-05	0.00801991	1.17754e-08	9.00481e-10	8.66069e-10	5.77666e-10	3.98857e-15
21	0.106116	0.893884	13.7323	1	0.0999999	0.1	0.1	0.1	1	1.6564e-09	1.89439e-09	3.58618e-23	3.7589e-23	9.25438e-33	1.76439e-42	1.01394e-32	2.07958e-42	0.00649026	0.000536054	1.29559e-05	0.000645014	0.298823	0.000131892	0.456065	6.27672e-06	0.000235064	5.85051e-08	3.5916e-09	1.89721e-09	2.2965e-08	1.15868e-08	0.00399236	0.000399885	0.000170137	0.000285787	0.251159	2.49887e-05	0.252402	7.99145e-05	0.0089718	1.35697e-08	1.05862e-09	1.06302e-09	6.72268e-10	4.68513e-15
22	0.107268	0.892732	13.6717	1	0.0999999	0.1	0.1	0.1	1	1.92596e-09	2.28149e-09	5.185e-23	5.65634e-23	1.6609e-32	3.92831e-42	1.91384e-32	4.92597e-42	0.00653364	0.000564174	1.3716e-05	0.000664639	0.312252	0.000139057	0.478728	6.64165e-06	0.000247625	6.40514e-08	4.08215e-09	2.28908e-09	2.59597e-08	1.37868e-08	0.00400164	0.000408805	0.000189199	0.000290254	0.258916	2.66305e-05	0.268166	8.92758e-05	0.0099797	1.55425e-08	1.23575e-09	1.29348e-09	7.77158e-10	5.46368e-15
23	0.108373	0.891627	13.6111	1	0.0999999	0.1	0.1	0.1	1	2.21629e-09	2.72699e-09	7.32226e-23	8.37203e-23	2.8744e-32	8.34896e-42	3.52578e-32	1.13676e-41	0.00657811	0.000592211	1.44712e-05	0.000684801	0.325974	0.000146196	0.501091	7.0042e-06	0.000259978	6.97344e-08	4.60144e-09	2.73167e-09	2.91078e-08	1.6226e-08	0.00401086	0.000417862	0.000209459	0.000294699	0.266522	2.82958e-05	0.284023	9.92236e-05	0.0110436	1.77014e-08	1.43301e-09	1.56132e-09	8.9284e-10	6.32878e-15
24	0.109432	0.890568	13.5505	1	0.0999999	0.1	0.0999999	0.1	1	2.52682e-09	3.23664e-09	1.0124e-22	1.22023e-22	4.81282e-32	1.69493e-41	6.34099e-32	2.53264e-41	0.00662368	0.000620156	1.52215e-05	0.000705514	0.339995	0.000153309	0.523147	7.36429e-06	0.00027212	7.55458e-08	5.14842e-09	3.22763e-09	3.24017e-08	1.89097e-08	0.00402003	0.000427051	0.000230933	0.000299123	0.273986	2.99842e-05	0.299962	0.000109766	0.0121636	2.00538e-08	1.65153e-09	1.87063e-09	1.01981e-09	7.28489e-15
25	0.11045	0.88955	13.4899	1	0.0999998	0.1	0.0999999	0.1	1	2.85693e-09	3.81641e-09	1.3733e-22	1.75313e-22	7.82088e-32	3.29966e-41	1.11471e-31	5.45156e-41	0.0066704	0.000648002	1.59666e-05	0.000726791	0.354319	0.000160394	0.54489	7.72184e-06	0.00028405	8.14782e-08	5.72205e-09	3.77948e-09	3.58341e-08	2.18419e-08	0.00402916	0.00043637	0.000253636	0.00030353	0.281316	3.1695e-05	0.315975	0.00012091	0.0133396	2.26069e-08	1.89242e-09	2.22569e-09	1.15854e-09	8.33636e-15
26	0.11143	0.88857	13.4293	1	0.0999998	0.1	0.0999999	0.1	1	3.20594e-09	4.47249e-09	1.83089e-22	2.48525e-22	1.23695e-31	6.19123e-41	1.91947e-31	1.14111e-40	0.0067183	0.000675742	1.67064e-05	0.000748645	0.368951	0.000167448	0.566315	8.0768e-06	0.000295766	8.75254e-08	6.32129e-09	4.38963e-09	3.93978e-08	2.50254e-08	0.00403826	0.000445815	0.000277584	0.000307923	0.28852	3.34278e-05	0.332055	0.000132664	0.0145715	2.53678e-08	2.15677e-09	2.631e-09	1.3095e-09	9.48738e-15
27	0.112373	0.887627	13.3687	1	0.0999998	0.1	0.0999999	0.1	1	3.57315e-09	5.2113e-09	2.40286e-22	3.47909e-22	1.90861e-31	1.12276e-40	3.24064e-31	2.32425e-40	0.00676738	0.000703368	1.74409e-05	0.000771089	0.383894	0.000174471	0.58742	8.42913e-06	0.00030727	9.36815e-08	6.94513e-09	5.06035e-09	4.30863e-08	2.84623e-08	0.00404733	0.000455383	0.000302792	0.000312306	0.295605	3.51822e-05	0.348195	0.000145034	0.0158593	2.83433e-08	2.44563e-09	3.09126e-09	1.47314e-09	1.07421e-14
28	0.113281	0.886719	13.3082	1	0.0999998	0.1	0.0999999	0.1	1	3.95786e-09	6.03948e-09	3.1086e-22	4.81327e-22	2.8794e-31	1.97391e-40	5.37061e-31	4.61108e-40	0.00681769	0.000730876	1.81699e-05	0.000794133	0.39915	0.00018146	0.608201	8.77878e-06	0.000318561	9.99415e-08	7.59257e-09	5.7938e-09	4.68933e-08	3.21538e-08	0.00405637	0.000465074	0.000329276	0.000316679	0.302577	3.69579e-05	0.364389	0.00015803	0.0172029	3.154e-08	2.76005e-09	3.61137e-09	1.6499e-09	1.21044e-14
29	0.114157	0.885843	13.2476	1	0.0999998	0.1	0.0999999	0.1	1	4.35936e-09	6.96384e-09	3.96917e-22	6.58578e-22	4.2555e-31	3.37479e-40	8.74956e-31	8.93831e-40	0.00686923	0.000758262	1.88934e-05	0.000817788	0.414723	0.000188416	0.628657	9.12575e-06	0.00032964	1.06301e-07	8.26266e-09	6.59202e-09	5.08127e-08	3.61004e-08	0.0040654	0.000474885	0.00035705	0.000321046	0.309442	3.87546e-05	0.38063	0.000171657	0.0186022	3.49645e-08	3.10102e-09	4.1964e-09	1.84021e-09	1.35782e-14
30	0.115003	0.884997	13.1871	1	0.0999998	0.1	0.0999999	0.1	1	4.77696e-09	7.99141e-09	5.00733e-22	8.91767e-22	6.1717e-31	5.62546e-40	1.40309e-30	1.69834e-39	0.00692203	0.00078552	1.96114e-05	0.000842065	0.430612	0.000195336	0.648785	9.47003e-06	0.000340507	1.12756e-07	8.95447e-09	7.45694e-09	5.4839e-08	4.03017e-08	0.00407441	0.000484814	0.00038613	0.000325409	0.316205	4.05719e-05	0.396914	0.000185924	0.0200569	3.86229e-08	3.46954e-09	4.85162e-09	2.04448e-09	1.51673e-14
31	0.115819	0.884181	13.1266	1	0.0999997	0.1	0.0999999	0.1	1	5.20997e-09	9.1294e-09	6.24748e-22	1.19576e-21	8.79703e-31	9.16757e-40	2.21866e-30	3.18481e-39	0.00697611	0.000812647	2.03239e-05	0.000866973	0.44682	0.00020222	0.668585	9.8116e-06	0.000351165	1.19303e-07	9.66714e-09	8.39038e-09	5.89671e-08	4.47571e-08	0.00408341	0.00049486	0.00041653	0.00032977	0.322872	4.24099e-05	0.413235	0.000200838	0.021567	4.25216e-08	3.86657e-09	5.58246e-09	2.26312e-09	1.68754e-14
32	0.116607	0.883393	13.0661	1	0.0999997	0.1	0.0999999	0.1	1	5.65774e-09	1.03852e-08	7.71563e-22	1.58852e-21	1.23392e-30	1.46077e-39	3.45582e-30	5.82593e-39	0.0070315	0.000839641	2.10308e-05	0.00089252	0.463346	0.000209068	0.688056	1.01505e-05	0.000361614	1.25939e-07	1.03998e-08	9.39406e-09	6.31921e-08	4.94652e-08	0.00409241	0.000505022	0.000448265	0.000334131	0.329446	4.42681e-05	0.42959	0.000216406	0.0231323	4.66665e-08	4.29306e-09	6.39453e-09	2.49653e-09	1.87061e-14
33	0.11737	0.88263	13.0056	1	0.0999997	0.1	0.0999999	0.0999999	1	6.11963e-09	1.17664e-08	9.43939e-22	2.09192e-21	1.70534e-30	2.28265e-39	5.31535e-30	1.05152e-38	0.00708819	0.000866499	2.17321e-05	0.000918716	0.480189	0.000215878	0.707198	1.04867e-05	0.000371856	1.3266e-07	1.11517e-08	1.04696e-08	6.75097e-08	5.44241e-08	0.00410141	0.000515299	0.000481351	0.000338493	0.335932	4.61466e-05	0.445974	0.000232635	0.0247526	5.10635e-08	4.74991e-09	7.2936e-09	2.7451e-09	2.06627e-14
34	0.118107	0.881893	12.9451	1	0.0999997	0.1	0.0999999	0.0999999	1	6.59504e-09	1.32807e-08	1.14479e-21	2.73185e-21	2.32452e-30	3.4968e-39	8.05987e-30	1.84941e-38	0.00714623	0.00089322	2.2428e-05	0.000945569	0.497351	0.000222651	0.726011	1.08202e-05	0.000381893	1.39465e-07	1.19221e-08	1.16186e-08	7.19156e-08	5.96316e-08	0.00411041	0.00052569	0.000515802	0.000342858	0.342334	4.80452e-05	0.462384	0.000249533	0.0264277	5.57184e-08	5.23803e-09	8.28562e-09	3.0092e-09	2.27488e-14
35	0.11882	0.88118	12.8847	1	0.0999996	0.1	0.0999999	0.0999999	1	7.0834e-09	1.49359e-08	1.37718e-21	3.53961e-21	3.12836e-30	5.26719e-39	1.20837e-29	3.21785e-38	0.00720561	0.000919801	2.31184e-05	0.000973086	0.514828	0.000229385	0.744496	1.1151e-05	0.000391728	1.4635e-07	1.27101e-08	1.28424e-08	7.6406e-08	6.50852e-08	0.00411941	0.000536195	0.000551635	0.000347229	0.348655	4.99638e-05	0.478815	0.000267107	0.0281575	6.06367e-08	5.7583e-09	9.37666e-09	3.28919e-09	2.49676e-14
36	0.119511	0.880489	12.8242	1	0.0999996	0.1	0.0999998	0.0999999	1	7.58416e-09	1.67403e-08	1.64432e-21	4.55177e-21	4.16022e-30	7.80059e-39	1.78895e-29	5.48076e-38	0.00726635	0.000946241	2.38034e-05	0.00100128	0.532622	0.000236081	0.762654	1.14792e-05	0.000401361	1.53314e-07	1.35153e-08	1.41424e-08	8.09775e-08	7.07821e-08	0.00412843	0.000546814	0.000588863	0.000351606	0.354899	5.19023e-05	0.495266	0.000285365	0.0299416	6.58241e-08	6.31157e-09	1.0573e-08	3.58546e-09	2.73224e-14
37	0.12018	0.87982	12.7638	1	0.0999996	0.1	0.0999998	0.0999999	1	8.0968e-09	1.87018e-08	1.94957e-21	5.81195e-21	5.47151e-30	1.13829e-38	2.62099e-29	9.22295e-38	0.00732848	0.000972541	2.4483e-05	0.00103015	0.550729	0.000242739	0.780486	1.18049e-05	0.000410797	1.60354e-07	1.43369e-08	1.55198e-08	8.56267e-08	7.67192e-08	0.00413746	0.000557545	0.000627502	0.000355991	0.361069	5.38608e-05	0.511732	0.000304315	0.0317799	7.1286e-08	6.89867e-09	1.18809e-08	3.89833e-09	2.98164e-14
38	0.120828	0.879172	12.7034	1	0.0999996	0.0999999	0.0999998	0.0999999	1	8.62085e-09	2.0829e-08	2.29641e-21	7.37079e-21	7.12188e-30	1.63716e-38	3.79781e-29	1.52475e-37	0.007392	0.000998699	2.51573e-05	0.0010597	0.569148	0.000249359	0.797994	1.21279e-05	0.000420036	1.67468e-07	1.51743e-08	1.6976e-08	9.03506e-08	8.28931e-08	0.0041465	0.000568389	0.000667568	0.000360385	0.367168	5.58392e-05	0.528211	0.000323963	0.0336722	7.70277e-08	7.52043e-09	1.33071e-08	4.22817e-09	3.24527e-14
39	0.121457	0.878543	12.643	1	0.0999996	0.0999999	0.0999998	0.0999999	1	9.15585e-09	2.31303e-08	2.68848e-21	9.2878e-21	9.1808e-30	2.32425e-38	5.45071e-29	2.4933e-37	0.00745694	0.00102471	2.58264e-05	0.00108995	0.587876	0.000255939	0.81518	1.24484e-05	0.000429082	1.74655e-07	1.6027e-08	1.85121e-08	9.51463e-08	8.93005e-08	0.00415556	0.000579345	0.000709076	0.00036479	0.373198	5.78375e-05	0.544701	0.000344318	0.0356182	8.30545e-08	8.17766e-09	1.48581e-08	4.57532e-09	3.52343e-14
40	0.122066	0.877934	12.5826	1	0.0999995	0.0999999	0.0999998	0.0999999	1	9.70137e-09	2.56143e-08	3.12953e-21	1.16316e-20	1.1728e-29	3.25865e-38	7.74703e-29	4.01947e-37	0.00752329	0.00105059	2.64903e-05	0.0011209	0.606912	0.000262482	0.832047	1.27664e-05	0.000437937	1.81913e-07	1.68944e-08	2.0129e-08	1.00011e-07	9.59377e-08	0.00416464	0.000590415	0.000752042	0.000369207	0.379162	5.98558e-05	0.561199	0.000365387	0.0376177	8.93715e-08	8.87113e-09	1.65407e-08	4.94011e-09	3.81642e-14
41	0.122657	0.877343	12.5223	1	0.0999995	0.0999999	0.0999998	0.0999999	1	1.0257e-08	2.82899e-08	3.62346e-21	1.4482e-20	1.48549e-29	4.51638e-38	1.0914e-28	6.40979e-37	0.00759109	0.00107632	2.7149e-05	0.00115255	0.626253	0.000268986	0.848595	1.30819e-05	0.000446604	1.89239e-07	1.77761e-08	2.18279e-08	1.04943e-07	1.02801e-07	0.00417375	0.000601597	0.000796482	0.000373637	0.385063	6.18941e-05	0.577703	0.000387178	0.0396704	9.59838e-08	9.60163e-09	1.83619e-08	5.32287e-09	4.12454e-14
42	0.123231	0.876769	12.4619	1	0.0999995	0.0999999	0.0999998	0.0999999	1	1.08224e-08	3.11658e-08	4.17426e-21	1.79307e-20	1.86656e-29	6.19299e-38	1.52524e-28	1.01477e-36	0.00766033	0.00110192	2.78028e-05	0.00118492	0.645895	0.000275452	0.864829	1.3395e-05	0.000455085	1.96633e-07	1.86714e-08	2.36097e-08	1.0994e-07	1.09887e-07	0.00418288	0.000612892	0.000842412	0.000378081	0.390903	6.39524e-05	0.594211	0.000409699	0.041776	1.02897e-07	1.03699e-08	2.03287e-08	5.72392e-09	4.44807e-14
43	0.123789	0.876211	12.4016	1	0.0999994	0.0999999	0.0999998	0.0999999	1	1.13972e-08	3.42512e-08	4.78608e-21	2.20829e-20	2.32783e-29	8.40697e-38	2.11512e-28	1.59271e-36	0.00773104	0.00112737	2.84516e-05	0.00121801	0.665836	0.000281881	0.880751	1.37057e-05	0.000463383	2.04094e-07	1.95801e-08	2.54753e-08	1.14998e-07	1.17191e-07	0.00419204	0.000624301	0.000889848	0.000382541	0.396684	6.60308e-05	0.610721	0.000432958	0.0439344	1.10115e-07	1.11767e-08	2.24484e-08	6.1436e-09	4.78731e-14
