Time	[E]	[E_P_1]	[P]	[M]	[M1]	[E_M1]	[E_M]	[T]	[E_P_2]	[P2]	[P21]	[E_P21]	[E_P2]	[E_P1]
39	7.77404e-05	4.99997e-05	0.811271	0.143085	9.39602e-08	7.296e-12	8.02093e-06	0.0371517	6.01258e-06	0.00842784	1.23654e-10	8.15628e-21	7.22473e-08	0
40	7.77263e-05	4.97255e-05	0.806969	0.145496	9.81777e-08	7.62236e-12	8.15461e-06	0.0388527	5.9796e-06	0.0086184	1.29816e-10	8.7715e-21	7.38685e-08	0
41	7.77133e-05	4.94536e-05	0.80269	0.147857	1.02457e-07	7.95353e-12	8.28556e-06	0.0405815	5.9469e-06	0.00880783	1.36116e-10	9.41556e-21	7.54806e-08	0
42	7.77016e-05	4.9184e-05	0.798435	0.150168	1.06797e-07	8.28939e-12	8.41381e-06	0.0423376	5.91448e-06	0.00899613	1.42552e-10	1.0089e-20	7.70836e-08	0
43	7.76909e-05	4.89166e-05	0.794203	0.15243	1.11195e-07	8.62982e-12	8.53942e-06	0.0441204	5.88232e-06	0.00918333	1.49124e-10	1.07924e-20	7.86779e-08	0
44	7.76814e-05	4.86514e-05	0.789994	0.154644	1.15649e-07	8.97471e-12	8.66244e-06	0.0459293	5.85043e-06	0.00936943	1.55831e-10	1.15263e-20	8.02634e-08	0
45	7.76731e-05	4.83884e-05	0.785807	0.156811	1.20159e-07	9.32393e-12	8.78289e-06	0.0477639	5.8188e-06	0.00955443	1.62672e-10	1.22911e-20	8.18404e-08	0
46	7.76658e-05	4.81275e-05	0.781643	0.158932	1.24723e-07	9.67737e-12	8.90084e-06	0.0496235	5.78743e-06	0.00973835	1.69646e-10	1.30875e-20	8.34089e-08	0
47	7.76597e-05	4.78687e-05	0.777502	0.161006	1.29338e-07	1.00349e-11	9.01632e-06	0.0515077	5.75631e-06	0.00992119	1.76753e-10	1.39159e-20	8.49691e-08	0
48	7.76546e-05	4.76119e-05	0.773383	0.163035	1.34004e-07	1.03965e-11	9.12938e-06	0.053416	5.72543e-06	0.010103	1.83992e-10	1.47768e-20	8.6521e-08	0
49	7.76506e-05	4.73573e-05	0.769286	0.16502	1.38718e-07	1.07619e-11	9.24005e-06	0.0553478	5.69481e-06	0.0102837	1.91362e-10	1.56707e-20	8.80649e-08	0
50	7.76476e-05	4.71046e-05	0.765211	0.166961	1.4348e-07	1.11311e-11	9.34838e-06	0.0573027	5.66442e-06	0.0104633	1.98862e-10	1.65982e-20	8.96009e-08	0
51	7.76456e-05	4.68539e-05	0.761157	0.168858	1.48287e-07	1.1504e-11	9.45441e-06	0.0592801	5.63427e-06	0.010642	2.06492e-10	1.75597e-20	9.1129e-08	0
52	7.76447e-05	4.66051e-05	0.757125	0.170713	1.53139e-07	1.18805e-11	9.55817e-06	0.0612796	5.60436e-06	0.0108196	2.1425e-10	1.85557e-20	9.26494e-08	0
53	7.76448e-05	4.63583e-05	0.753115	0.172526	1.58033e-07	1.22604e-11	9.65971e-06	0.0633007	5.57468e-06	0.0109961	2.22137e-10	1.95866e-20	9.41621e-08	0
54	7.76458e-05	4.61134e-05	0.749126	0.174298	1.62969e-07	1.26437e-11	9.75905e-06	0.065343	5.54522e-06	0.0111717	2.3015e-10	2.06531e-20	9.56674e-08	0
55	7.76479e-05	4.58703e-05	0.745157	0.176029	1.67944e-07	1.30303e-11	9.85624e-06	0.0674059	5.51599e-06	0.0113462	2.38291e-10	2.17554e-20	9.71652e-08	0
56	7.76509e-05	4.56291e-05	0.74121	0.17772	1.72959e-07	1.34201e-11	9.95132e-06	0.0694891	5.48698e-06	0.0115197	2.46557e-10	2.28942e-20	9.86558e-08	0
57	7.76549e-05	4.53897e-05	0.737283	0.179371	1.7801e-07	1.3813e-11	1.00443e-05	0.0715921	5.45819e-06	0.0116922	2.54948e-10	2.40698e-20	1.00139e-07	0
58	7.76598e-05	4.5152e-05	0.733377	0.180984	1.83098e-07	1.42089e-11	1.01352e-05	0.0737144	5.42962e-06	0.0118638	2.63463e-10	2.52826e-20	1.01615e-07	0
59	7.76656e-05	4.49162e-05	0.729492	0.182557	1.8822e-07	1.46077e-11	1.02242e-05	0.0758557	5.40126e-06	0.0120343	2.72103e-10	2.65333e-20	1.03085e-07	0
60	7.76724e-05	4.46821e-05	0.725626	0.184094	1.93375e-07	1.50093e-11	1.03111e-05	0.0780155	5.3731e-06	0.0122039	2.80865e-10	2.78221e-20	1.04547e-07	0
61	7.768e-05	4.44497e-05	0.721781	0.185592	1.98562e-07	1.54137e-11	1.03961e-05	0.0801934	5.34516e-06	0.0123725	2.89749e-10	2.91496e-20	1.06003e-07	0
62	7.76886e-05	4.4219e-05	0.717956	0.187055	2.0378e-07	1.58207e-11	1.04792e-05	0.082389	5.31741e-06	0.0125402	2.98755e-10	3.05161e-20	1.07451e-07	0
63	7.7698e-05	4.39899e-05	0.71415	0.188481	2.09028e-07	1.62303e-11	1.05604e-05	0.0846019	5.28987e-06	0.0127069	3.07882e-10	3.19221e-20	1.08894e-07	0
64	7.77083e-05	4.37625e-05	0.710365	0.189871	2.14304e-07	1.66423e-11	1.06397e-05	0.0868318	5.26253e-06	0.0128726	3.17129e-10	3.3368e-20	1.10329e-07	0
65	7.77195e-05	4.35368e-05	0.706599	0.191226	2.19606e-07	1.70568e-11	1.07172e-05	0.0890781	5.23538e-06	0.0130374	3.26496e-10	3.48543e-20	1.11758e-07	0
66	7.77315e-05	4.33126e-05	0.702852	0.192547	2.24935e-07	1.74736e-11	1.07929e-05	0.0913405	5.20842e-06	0.0132013	3.35981e-10	3.63813e-20	1.13181e-07	0
67	7.77444e-05	4.309e-05	0.699124	0.193833	2.30289e-07	1.78926e-11	1.08668e-05	0.0936188	5.18165e-06	0.0133643	3.45585e-10	3.79495e-20	1.14598e-07	0
68	7.77581e-05	4.2869e-05	0.695416	0.195086	2.35666e-07	1.83138e-11	1.0939e-05	0.0959124	5.15508e-06	0.0135263	3.55306e-10	3.95593e-20	1.16008e-07	0
69	7.77726e-05	4.26495e-05	0.691727	0.196306	2.41065e-07	1.87371e-11	1.10094e-05	0.098221	5.12868e-06	0.0136874	3.65143e-10	4.1211e-20	1.17412e-07	0
70	7.77879e-05	4.24316e-05	0.688056	0.197493	2.46486e-07	1.91624e-11	1.10782e-05	0.100544	5.10247e-06	0.0138476	3.75097e-10	4.29051e-20	1.1881e-07	0
71	7.7804e-05	4.22151e-05	0.684404	0.198648	2.51927e-07	1.95897e-11	1.11453e-05	0.102882	5.07644e-06	0.0140069	3.85167e-10	4.4642e-20	1.20203e-07	0
72	7.78209e-05	4.20001e-05	0.680771	0.199771	2.57388e-07	2.00189e-11	1.12108e-05	0.105234	5.05059e-06	0.0141653	3.95351e-10	4.6422e-20	1.21589e-07	0
73	7.78386e-05	4.17866e-05	0.677157	0.200863	2.62866e-07	2.04498e-11	1.12746e-05	0.107599	5.02491e-06	0.0143228	4.0565e-10	4.82456e-20	1.22969e-07	0
74	7.78571e-05	4.15746e-05	0.67356	0.201925	2.68362e-07	2.08825e-11	1.13369e-05	0.109977	4.99941e-06	0.0144794	4.16062e-10	5.01131e-20	1.24344e-07	0
75	7.78763e-05	4.13639e-05	0.669982	0.202956	2.73874e-07	2.13169e-11	1.13976e-05	0.112369	4.97408e-06	0.0146352	4.26587e-10	5.2025e-20	1.25713e-07	0
76	7.78962e-05	4.11547e-05	0.666422	0.203957	2.79401e-07	2.17528e-11	1.14567e-05	0.114773	4.94892e-06	0.01479	4.37224e-10	5.39815e-20	1.27076e-07	0
77	7.7917e-05	4.09468e-05	0.66288	0.204928	2.84942e-07	2.21903e-11	1.15144e-05	0.117189	4.92392e-06	0.014944	4.47973e-10	5.5983e-20	1.28434e-07	0
78	7.79384e-05	4.07403e-05	0.659356	0.205871	2.90497e-07	2.26293e-11	1.15706e-05	0.119618	4.89909e-06	0.0150972	4.58833e-10	5.803e-20	1.29786e-07	0
79	7.79606e-05	4.05352e-05	0.65585	0.206785	2.96063e-07	2.30697e-11	1.16252e-05	0.122058	4.87443e-06	0.0152495	4.69803e-10	6.01228e-20	1.31133e-07	0
80	7.79835e-05	4.03314e-05	0.652361	0.207671	3.01641e-07	2.35114e-11	1.16785e-05	0.12451	4.84992e-06	0.0154009	4.80883e-10	6.22617e-20	1.32475e-07	0
81	7.8007e-05	4.0129e-05	0.64889	0.208529	3.07229e-07	2.39544e-11	1.17303e-05	0.126972	4.82558e-06	0.0155515	4.92073e-10	6.44472e-20	1.33811e-07	0
82	7.80313e-05	3.99278e-05	0.645437	0.20936	3.12827e-07	2.43986e-11	1.17807e-05	0.129446	4.80139e-06	0.0157012	5.0337e-10	6.66794e-20	1.35142e-07	0
83	7.80563e-05	3.97279e-05	0.642	0.210164	3.18433e-07	2.4844e-11	1.18297e-05	0.131929	4.77735e-06	0.0158501	5.14776e-10	6.89589e-20	1.36468e-07	0
84	7.8082e-05	3.95294e-05	0.638581	0.210941	3.24046e-07	2.52905e-11	1.18774e-05	0.134423	4.75347e-06	0.0159982	5.2629e-10	7.1286e-20	1.37788e-07	0
85	7.81083e-05	3.9332e-05	0.635179	0.211692	3.29667e-07	2.5738e-11	1.19237e-05	0.136927	4.72974e-06	0.0161455	5.3791e-10	7.36609e-20	1.39104e-07	0
86	7.81354e-05	3.91359e-05	0.631794	0.212417	3.35294e-07	2.61865e-11	1.19687e-05	0.139441	4.70616e-06	0.0162919	5.49636e-10	7.60841e-20	1.40415e-07	0
87	7.8163e-05	3.89411e-05	0.628425	0.213117	3.40925e-07	2.6636e-11	1.20124e-05	0.141964	4.68273e-06	0.0164375	5.61467e-10	7.85558e-20	1.4172e-07	0
88	7.81914e-05	3.87474e-05	0.625074	0.213792	3.46561e-07	2.70863e-11	1.20548e-05	0.144496	4.65944e-06	0.0165823	5.73404e-10	8.10765e-20	1.43021e-07	0
89	7.82203e-05	3.8555e-05	0.621739	0.214442	3.52201e-07	2.75374e-11	1.2096e-05	0.147037	4.6363e-06	0.0167263	5.85445e-10	8.36464e-20	1.44317e-07	0
90	7.82499e-05	3.83637e-05	0.61842	0.215068	3.57843e-07	2.79893e-11	1.21359e-05	0.149587	4.6133e-06	0.0168695	5.9759e-10	8.62658e-20	1.45608e-07	0
91	7.82802e-05	3.81736e-05	0.615118	0.21567	3.63487e-07	2.84419e-11	1.21745e-05	0.152144	4.59044e-06	0.0170119	6.09838e-10	8.89351e-20	1.46894e-07	0
92	7.8311e-05	3.79847e-05	0.611833	0.216248	3.69132e-07	2.88952e-11	1.2212e-05	0.15471	4.56772e-06	0.0171536	6.22189e-10	9.16547e-20	1.48176e-07	0
93	7.83425e-05	3.77969e-05	0.608564	0.216803	3.74778e-07	2.93491e-11	1.22483e-05	0.157284	4.54514e-06	0.0172944	6.34642e-10	9.44247e-20	1.49453e-07	0
94	7.83746e-05	3.76103e-05	0.605311	0.217335	3.80423e-07	2.98036e-11	1.22834e-05	0.159865	4.52269e-06	0.0174344	6.47197e-10	9.72456e-20	1.50725e-07	0
95	7.84073e-05	3.74247e-05	0.602073	0.217845	3.86068e-07	3.02586e-11	1.23173e-05	0.162453	4.50038e-06	0.0175737	6.59852e-10	1.00118e-19	1.51993e-07	0
96	7.84406e-05	3.72403e-05	0.598852	0.218332	3.9171e-07	3.0714e-11	1.23501e-05	0.165049	4.4782e-06	0.0177122	6.72608e-10	1.03041e-19	1.53256e-07	0
97	7.84745e-05	3.7057e-05	0.595647	0.218797	3.9735e-07	3.11699e-11	1.23818e-05	0.167651	4.45616e-06	0.0178499	6.85464e-10	1.06016e-19	1.54515e-07	0
98	7.85089e-05	3.68747e-05	0.592458	0.219241	4.02987e-07	3.16261e-11	1.24123e-05	0.17026	4.43424e-06	0.0179869	6.98419e-10	1.09044e-19	1.55769e-07	0
99	7.85439e-05	3.66935e-05	0.589284	0.219664	4.0862e-07	3.20826e-11	1.24418e-05	0.172875	4.41245e-06	0.0181231	7.11473e-10	1.12124e-19	1.57019e-07	0
100	7.85795e-05	3.65134e-05	0.586125	0.220065	4.14248e-07	3.25394e-11	1.24702e-05	0.175497	4.39079e-06	0.0182586	7.24625e-10	1.15256e-19	1.58265e-07	0
