Time	[Notch protein]	[cytosolic NicD]	[nuclear NicD]	[Lunatic fringe mRNA]	[Lunatic Fringe protein]	[phosph. beta-catenin]	[nuclear beta-catenin]	[Axin2 protein]	[Gsk3]	[beta-catenin]	[Axin2 mRNA]	[active Ras]	[active ERK]	[active TF X]	[Dusp6 mRNA]	[Dusp6 protein]	[inactive Ras]	[inactive ERK]	[inactive TF X]	[Ras total]	[ERK total]	[X total]	[Dsh protein]	[Axin2/Gsk3 destruction complex]	[Kt]	[Fgf]
39	0.0436777	1.11109	0.0396183	0.528611	0.113088	0.0140916	0.112494	0.51424	0.29015	0.23498	13.0626	1.98878	1.20786	1.95657	4.88965	2.99977	0.0112187	0.792138	0.0434288	2	2	2	2	2.70985	3	1
40	0.0441468	1.11869	0.0425474	0.608482	0.134898	0.0136157	0.106995	0.504201	0.294462	0.224811	12.8039	1.98878	0.937471	1.93991	5.00675	3.22511	0.0112187	1.06253	0.0600898	2	2	2	2	2.70554	3	1
41	0.0447858	1.12567	0.0455592	0.695646	0.160238	0.0132506	0.10299	0.492415	0.300018	0.217472	12.5412	1.98878	0.612053	1.90489	5.12315	3.46295	0.0112187	1.38795	0.0951073	2	2	2	2	2.69998	3	1
42	0.0456433	1.13191	0.0486361	0.789905	0.189552	0.012973	0.100128	0.479381	0.306642	0.212286	12.276	1.98878	0.2692	1.83306	5.23838	3.71351	0.0112187	1.7308	0.166938	2	2	2	2	2.69336	3	1
43	0.0467746	1.13723	0.051756	0.890906	0.223312	0.0127632	0.0981341	0.465507	0.314192	0.20873	12.0094	1.98878	0.084143	1.71671	5.35151	3.97686	0.0112187	1.91586	0.283287	2	2	2	2	2.68581	3	1
44	0.0482387	1.14143	0.0548916	0.998139	0.262007	0.0126049	0.096796	0.451123	0.322554	0.206403	11.7421	1.98878	0.0644634	1.58612	5.46152	4.25293	0.0112187	1.93554	0.413885	2	2	2	2	2.67745	3	1
45	0.0500926	1.1443	0.05801	1.11094	0.306136	0.0124853	0.0959528	0.436487	0.331636	0.205005	11.4746	1.98878	0.0555002	1.45388	5.56759	4.54145	0.0112187	1.9445	0.546125	2	2	2	2	2.66836	3	1
46	0.0523839	1.1456	0.0610719	1.22852	0.356191	0.0123945	0.0954842	0.421796	0.341365	0.20431	11.2075	1.98878	0.0485448	1.32061	5.66875	4.84206	0.0112187	1.95146	0.679395	2	2	2	2	2.65863	3	1
47	0.0551412	1.14509	0.0640323	1.34995	0.412648	0.0123249	0.0953005	0.407199	0.351683	0.204154	10.941	1.98878	0.0429806	1.18663	5.76369	5.15417	0.0112187	1.95702	0.813368	2	2	2	2	2.64832	3	1
48	0.0583654	1.14258	0.0668406	1.47419	0.475945	0.012271	0.0953356	0.392805	0.362541	0.204412	10.6753	1.98878	0.0384387	1.05228	5.85057	5.47696	0.0112187	1.96156	0.947721	2	2	2	2	2.63746	3	1
49	0.0620244	1.1379	0.0694423	1.60013	0.546467	0.0122286	0.095541	0.378688	0.373907	0.204995	10.4105	1.98878	0.0346744	0.917883	5.92684	5.80927	0.0112187	1.96533	1.08212	2	2	2	2	2.62609	3	1
50	0.0660516	1.13096	0.0717806	1.72659	0.624532	0.0121946	0.095881	0.364899	0.385754	0.205838	10.1466	1.98878	0.031519	0.783825	5.98893	6.14947	0.0112187	1.96848	1.21617	2	2	2	2	2.61425	3	1
51	0.0703516	1.12177	0.0737991	1.85232	0.710371	0.0121666	0.0963297	0.351466	0.398066	0.206893	9.88331	1.98878	0.0288525	0.650591	6.03184	6.49529	0.0112187	1.97115	1.34941	2	2	2	2	2.60193	3	1
52	0.0748099	1.11037	0.0754434	1.97604	0.804115	0.0121429	0.0968683	0.338396	0.410838	0.208126	9.62006	1.98878	0.0265885	0.518872	6.04886	6.84357	0.0112187	1.97341	1.48113	2	2	2	2	2.58916	3	1
53	0.079306	1.09691	0.076664	2.09644	0.905786	0.0121222	0.0974838	0.325675	0.42408	0.209513	9.35519	1.98878	0.0246639	0.389785	6.03199	7.19002	0.0112187	1.97534	1.61021	2	2	2	2	2.57592	3	1
54	0.0837254	1.08157	0.0774174	2.21214	1.01528	0.0121034	0.0981671	0.313242	0.437829	0.211039	9.08395	1.98878	0.023032	0.265412	5.9743	7.5292	0.0112187	1.97697	1.73459	2	2	2	2	2.56217	3	1
55	0.0879695	1.06457	0.0776676	2.32171	1.13237	0.0120852	0.0989131	0.300897	0.452207	0.212697	8.78847	1.98878	0.0216555	0.150336	5.87576	7.85504	0.0112187	1.97834	1.84966	2	2	2	2	2.54779	3	1
56	0.0919613	1.04615	0.0773863	2.4236	1.25667	0.0120648	0.0997222	0.287731	0.467694	0.214494	8.37236	1.98878	0.0205	0.0566708	5.74881	8.16237	0.0112187	1.9795	1.94333	2	2	2	2	2.53231	3	1
57	0.0956477	1.02655	0.0765535	2.51596	1.38763	0.0120309	0.100611	0.270116	0.48657	0.216495	7.5639	1.98878	0.01953	0.00977432	5.61201	8.44853	0.0112187	1.98047	1.99023	2	2	2	2	2.51343	3	1
58	0.0989978	1.00598	0.0751566	2.59619	1.5245	0.0119645	0.101646	0.246897	0.513085	0.218903	6.58779	1.98878	0.0187117	0.00209196	5.47445	8.71304	0.0112187	1.98129	1.99791	2	2	2	2	2.48691	3	1
59	0.102	0.984672	0.0731903	2.66114	1.66625	0.0118652	0.102938	0.221461	0.548504	0.22197	5.61774	1.98878	0.0180184	0.00150048	5.33715	8.95604	0.0112187	1.98198	1.9985	2	2	2	2	2.4515	3	1
60	0.104657	0.962801	0.0706556	2.70756	1.81153	0.0117401	0.104591	0.195756	0.592421	0.225897	4.66398	1.98878	0.0174293	0.00141709	5.20016	9.17769	0.0112187	1.98257	1.99858	2	2	2	2	2.40758	3	1
61	0.106983	0.940536	0.0675596	2.73223	1.9587	0.0115932	0.106687	0.17092	0.644426	0.230845	3.73289	1.98878	0.0169289	0.00137141	5.06348	9.37814	0.0112187	1.98307	1.99863	2	2	2	2	2.35557	3	1
62	0.108999	0.918021	0.0639143	2.73186	2.10581	0.011426	0.109297	0.147674	0.704215	0.236962	2.83449	1.98878	0.0165047	0.00133419	4.92713	9.55752	0.0112187	1.9835	1.99867	2	2	2	2	2.29579	3	1
63	0.110732	0.895375	0.0597367	2.70309	2.2506	0.011238	0.112492	0.126477	0.771466	0.244397	1.98629	1.98878	0.0161473	0.00130289	4.79113	9.71598	0.0112187	1.98385	1.9987	2	2	2	2	2.22853	3	1
64	0.112209	0.872701	0.0550485	2.64243	2.39049	0.0110288	0.116341	0.107689	0.84562	0.253303	1.22155	1.98878	0.0158491	0.00127671	4.65549	9.85363	0.0112187	1.98415	1.99872	2	2	2	2	2.15438	3	1
65	0.113456	0.850084	0.0498761	2.54636	2.52258	0.0108009	0.120915	0.0917516	0.925441	0.263822	0.605956	1.98878	0.0156041	0.00125509	4.52023	9.97062	0.0112187	1.9844	1.99874	2	2	2	2	2.07456	3	1
66	0.114499	0.827595	0.0442523	2.41155	2.64364	0.010564	0.126267	0.0792871	1.00825	0.276048	0.236723	1.98878	0.0154076	0.0012376	4.38538	10.067	0.0112187	1.98459	1.99876	2	2	2	2	1.99175	3	1
67	0.115359	0.805295	0.0382181	2.23531	2.75018	0.0103367	0.132409	0.070354	1.08977	0.289949	0.111779	1.98878	0.0152561	0.00122391	4.25095	10.1431	0.0112187	1.98474	1.99878	2	2	2	2	1.91023	3	1
68	0.116057	0.783235	0.0318283	2.01634	2.8385	0.0101324	0.139295	0.0637546	1.16667	0.305375	0.0897519	1.98878	0.0151467	0.00121375	4.11696	10.1987	0.0112187	1.98485	1.99879	2	2	2	2	1.83333	3	1
69	0.116608	0.761463	0.0251633	1.75616	2.9049	0.00995048	0.146846	0.0584521	1.23815	0.322154	0.0904109	1.98878	0.0150775	0.00120694	3.98345	10.2343	0.0112187	1.98492	1.99879	2	2	2	2	1.76185	3	1
70	0.117022	0.740026	0.0183596	1.46166	2.94604	0.00978484	0.154993	0.0540041	1.30459	0.340156	0.0956052	1.98878	0.0150472	0.00120335	3.85043	10.2497	0.0112187	1.98495	1.9988	2	2	2	2	1.69541	3	1
71	0.117308	0.718971	0.0116968	1.14836	2.95957	0.00963033	0.163688	0.050198	1.3665	0.359291	0.102275	1.98878	0.0150549	0.00120289	3.71794	10.2452	0.0112187	1.98495	1.9988	2	2	2	2	1.6335	3	1
72	0.117471	0.69836	0.00589575	0.841604	2.94498	0.00948334	0.172897	0.0468996	1.42436	0.379499	0.109973	1.98878	0.0151007	0.00120555	3.58601	10.221	0.0112187	1.9849	1.99879	2	2	2	2	1.57564	3	1
73	0.117515	0.678285	0.00265637	0.571137	2.90431	0.00934146	0.182595	0.0440134	1.47858	0.400741	0.118694	1.98878	0.0151848	0.00121133	3.45466	10.1771	0.0112187	1.98482	1.99879	2	2	2	2	1.52142	3	1
74	0.117444	0.658871	0.0019877	0.357631	2.84198	0.00920317	0.192769	0.0414683	1.52947	0.422987	0.128519	1.98878	0.0153083	0.00122032	3.32395	10.1136	0.0112187	1.98469	1.99878	2	2	2	2	1.47053	3	1
75	0.117264	0.640193	0.00180443	0.206487	2.76355	0.00906754	0.203405	0.0392097	1.57733	0.446217	0.13956	1.98878	0.0154729	0.00123261	3.19391	10.0308	0.0112187	1.98453	1.99877	2	2	2	2	1.42267	3	1
76	0.116983	0.622279	0.00166583	0.111025	2.67448	0.00893408	0.214497	0.0371955	1.62238	0.470415	0.151942	1.98878	0.0156807	0.00124839	3.06458	9.92883	0.0112187	1.98432	1.99875	2	2	2	2	1.37762	3	1
77	0.116609	0.605149	0.00154651	0.0567288	2.57923	0.00880261	0.226037	0.0353923	1.66481	0.495566	0.165812	1.98878	0.0159348	0.00126788	2.93601	9.8078	0.0112187	1.98407	1.99873	2	2	2	2	1.33519	3	1
78	0.116148	0.58882	0.00144266	0.0281687	2.48083	0.00867316	0.238018	0.0337737	1.70481	0.521656	0.181335	1.98878	0.016239	0.00129138	2.80826	9.6679	0.0112187	1.98376	1.99871	2	2	2	2	1.29519	3	1
79	0.115605	0.573307	0.00135178	0.0138554	2.3811	0.00854596	0.250433	0.0323185	1.74249	0.548669	0.198694	1.98878	0.0165982	0.00131928	2.68137	9.50935	0.0112187	1.9834	1.99868	2	2	2	2	1.25751	3	1
80	0.114982	0.558625	0.00127194	0.00686209	2.28103	0.00842135	0.263274	0.0310095	1.77799	0.576588	0.218099	1.98878	0.0170185	0.00135205	2.55543	9.33233	0.0112187	1.98298	1.99865	2	2	2	2	1.22201	3	1
81	0.114276	0.544795	0.00120164	0.00348099	2.18112	0.00829979	0.276532	0.029833	1.8114	0.605391	0.239782	1.98878	0.0175076	0.0013903	2.4305	9.13708	0.0112187	1.98249	1.99861	2	2	2	2	1.1886	3	1
82	0.113482	0.53184	0.00113967	0.00184747	2.08166	0.00818183	0.290196	0.0287779	1.84278	0.635053	0.264005	1.98878	0.0180749	0.00143477	2.30665	8.92382	0.0112187	1.98193	1.99857	2	2	2	2	1.15722	3	1
83	0.112592	0.519788	0.0010851	0.00105237	1.98281	0.0080681	0.304254	0.0278354	1.87221	0.665545	0.291061	1.98878	0.0187324	0.0014864	2.18398	8.69283	0.0112187	1.98127	1.99851	2	2	2	2	1.12779	3	1
84	0.111597	0.508676	0.0010372	0.000658948	1.88468	0.00795932	0.318691	0.0269986	1.89972	0.696833	0.321279	1.98878	0.019495	0.00154638	2.06258	8.44438	0.0112187	1.98051	1.99845	2	2	2	2	1.10028	3	1
85	0.110482	0.498547	0.000995405	0.000458687	1.78736	0.00785625	0.333488	0.0262622	1.92534	0.728877	0.355024	1.98878	0.0203818	0.00161622	1.94255	8.17879	0.0112187	1.97962	1.99838	2	2	2	2	1.07466	3	1
86	0.109234	0.489452	0.000959273	0.000352244	1.69092	0.00775974	0.348627	0.0256226	1.94908	0.761631	0.392704	1.98878	0.0214174	0.00169788	1.82403	7.8964	0.0112187	1.97858	1.9983	2	2	2	2	1.05092	3	1
