Time	[MPFc]	[preMPFc]	[StgPc]	[Wee1c]	[Wee1Pc]	[Stgm]	[Xp]	[Stgc]	[Xm]	[MPFn]	[preMPFn]	[Wee1Pn]	[Wee1n]	[StgPn]	[Stgn]	[FZYa]	[IEa_1]	[N]
67	0.982673	0.0137791	0.780357	0.019836	0.781785	0.856606	0.00627512	0.0201165	0.381312	0.138782	0.0101759	0.199864	0.18065	0.446261	0.216669	0.989366	0.441304	54.9804
68	0.982132	0.0137808	0.780146	0.0198513	0.781661	0.85361	0.00667018	0.0201328	0.408802	0.0992158	0.0125305	0.107517	0.301114	0.332485	0.380712	0.966301	0.167544	54.9804
69	0.981595	0.0137844	0.77994	0.0198664	0.781538	0.850548	0.00709272	0.0201491	0.436292	0.0944461	0.0172771	0.0516121	0.384851	0.221507	0.540946	0.814194	0.00304585	54.9804
70	0.981063	0.0137883	0.779737	0.0198812	0.781417	0.847417	0.00754276	0.020165	0.463782	0.105233	0.0257595	0.0401789	0.423836	0.138685	0.672035	0.620076	0.00349134	54.9804
71	0.980537	0.0137922	0.779539	0.0198958	0.781297	0.844213	0.00802029	0.0201805	0.491272	0.125067	0.0394265	0.0454911	0.445797	0.0973977	0.760618	0.427693	0.004419	54.9804
72	0.980016	0.0137959	0.779345	0.0199102	0.781178	0.840932	0.0085253	0.0201956	0.518763	0.156836	0.0616477	0.0590342	0.459251	0.0941071	0.810253	0.238803	0.00618041	54.9804
73	0.979501	0.0137996	0.779155	0.0199245	0.781061	0.837569	0.00905781	0.0202102	0.546253	0.210911	0.0983273	0.0865373	0.458473	0.122077	0.827696	0.0609049	0.0102345	54.9804
74	0.978992	0.0138031	0.778969	0.0199385	0.780944	0.834121	0.00961781	0.0202244	0.573743	0.299939	0.147616	0.146345	0.42512	0.19433	0.799944	0.00117732	0.0224353	54.9804
75	0.978488	0.0138065	0.778787	0.0199522	0.78083	0.830585	0.0102053	0.020238	0.601233	0.420098	0.169403	0.261193	0.336459	0.335338	0.702542	0.00390417	0.0625088	54.9804
76	0.977989	0.0138097	0.778609	0.0199654	0.780716	0.826956	0.0108203	0.0202506	0.628723	0.59184	0.129311	0.45276	0.170815	0.58248	0.498128	0.0237922	0.193096	54.9804
77	0.977496	0.0138128	0.778436	0.0199786	0.780604	0.823233	0.0114627	0.0202622	0.656214	0.729682	0.0425874	0.613382	0.0358549	0.932863	0.189616	0.170747	0.471502	54.9804
78	0.980512	0.0138137	0.781231	0.0199299	0.783484	0.81941	0.0121331	0.0202114	0.688017	0.290377	0.00641439	0.306263	0.0422987	0.550242	0.051598	0.579708	0.684933	107.212
79	0.979483	0.0137775	0.780844	0.0199272	0.783271	0.815484	0.0128479	0.0202084	0.741623	0.163762	0.00972583	0.229617	0.147449	0.478342	0.175044	0.954865	0.511254	107.212
80	0.97843	0.0137775	0.78043	0.0199573	0.783027	0.811448	0.0136163	0.0202404	0.795228	0.104981	0.0116652	0.134768	0.27051	0.369676	0.334204	0.980562	0.247584	107.212
81	0.977381	0.0137843	0.780024	0.0199872	0.782786	0.807294	0.0144383	0.0202725	0.848834	0.0931556	0.0155944	0.0631647	0.370035	0.254134	0.499211	0.869543	0.00515463	107.212
82	0.976344	0.013792	0.779626	0.0200166	0.782548	0.803016	0.015314	0.0203042	0.90244	0.100584	0.022967	0.040831	0.420005	0.160209	0.641592	0.675166	0.00329103	107.212
83	0.975317	0.0137996	0.779236	0.0200455	0.782312	0.798607	0.0162432	0.0203351	0.956046	0.11761	0.0349465	0.0429083	0.445281	0.105455	0.743813	0.482144	0.00405588	107.212
84	0.974302	0.013807	0.778854	0.0200741	0.782079	0.794061	0.0172261	0.020365	1.00965	0.144937	0.0543209	0.0537547	0.461507	0.0914298	0.804338	0.2919	0.00547627	107.212
85	0.973299	0.0138143	0.778481	0.0201024	0.781848	0.789371	0.0182625	0.0203943	1.06326	0.190373	0.0863112	0.0756337	0.466424	0.109408	0.831912	0.108834	0.00850498	107.212
86	0.972307	0.0138214	0.778115	0.0201303	0.78162	0.784531	0.0193526	0.0204227	1.11686	0.269031	0.135226	0.12284	0.445738	0.165248	0.820694	0.000935922	0.0170527	107.212
87	0.971325	0.0138282	0.777757	0.0201576	0.781394	0.779535	0.0204962	0.02045	1.17047	0.376112	0.170134	0.217477	0.377349	0.280909	0.748745	0.0025082	0.043729	107.212
88	0.970355	0.0138347	0.777408	0.0201842	0.781171	0.774379	0.0216935	0.0204757	1.22408	0.529966	0.152303	0.384094	0.236712	0.48867	0.583804	0.0122448	0.135109	107.212
89	0.969396	0.0138407	0.777067	0.0202101	0.78095	0.769057	0.0229444	0.0204992	1.27768	0.706392	0.0698713	0.588046	0.0584737	0.817377	0.297045	0.0958128	0.366878	107.212
90	0.968448	0.0138469	0.776733	0.0202368	0.780731	0.763564	0.0242489	0.0205228	1.33129	0.643551	0.0154499	0.637918	0.0340515	1.09245	0.0630682	0.421805	0.667477	107.212
91	0.973621	0.0137834	0.78195	0.0200974	0.786278	0.757894	0.0256248	0.0203792	1.42747	0.20147	0.00894561	0.259032	0.111669	0.507836	0.131504	0.85851	0.580694	209.063
92	0.971573	0.0137706	0.781132	0.0201567	0.785797	0.752039	0.0271045	0.0204421	1.532	0.115609	0.0108518	0.167841	0.231256	0.409775	0.280424	0.988184	0.337392	209.063
93	0.969526	0.0137819	0.780328	0.0202166	0.78532	0.745987	0.0286888	0.0205062	1.63653	0.0935333	0.0139777	0.0820847	0.345111	0.292055	0.447937	0.925223	0.0610318	209.063
94	0.967499	0.013797	0.779541	0.0202756	0.784848	0.739726	0.0303776	0.0205699	1.74106	0.0960438	0.0201091	0.0438416	0.411156	0.187687	0.601053	0.737535	0.00310211	209.063
95	0.965497	0.0138122	0.778769	0.0203336	0.784382	0.733248	0.0321709	0.0206321	1.84559	0.109971	0.0303729	0.0406867	0.44182	0.118143	0.718324	0.543905	0.0037014	209.063
96	0.963519	0.0138272	0.778015	0.0203911	0.78392	0.726543	0.0340688	0.0206927	1.95013	0.133005	0.0468967	0.0487355	0.46099	0.0909991	0.792194	0.352469	0.00482413	209.063
97	0.961566	0.0138418	0.777276	0.020448	0.783463	0.719602	0.0360711	0.0207519	2.05466	0.170474	0.0740501	0.0656588	0.470999	0.098342	0.830597	0.16596	0.00705818	209.063
98	0.959636	0.0138562	0.776553	0.0205044	0.783011	0.712418	0.0381781	0.0208096	2.15919	0.235963	0.118452	0.101117	0.462189	0.138295	0.835432	0.00801952	0.0127439	209.063
99	0.95773	0.0138701	0.775846	0.0205597	0.782564	0.704983	0.0403895	0.0208654	2.26372	0.331103	0.163965	0.17554	0.414134	0.228749	0.788826	0.00160701	0.0297113	209.063
100	0.955848	0.0138834	0.775156	0.0206138	0.782122	0.697291	0.0427055	0.0209186	2.36825	0.462986	0.169241	0.31138	0.304384	0.395466	0.665038	0.00612049	0.0868632	209.063
