Time	[ERKc]	[pERKc]	[ppERKc]	[ERK_ppMEKc]	[pERK_ppMEKc]	[DUSPc]	[pERK_DUSPc]	[ppERK_DUSPc]	[ERKn]	[pERKn]	[ppERKn]	[pERK_DUSPn]	[ppERK_DUSPn]	[STYXn]	[ERK_STYXn]	[pERK_STYXn]	[ppERK_STYXn]	[duspn]	[DUSPn]	[u_ppMEKc_tot]	[ppMEKc_tot]	[ERKc_obs]	[pERKc_obs]	[ppERKc_obs]	[ERK_ppMEKc_obs]
62	28.3189	35.0505	120.843	6.2648	7.76267	31.0599	6.78582	62.1543	331.8	14.4107	7.62206	7.9421	8.63255	434.959	2405.29	104.489	55.2664	4.52791	111.989	1	100	28.3189	35.0505	120.843	6.2648
63	28.3399	35.0561	120.832	6.26908	7.76342	31.0612	6.78719	62.1516	332.028	14.2352	7.52623	7.94557	8.63289	435.003	2407.19	103.226	54.5768	4.52944	113.419	1	100	28.3399	35.0561	120.832	6.26908
64	28.3601	35.0614	120.822	6.27319	7.76414	31.0626	6.78852	62.1489	332.248	14.0663	7.43411	7.94894	8.63323	435.046	2409.03	102.012	53.9139	4.53085	114.829	1	100	28.3601	35.0614	120.822	6.27319
65	28.3795	35.0665	120.812	6.27714	7.76483	31.0638	6.78979	62.1464	332.46	13.9039	7.34553	7.95221	8.63357	435.088	2410.79	100.843	53.2762	4.53216	116.219	1	100	28.3795	35.0665	120.812	6.27714
66	28.3982	35.0714	120.803	6.28094	7.76549	31.0651	6.79101	62.1439	332.664	13.7475	7.26029	7.95538	8.6339	435.127	2412.49	99.7169	52.6625	4.53337	117.588	1	100	28.3982	35.0714	120.803	6.28094
67	28.4162	35.0762	120.794	6.28461	7.76613	31.0662	6.79219	62.1416	332.86	13.5968	7.17821	7.95846	8.63424	435.166	2414.13	98.6322	52.0715	4.5345	118.937	1	100	28.4162	35.0762	120.794	6.28461
68	28.4336	35.0807	120.785	6.28814	7.76674	31.0674	6.79332	62.1393	333.05	13.4516	7.09914	7.96146	8.63456	435.203	2415.71	97.5865	51.502	4.53554	120.266	1	100	28.4336	35.0807	120.785	6.28814
69	28.4503	35.0851	120.776	6.29154	7.76733	31.0685	6.79441	62.1371	333.232	13.3115	7.02292	7.96436	8.63489	435.238	2417.23	96.5779	50.953	4.53651	121.576	1	100	28.4503	35.0851	120.776	6.29154
70	28.4665	35.0894	120.768	6.29482	7.7679	31.0696	6.79547	62.135	333.408	13.1764	6.94941	7.96718	8.63521	435.272	2418.7	95.6044	50.4234	4.53741	122.866	1	100	28.4665	35.0894	120.768	6.29482
71	28.482	35.0935	120.76	6.29799	7.76845	31.0706	6.79648	62.1329	333.578	13.0459	6.87849	7.96992	8.63552	435.305	2420.12	94.6646	49.9124	4.53824	124.138	1	100	28.482	35.0935	120.76	6.29799
72	28.4971	35.0974	120.752	6.30105	7.76898	31.0716	6.79746	62.1309	333.743	12.9199	6.81001	7.97259	8.63583	435.337	2421.49	93.7567	49.419	4.539	125.391	1	100	28.4971	35.0974	120.752	6.30105
73	28.5116	35.1012	120.745	6.30401	7.76949	31.0726	6.79841	62.129	333.901	12.7981	6.74388	7.97518	8.63614	435.368	2422.81	92.8793	48.9423	4.53972	126.625	1	100	28.5116	35.1012	120.745	6.30401
74	28.5257	35.1049	120.738	6.30686	7.76998	31.0735	6.79933	62.1272	334.055	12.6804	6.67997	7.9777	8.63644	435.398	2424.09	92.031	48.4817	4.54037	127.841	1	100	28.5257	35.1049	120.738	6.30686
75	28.5393	35.1084	120.731	6.30963	7.77046	31.0744	6.80021	62.1254	334.203	12.5666	6.6182	7.98015	8.63674	435.427	2425.33	91.2104	48.0363	4.54098	129.038	1	100	28.5393	35.1084	120.731	6.30963
76	28.5524	35.1118	120.724	6.3123	7.77091	31.0753	6.80107	62.1237	334.346	12.4564	6.55845	7.98253	8.63703	435.454	2426.52	90.4164	47.6055	4.54155	130.218	1	100	28.5524	35.1118	120.724	6.3123
77	28.5651	35.1151	120.717	6.31488	7.77136	31.0761	6.80189	62.122	334.485	12.3498	6.50065	7.98484	8.63731	435.481	2427.68	89.6477	47.1887	4.54207	131.381	1	100	28.5651	35.1151	120.717	6.31488
