Time	[x]	[y]	[z]	[h1]	[h2]	[h3]
59	71.1048	226.347	11236.2	87.6756	99.8091	103.629
60	70.0053	224.725	11187.9	86.3057	98.7833	103.282
61	68.9628	223.075	11142.7	84.9598	97.7309	102.88
62	67.9763	221.402	11100.6	83.6404	96.6562	102.425
63	67.0448	219.711	11061.6	82.3498	95.563	101.919
64	66.1676	218.007	11025.8	81.0902	94.4552	101.366
65	65.3437	216.292	10993.2	79.8633	93.3367	100.769
66	64.5724	214.572	10963.8	78.6707	92.2108	100.129
67	63.853	212.849	10937.8	77.514	91.0811	99.4498
68	63.1848	211.128	10915	76.3943	89.9507	98.7349
69	62.5675	209.413	10895.7	75.3128	88.8227	97.9868
70	62.0007	207.705	10879.9	74.2704	87.7	97.2085
71	61.4841	206.009	10867.6	73.2681	86.5853	96.403
72	61.0178	204.328	10858.8	72.3067	85.4813	95.5732
73	60.6018	202.664	10853.8	71.3868	84.3903	94.722
74	60.2363	201.022	10852.4	70.5094	83.3148	93.8522
75	59.922	199.403	10854.9	69.6749	82.2568	92.9667
76	59.6592	197.81	10861.2	68.8841	81.2185	92.0682
77	59.4489	196.247	10871.4	68.1376	80.2017	91.1593
78	59.2919	194.716	10885.7	67.4362	79.2084	90.2428
79	59.1893	193.22	10904	66.7805	78.2403	89.3211
80	59.1424	191.761	10926.4	66.1713	77.299	88.3968
81	59.1526	190.344	10953	65.6093	76.3862	87.4722
82	59.2212	188.969	10983.7	65.0954	75.5033	86.5499
83	59.3501	187.641	11018.7	64.6306	74.652	85.6319
84	59.5407	186.362	11057.8	64.2157	73.8336	84.7206
85	59.7949	185.135	11101	63.8518	73.0495	83.8181
86	60.1146	183.963	11148.4	63.5399	72.3011	82.9265
87	60.5014	182.849	11199.8	63.2813	71.5897	82.0479
88	60.9573	181.795	11255.1	63.077	70.9168	81.1842
89	61.4839	180.806	11314.3	62.9284	70.2835	80.3373
90	62.083	179.885	11377.1	62.8367	69.6914	79.5091
91	62.7563	179.033	11443.4	62.8032	69.1415	78.7016
92	63.505	178.255	11513	62.8293	68.6354	77.9164
93	64.3306	177.554	11585.8	62.9163	68.1743	77.1553
94	65.2342	176.932	11661.4	63.0655	67.7595	76.4201
95	66.2166	176.393	11739.8	63.2782	67.3924	75.7125
96	67.2785	175.94	11820.5	63.5556	67.0742	75.034
97	68.4201	175.577	11903.3	63.899	66.8064	74.3864
98	69.6415	175.305	11988	64.3095	66.5901	73.7712
99	70.9424	175.128	12074.3	64.788	66.4267	73.19
100	72.3219	175.048	12161.9	65.3355	66.3174	72.6445
