Time	[SerE]	[Ser]	[PS]	[Etn]	[PEtn]	[PCho]	[PE]	[PC]	[ChoE]	[Cho]	[EtnE]
54	0.0001	8.81843e-06	9.57548e-07	8.87209e-06	1.25695e-05	3.04906e-06	6.23234e-06	2.28712e-07	5e-05	2.68808e-06	0
55	0.0001	8.83518e-06	9.97924e-07	8.92359e-06	1.2824e-05	3.15837e-06	6.50364e-06	2.38518e-07	5e-05	2.719e-06	0
56	0.0001	8.85095e-06	1.03934e-06	8.97262e-06	1.30744e-05	3.26878e-06	6.77942e-06	2.48484e-07	5e-05	2.74945e-06	0
57	0.0001	8.8658e-06	1.08179e-06	9.0193e-06	1.33208e-05	3.38023e-06	7.05956e-06	2.58606e-07	5e-05	2.77944e-06	0
58	0.0001	8.87979e-06	1.12529e-06	9.06373e-06	1.35632e-05	3.49268e-06	7.34394e-06	2.6888e-07	5e-05	2.80897e-06	0
59	0.0001	8.89296e-06	1.16981e-06	9.10601e-06	1.38015e-05	3.60608e-06	7.63245e-06	2.79303e-07	5e-05	2.83805e-06	0
60	0.0001	8.90538e-06	1.21538e-06	9.14624e-06	1.40357e-05	3.7204e-06	7.92498e-06	2.8987e-07	5e-05	2.86669e-06	0
61	0.0001	8.91707e-06	1.26197e-06	9.18452e-06	1.42658e-05	3.83557e-06	8.22141e-06	3.00579e-07	5e-05	2.8949e-06	0
62	0.0001	8.92809e-06	1.30958e-06	9.22094e-06	1.44918e-05	3.95157e-06	8.52164e-06	3.11426e-07	5e-05	2.92268e-06	0
63	0.0001	8.93846e-06	1.35822e-06	9.25557e-06	1.47138e-05	4.06835e-06	8.82554e-06	3.22406e-07	5e-05	2.95004e-06	0
64	0.0001	8.94824e-06	1.40787e-06	9.28851e-06	1.49317e-05	4.18587e-06	9.13301e-06	3.33517e-07	5e-05	2.97698e-06	0
65	0.0001	8.95745e-06	1.45852e-06	9.31983e-06	1.51456e-05	4.3041e-06	9.44394e-06	3.44755e-07	5e-05	3.00353e-06	0
66	0.0001	8.96613e-06	1.51018e-06	9.34961e-06	1.53555e-05	4.42298e-06	9.75823e-06	3.56117e-07	5e-05	3.02967e-06	0
67	0.0001	8.97431e-06	1.56283e-06	9.37792e-06	1.55613e-05	4.54249e-06	1.00758e-05	3.67599e-07	5e-05	3.05542e-06	0
68	0.0001	8.98201e-06	1.61647e-06	9.40483e-06	1.57632e-05	4.66259e-06	1.03964e-05	3.79199e-07	5e-05	3.08079e-06	0
69	0.0001	8.98927e-06	1.67108e-06	9.4304e-06	1.59612e-05	4.78324e-06	1.07202e-05	3.90912e-07	5e-05	3.10577e-06	0
70	0.0001	8.99611e-06	1.72666e-06	9.4547e-06	1.61552e-05	4.90441e-06	1.10468e-05	4.02738e-07	5e-05	3.13039e-06	0
71	0.0001	9.00256e-06	1.7832e-06	9.47779e-06	1.63454e-05	5.02606e-06	1.13764e-05	4.14671e-07	5e-05	3.15463e-06	0
72	0.0001	9.00864e-06	1.84068e-06	9.49973e-06	1.65318e-05	5.14817e-06	1.17086e-05	4.26709e-07	5e-05	3.17852e-06	0
73	0.0001	9.01436e-06	1.8991e-06	9.52057e-06	1.67143e-05	5.2707e-06	1.20435e-05	4.3885e-07	5e-05	3.20205e-06	0
74	0.0001	9.01976e-06	1.95844e-06	9.54037e-06	1.68932e-05	5.39361e-06	1.2381e-05	4.5109e-07	5e-05	3.22523e-06	0
75	0.0001	9.02484e-06	2.0187e-06	9.55917e-06	1.70683e-05	5.51689e-06	1.27209e-05	4.63428e-07	5e-05	3.24807e-06	0
76	0.0001	9.02963e-06	2.07987e-06	9.57703e-06	1.72398e-05	5.6405e-06	1.30632e-05	4.75859e-07	5e-05	3.27057e-06	0
77	0.0001	9.03415e-06	2.14192e-06	9.59398e-06	1.74077e-05	5.76442e-06	1.34077e-05	4.88382e-07	5e-05	3.29274e-06	0
78	0.0001	9.0384e-06	2.20485e-06	9.61008e-06	1.7572e-05	5.88861e-06	1.37545e-05	5.00994e-07	5e-05	3.31458e-06	0
79	0.0001	9.04241e-06	2.26864e-06	9.62537e-06	1.77328e-05	6.01305e-06	1.41034e-05	5.13693e-07	5e-05	3.33609e-06	0
80	0.0001	9.04619e-06	2.33329e-06	9.63987e-06	1.78902e-05	6.13772e-06	1.44543e-05	5.26475e-07	5e-05	3.35729e-06	0
81	0.0001	9.04976e-06	2.39878e-06	9.65365e-06	1.80442e-05	6.26259e-06	1.48071e-05	5.3934e-07	5e-05	3.37818e-06	0
82	0.0001	9.05311e-06	2.4651e-06	9.66672e-06	1.81948e-05	6.38763e-06	1.51618e-05	5.52284e-07	5e-05	3.39876e-06	0
83	0.0001	9.05628e-06	2.53223e-06	9.67912e-06	1.83421e-05	6.51283e-06	1.55183e-05	5.65306e-07	5e-05	3.41904e-06	0
84	0.0001	9.05926e-06	2.60016e-06	9.69089e-06	1.84862e-05	6.63816e-06	1.58765e-05	5.78402e-07	5e-05	3.43903e-06	0
85	0.0001	9.06207e-06	2.66887e-06	9.70206e-06	1.86271e-05	6.76359e-06	1.62363e-05	5.91572e-07	5e-05	3.45871e-06	0
86	0.0001	9.06472e-06	2.73836e-06	9.71266e-06	1.87649e-05	6.88912e-06	1.65977e-05	6.04812e-07	5e-05	3.47812e-06	0
87	0.0001	9.06722e-06	2.80861e-06	9.72271e-06	1.88996e-05	7.01472e-06	1.69606e-05	6.18121e-07	5e-05	3.49723e-06	0
88	0.0001	9.06958e-06	2.8796e-06	9.73225e-06	1.90312e-05	7.14036e-06	1.73248e-05	6.31498e-07	5e-05	3.51607e-06	0
89	0.0001	9.0718e-06	2.95132e-06	9.7413e-06	1.91599e-05	7.26603e-06	1.76904e-05	6.44939e-07	5e-05	3.53464e-06	0
90	0.0001	9.07389e-06	3.02376e-06	9.74988e-06	1.92856e-05	7.39172e-06	1.80573e-05	6.58443e-07	5e-05	3.55293e-06	0
91	0.0001	9.07586e-06	3.0969e-06	9.75801e-06	1.94085e-05	7.51739e-06	1.84254e-05	6.72009e-07	5e-05	3.57096e-06	0
92	0.0001	9.07772e-06	3.17073e-06	9.76573e-06	1.95286e-05	7.64305e-06	1.87947e-05	6.85634e-07	5e-05	3.58873e-06	0
93	0.0001	9.07947e-06	3.24523e-06	9.77305e-06	1.96459e-05	7.76867e-06	1.9165e-05	6.99317e-07	5e-05	3.60624e-06	0
94	0.0001	9.08112e-06	3.32039e-06	9.77999e-06	1.97605e-05	7.89423e-06	1.95363e-05	7.13055e-07	5e-05	3.62349e-06	0
95	0.0001	9.08268e-06	3.3962e-06	9.78656e-06	1.98724e-05	8.01972e-06	1.99086e-05	7.26849e-07	5e-05	3.6405e-06	0
96	0.0001	9.08414e-06	3.47264e-06	9.7928e-06	1.99818e-05	8.14512e-06	2.02818e-05	7.40695e-07	5e-05	3.65726e-06	0
97	0.0001	9.08553e-06	3.54969e-06	9.79871e-06	2.00886e-05	8.27043e-06	2.06559e-05	7.54592e-07	5e-05	3.67377e-06	0
98	0.0001	9.08683e-06	3.62735e-06	9.80432e-06	2.01928e-05	8.39562e-06	2.10307e-05	7.68539e-07	5e-05	3.69005e-06	0
99	0.0001	9.08806e-06	3.70559e-06	9.80963e-06	2.02947e-05	8.52068e-06	2.14063e-05	7.82534e-07	5e-05	3.70609e-06	0
100	0.0001	9.08922e-06	3.78441e-06	9.81466e-06	2.03941e-05	8.64561e-06	2.17825e-05	7.96576e-07	5e-05	3.72191e-06	0
