Time	[C1]	[C2]	[C3]	[IC3]	[IC2]	[IM1]	[IM2]	[open states]	[IF]
35	5.25037e-05	0.00391654	0.118875	0.623521	0.0208197	0.232225	9.4889e-05	2.01584e-07	0.000494622
36	5.55036e-05	0.00414191	0.125717	0.619438	0.0206818	0.22938	9.63708e-05	2.08262e-07	0.000490122
37	5.84613e-05	0.0043641	0.132462	0.615416	0.0205459	0.226569	9.78338e-05	2.14847e-07	0.000485683
38	6.13774e-05	0.00458318	0.139113	0.611456	0.0204121	0.223793	9.92782e-05	2.21338e-07	0.000481303
39	6.42525e-05	0.00479917	0.14567	0.607557	0.0202804	0.221051	0.000100704	2.27738e-07	0.000476983
40	6.70872e-05	0.00501213	0.152136	0.603717	0.0201506	0.218342	0.000102112	2.34048e-07	0.00047272
41	6.98821e-05	0.0052221	0.15851	0.599936	0.0200228	0.215667	0.000103502	2.40268e-07	0.000468515
42	7.26378e-05	0.00542912	0.164795	0.596212	0.019897	0.213024	0.000104875	2.46401e-07	0.000464366
43	7.53549e-05	0.00563325	0.170992	0.592545	0.019773	0.210414	0.00010623	2.52448e-07	0.000460273
44	7.8034e-05	0.00583451	0.177102	0.588934	0.019651	0.207836	0.000107567	2.58409e-07	0.000456234
45	8.06755e-05	0.00603295	0.183127	0.585378	0.0195307	0.205289	0.000108888	2.64287e-07	0.00045225
46	8.328e-05	0.00622862	0.189067	0.581876	0.0194123	0.202774	0.000110192	2.70082e-07	0.00044832
47	8.58481e-05	0.00642156	0.194924	0.578427	0.0192957	0.200289	0.000111479	2.75796e-07	0.000444442
48	8.83803e-05	0.00661179	0.2007	0.57503	0.0191809	0.197835	0.000112749	2.81429e-07	0.000440616
49	9.08772e-05	0.00679937	0.206394	0.571685	0.0190677	0.195411	0.000114004	2.86984e-07	0.000436841
50	9.33392e-05	0.00698433	0.21201	0.568391	0.0189563	0.193017	0.000115242	2.9246e-07	0.000433117
51	9.57669e-05	0.00716672	0.217547	0.565146	0.0188466	0.190652	0.000116465	2.9786e-07	0.000429442
52	9.81607e-05	0.00734656	0.223006	0.561951	0.0187385	0.188316	0.000117672	3.03184e-07	0.000425817
53	0.000100521	0.00752389	0.22839	0.558803	0.018632	0.186009	0.000118864	3.08434e-07	0.00042224
54	0.000102849	0.00769876	0.233699	0.555704	0.0185272	0.18373	0.00012004	3.13611e-07	0.000418711
55	0.000105144	0.00787119	0.238934	0.552651	0.0184239	0.181479	0.000121201	3.18715e-07	0.000415229
56	0.000107407	0.00804122	0.244096	0.549644	0.0183222	0.179255	0.000122348	3.23747e-07	0.000411794
57	0.000109639	0.0082089	0.249186	0.546683	0.018222	0.177059	0.000123479	3.2871e-07	0.000408404
58	0.00011184	0.00837424	0.254206	0.543766	0.0181233	0.174889	0.000124597	3.33603e-07	0.000405059
59	0.00011401	0.00853729	0.259156	0.540893	0.018026	0.172747	0.000125699	3.38428e-07	0.000401759
60	0.00011615	0.00869807	0.264037	0.538063	0.0179303	0.17063	0.000126788	3.43186e-07	0.000398504
61	0.000118261	0.00885663	0.26885	0.535276	0.0178359	0.16854	0.000127863	3.47878e-07	0.000395291
62	0.000120342	0.00901299	0.273597	0.53253	0.017743	0.166475	0.000128924	3.52504e-07	0.000392121
63	0.000122394	0.00916718	0.278278	0.529826	0.0176514	0.164435	0.000129971	3.57067e-07	0.000388993
64	0.000124418	0.00931924	0.282895	0.527163	0.0175613	0.16242	0.000131005	3.61565e-07	0.000385907
65	0.000126414	0.0094692	0.287447	0.524539	0.0174724	0.160431	0.000132025	3.66001e-07	0.000382862
