Time	[pRB]	[pRBp]	[E2F1]	[AP1]	[pRBpp]	[CycE/cdk2(i)]	[CycEa/cdk2(a)]
27	2.66981	0.145349	0.670426	0.201077	0.0573866	0.0656453	0.0822128
28	2.73087	0.146656	0.681258	0.20427	0.0577023	0.0654302	0.0816216
29	2.79059	0.14788	0.691667	0.20743	0.0579884	0.0652182	0.0810494
30	2.849	0.149032	0.701668	0.210557	0.0582456	0.0650085	0.0804954
31	2.90615	0.150122	0.711273	0.213651	0.058475	0.0648003	0.0799586
32	2.96207	0.151158	0.720496	0.216714	0.0586781	0.0645929	0.0794382
33	3.01681	0.15215	0.729347	0.219744	0.0588566	0.0643857	0.0789332
34	3.07039	0.153106	0.73784	0.222743	0.0590125	0.0641784	0.0784429
35	3.12284	0.154032	0.745984	0.225711	0.0591479	0.0639705	0.0779664
36	3.17419	0.154936	0.753789	0.228648	0.0592649	0.0637618	0.0775028
37	3.22448	0.155825	0.761266	0.231555	0.0593656	0.063552	0.0770515
38	3.27371	0.156704	0.768425	0.234431	0.0594523	0.063341	0.0766115
39	3.32193	0.15758	0.775273	0.237278	0.0595271	0.0631287	0.0761823
40	3.36914	0.158458	0.78182	0.240095	0.0595921	0.0629149	0.0757631
41	3.41538	0.159343	0.788074	0.242883	0.0596494	0.0626996	0.0753533
42	3.46065	0.160241	0.794043	0.245642	0.0597008	0.0624827	0.0749522
43	3.50498	0.161154	0.799735	0.248372	0.0597483	0.0622644	0.0745594
44	3.54838	0.162089	0.805157	0.251074	0.0597937	0.0620445	0.0741741
45	3.59088	0.163049	0.810318	0.253749	0.0598386	0.061823	0.073796
46	3.63248	0.164037	0.815224	0.256395	0.0598847	0.0616001	0.0734245
47	3.67321	0.165058	0.819881	0.259014	0.0599334	0.0613758	0.0730591
48	3.71307	0.166116	0.824298	0.261606	0.0599864	0.0611501	0.0726994
49	3.75208	0.167212	0.828481	0.264171	0.0600448	0.0609231	0.0723451
50	3.79024	0.168351	0.832435	0.266709	0.06011	0.0606949	0.0719958
51	3.82758	0.169535	0.836168	0.269221	0.0601831	0.0604655	0.071651
52	3.86411	0.170768	0.839686	0.271707	0.0602654	0.0602351	0.0713105
53	3.89982	0.172052	0.842995	0.274167	0.0603577	0.0600036	0.070974
54	3.93474	0.17339	0.846101	0.276602	0.0604612	0.0597714	0.0706412
55	3.96887	0.174785	0.84901	0.279011	0.0605768	0.0595383	0.0703118
56	4.00222	0.176238	0.851728	0.281396	0.0607052	0.0593045	0.0699857
57	4.03479	0.177754	0.854261	0.283755	0.0608474	0.0590702	0.0696625
58	4.0666	0.179333	0.856614	0.286091	0.061004	0.0588354	0.0693421
59	4.09766	0.180978	0.858792	0.288402	0.0611759	0.0586002	0.0690244
60	4.12797	0.182692	0.860802	0.290689	0.0613637	0.0583648	0.0687091
61	4.15753	0.184477	0.862649	0.292952	0.061568	0.0581292	0.068396
62	4.18635	0.186335	0.864338	0.295192	0.0617894	0.0578936	0.0680852
63	4.21444	0.188268	0.865875	0.297409	0.0620284	0.057658	0.0677764
64	4.2418	0.190279	0.867264	0.299603	0.0622858	0.0574227	0.0674695
65	4.26844	0.192368	0.86851	0.301774	0.0625618	0.0571876	0.0671645
66	4.29436	0.19454	0.86962	0.303922	0.0628571	0.0569529	0.0668613
67	4.31956	0.196795	0.870597	0.306048	0.063172	0.0567188	0.0665598
68	4.34405	0.199135	0.871447	0.308152	0.0635071	0.0564853	0.0662599
69	4.36784	0.201563	0.872175	0.310235	0.0638627	0.0562525	0.0659617
70	4.39092	0.20408	0.872785	0.312295	0.0642393	0.0560206	0.065665
71	4.41329	0.206689	0.873282	0.314335	0.0646371	0.0557897	0.0653698
72	4.43497	0.209391	0.87367	0.316353	0.0650567	0.0555599	0.0650762
73	4.45595	0.212189	0.873955	0.31835	0.0654983	0.0553313	0.0647841
74	4.47624	0.215083	0.87414	0.320327	0.0659623	0.055104	0.0644934
75	4.49583	0.218077	0.87423	0.322283	0.066449	0.0548782	0.0642044
76	4.51473	0.221171	0.87423	0.324219	0.0669587	0.0546539	0.0639168
77	4.53294	0.224367	0.874143	0.326135	0.0674918	0.0544313	0.0636308
78	4.55046	0.227667	0.873974	0.328031	0.0680484	0.0542104	0.0633463
79	4.56729	0.231074	0.873727	0.329907	0.068629	0.0539915	0.0630635
80	4.58343	0.234587	0.873406	0.331764	0.0692336	0.0537745	0.0627822
81	4.59889	0.23821	0.873015	0.333602	0.0698627	0.0535597	0.0625027
82	4.61366	0.241943	0.872557	0.335421	0.0705164	0.0533471	0.0622249
83	4.62775	0.245788	0.872038	0.337221	0.071195	0.0531368	0.0619488
84	4.64115	0.249745	0.871459	0.339002	0.0718986	0.052929	0.0616746
85	4.65387	0.253817	0.870825	0.340765	0.0726276	0.0527237	0.0614023
86	4.6659	0.258005	0.87014	0.34251	0.0733819	0.0525211	0.0611319
87	4.67726	0.262309	0.869407	0.344237	0.0741619	0.0523212	0.0608635
88	4.68793	0.266731	0.868629	0.345946	0.0749677	0.0521242	0.0605972
89	4.69791	0.27127	0.86781	0.347637	0.0757994	0.0519302	0.060333
90	4.70722	0.275929	0.866953	0.349311	0.0766571	0.0517392	0.0600711
91	4.71585	0.280708	0.86606	0.350968	0.0775409	0.0515514	0.0598114
92	4.72379	0.285606	0.865136	0.352608	0.078451	0.0513669	0.0595541
93	4.73106	0.290625	0.864184	0.354231	0.0793873	0.0511858	0.0592993
94	4.73765	0.295764	0.863205	0.355837	0.0803499	0.0510081	0.059047
95	4.74356	0.301024	0.862203	0.357426	0.0813389	0.0508339	0.0587973
96	4.74879	0.306403	0.861181	0.359	0.0823541	0.0506635	0.0585504
97	4.75335	0.311903	0.860141	0.360557	0.0833957	0.0504967	0.0583062
98	4.75724	0.317522	0.859086	0.362098	0.0844635	0.0503338	0.0580648
99	4.76046	0.323259	0.858019	0.363624	0.0855574	0.0501749	0.0578265
100	4.76301	0.329113	0.856942	0.365134	0.0866774	0.0500199	0.0575911
