Time	[EpoR]	[SAv]	[SAv_EpoR]	[SAv_EpoRi]	[dSAvi]	[dSAve]
80	72.0284	989.122	3.97161	3.43863	0.448172	2.31286
81	72.0229	989.023	3.9771	3.46395	0.459143	2.36947
82	72.0176	988.925	3.98236	3.48868	0.470193	2.4265
83	72.0126	988.828	3.98738	3.51283	0.481321	2.48393
84	72.0078	988.73	3.99218	3.53641	0.492525	2.54175
85	72.0032	988.633	3.99677	3.55943	0.503803	2.59995
86	71.9988	988.536	4.00115	3.5819	0.515153	2.65852
87	71.9947	988.44	4.00534	3.60384	0.526574	2.71746
88	71.9907	988.344	4.00934	3.62525	0.538064	2.77676
89	71.9868	988.248	4.01316	3.64614	0.549621	2.8364
90	71.9832	988.152	4.0168	3.66652	0.561243	2.89638
91	71.9797	988.057	4.02028	3.6864	0.57293	2.95669
92	71.9764	987.962	4.02361	3.70579	0.584679	3.01732
93	71.9732	987.867	4.02678	3.72471	0.596489	3.07827
94	71.9702	987.772	4.0298	3.74315	0.608358	3.13952
95	71.9673	987.678	4.03269	3.76114	0.620285	3.20107
96	71.9646	987.584	4.03544	3.77868	0.632269	3.26292
97	71.9619	987.49	4.03806	3.79577	0.644307	3.32504
98	71.9594	987.396	4.04056	3.81243	0.656399	3.38745
99	71.9571	987.303	4.04294	3.82867	0.668544	3.45012
100	71.9548	987.209	4.04521	3.84449	0.68074	3.51306
