Time	[EI]	[PyrPI]	[EIP]	[HPr]	[EIPHPr]	[HPrP]	[EIIA]	[HPrPIIA]	[EIIAP]	[EIICB]	[EIIAPIICB]	[EIICBP]	[EIICBPGlc]	[PEP]	[Pyr]	[GlcP]	[Glc]
39	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
40	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
41	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
42	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
43	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
44	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
45	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
46	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
47	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
48	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
49	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
50	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
51	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
52	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
53	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
54	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
55	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
56	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
57	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
58	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
59	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
60	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
61	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
62	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
63	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
64	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
65	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
66	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
67	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
68	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
69	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
70	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
71	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
72	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
73	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
74	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
75	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
76	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
77	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
78	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
79	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
80	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
81	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
82	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
83	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
84	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
85	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
86	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
87	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
88	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
89	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
90	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
91	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
92	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
93	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
94	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
95	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
96	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
97	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
98	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
99	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
100	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
