Time	[α-factor]	[Ste2]	[Ste2active]	[Gαβγ]	[GαGTP]	[Gβγ]	[GαGDP]	[complexC]	[complexD]	[Ste5]	[Ste11]	[complexA]	[Ste7]	[Fus3]	[complexB]	[Ste20]	[complexE]	[complexF]	[complexG]	[complexH]	[complexI]	[complexL]	[Fus3PP]	[complexK]	[Ste12]	[Ste12active]	[Bar1]	[Bar1active]	[Bar1activeEx]	[Far1]	[Far1PP]	[Far1ubiquitin]	[complexM]	[complexN]	[Cdc28]	[Sst2]	[p]
37	3.32894e-14	581.559	2.7278e-08	1660.89	3.32868e-08	3.58547e-05	5.77967	230.474	1.76921e-07	152.918	152.918	112.043	46.3924	501.238	68.5683	995.435	5.50899e-05	1.05974e-05	1.42315e-06	8.92959e-06	2.87528	0.0805511	8.08603	1.60914	12.8509	187.149	0.738347	138.149	61.113	0.0011082	0.00639496	481.299	1.21459	17.4788	282.521	165.666	0
38	5.23566e-15	567.768	1.17765e-08	1661.28	1.48868e-08	3.52228e-05	5.38311	230.81	1.73989e-07	153.027	153.027	111.983	46.3053	502.913	68.7046	995.819	5.4201e-05	1.04266e-05	1.40021e-06	8.78581e-06	2.63327	0.0735257	7.40872	1.4737	13.9433	186.057	0.735291	136.777	62.4876	0.00111146	0.00639224	481.305	1.2025	17.4846	282.515	160.402	0
39	8.09384e-16	554.304	5.08467e-09	1661.65	6.69304e-09	3.45737e-05	5.02019	231.122	1.70955e-07	153.128	153.128	111.921	46.2126	504.605	68.836	996.17	5.32775e-05	1.02491e-05	1.37638e-06	8.63644e-06	2.41234	0.0671315	6.79065	1.35007	15.1158	184.884	0.732588	135.419	63.8486	0.00111414	0.00638962	481.312	1.19054	17.4903	282.51	154.58	0
40	1.24696e-16	541.159	2.19552e-09	1661.98	3.0265e-09	3.39077e-05	4.68789	231.413	1.6782e-07	153.222	153.222	111.855	46.1143	506.322	68.9632	996.491	5.23205e-05	1.00652e-05	1.35169e-06	8.48163e-06	2.21061	0.0613093	6.2265	1.23717	16.3725	183.628	0.730256	134.074	65.196	0.00111635	0.00638709	481.318	1.17869	17.4958	282.504	148.21	0
41	2.84e-17	528.326	9.48631e-10	1662.28	1.37774e-09	3.32252e-05	4.3835	231.687	1.64589e-07	153.311	153.311	111.786	46.0099	508.072	69.0871	996.783	5.13313e-05	9.87511e-06	1.32616e-06	8.3216e-06	2.02637	0.056006	5.71147	1.13406	17.7172	182.283	0.728313	132.742	66.5301	0.00111816	0.00638464	481.324	1.16696	17.5012	282.499	141.32	0
42	3.07715e-18	515.797	4.0914e-10	1662.56	6.30659e-10	3.25269e-05	4.10453	231.943	1.61265e-07	153.394	153.394	111.714	45.8992	509.863	69.2083	997.051	5.03114e-05	9.6791e-06	1.29984e-06	8.15659e-06	1.85804	0.0511735	5.24118	1.03986	19.1537	180.846	0.72678	131.422	67.8509	0.00111962	0.00638224	481.331	1.15535	17.5065	282.493	133.96	0
43	4.3955e-19	503.565	1.77006e-10	1662.82	2.91428e-10	3.18137e-05	3.84875	232.185	1.57856e-07	153.472	153.472	111.638	45.7822	511.703	69.3276	997.295	4.92629e-05	9.47757e-06	1.27278e-06	7.98693e-06	1.70424	0.046769	4.81169	0.953786	20.6853	179.315	0.725677	130.116	69.1586	0.0011208	0.00637989	481.337	1.14385	17.5117	282.488	126.2	0
44	6.3441e-20	491.623	7.66948e-11	1663.05	1.35925e-10	3.10868e-05	3.61411	232.414	1.54367e-07	153.546	153.546	111.558	45.6586	513.597	69.4454	997.518	4.8188e-05	9.27095e-06	1.24504e-06	7.81297e-06	1.56367	0.0427532	4.41938	0.875117	22.3154	177.685	0.725026	128.822	70.4533	0.00112173	0.00637759	481.343	1.13247	17.5167	282.483	118.129	0
45	1.23157e-20	479.965	3.33922e-11	1663.27	6.41646e-11	3.03475e-05	3.39876	232.632	1.50807e-07	153.616	153.616	111.475	45.5282	515.553	69.5624	997.722	4.70892e-05	9.05972e-06	1.21667e-06	7.63512e-06	1.43517	0.039091	4.06097	0.803201	24.0467	175.953	0.724848	127.54	71.7351	0.00112246	0.00637532	481.35	1.1212	17.5217	282.478	109.854	0
46	1.6877e-21	468.583	1.45517e-11	1663.47	3.06189e-11	2.95974e-05	3.201	232.839	1.47184e-07	153.682	153.682	111.388	45.3911	517.575	69.6788	997.909	4.59693e-05	8.84443e-06	1.18776e-06	7.45384e-06	1.31767	0.0357505	3.73348	0.737444	25.8814	174.119	0.725167	126.271	73.0041	0.00112302	0.00637308	481.356	1.11005	17.5265	282.474	101.487	0
47	2.96232e-22	457.471	6.35034e-12	1663.65	1.47151e-11	2.88382e-05	3.01931	233.037	1.43507e-07	153.746	153.746	111.297	45.2471	519.667	69.7952	998.08	4.48314e-05	8.62565e-06	1.15839e-06	7.26961e-06	1.21021	0.0327028	3.43417	0.677305	27.8216	172.178	0.726005	125.013	74.2605	0.00112343	0.00637087	481.362	1.099	17.5312	282.469	93.1495	0
