Time	[R]	[L]	[RL]	[Gabg]	[RGabg]	[RGabgL]	[GaGTP]	[Gbg]	[RGS]	[RGSGaGTP]	[GaGDPP]	[Effector]	[GaGTPEffector]	[inertGaGTP]	[RGSinertGaGTP]	[GaGDP]	[P]	[z1]	[z2]	[z3]
60	3.69965	-1.38239e-16	0.0998664	3.34224	201.2	0.000133554	2.1201e-05	0.457272	59.5891	0.254328	0.000682796	204.956	0.0441859	1.48302e-05	0.156546	0.00149319	0.0683919	0.044686	0.0451978	0.0457218
61	3.63882	-8.37263e-16	0.0998686	3.28896	201.261	0.000131427	2.08608e-05	0.449732	59.5959	0.250249	0.000671778	204.957	0.0434647	1.45865e-05	0.153818	0.00149373	0.0672865	0.0439483	0.044443	0.0449493
62	3.57994	-6.78141e-16	0.0998706	3.23737	201.32	0.000129368	2.05314e-05	0.44244	59.6025	0.246299	0.000661114	204.957	0.042767	1.43508e-05	0.151184	0.00149424	0.0662166	0.0432348	0.0437133	0.0442026
63	3.5229	-2.65198e-16	0.0998726	3.18739	201.377	0.000127372	2.02124e-05	0.435385	59.6089	0.242474	0.000650787	204.958	0.0420916	1.41226e-05	0.14864	0.00149474	0.0651806	0.0425444	0.0430073	0.0434807
64	3.46762	1.71481e-16	0.0998746	3.13894	201.432	0.000125438	1.99033e-05	0.428556	59.6151	0.238767	0.000640781	204.959	0.0414373	1.39017e-05	0.146182	0.00149521	0.0641769	0.0418759	0.0423241	0.0427822
65	3.41403	8.29149e-16	0.0998764	3.09196	201.486	0.000123563	1.96035e-05	0.421941	59.621	0.235172	0.000631082	204.959	0.0408034	1.36876e-05	0.143805	0.00149567	0.063204	0.0412284	0.0416625	0.042106
66	3.36204	7.53179e-16	0.0998783	3.04639	201.538	0.000121743	1.93128e-05	0.41553	59.6268	0.231686	0.000621676	204.96	0.0401888	1.34801e-05	0.141505	0.0014961	0.0622605	0.0406007	0.0410214	0.0414512
67	3.31158	5.91132e-16	0.09988	3.00215	201.588	0.000119977	1.90307e-05	0.409315	59.6324	0.228303	0.000612549	204.96	0.0395926	1.32789e-05	0.139278	0.00149652	0.0613451	0.0399922	0.0404001	0.0408166
68	3.2626	2.64329e-16	0.0998817	2.95919	201.637	0.000118262	1.87568e-05	0.403287	59.6379	0.225018	0.00060369	204.961	0.0390141	1.30837e-05	0.137122	0.00149693	0.0604566	0.0394018	0.0397975	0.0402014
69	3.21502	-2.19417e-16	0.0998834	2.91746	201.685	0.000116595	1.84908e-05	0.397436	59.6431	0.221827	0.000595087	204.962	0.0384524	1.28942e-05	0.135033	0.00149731	0.0595937	0.0388288	0.0392128	0.0396046
70	3.16878	-4.00632e-16	0.099885	2.87691	201.731	0.000114976	1.82323e-05	0.391756	59.6483	0.218727	0.000586729	204.962	0.0379069	1.27102e-05	0.133007	0.00149769	0.0587555	0.0382725	0.0386453	0.0390256
71	3.12384	-3.55208e-16	0.0998866	2.83748	201.776	0.000113402	1.7981e-05	0.386239	59.6532	0.215714	0.000578605	204.963	0.0373769	1.25314e-05	0.131042	0.00149805	0.0579408	0.037732	0.0380941	0.0384634
72	3.08013	-2.0444e-16	0.0998881	2.79914	201.82	0.00011187	1.77367e-05	0.380879	59.6581	0.212783	0.000570706	204.963	0.0368616	1.23577e-05	0.129135	0.00149839	0.0571487	0.0372068	0.0375587	0.0379175
73	3.0376	4.49034e-17	0.0998896	2.76183	201.862	0.00011038	1.74989e-05	0.375668	59.6628	0.209932	0.000563023	204.964	0.0363606	1.21887e-05	0.127284	0.00149873	0.0563783	0.0366963	0.0370383	0.037387
74	2.99622	2.42338e-16	0.0998911	2.72551	201.904	0.00010893	1.72676e-05	0.3706	59.6674	0.207157	0.000555547	204.964	0.0358732	1.20244e-05	0.125485	0.00149905	0.0556286	0.0361997	0.0365323	0.0368713
