Time	[PolyQ]	[Proteasome]	[NatP]	[MisP]	[MisP_Proteasome]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[AggPolyQ1]	[AggPolyQ2]	[AggPolyQ3]	[AggPolyQ4]	[AggPolyQ5]	[SeqAggP]	[AggP_Proteasome]	[mRFPu]	[mRFPu_Proteasome]	[PolyQ_Proteasome]	[ROS]	[p38_P]	[p38]	[Source]	[Sink]	[p38death]	[PIdeath]
37	997.496	993.185	19574.4	14.416	0.0117787	1.14871e-08	1.1903e-16	8.8726e-25	5.26353e-33	2.6089e-41	0.460402	0.000212617	6.54514e-08	1.51106e-11	2.79033e-15	6.04354e-18	4.24523e-05	299.579	5.04489	1.7585	9.99131	0.178073	99.8219	1	1	3.00283e-07	1.31108e-11
38	997.429	993.016	19576.4	14.8053	0.0123834	1.24814e-08	1.36536e-16	1.07391e-24	6.70296e-33	3.4866e-41	0.472801	0.000224236	7.08907e-08	1.68079e-11	3.18751e-15	7.09102e-18	4.47703e-05	299.569	5.16811	1.80357	9.99114	0.182698	99.8173	1	1	3.16518e-07	1.4201e-11
39	997.362	992.848	19578.4	15.1946	0.0130012	1.35314e-08	1.56041e-16	1.29316e-24	8.47669e-33	4.6148e-41	0.485198	0.000236162	7.66227e-08	1.86443e-11	3.62863e-15	8.28556e-18	4.71495e-05	299.558	5.29068	1.84852	9.99098	0.187315	99.8127	1	1	3.33169e-07	1.53499e-11
40	997.294	992.68	19580.4	15.5838	0.0136319	1.46386e-08	1.77712e-16	1.5498e-24	1.06674e-32	6.09326e-41	0.497592	0.000248396	8.2655e-08	2.06269e-11	4.11724e-15	9.6432e-18	4.95899e-05	299.547	5.41262	1.89335	9.99081	0.191921	99.8081	1	1	3.50234e-07	1.6559e-11
41	997.227	992.514	19582.4	15.973	0.0142755	1.58045e-08	2.01724e-16	1.84901e-24	1.33585e-32	8.01455e-41	0.509984	0.000260936	8.89951e-08	2.27634e-11	4.65706e-15	1.11813e-17	5.20915e-05	299.537	5.53391	1.93806	9.99065	0.196519	99.8035	1	1	3.67714e-07	1.78299e-11
42	997.16	992.348	19584.4	16.3622	0.0149317	1.70306e-08	2.28262e-16	2.19649e-24	1.6645e-32	1.04854e-40	0.522375	0.000273784	9.56506e-08	2.50614e-11	5.25201e-15	1.29185e-17	5.46542e-05	299.526	5.65457	1.98264	9.9905	0.201106	99.7989	1	1	3.85607e-07	1.91641e-11
43	997.092	992.183	19586.4	16.7514	0.0156005	1.83184e-08	2.5752e-16	2.59854e-24	2.06353e-32	1.36311e-40	0.534762	0.00028694	1.02629e-07	2.75289e-11	5.90621e-15	1.48749e-17	5.72779e-05	299.515	5.7746	2.0271	9.99035	0.205685	99.7943	1	1	4.03913e-07	2.05631e-11
44	997.025	992.018	19588.4	17.1406	0.0162817	1.96695e-08	2.89701e-16	3.06208e-24	2.54528e-32	1.75972e-40	0.547148	0.000300402	1.09938e-07	3.01741e-11	6.62395e-15	1.70721e-17	5.99628e-05	299.505	5.894	2.07143	9.9902	0.210253	99.7897	1	1	4.2263e-07	2.20285e-11
45	996.958	991.855	19590.5	17.5297	0.0169752	2.10853e-08	3.25019e-16	3.59469e-24	3.12371e-32	2.25518e-40	0.559531	0.000314171	1.17586e-07	3.30051e-11	7.40976e-15	1.95332e-17	6.27087e-05	299.494	6.01278	2.11565	9.99005	0.214813	99.7852	1	1	4.41758e-07	2.35617e-11
46	996.891	991.692	19592.5	17.9189	0.0176808	2.25673e-08	3.63697e-16	4.20469e-24	3.81465e-32	2.86907e-40	0.571912	0.000328246	1.25579e-07	3.60305e-11	8.26834e-15	2.2283e-17	6.55157e-05	299.484	6.13093	2.15974	9.98991	0.219363	99.7806	1	1	4.61296e-07	2.51644e-11
47	996.823	991.529	19594.5	18.308	0.0183985	2.41172e-08	4.05971e-16	4.90134e-24	4.63886e-32	3.63411e-40	0.584291	0.000342629	1.33925e-07	3.9259e-11	9.20464e-15	2.53479e-17	6.83836e-05	299.473	6.24846	2.20371	9.98977	0.223903	99.7761	1	1	4.81243e-07	2.6838e-11
48	996.756	991.368	19596.5	18.6971	0.0191281	2.57363e-08	4.52084e-16	5.69475e-24	5.61958e-32	4.5873e-40	0.596668	0.000357317	1.42633e-07	4.26993e-11	1.02238e-14	2.87561e-17	7.13125e-05	299.463	6.36538	2.24756	9.98963	0.228435	99.7716	1	1	5.01599e-07	2.85841e-11
49	996.689	991.207	19598.5	19.0862	0.0198695	2.74263e-08	5.02292e-16	6.59585e-24	6.78196e-32	5.76777e-40	0.609043	0.000372313	1.51709e-07	4.63606e-11	1.13312e-14	3.25378e-17	7.43023e-05	299.452	6.48169	2.29129	9.9895	0.232956	99.767	1	1	5.22361e-07	3.04042e-11
50	996.622	991.047	19600.5	19.4753	0.0206225	2.91885e-08	5.56862e-16	7.61652e-24	8.15434e-32	7.22085e-40	0.621415	0.000387614	1.61161e-07	5.0252e-11	1.25324e-14	3.67248e-17	7.7353e-05	299.442	6.59738	2.33489	9.98937	0.237469	99.7625	1	1	5.43531e-07	3.22997e-11
51	996.554	990.888	19602.5	19.8643	0.0213871	3.10246e-08	6.16071e-16	8.76967e-24	9.7685e-32	8.99866e-40	0.633785	0.000403222	1.70996e-07	5.4383e-11	1.38332e-14	4.13514e-17	8.04646e-05	299.432	6.71248	2.37838	9.98924	0.241972	99.758	1	1	5.65106e-07	3.42723e-11
52	996.487	990.729	19604.5	20.2534	0.0221631	3.2936e-08	6.8021e-16	1.00693e-23	1.166e-31	1.11608e-39	0.646153	0.000419136	1.81223e-07	5.87631e-11	1.52398e-14	4.64534e-17	8.36371e-05	299.421	6.82696	2.42175	9.98912	0.246466	99.7535	1	1	5.87085e-07	3.63235e-11
53	996.42	990.571	19606.5	20.6424	0.0229504	3.49242e-08	7.4958e-16	1.15305e-23	1.38684e-31	1.3775e-39	0.658518	0.000435356	1.91848e-07	6.34022e-11	1.67583e-14	5.20694e-17	8.68704e-05	299.411	6.94085	2.465	9.98899	0.250951	99.749	1	1	6.09469e-07	3.84547e-11
54	996.353	990.414	19608.5	21.0314	0.0237488	3.69907e-08	8.24493e-16	1.31696e-23	1.64393e-31	1.69265e-39	0.670882	0.000451882	2.0288e-07	6.83102e-11	1.83955e-14	5.82397e-17	9.01645e-05	299.401	7.05414	2.50813	9.98888	0.255426	99.7446	1	1	6.32256e-07	4.06675e-11
55	996.286	990.257	19610.6	21.4204	0.0245583	3.91372e-08	9.05275e-16	1.50046e-23	1.94282e-31	2.07363e-39	0.683243	0.000468713	2.14325e-07	7.34973e-11	2.01579e-14	6.50073e-17	9.35194e-05	299.39	7.16684	2.55114	9.98876	0.259893	99.7401	1	1	6.55446e-07	4.29634e-11
56	996.219	990.102	19612.6	21.8094	0.0253788	4.1365e-08	9.92265e-16	1.70545e-23	2.28931e-31	2.53229e-39	0.695602	0.00048585	2.26192e-07	7.89738e-11	2.20527e-14	7.24176e-17	9.6935e-05	299.38	7.27895	2.59403	9.98865	0.26435	99.7357	1	1	6.79037e-07	4.5344e-11
57	996.152	989.946	19614.6	22.1984	0.0262101	4.36756e-08	1.08581e-15	1.93399e-23	2.68984e-31	3.08229e-39	0.707959	0.000503293	2.38487e-07	8.47501e-11	2.40872e-14	8.05184e-17	0.000100411	299.37	7.39047	2.6368	9.98854	0.268797	99.7312	1	1	7.03028e-07	4.78107e-11
58	996.085	989.792	19616.6	22.5874	0.0270521	4.60707e-08	1.18628e-15	2.1883e-23	3.15159e-31	3.73912e-39	0.720314	0.000521041	2.51219e-07	9.08371e-11	2.6269e-14	8.93602e-17	0.000103948	299.36	7.50141	2.67946	9.98844	0.273236	99.7268	1	1	7.2742e-07	5.0365e-11
59	996.018	989.638	19618.6	22.9763	0.0279047	4.85517e-08	1.29405e-15	2.47073e-23	3.68247e-31	4.52035e-39	0.732667	0.000539095	2.64395e-07	9.72456e-11	2.86059e-14	9.89962e-17	0.000107546	299.35	7.61176	2.722	9.98834	0.277666	99.7223	1	1	7.5221e-07	5.30086e-11
