Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
20	0.00026383	11.9339	0.0993414	9.42264	164.414	0.000379039	0.00152863	1.31661e-05	28.5511	1.15006e-06	0.000110137	2.61217	303.028	0.35878	0.128033	29.0692	0.637247	0.000246862	1.61291	0.00207709	6.19198e-08	3.07514e-07	1.34556e-06	0.000795153	0.208676	0.376854	0.39643	0.417586
21	9.75102e-05	11.3955	0.0995263	9.04955	165.703	0.000362104	0.00139627	1.23818e-05	27.8003	5.15013e-07	0.000103136	2.44693	303.171	0.33509	0.122475	29.9671	0.614794	0.000223652	1.49393	0.00198525	5.38078e-08	2.47415e-07	1.12579e-06	0.000811316	0.199413	0.351229	0.368688	0.387579
22	3.59928e-05	10.901	0.0996033	8.70465	166.946	0.000347598	0.00128013	1.17897e-05	27.0519	2.78542e-07	9.68353e-05	2.29723	303.3	0.313841	0.117383	30.8491	0.593917	0.00020348	1.38644	0.00190081	4.78017e-08	2.02331e-07	9.44928e-07	0.000827429	0.190898	0.328306	0.343918	0.360789
23	1.32699e-05	10.4452	0.0996398	8.38456	168.143	0.000334571	0.00117771	1.12918e-05	26.3108	1.86675e-07	9.1147e-05	2.16149	303.416	0.294713	0.112706	31.7114	0.574398	0.000185882	1.28944	0.0018229	4.29437e-08	1.67855e-07	7.96635e-07	0.000843347	0.183045	0.307724	0.321731	0.336837
24	4.88701e-06	10.024	0.0996608	8.08645	169.294	0.000322604	0.00108699	1.08498e-05	25.5811	1.47574e-07	8.59967e-05	2.03829	303.52	0.277441	0.108397	32.5514	0.556074	0.000170472	1.20191	0.00175083	3.88408e-08	1.41011e-07	6.75016e-07	0.000858962	0.175782	0.289182	0.301792	0.315359
25	1.79795e-06	9.63358	0.0996755	7.80797	170.4	0.000311486	0.0010063	1.04478e-05	24.8658	1.28055e-07	8.13203e-05	1.9263	303.615	0.261797	0.10442	33.367	0.538816	0.000156927	1.12289	0.00168397	3.5303e-08	1.19762e-07	5.75072e-07	0.000874192	0.169046	0.272424	0.283813	0.296038
26	6.60852e-07	9.27088	0.0996875	7.54716	171.461	0.000301095	0.000934271	1.0078e-05	24.1673	1.16106e-07	7.70628e-05	1.82435	303.701	0.247589	0.100739	34.157	0.52252	0.000144977	1.0515	0.00162181	3.22193e-08	1.02689e-07	4.92698e-07	0.000888975	0.162785	0.257235	0.267551	0.278601
27	2.42691e-07	8.93311	0.0996981	7.30233	172.479	0.000291348	0.000869727	9.73598e-06	23.4875	1.07346e-07	7.31766e-05	1.73136	303.778	0.234649	0.097327	34.9203	0.507101	0.000134397	0.98693	0.00156389	2.9513e-08	8.87895e-08	4.24569e-07	0.000903266	0.156952	0.243429	0.2528	0.262817
28	8.90534e-08	8.61786	0.0997078	7.07202	173.454	0.000282181	0.000811693	9.41849e-06	22.8276	1.00148e-07	6.96205e-05	1.64637	303.849	0.222835	0.0941567	35.6565	0.492486	0.000124995	0.928431	0.0015098	2.71262e-08	7.73395e-08	3.68006e-07	0.000917035	0.151506	0.230847	0.239383	0.248489
29	3.26531e-08	8.32304	0.0997169	6.85497	174.388	0.000273541	0.000759344	9.12306e-06	22.1886	9.38786e-08	6.63583e-05	1.56856	303.913	0.212022	0.0912054	36.3654	0.478612	0.00011661	0.87535	0.00145918	2.50121e-08	6.78096e-08	3.20849e-07	0.000930264	0.146411	0.219351	0.227146	0.235446
