Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
45	0.169235	2.18181	40.443	0.732148	10.1283	3.30883	0.0279297	3.76243	0.749004	34.85	0.38184	1.4498	1.24507	0.132055	0.162932	0.128828	0.146803
46	0.167733	2.16189	40.238	0.728259	10.0061	3.27271	0.0276612	3.71725	0.741716	35.3303	0.377916	1.43203	1.23303	0.130504	0.161395	0.127272	0.146239
47	0.166264	2.14244	40.0297	0.724324	9.88819	3.23782	0.0273999	3.6733	0.734628	35.8053	0.374113	1.41482	1.22132	0.128992	0.159898	0.125768	0.145659
48	0.164827	2.12343	39.8186	0.720349	9.7742	3.20407	0.0271452	3.63054	0.727727	36.2753	0.370425	1.39816	1.20992	0.127517	0.158437	0.124315	0.145065
49	0.163418	2.10484	39.6049	0.716338	9.66395	3.17138	0.0268969	3.58893	0.721002	36.7403	0.366842	1.38201	1.19879	0.126079	0.15701	0.12291	0.144458
50	0.162039	2.08665	39.3888	0.712296	9.55723	3.13969	0.0266544	3.54841	0.714441	37.2004	0.363358	1.36635	1.18794	0.124676	0.155616	0.12155	0.14384
51	0.160685	2.06883	39.1707	0.708226	9.45385	3.10892	0.0264176	3.50896	0.708036	37.6559	0.359966	1.35116	1.17734	0.123308	0.154253	0.120232	0.143209
52	0.159357	2.05136	38.9508	0.704132	9.3536	3.07902	0.026186	3.47053	0.701777	38.1068	0.356661	1.33641	1.16698	0.121972	0.152919	0.118953	0.142569
53	0.158053	2.03424	38.7293	0.700019	9.25632	3.04994	0.0259594	3.43308	0.695656	38.5532	0.353437	1.32208	1.15684	0.120668	0.151612	0.117713	0.141919
54	0.156772	2.01743	38.5064	0.695888	9.16184	3.02161	0.0257375	3.39658	0.689666	38.9952	0.350289	1.30815	1.14692	0.119394	0.150332	0.116509	0.14126
55	0.155513	2.00093	38.2824	0.691743	9.07001	2.99401	0.02552	3.36098	0.683798	39.4329	0.347213	1.29461	1.1372	0.118151	0.149076	0.115338	0.140593
