Time	[AlB]	[BC]	[AlCn]	[AlB2]	[Al]	[B]	[C]	[A0]	[B0]	[C0]
79	0.0535354	0.121888	0.195592	3.00458e-06	0.212408	9.40309e-06	0.85652	0.461538	0.175439	1.174
80	0.0528799	0.122545	0.196655	2.71873e-06	0.212001	8.71819e-06	0.854801	0.461538	0.175439	1.174
81	0.052235	0.123191	0.1977	2.46107e-06	0.211601	8.10165e-06	0.85311	0.461538	0.175439	1.174
82	0.0516003	0.123826	0.198728	2.22877e-06	0.211208	7.54626e-06	0.851446	0.461538	0.175439	1.174
83	0.0509757	0.124452	0.199738	2.01932e-06	0.210822	7.04563e-06	0.84981	0.461538	0.175439	1.174
84	0.0503609	0.125067	0.200733	1.83043e-06	0.210443	6.59403e-06	0.8482	0.461538	0.175439	1.174
85	0.0497558	0.125673	0.201711	1.66007e-06	0.21007	6.18634e-06	0.846616	0.461538	0.175439	1.174
86	0.0491601	0.12627	0.202673	1.50638e-06	0.209704	5.81801e-06	0.845058	0.461538	0.175439	1.174
87	0.0485736	0.126857	0.203619	1.36771e-06	0.209344	5.48495e-06	0.843524	0.461538	0.175439	1.174
88	0.0479962	0.127435	0.20455	1.24256e-06	0.208991	5.18354e-06	0.842015	0.461538	0.175439	1.174
89	0.0474276	0.128004	0.205467	1.12961e-06	0.208643	4.9105e-06	0.84053	0.461538	0.175439	1.174
90	0.0468677	0.128564	0.206368	1.02763e-06	0.208302	4.66293e-06	0.839068	0.461538	0.175439	1.174
91	0.0463162	0.129116	0.207255	9.3554e-07	0.207966	4.43822e-06	0.837629	0.461538	0.175439	1.174
92	0.0457731	0.12966	0.208128	8.52364e-07	0.207637	4.23404e-06	0.836213	0.461538	0.175439	1.174
93	0.0452381	0.130195	0.208987	7.77221e-07	0.207313	4.04831e-06	0.834818	0.461538	0.175439	1.174
94	0.044711	0.130722	0.209832	7.09316e-07	0.206994	3.87916e-06	0.833445	0.461538	0.175439	1.174
95	0.0441918	0.131242	0.210664	6.47936e-07	0.206682	3.72491e-06	0.832094	0.461538	0.175439	1.174
96	0.0436803	0.131754	0.211483	5.92439e-07	0.206374	3.58407e-06	0.830763	0.461538	0.175439	1.174
97	0.0431762	0.132258	0.212289	5.42244e-07	0.206072	3.45529e-06	0.829453	0.461538	0.175439	1.174
98	0.0426795	0.132755	0.213083	4.96832e-07	0.205776	3.33736e-06	0.828162	0.461538	0.175439	1.174
99	0.04219	0.133244	0.213864	4.55732e-07	0.205484	3.22921e-06	0.826892	0.461538	0.175439	1.174
100	0.0417076	0.133727	0.214633	4.18523e-07	0.205198	3.12988e-06	0.82564	0.461538	0.175439	1.174
