Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
28	0.282986	0.000179913	0.0770331	0.000733807	3.3007e-05	0.000528095	4.72787e-05	0	0	0	0	0	0	0	0.0188716	0.00721685	0.00477207	1.09127e-05	5.28832e-05	6.77484e-06	0.0616623	0.00023855	0.000170202	1.00759e-05	0.5
29	0.291772	0.000182255	0.0800716	0.000778094	3.64056e-05	0.000560328	5.18807e-05	0	0	0	0	0	0	0	0.0158561	0.00839473	0.0047343	1.30835e-05	5.70642e-05	8.08848e-06	0.061023	0.000245167	0.000174922	1.04158e-05	0.5
30	0.300215	0.000184515	0.0830255	0.000823104	4.00207e-05	0.000593126	5.66406e-05	0	0	0	0	0	0	0	0.0129908	0.00983554	0.00463076	1.57776e-05	6.10809e-05	9.71755e-06	0.0603025	0.000251673	0.000179565	1.0636e-05	0.5
31	0.30831	0.000186604	0.0858378	0.000868803	4.38507e-05	0.000626463	6.1517e-05	0	0	0	0	0	0	0	0.0103435	0.0115986	0.00445125	1.9122e-05	6.48108e-05	1.17394e-05	0.0595232	0.000258071	0.00018413	1.07044e-05	0.5
32	0.316055	0.000188426	0.0884449	0.00091516	4.78905e-05	0.000660315	6.6458e-05	0	0	0	0	0	0	0	0.00798384	0.0137452	0.00418972	2.32539e-05	6.81206e-05	1.4238e-05	0.0587057	0.000264363	0.000188618	1.0591e-05	0.5
33	0.323454	0.000189882	0.0907829	0.000962151	5.21305e-05	0.000694657	7.14028e-05	0	0	0	0	0	0	0	0.00597354	0.0163289	0.00384898	2.83031e-05	7.08847e-05	1.72939e-05	0.057867	0.000270549	0.000193032	1.02771e-05	0.5
34	0.330513	0.000190886	0.0927959	0.00100976	5.65564e-05	0.000729471	7.62868e-05	0	0	0	0	0	0	0	0.00435221	0.0193815	0.00344542	3.43648e-05	7.30119e-05	2.09678e-05	0.0570208	0.000276633	0.000197373	9.7655e-06	0.5
35	0.337242	0.000191381	0.0944485	0.00105796	6.11503e-05	0.000764737	8.10498e-05	0	0	0	0	0	0	0	0.00312382	0.0228999	0.00301056	4.14714e-05	7.44733e-05	2.5284e-05	0.0561761	0.000282615	0.000201641	9.08948e-06	0.5
36	0.343651	0.000191362	0.0957362	0.00110675	6.58914e-05	0.000800439	8.56464e-05	0	0	0	0	0	0	0	0.00225143	0.0268404	0.00258579	4.95783e-05	7.53174e-05	3.02216e-05	0.055339	0.000288498	0.000205838	8.31234e-06	0.5
37	0.349751	0.000190876	0.0966886	0.00115612	7.07588e-05	0.000836559	9.00537e-05	0	0	0	0	0	0	0	0.00166604	0.0311281	0.00221045	5.85752e-05	7.56578e-05	3.5721e-05	0.0545125	0.000294282	0.000209965	7.51324e-06	0.5
38	0.355553	0.000190018	0.0973615	0.00120605	7.57335e-05	0.000873081	9.42736e-05	0	0	0	0	0	0	0	0.00128676	0.0356768	0.00190926	6.83222e-05	7.56376e-05	4.17047e-05	0.0536982	0.00029997	0.000214024	6.76518e-06	0.5
39	0.361068	0.000188902	0.0978221	0.00125653	8.07999e-05	0.000909987	9.83283e-05	0	0	0	0	0	0	0	0.00104122	0.040409	0.00168712	7.86886e-05	7.53905e-05	4.81006e-05	0.0528966	0.000305564	0.000218014	6.11698e-06	0.5
40	0.366307	0.000187637	0.0981337	0.00130754	8.59462e-05	0.000947259	0.000102252	0	0	0	0	0	0	0	0.000876547	0.0452664	0.00153335	8.95766e-05	7.50169e-05	5.48551e-05	0.052108	0.000311064	0.000221939	5.58824e-06	0.5
41	0.37128	0.000186308	0.0983465	0.00135906	9.11647e-05	0.000984876	0.000106081	0	0	0	0	0	0	0	0.00075961	0.050211	0.00143054	0.000100924	7.45816e-05	6.19353e-05	0.0513323	0.000316472	0.000225798	5.17586e-06	0.5
42	0.375997	0.000184975	0.0984961	0.00141107	9.64504e-05	0.00102282	0.00010985	0	0	0	0	0	0	0	0.000671631	0.0552186	0.001362	0.000112695	7.41216e-05	6.93233e-05	0.0505693	0.000321791	0.000229592	4.86464e-06	0.5
43	0.380469	0.000183673	0.0986052	0.00146355	0.0001018	0.00106107	0.000113589	0	0	0	0	0	0	0	0.000602352	0.060274	0.0013151	0.000124872	7.36577e-05	7.70105e-05	0.049819	0.000327021	0.000233324	4.63576e-06	0.5
44	0.384706	0.000182421	0.0986878	0.00151646	0.000107212	0.00109961	0.000117321	0	0	0	0	0	0	0	0.000546015	0.0653664	0.00128152	0.000137445	7.32016e-05	8.49924e-05	0.0490811	0.000332163	0.000236993	4.47156e-06	0.5
45	0.388716	0.00018123	0.0987525	0.00156979	0.000112686	0.00113841	0.000121064	0	0	0	0	0	0	0	0.000499158	0.0704876	0.00125621	0.000150407	7.27601e-05	9.32668e-05	0.0483554	0.00033722	0.000240601	4.35724e-06	0.5
46	0.392509	0.000180102	0.0988045	0.00162351	0.00011822	0.00117748	0.000124832	0	0	0	0	0	0	0	0.000459532	0.0756307	0.00123619	0.000163756	7.23377e-05	0.000101832	0.0476418	0.000342193	0.000244149	4.28108e-06	0.5
47	0.396093	0.000179039	0.098847	0.0016776	0.000123816	0.00121677	0.000128636	0	0	0	0	0	0	0	0.000425582	0.0807898	0.00121974	0.00017749	7.19375e-05	0.000110688	0.04694	0.000347083	0.000247638	4.23409e-06	0.5
48	0.399478	0.000178039	0.0988822	0.00173203	0.000129471	0.00125629	0.000132482	0	0	0	0	0	0	0	0.000396184	0.0859596	0.00120581	0.000191607	7.15615e-05	0.000119833	0.0462499	0.000351892	0.000251069	4.20942e-06	0.5
49	0.40267	0.000177099	0.0989117	0.00178678	0.000135187	0.00129601	0.000136377	0	0	0	0	0	0	0	0.000370497	0.0911354	0.00119375	0.000206106	7.12114e-05	0.000129267	0.0455712	0.00035662	0.000254442	4.20193e-06	0.5
50	0.405679	0.000176217	0.0989364	0.00184183	0.000140964	0.00133592	0.000140326	0	0	0	0	0	0	0	0.000347878	0.0963128	0.00118314	0.000220986	7.08881e-05	0.000138989	0.0449039	0.00036127	0.00025776	4.20777e-06	0.5
51	0.408511	0.000175391	0.0989571	0.00189716	0.000146801	0.001376	0.00014433	0	0	0	0	0	0	0	0.000327827	0.101488	0.00117371	0.000236247	7.05926e-05	0.000148997	0.0442476	0.000365842	0.000261022	4.22405e-06	0.5
52	0.411173	0.000174618	0.0989745	0.00195274	0.000152698	0.00141625	0.000148393	0	0	0	0	0	0	0	0.000309945	0.106656	0.00116523	0.000251889	7.03254e-05	0.000159291	0.0436023	0.000370338	0.00026423	4.24861e-06	0.5
53	0.413673	0.000173894	0.0989891	0.00200857	0.000158656	0.00145665	0.000152516	0	0	0	0	0	0	0	0.000293912	0.111816	0.00115758	0.000267909	7.0087e-05	0.00016987	0.0429677	0.000374759	0.000267384	4.27982e-06	0.5
54	0.416018	0.000173219	0.0990011	0.00206461	0.000164674	0.00149718	0.000156699	0	0	0	0	0	0	0	0.000279468	0.116962	0.00115063	0.000284308	6.98776e-05	0.000180733	0.0423437	0.000379106	0.000270486	4.31647e-06	0.5
55	0.418212	0.000172588	0.099011	0.00212085	0.000170753	0.00153783	0.000160945	0	0	0	0	0	0	0	0.000266399	0.122092	0.00114429	0.000301085	6.96974e-05	0.000191879	0.0417301	0.000383381	0.000273536	4.35764e-06	0.5
56	0.420264	0.000172001	0.0990189	0.00217727	0.000176892	0.0015786	0.000165252	0	0	0	0	0	0	0	0.000254526	0.127203	0.0011385	0.00031824	6.95465e-05	0.000203306	0.0411267	0.000387585	0.000276535	4.40262e-06	0.5
57	0.422179	0.000171454	0.0990251	0.00223385	0.000183091	0.00161946	0.000169622	0	0	0	0	0	0	0	0.000243703	0.132293	0.0011332	0.00033577	6.94249e-05	0.000215013	0.0405333	0.000391719	0.000279485	4.45089e-06	0.5
58	0.423961	0.000170945	0.0990297	0.00229058	0.00018935	0.00166042	0.000174054	0	0	0	0	0	0	0	0.000233802	0.13736	0.00112833	0.000353675	6.93326e-05	0.000226998	0.0399498	0.000395784	0.000282385	4.50204e-06	0.5
59	0.425618	0.000170473	0.0990329	0.00234744	0.000195669	0.00170145	0.000178548	0	0	0	0	0	0	0	0.000224718	0.142399	0.00112386	0.000371954	6.92695e-05	0.000239261	0.039376	0.000399781	0.000285237	4.55576e-06	0.5
60	0.427154	0.000170035	0.0990349	0.00240442	0.000202048	0.00174255	0.000183105	0	0	0	0	0	0	0	0.000216359	0.147411	0.00111975	0.000390606	6.92355e-05	0.0002518	0.0388118	0.000403712	0.000288041	4.61181e-06	0.5
61	0.428575	0.00016963	0.0990356	0.00246149	0.000208486	0.00178371	0.000187723	0	0	0	0	0	0	0	0.000208648	0.152392	0.00111598	0.00040963	6.92305e-05	0.000264613	0.038257	0.000407577	0.000290799	4.66999e-06	0.5
62	0.429884	0.000169256	0.0990354	0.00251865	0.000214984	0.00182491	0.000192402	0	0	0	0	0	0	0	0.000201516	0.157341	0.0011125	0.000429023	6.92544e-05	0.000277699	0.0377114	0.000411377	0.000293511	4.73015e-06	0.5
63	0.431087	0.000168912	0.0990341	0.00257588	0.00022154	0.00186616	0.000197143	0	0	0	0	0	0	0	0.000194905	0.162256	0.00110931	0.000448784	6.93068e-05	0.000291055	0.0371749	0.000415115	0.000296177	4.79217e-06	0.5
64	0.432189	0.000168596	0.0990319	0.00263316	0.000228155	0.00190743	0.000201945	0	0	0	0	0	0	0	0.000188765	0.167134	0.00110638	0.000468913	6.93877e-05	0.00030468	0.0366474	0.00041879	0.000298799	4.85596e-06	0.5
65	0.433193	0.000168307	0.0990289	0.00269049	0.000234829	0.00194872	0.000206806	0	0	0	0	0	0	0	0.000183049	0.171976	0.0011037	0.000489406	6.94968e-05	0.000318572	0.0361286	0.000422404	0.000301378	4.92144e-06	0.5
66	0.434104	0.000168042	0.0990251	0.00274785	0.00024156	0.00199003	0.000211728	0	0	0	0	0	0	0	0.000177719	0.176779	0.00110124	0.000510263	6.96338e-05	0.00033273	0.0356185	0.000425957	0.000303913	4.98854e-06	0.5
67	0.434926	0.000167802	0.0990206	0.00280522	0.000248349	0.00203134	0.000216708	0	0	0	0	0	0	0	0.000172739	0.181542	0.00109899	0.000531481	6.97987e-05	0.000347151	0.0351168	0.000429452	0.000306407	5.0572e-06	0.5
68	0.435663	0.000167585	0.0990153	0.0028626	0.000255195	0.00207265	0.000221748	0	0	0	0	0	0	0	0.00016808	0.186263	0.00109693	0.000553058	6.99911e-05	0.000361833	0.0346236	0.000432888	0.000308858	5.12739e-06	0.5
69	0.436318	0.00016739	0.0990095	0.00291998	0.000262098	0.00211395	0.000226845	0	0	0	0	0	0	0	0.000163713	0.190942	0.00109507	0.000574992	7.02107e-05	0.000376775	0.0341385	0.000436267	0.000311269	5.19906e-06	0.5
70	0.436896	0.000167216	0.099003	0.00297734	0.000269057	0.00215523	0.000232	0	0	0	0	0	0	0	0.000159614	0.195578	0.00109337	0.000597281	7.04574e-05	0.000391973	0.0336615	0.00043959	0.00031364	5.27218e-06	0.5
71	0.437398	0.000167061	0.098996	0.00303468	0.000276072	0.00219649	0.000237211	0	0	0	0	0	0	0	0.000155761	0.200169	0.00109185	0.000619923	7.07309e-05	0.000407427	0.0331925	0.000442857	0.000315971	5.34673e-06	0.5
72	0.43783	0.000166925	0.0989884	0.00309197	0.000283142	0.00223771	0.000242479	0	0	0	0	0	0	0	0.000152134	0.204715	0.00109047	0.000642916	7.1031e-05	0.000423133	0.0327312	0.00044607	0.000318264	5.42268e-06	0.5
73	0.438193	0.000166807	0.0989803	0.00314922	0.000290266	0.0022789	0.000247803	0	0	0	0	0	0	0	0.000148717	0.209214	0.00108924	0.000666256	7.13574e-05	0.00043909	0.0322777	0.00044923	0.000320518	5.5e-06	0.5
74	0.438491	0.000166706	0.0989717	0.00320641	0.000297445	0.00232004	0.000253182	0	0	0	0	0	0	0	0.000145493	0.213667	0.00108815	0.000689942	7.17098e-05	0.000455296	0.0318317	0.000452336	0.000322734	5.57868e-06	0.5
75	0.438728	0.000166621	0.0989627	0.00326354	0.000304678	0.00236114	0.000258616	0	0	0	0	0	0	0	0.000142447	0.218072	0.00108719	0.000713971	7.2088e-05	0.000471747	0.0313932	0.000455391	0.000324914	5.65871e-06	0.5
76	0.438904	0.000166551	0.0989532	0.0033206	0.000311963	0.00240218	0.000264103	0	0	0	0	0	0	0	0.000139567	0.222428	0.00108635	0.000738341	7.24918e-05	0.000488442	0.0309619	0.000458395	0.000327057	5.74006e-06	0.5
77	0.439025	0.000166497	0.0989433	0.00337757	0.000319301	0.00244315	0.000269643	0	0	0	0	0	0	0	0.000136841	0.226736	0.00108563	0.000763048	7.29209e-05	0.000505378	0.0305378	0.00046135	0.000329165	5.82272e-06	0.5
78	0.439091	0.000166456	0.0989331	0.00343445	0.00032669	0.00248406	0.000275236	0	0	0	0	0	0	0	0.000134257	0.230995	0.00108502	0.00078809	7.33751e-05	0.000522553	0.0301208	0.000464254	0.000331238	5.90669e-06	0.5
79	0.439106	0.000166429	0.0989224	0.00349123	0.000334131	0.0025249	0.000280881	0	0	0	0	0	0	0	0.000131807	0.235204	0.00108451	0.000813464	7.38541e-05	0.000539965	0.0297108	0.000467111	0.000333276	5.99194e-06	0.5
80	0.439072	0.000166414	0.0989114	0.00354791	0.000341622	0.00256567	0.000286576	0	0	0	0	0	0	0	0.000129482	0.239363	0.0010841	0.000839167	7.43578e-05	0.00055761	0.0293075	0.00046992	0.00033528	6.07848e-06	0.5
81	0.438991	0.000166412	0.0989	0.00360447	0.000349162	0.00260635	0.000292323	0	0	0	0	0	0	0	0.000127272	0.243471	0.00108378	0.000865197	7.48859e-05	0.000575487	0.028911	0.000472682	0.000337251	6.16628e-06	0.5
82	0.438865	0.000166421	0.0988883	0.00366091	0.000356752	0.00264695	0.000298119	0	0	0	0	0	0	0	0.000125171	0.247529	0.00108355	0.000891551	7.54381e-05	0.000593593	0.0285211	0.000475398	0.000339188	6.25535e-06	0.5
83	0.438697	0.000166442	0.0988763	0.00371723	0.00036439	0.00268746	0.000303964	0	0	0	0	0	0	0	0.000123172	0.251536	0.00108341	0.000918225	7.60143e-05	0.000611926	0.0281377	0.000478069	0.000341094	6.34567e-06	0.5
84	0.438488	0.000166473	0.0988639	0.00377342	0.000372076	0.00272787	0.000309858	0	0	0	0	0	0	0	0.000121268	0.255491	0.00108335	0.000945216	7.66141e-05	0.000630482	0.0277607	0.000480695	0.000342968	6.43723e-06	0.5
85	0.438242	0.000166513	0.0988513	0.00382947	0.000379808	0.00276819	0.0003158	0	0	0	0	0	0	0	0.000119454	0.259395	0.00108336	0.000972522	7.72375e-05	0.00064926	0.02739	0.000483278	0.00034481	6.53004e-06	0.5
86	0.437958	0.000166564	0.0988384	0.00388537	0.000387587	0.00280841	0.000321789	0	0	0	0	0	0	0	0.000117724	0.263248	0.00108344	0.00100014	7.78842e-05	0.000668256	0.0270254	0.000485817	0.000346622	6.62407e-06	0.5
87	0.43764	0.000166623	0.0988252	0.00394113	0.000395411	0.00284852	0.000327824	0	0	0	0	0	0	0	0.000116073	0.267049	0.0010836	0.00102806	7.8554e-05	0.000687468	0.0266669	0.000488314	0.000348404	6.71934e-06	0.5
88	0.437289	0.000166692	0.0988117	0.00399673	0.000403279	0.00288853	0.000333904	0	0	0	0	0	0	0	0.000114496	0.270799	0.00108382	0.0010563	7.92467e-05	0.000706894	0.0263144	0.00049077	0.000350156	6.81582e-06	0.5
89	0.436906	0.000166768	0.098798	0.00405217	0.000411192	0.00292842	0.00034003	0	0	0	0	0	0	0	0.00011299	0.274497	0.0010841	0.00108483	7.9962e-05	0.000726531	0.0259677	0.000493185	0.000351879	6.91352e-06	0.5
90	0.436494	0.000166852	0.0987841	0.00410745	0.000419147	0.00296821	0.0003462	0	0	0	0	0	0	0	0.000111551	0.278144	0.00108444	0.00111366	8.06999e-05	0.000746376	0.0256269	0.000495559	0.000353573	7.01243e-06	0.5
91	0.436054	0.000166944	0.0987699	0.00416255	0.000427145	0.00300787	0.000352414	0	0	0	0	0	0	0	0.000110174	0.281739	0.00108483	0.00114278	8.14601e-05	0.000766427	0.0252917	0.000497894	0.000355239	7.11254e-06	0.5
92	0.435587	0.000167043	0.0987555	0.00421749	0.000435184	0.00304741	0.000358671	0	0	0	0	0	0	0	0.000108856	0.285283	0.00108528	0.0011722	8.22424e-05	0.00078668	0.024962	0.00050019	0.000356877	7.21386e-06	0.5
93	0.435094	0.000167149	0.0987409	0.00427225	0.000443264	0.00308684	0.00036497	0	0	0	0	0	0	0	0.000107595	0.288775	0.00108578	0.00120191	8.30466e-05	0.000807134	0.0246379	0.000502448	0.000358488	7.31636e-06	0.5
94	0.434578	0.000167261	0.098726	0.00432683	0.000451383	0.00312614	0.00037131	0	0	0	0	0	0	0	0.000106386	0.292217	0.00108633	0.0012319	8.38726e-05	0.000827785	0.0243192	0.000504668	0.000360072	7.42006e-06	0.5
95	0.434039	0.000167379	0.098711	0.00438122	0.000459542	0.00316531	0.000377691	0	0	0	0	0	0	0	0.000105229	0.295607	0.00108692	0.00126218	8.47202e-05	0.000848631	0.0240058	0.000506851	0.00036163	7.52495e-06	0.5
96	0.433479	0.000167504	0.0986958	0.00443543	0.000467738	0.00320435	0.000384113	0	0	0	0	0	0	0	0.000104118	0.298946	0.00108755	0.00129273	8.55893e-05	0.00086967	0.0236976	0.000508998	0.000363162	7.63101e-06	0.5
97	0.432899	0.000167633	0.0986803	0.00448944	0.000475972	0.00324326	0.000390573	0	0	0	0	0	0	0	0.000103054	0.302235	0.00108823	0.00132356	8.64795e-05	0.000890897	0.0233945	0.000511109	0.000364668	7.73825e-06	0.5
98	0.432299	0.000167768	0.0986647	0.00454327	0.000484243	0.00328204	0.000397073	0	0	0	0	0	0	0	0.000102032	0.305474	0.00108894	0.00135466	8.73909e-05	0.000912312	0.0230965	0.000513185	0.000366149	7.84667e-06	0.5
99	0.431682	0.000167908	0.0986489	0.00459689	0.000492549	0.00332068	0.00040361	0	0	0	0	0	0	0	0.000101052	0.308662	0.00108969	0.00138603	8.83232e-05	0.000933911	0.0228035	0.000515226	0.000367605	7.95626e-06	0.5
100	0.431048	0.000168053	0.0986329	0.00465032	0.00050089	0.00335918	0.000410185	0	0	0	0	0	0	0	0.000100111	0.3118	0.00109048	0.00141767	8.92763e-05	0.000955692	0.0225153	0.000517234	0.000369038	8.06701e-06	0.5
