Time	[Mad1:C-Mad2]	[O-Mad2]	[Mad1:C-Mad2:O-Mad2*]	[Cdc20]	[Cdc20:C-Mad2]	[Bub3:BubR1]	[MCC]	[Bub3:BubR1:Cdc20]
32	4.95333e-08	9.71119e-08	4.66734e-10	1.866e-07	1.49967e-09	9.80998e-08	3.09217e-08	9.7849e-10
33	4.95355e-08	9.62444e-08	4.64519e-10	1.85743e-07	1.52105e-09	9.7264e-08	3.17701e-08	9.65907e-10
34	4.95377e-08	9.53854e-08	4.62308e-10	1.84894e-07	1.54256e-09	9.64368e-08	3.26098e-08	9.53454e-10
35	4.95399e-08	9.45348e-08	4.60101e-10	1.84054e-07	1.56422e-09	9.5618e-08	3.34409e-08	9.4114e-10
36	4.95421e-08	9.36926e-08	4.57894e-10	1.83221e-07	1.58603e-09	9.48075e-08	3.42635e-08	9.28974e-10
37	4.95443e-08	9.28586e-08	4.55686e-10	1.82397e-07	1.60799e-09	9.40053e-08	3.50777e-08	9.16963e-10
38	4.95465e-08	9.20329e-08	4.53484e-10	1.81581e-07	1.63009e-09	9.32113e-08	3.58836e-08	9.05107e-10
39	4.95487e-08	9.12152e-08	4.51292e-10	1.80773e-07	1.65232e-09	9.24254e-08	3.66811e-08	8.93409e-10
40	4.95509e-08	9.04056e-08	4.49108e-10	1.79973e-07	1.67469e-09	9.16475e-08	3.74706e-08	8.81878e-10
41	4.95531e-08	8.9604e-08	4.46932e-10	1.7918e-07	1.69719e-09	9.08776e-08	3.82519e-08	8.7052e-10
42	4.95552e-08	8.88102e-08	4.44758e-10	1.78396e-07	1.71984e-09	9.01154e-08	3.90252e-08	8.59324e-10
43	4.95574e-08	8.80242e-08	4.42588e-10	1.77618e-07	1.74264e-09	8.93611e-08	3.97906e-08	8.48298e-10
44	4.95596e-08	8.72459e-08	4.4042e-10	1.76849e-07	1.76558e-09	8.86144e-08	4.05481e-08	8.37441e-10
45	4.95617e-08	8.64752e-08	4.38254e-10	1.76087e-07	1.78867e-09	8.78754e-08	4.12979e-08	8.26746e-10
46	4.95639e-08	8.57121e-08	4.3609e-10	1.75332e-07	1.81191e-09	8.71439e-08	4.20399e-08	8.16213e-10
47	4.95661e-08	8.49565e-08	4.33926e-10	1.74585e-07	1.8353e-09	8.64199e-08	4.27742e-08	8.05843e-10
48	4.95682e-08	8.42083e-08	4.31769e-10	1.73844e-07	1.85884e-09	8.57033e-08	4.3501e-08	7.9563e-10
49	4.95704e-08	8.34675e-08	4.29616e-10	1.73112e-07	1.88251e-09	8.49941e-08	4.42204e-08	7.85573e-10
50	4.95725e-08	8.27339e-08	4.27469e-10	1.72386e-07	1.90633e-09	8.42921e-08	4.49323e-08	7.75671e-10
51	4.95747e-08	8.20075e-08	4.2533e-10	1.71667e-07	1.93029e-09	8.35972e-08	4.56368e-08	7.65921e-10
52	4.95768e-08	8.12883e-08	4.23198e-10	1.70955e-07	1.95439e-09	8.29096e-08	4.63341e-08	7.56321e-10
53	4.95789e-08	8.05761e-08	4.21073e-10	1.7025e-07	1.97862e-09	8.22289e-08	4.70242e-08	7.46869e-10
54	4.9581e-08	7.98709e-08	4.1895e-10	1.69552e-07	2.003e-09	8.15553e-08	4.77071e-08	7.37563e-10
55	4.95832e-08	7.91726e-08	4.16834e-10	1.68861e-07	2.02752e-09	8.08886e-08	4.8383e-08	7.28401e-10
56	4.95853e-08	7.84812e-08	4.14722e-10	1.68177e-07	2.05219e-09	8.02287e-08	4.90519e-08	7.1938e-10
57	4.95874e-08	7.77965e-08	4.12616e-10	1.67499e-07	2.07699e-09	7.95757e-08	4.97138e-08	7.10499e-10
58	4.95895e-08	7.71186e-08	4.10515e-10	1.66827e-07	2.10194e-09	7.89293e-08	5.03689e-08	7.01756e-10
59	4.95916e-08	7.64474e-08	4.08419e-10	1.66163e-07	2.12703e-09	7.82897e-08	5.10172e-08	6.93147e-10
60	4.95937e-08	7.57827e-08	4.06328e-10	1.65504e-07	2.15227e-09	7.76566e-08	5.16587e-08	6.84672e-10
61	4.95958e-08	7.51245e-08	4.04243e-10	1.64852e-07	2.17764e-09	7.70301e-08	5.22936e-08	6.76328e-10
62	4.95978e-08	7.44728e-08	4.02164e-10	1.64207e-07	2.20316e-09	7.641e-08	5.29219e-08	6.68112e-10
63	4.95999e-08	7.38275e-08	4.00091e-10	1.63568e-07	2.22881e-09	7.57964e-08	5.35436e-08	6.60023e-10
64	4.9602e-08	7.31885e-08	3.98024e-10	1.62934e-07	2.2546e-09	7.51891e-08	5.41588e-08	6.52059e-10
65	4.9604e-08	7.25558e-08	3.95963e-10	1.62308e-07	2.28053e-09	7.45881e-08	5.47677e-08	6.44217e-10
66	4.96061e-08	7.19293e-08	3.93908e-10	1.61687e-07	2.3066e-09	7.39934e-08	5.53701e-08	6.36496e-10
67	4.96081e-08	7.1309e-08	3.91859e-10	1.61072e-07	2.33281e-09	7.34048e-08	5.59663e-08	6.28894e-10
68	4.96102e-08	7.06948e-08	3.89816e-10	1.60463e-07	2.35915e-09	7.28223e-08	5.65563e-08	6.21408e-10
69	4.96122e-08	7.00866e-08	3.8778e-10	1.5986e-07	2.38562e-09	7.22459e-08	5.714e-08	6.14037e-10
70	4.96142e-08	6.94843e-08	3.8575e-10	1.59263e-07	2.41223e-09	7.16755e-08	5.77177e-08	6.06779e-10
71	4.96163e-08	6.8888e-08	3.83727e-10	1.58672e-07	2.43898e-09	7.11111e-08	5.82893e-08	5.99632e-10
72	4.96183e-08	6.82975e-08	3.8171e-10	1.58087e-07	2.46586e-09	7.05525e-08	5.88549e-08	5.92594e-10
73	4.96203e-08	6.77129e-08	3.797e-10	1.57507e-07	2.49287e-09	6.99998e-08	5.94146e-08	5.85663e-10
74	4.96223e-08	6.7134e-08	3.77696e-10	1.56933e-07	2.52001e-09	6.94528e-08	5.99683e-08	5.78838e-10
75	4.96243e-08	6.65607e-08	3.75699e-10	1.56364e-07	2.54729e-09	6.89116e-08	6.05163e-08	5.72116e-10
76	4.96263e-08	6.59931e-08	3.73709e-10	1.55801e-07	2.5747e-09	6.8376e-08	6.10585e-08	5.65497e-10
77	4.96283e-08	6.54311e-08	3.71726e-10	1.55244e-07	2.60223e-09	6.78461e-08	6.15949e-08	5.58979e-10
78	4.96303e-08	6.48746e-08	3.69749e-10	1.54692e-07	2.6299e-09	6.73217e-08	6.21257e-08	5.52559e-10
79	4.96322e-08	6.43236e-08	3.6778e-10	1.54145e-07	2.65769e-09	6.68028e-08	6.26509e-08	5.46237e-10
80	4.96342e-08	6.3778e-08	3.65817e-10	1.53604e-07	2.68561e-09	6.62894e-08	6.31706e-08	5.4001e-10
81	4.96361e-08	6.32378e-08	3.63862e-10	1.53068e-07	2.71366e-09	6.57814e-08	6.36847e-08	5.33878e-10
82	4.96381e-08	6.27029e-08	3.61914e-10	1.52537e-07	2.74183e-09	6.52788e-08	6.41934e-08	5.27838e-10
83	4.964e-08	6.21732e-08	3.59973e-10	1.52011e-07	2.77012e-09	6.47815e-08	6.46967e-08	5.2189e-10
84	4.9642e-08	6.16488e-08	3.58039e-10	1.51491e-07	2.79854e-09	6.42894e-08	6.51946e-08	5.16032e-10
85	4.96439e-08	6.11296e-08	3.56112e-10	1.50975e-07	2.82708e-09	6.38025e-08	6.56872e-08	5.10262e-10
86	4.96458e-08	6.06155e-08	3.54193e-10	1.50465e-07	2.85574e-09	6.33208e-08	6.61746e-08	5.04578e-10
87	4.96477e-08	6.01064e-08	3.52282e-10	1.4996e-07	2.88451e-09	6.28442e-08	6.66568e-08	4.9898e-10
88	4.96496e-08	5.96023e-08	3.50378e-10	1.49459e-07	2.91341e-09	6.23727e-08	6.71339e-08	4.93467e-10
89	4.96515e-08	5.91033e-08	3.48481e-10	1.48964e-07	2.94242e-09	6.19061e-08	6.76058e-08	4.88036e-10
90	4.96534e-08	5.86091e-08	3.46592e-10	1.48473e-07	2.97154e-09	6.14446e-08	6.80727e-08	4.82687e-10
91	4.96553e-08	5.81199e-08	3.4471e-10	1.47987e-07	3.00078e-09	6.09879e-08	6.85346e-08	4.77418e-10
92	4.96572e-08	5.76354e-08	3.42837e-10	1.47506e-07	3.03014e-09	6.05362e-08	6.89916e-08	4.72228e-10
93	4.9659e-08	5.71558e-08	3.40971e-10	1.4703e-07	3.0596e-09	6.00892e-08	6.94437e-08	4.67115e-10
94	4.96609e-08	5.66809e-08	3.39113e-10	1.46558e-07	3.08917e-09	5.96471e-08	6.98909e-08	4.62079e-10
95	4.96627e-08	5.62106e-08	3.37262e-10	1.46091e-07	3.11885e-09	5.92096e-08	7.03332e-08	4.57118e-10
96	4.96646e-08	5.57451e-08	3.3542e-10	1.45628e-07	3.14864e-09	5.87769e-08	7.07709e-08	4.52231e-10
97	4.96664e-08	5.52841e-08	3.33585e-10	1.4517e-07	3.17853e-09	5.83488e-08	7.12038e-08	4.47417e-10
98	4.96682e-08	5.48277e-08	3.31758e-10	1.44717e-07	3.20853e-09	5.79253e-08	7.1632e-08	4.42674e-10
99	4.96701e-08	5.43758e-08	3.2994e-10	1.44268e-07	3.23863e-09	5.75064e-08	7.20556e-08	4.38002e-10
100	4.96719e-08	5.39284e-08	3.28129e-10	1.43823e-07	3.26883e-09	5.7092e-08	7.24746e-08	4.33399e-10
