Time	[mRNA]	[miRNA_1]	[miRNA_2]	[duplex_1]	[duplex_2]	[triplex]	[TF_mRNA]	[TF_miRNA_1]	[TF_miRNA_2]	[protein]
80	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
81	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
82	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
83	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
84	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
85	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
86	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
87	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
88	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
89	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
90	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
91	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
92	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
93	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
94	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
95	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
96	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
97	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
98	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
99	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
100	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
