Time	[CaI]	[IP3]	[g]	[PMCA]	[SERCA]	[STIM]	[CaO]	[CaM]	[CaS]
79	0.106296	0.0496823	0.537274	0.0130031	0.266033	0.0199994	1000	0.0367454	1.77016
80	0.13684	0.0602964	0.528172	0.0130031	0.266033	0.0199994	1000	0.0363747	1.73749
81	0.24718	0.0927846	0.521614	0.0130032	0.266033	0.0199994	1000	0.0402762	1.61855
82	0.689219	0.233088	0.623174	0.0130033	0.266034	0.0199994	1000	0.0644761	1.14425
83	0.864207	0.399863	0.917749	0.0130034	0.266038	0.0199994	1000	0.0973281	0.935491
84	0.710187	0.387071	0.970599	0.0130035	0.266042	0.0199994	1000	0.118973	1.06665
85	0.528631	0.30719	0.971101	0.0130036	0.266044	0.0199993	1000	0.132606	1.2286
86	0.38116	0.226809	0.960503	0.0130037	0.266045	0.0199993	1000	0.138224	1.36257
87	0.273915	0.163855	0.945944	0.0130038	0.266045	0.0199993	1000	0.139213	1.46132
88	0.196146	0.117718	0.929994	0.0130039	0.266046	0.0199993	1000	0.138143	1.53416
89	0.139808	0.0840781	0.91371	0.013004	0.266046	0.0199993	1000	0.135802	1.58878
90	0.102236	0.0605646	0.897508	0.013004	0.266047	0.0199993	1000	0.132578	1.62728
91	0.0800911	0.0456813	0.881534	0.0130041	0.266047	0.0199993	1000	0.128881	1.65199
92	0.068128	0.0371589	0.865827	0.0130041	0.266047	0.0199993	1000	0.12499	1.66733
93	0.0619317	0.032587	0.850394	0.0130041	0.266047	0.0199993	1000	0.121032	1.67727
94	0.0588185	0.030229	0.835234	0.0130041	0.266048	0.0199993	1000	0.117056	1.68428
95	0.0573408	0.029062	0.820344	0.0130041	0.266048	0.0199993	1000	0.113085	1.68971
96	0.0567406	0.028532	0.80572	0.0130041	0.266048	0.0199993	1000	0.109129	1.69428
97	0.0566213	0.0283466	0.791357	0.0130042	0.266048	0.0199993	1000	0.105193	1.69835
98	0.0567738	0.028352	0.777251	0.0130042	0.266048	0.0199993	1000	0.101282	1.70211
99	0.0570868	0.0284669	0.763397	0.0130042	0.266049	0.0199993	1000	0.0973983	1.70568
100	0.057501	0.0286479	0.749792	0.0130042	0.266049	0.0199993	1000	0.0935449	1.7091
