Time	[cLc]	[cLm]	[cLn]	[cP7c]	[cP7m]	[cP7n]	[cP9c]	[cP9m]	[cP9n]	[cPn]	[cTc]	[cTm]	[cTn]	[cXc]	[cXm]	[cXn]	[cYc]	[cYm]	[cYn]
13	0.405907	0.460109	1.35218	0.0409098	0.0891146	1.4852	0.694978	0.0404921	1.04623	0.340186	3.57595	3.17426	3.11713	2.42928	0.594495	14.8952	48.0556	0.317913	17.005
14	0.367524	0.36519	1.2296	0.0466029	0.0951225	1.78131	0.804468	0.0406555	1.21272	0.520095	3.11153	3.19019	2.70694	2.3692	0.563286	14.5545	48.0048	0.328768	16.9855
15	0.32087	0.284664	1.07702	0.0504317	0.0947471	2.04417	0.89816	0.0370925	1.35621	0.629759	2.86189	3.21536	2.48611	2.28313	0.529214	14.0486	48.1942	0.358899	17.0483
16	0.272477	0.220334	0.916771	0.0522869	0.0894786	2.24508	0.965833	0.031464	1.4607	0.700837	2.74275	3.27287	2.38005	2.17729	0.497755	13.4086	48.7264	0.392443	17.2321
17	0.226699	0.170742	0.764024	0.0523841	0.0812422	2.37067	1.0046	0.0253133	1.52136	0.748465	2.71251	3.37561	2.35185	2.06065	0.47154	12.6887	49.5692	0.42005	17.5271
18	0.185941	0.133404	0.627334	0.0510823	0.0717122	2.42072	1.01675	0.019623	1.54142	0.781025	2.74998	3.5235	2.38281	1.94246	0.451721	11.9476	50.6192	0.436989	17.8971
19	0.151194	0.105825	0.510364	0.0487613	0.0620642	2.40368	1.00713	0.0148329	1.52812	0.80357	2.84117	3.70661	2.46069	1.83094	0.438636	11.2386	51.7457	0.44183	18.296
20	0.122541	0.0858825	0.413629	0.04576	0.0529945	2.33224	0.98117	0.0110265	1.48969	0.819313	2.97324	3.90953	2.57438	1.73264	0.432089	10.6052	52.8215	0.435557	18.6787
21	0.0995749	0.0719317	0.335884	0.0423558	0.0448426	2.22015	0.943812	0.00810898	1.43367	0.830368	3.1327	4.11521	2.7122	1.65208	0.431479	10.0778	53.7437	0.420687	19.008
22	0.0816745	0.0627943	0.275111	0.0387631	0.0377194	2.0803	0.899115	0.00592306	1.36629	0.838163	3.30556	4.30767	2.862	1.59169	0.435897	9.67418	54.4433	0.400356	19.2593
23	0.068191	0.0577205	0.22915	0.0351413	0.0316068	1.92373	0.850204	0.00430847	1.29233	0.843673	3.47811	4.47371	3.01188	1.55195	0.444228	9.39923	54.8868	0.377582	19.4201
24	0.0585592	0.0563523	0.196087	0.0316043	0.0264229	1.75937	0.799384	0.00312656	1.21536	0.847576	3.63786	4.60364	3.15097	1.53174	0.455252	9.24766	55.0711	0.354825	19.4888
25	0.554836	2.72153	1.63307	0.0302171	0.031777	1.6044	0.756417	0.011937	1.14776	0.146299	4.58425	4.83536	3.95591	1.53519	0.478882	9.23061	61.3684	1.14219	21.6066
26	0.996014	2.4144	3.18541	0.0562051	0.147187	1.76447	0.967807	0.147858	1.4327	0.0208256	5.41465	5.21593	4.67857	1.57544	0.518602	9.42676	68.6527	0.922159	24.2229
27	1.17204	1.80681	3.85644	0.130264	0.406627	3.06153	2.08258	0.441225	3.04747	0.00283953	6.18271	5.51142	5.34757	1.65562	0.567172	9.86929	72.8678	0.656078	25.7583
28	1.16419	1.30086	3.88212	0.231669	0.685937	5.86487	4.34858	0.727491	6.41251	0.000384686	6.87717	5.75202	5.95272	1.7731	0.619764	10.5494	74.5273	0.464551	26.3759
29	1.05584	0.924914	3.54718	0.331536	0.880596	9.76832	7.41058	0.887705	11.0193	5.20694e-05	7.51497	5.996	6.50806	1.92273	0.673208	11.4389	74.473	0.338465	26.3756
30	0.903975	0.65367	3.05106	0.412614	0.961671	14.0529	10.6822	0.900725	15.983	7.04704e-06	8.1234	6.25657	7.03733	2.09909	0.725857	12.5052	73.3338	0.257457	25.9835
31	0.743385	0.460235	2.51679	0.469575	0.94899	18.0809	13.6583	0.807375	20.5261	9.53727e-07	8.71838	6.51217	7.55481	2.29761	0.777029	13.7193	71.5255	0.205335	25.3497
32	0.593334	0.323206	2.01313	0.503942	0.877556	21.4456	16.0542	0.665539	24.2014	1.29075e-07	9.29602	6.72618	8.05762	2.51469	0.826398	15.0584	69.3107	0.171093	24.5689
33	0.462852	0.226568	1.57291	0.519774	0.778395	23.9656	17.796	0.519502	26.885	1.74697e-08	9.83383	6.86161	8.52662	2.7474	0.873569	16.5037	66.8521	0.147823	23.6999
34	0.354667	0.158627	1.20671	0.521349	0.672496	25.6204	18.9397	0.392001	28.6556	2.36512e-09	10.2966	6.88941	8.93147	2.99294	0.917884	18.038	64.2518	0.131469	22.7797
35	0.267956	0.110968	0.912537	0.512293	0.5716	26.4815	19.5927	0.289882	29.6748	3.20529e-10	10.6438	6.79181	9.2368	3.24811	0.958398	19.6417	61.5773	0.119789	21.8324
36	0.200178	0.0775896	0.682225	0.495448	0.481053	26.6619	19.8677	0.211886	30.1137	4.36929e-11	10.8356	6.56297	9.40805	3.50899	0.993939	21.2912	58.8771	0.111617	20.8755
37	0.148199	0.05424	0.505384	0.472994	0.402468	26.2853	19.8619	0.153831	30.1209	0.340186	9.1259	6.20635	7.95939	3.76293	1.00999	22.9273	56.1164	0.095404	19.8983
38	0.108919	0.0379209	0.371623	0.446614	0.335556	25.4703	19.6522	0.111288	29.8146	0.520095	7.77638	5.7319	6.77977	3.98204	0.998529	24.3829	53.3579	0.0938425	18.9197
39	0.0795787	0.0265246	0.27163	0.417635	0.279204	24.3233	19.2975	0.0803518	29.285	0.629759	6.64391	5.16894	5.79156	4.14799	0.967237	25.5243	50.7366	0.102715	17.9883
40	0.0578629	0.018573	0.197577	0.387117	0.232043	22.9365	18.8411	0.0579501	28.5986	0.700838	5.65491	4.56385	4.92958	4.25013	0.921414	26.2728	48.3522	0.120333	17.1397
41	0.0419106	0.0130315	0.143148	0.35592	0.192714	21.3886	18.3149	0.0417666	27.8046	0.748466	4.77725	3.97177	4.16488	4.28285	0.86484	26.5849	46.2927	0.146909	16.405
42	0.0302646	0.00917699	0.103394	0.324742	0.159984	19.7453	17.7421	0.0300909	26.9387	0.781025	4.00911	3.44602	3.49523	4.24431	0.800658	26.4432	44.6518	0.184003	15.8173
43	0.021808	0.006505	0.074514	0.29415	0.132778	18.0611	17.1396	0.0216737	26.0268	0.80357	3.36363	3.0281	2.93178	4.13623	0.732049	25.8534	43.5381	0.233671	15.4148
44	0.0156969	0.0046642	0.0536354	0.264599	0.11018	16.3804	16.5198	0.0156086	25.088	0.819312	2.855	2.74268	2.48686	3.96419	0.662519	24.8457	43.0718	0.296909	15.2401
45	0.0113022	0.00341063	0.0386136	0.236443	0.0914173	14.7386	15.8917	0.0112395	24.136	0.830368	2.49041	2.59969	2.16688	3.73772	0.595769	23.4764	43.3614	0.371304	15.3318
46	0.00815873	0.00257542	0.0278623	0.209946	0.0758432	13.1633	15.2618	0.00809281	23.1809	0.838163	2.26887	2.59947	1.97112	3.47012	0.535329	21.8262	44.4562	0.448913	15.7088
47	0.00592554	0.00204207	0.0202183	0.185294	0.0629184	11.675	14.635	0.0058268	22.2302	0.843673	2.18351	2.73508	1.89372	3.17751	0.484178	19.9955	46.2903	0.51669	16.3494
48	0.00435443	0.0017304	0.014834	0.1626	0.0521936	10.2881	14.0147	0.00419513	21.2893	0.847576	2.2232	2.98996	1.92512	2.87754	0.44447	18.0965	48.6558	0.561044	17.1821
49	0.50485	2.66186	1.46675	0.143246	0.0499496	9.01755	13.4081	0.00894827	20.3674	0.146299	2.91304	3.52283	2.50871	2.59291	0.426109	16.2618	57.928	1.43323	20.3428
50	0.945829	2.34876	3.01892	0.149176	0.143957	8.11853	13.0136	0.120076	19.7387	0.0208255	3.71889	4.32779	3.20424	2.35338	0.434084	14.6771	68.4381	1.20476	24.1046
51	1.12115	1.74784	3.68679	0.20093	0.372009	8.35549	13.4372	0.378785	20.3108	0.00283955	4.63789	5.0148	4.0004	2.1792	0.463834	13.4834	75.4176	0.886948	26.6286
52	1.11547	1.25558	3.71856	0.280361	0.621345	10.1064	14.9636	0.636311	22.556	0.000384687	5.58933	5.58043	4.82647	2.07994	0.509661	12.7533	79.171	0.637914	27.9978
53	1.01195	0.891826	3.39906	0.360896	0.795419	13.0021	17.2882	0.780193	26.0434	5.20693e-05	6.54239	6.09482	5.65441	2.05563	0.56591	12.4969	80.5872	0.462454	28.5267
54	0.866312	0.629909	2.92349	0.426263	0.867357	16.3572	19.8642	0.791103	29.9486	7.04699e-06	7.49792	6.58997	6.48455	2.10032	0.628315	12.6826	80.4144	0.342767	28.4833
55	0.712278	0.443326	2.41117	0.471085	0.855025	19.5578	22.2179	0.707461	33.5425	9.53715e-07	8.46019	7.06044	7.32073	2.20567	0.693996	13.2605	79.1867	0.261472	28.0598
56	0.568414	0.31124	1.92837	0.496352	0.790051	22.2106	24.0835	0.581822	36.4074	1.29074e-07	9.42253	7.48062	8.15751	2.36319	0.760954	14.1785	77.2642	0.205592	27.386
57	0.443374	0.218131	1.50658	0.505496	0.700378	24.1372	25.3892	0.45333	38.4237	1.74694e-08	10.3638	7.81919	8.97685	2.56518	0.827623	15.3886	74.885	0.166391	26.5476
58	0.339739	0.152693	1.15582	0.50224	0.60484	25.3114	26.1806	0.341625	39.6552	2.36498e-09	11.2506	8.04788	9.74993	2.8048	0.892593	16.8483	72.2075	0.138292	25.6017
59	0.256693	0.106801	0.874121	0.489779	0.513935	25.794	26.5498	0.2524	40.2399	3.20443e-10	12.0413	8.14523	10.4407	3.0758	0.954509	18.5191	69.34	0.117825	24.5872
60	0.191787	0.0746659	0.653588	0.470637	0.432422	25.6853	26.5934	0.184373	40.3249	4.37552e-11	12.6909	8.09761	11.0101	3.37216	1.01204	20.3634	66.3597	0.10283	23.5319
61	0.142009	0.0521892	0.484249	0.446764	0.361715	25.0965	26.395	0.133798	40.0381	0.340187	11.213	7.89765	9.76835	3.68038	1.05138	22.3155	63.2658	0.0832465	22.437
62	0.104388	0.0364821	0.356148	0.419673	0.301535	24.1341	26.0211	0.0967649	39.4811	0.520094	10.0389	7.5424	8.74222	3.97315	1.06488	24.2109	60.1234	0.0758174	21.323
63	0.0762824	0.0255145	0.260369	0.390557	0.250868	22.8943	25.5221	0.0698501	38.7316	0.629759	9.01328	7.04181	7.84822	4.2321	1.05934	25.9175	57.0418	0.0760484	20.2296
64	0.0554764	0.0178632	0.189422	0.36037	0.208473	21.4603	24.9353	0.0503682	37.8468	0.700838	8.04894	6.42026	7.00943	4.4454	1.03895	27.3506	54.0921	0.0816877	19.1821
65	0.0401892	0.0125323	0.137265	0.329884	0.173126	19.9026	24.2881	0.0362979	36.8689	0.748466	7.09942	5.71595	6.18442	4.60469	1.00603	28.4511	51.3278	0.0920627	18.1997
66	0.0290268	0.00882622	0.0991627	0.299724	0.143713	18.2802	23.6006	0.0261488	35.8287	0.781025	6.15535	4.97889	5.36421	4.70338	0.96188	29.174	48.8001	0.107719	17.3005
67	0.0209203	0.00625993	0.0714789	0.270391	0.119268	16.6414	22.8873	0.0188332	34.7486	0.80357	5.23699	4.26591	4.56573	4.73618	0.907499	29.4827	46.5688	0.13026	16.5054
68	0.0150624	0.00449655	0.0514652	0.242278	0.0989645	15.0251	22.1588	0.0135624	33.6448	0.819312	4.3826	3.63191	3.8219	4.69936	0.844316	29.3506	44.7127	0.162245	15.8421
69	0.0108513	0.00330328	0.03707	0.215687	0.0821085	13.4621	21.4229	0.00976576	32.5293	0.830368	3.63427	3.11975	3.16928	4.59176	0.774649	28.7659	43.337	0.206828	15.3475
70	0.00784242	0.00252091	0.0267775	0.190832	0.0681182	11.9756	20.6852	0.00703151	31.4108	0.838163	3.02483	2.75421	2.63666	4.41594	0.701815	27.7395	42.5732	0.266664	15.0676
71	0.00571101	0.00204247	0.0194787	0.167855	0.0565084	10.5823	19.9499	0.00506258	30.2957	0.843673	2.57115	2.54393	2.23902	4.17893	0.629821	26.3105	42.5613	0.341635	15.0523
72	0.00422185	0.00179839	0.01437	0.14683	0.0468752	9.29308	19.2202	0.00364487	29.1889	0.847576	2.27537	2.48827	1.97848	3.89241	0.562783	24.5481	43.4046	0.425892	15.3391
73	0.50479	2.66202	1.46653	0.129104	0.0455327	8.12028	18.5027	0.00854723	28.099	0.146299	2.65316	2.80049	2.29102	3.57716	0.513094	22.5679	51.7726	1.36475	18.1691
74	0.945847	2.34906	3.01895	0.136587	0.140284	7.31618	17.9961	0.119777	27.3005	0.0208255	3.18317	3.55317	2.74537	3.26592	0.488525	20.5699	62.1203	1.2023	21.8634
75	1.12125	1.74825	3.6871	0.189775	0.36899	7.64105	18.3103	0.378612	27.7062	0.00283954	3.90333	4.27721	3.36678	2.98745	0.488055	18.7446	69.4718	0.922289	24.5136
76	1.11564	1.25599	3.71913	0.270458	0.618925	9.46822	19.7361	0.636302	29.7982	0.000384686	4.72496	4.90012	4.07842	2.76382	0.508454	17.2427	73.8412	0.687713	26.0991
77	1.01217	0.892175	3.39977	0.352037	0.793527	12.427	21.9735	0.780349	33.1525	5.20693e-05	5.59563	5.46612	4.83365	2.60788	0.544762	16.1571	75.9301	0.513937	26.8664
78	0.866537	0.630177	2.92424	0.418256	0.865898	15.8333	24.4755	0.791374	36.9447	7.04702e-06	6.49697	6.00054	5.61597	2.52395	0.592309	15.5245	76.395	0.390175	27.0499
79	0.712489	0.443521	2.41188	0.463776	0.8539	19.0765	26.7655	0.707774	40.4414	9.53722e-07	7.41955	6.49826	6.41721	2.51022	0.647364	15.3394	75.7341	0.302774	26.8285
80	0.568599	0.31138	1.929	0.489629	0.789174	21.7655	28.5745	0.582121	43.2202	1.29074e-07	8.34811	6.93628	7.22434	2.56119	0.706995	15.5709	74.2992	0.240573	26.3287
81	0.443528	0.218229	1.5071	0.49928	0.699684	23.7238	29.8283	0.453583	45.1575	1.74695e-08	9.25685	7.2863	8.0152	2.6696	0.768784	16.1755	72.3334	0.195646	25.6378
82	0.339863	0.15276	1.15624	0.496474	0.604282	24.9266	30.5705	0.341825	46.3143	2.36498e-09	10.1105	7.52284	8.75933	2.82755	0.830605	17.1048	70.005	0.162721	24.8165
83	0.25679	0.106845	0.874449	0.484423	0.513482	25.4356	30.892	0.252552	46.8267	3.20614e-10	10.8679	7.62699	9.42094	3.02702	0.890533	18.3097	67.4337	0.138378	23.9077
84	0.191859	0.0746935	0.653836	0.465664	0.432049	25.3518	30.8886	0.184486	46.8404	4.37508e-11	11.4856	7.58749	9.96233	3.26005	0.946796	19.741	64.7075	0.120393	22.943
85	0.142062	0.0522044	0.484433	0.442153	0.361408	24.7867	30.6435	0.13388	46.4826	0.340186	10.1092	7.39906	8.80608	3.51114	0.984911	21.3205	61.8266	0.0973316	21.9242
86	0.104426	0.0364878	0.356278	0.415406	0.301281	23.8471	30.2225	0.096825	45.8543	0.520094	9.03647	7.06041	7.86838	3.75114	0.997179	22.8723	58.8691	0.0886139	20.876
87	0.0763079	0.0255125	0.260457	0.386621	0.250657	22.6292	29.6758	0.0698936	45.0325	0.629759	8.11077	6.5844	7.06144	3.96095	0.99081	24.2584	55.9627	0.0888824	19.8448
88	0.0554919	0.0178544	0.189476	0.356753	0.208298	21.2165	29.0406	0.0503996	44.0744	0.700838	7.24599	5.9989	6.30929	4.12867	0.970182	25.3933	53.1899	0.0954439	18.8599
89	0.0401965	0.0125171	0.137292	0.326576	0.172981	19.6794	28.3441	0.0363206	43.0218	0.748466	6.39877	5.3448	5.5732	4.24629	0.937747	26.2201	50.6121	0.107458	17.9434
90	0.0290271	0.00880397	0.0991659	0.296714	0.143593	18.0769	27.6063	0.0261651	41.9054	0.781026	5.56244	4.67252	4.84653	4.3079	0.894946	26.6977	48.2865	0.125449	17.1156
91	0.0209141	0.00622942	0.0714606	0.267666	0.119168	16.4572	26.8414	0.018845	40.7472	0.80357	4.75732	4.03595	4.14637	4.30921	0.843019	26.7959	46.2792	0.151015	16.3996
92	0.0150497	0.00445555	0.0514255	0.239827	0.0988814	14.8594	26.0602	0.0135708	39.5635	0.819313	4.01827	3.48375	3.50276	4.24785	0.783638	26.4962	44.6741	0.186527	15.8249
93	0.0108313	0.00324825	0.0370066	0.213494	0.0820396	13.3139	25.2702	0.00977186	38.3662	0.830368	3.38118	3.05138	2.94693	4.12421	0.719278	25.7969	43.5769	0.234489	15.4285
94	0.00781357	0.0024465	0.0266856	0.188884	0.068061	11.8439	24.4771	0.00703591	37.1638	0.838163	2.8725	2.758	2.50209	3.94234	0.653202	24.7188	43.1089	0.296147	15.2533
95	0.00567066	0.00194073	0.01935	0.166136	0.0564609	10.466	23.6851	0.00506575	35.9627	0.843673	2.50498	2.60968	2.17961	3.7104	0.589114	23.3088	43.3816	0.369262	15.3393
96	0.00416587	0.00165771	0.0141914	0.145323	0.0468358	9.19111	22.8971	0.00364715	34.7677	0.847576	2.27966	2.60471	1.98058	3.44049	0.530645	21.6399	44.4489	0.446069	15.7066
97	0.504711	2.66182	1.46627	0.12779	0.0454962	8.03145	22.12	0.00854458	33.5875	0.146299	2.7194	2.94917	2.34702	3.15296	0.489668	19.8258	52.92	1.37112	18.5753
98	0.94573	2.34877	3.01857	0.135441	0.14022	7.23914	21.5525	0.119728	32.6966	0.0208256	3.2994	3.70371	2.84518	2.87912	0.473426	18.0582	63.2235	1.19573	22.2558
99	1.12109	1.74789	3.68657	0.188761	0.368854	7.57402	21.8059	0.378466	33.0101	0.00283954	4.05208	4.41404	3.49528	2.64509	0.480256	16.5117	70.4333	0.909202	24.8567
100	1.11544	1.25564	3.71845	0.269536	0.618686	9.40891	23.1743	0.636035	35.0148	0.000384687	4.89163	5.02039	4.22284	2.46953	0.506531	15.3149	74.6273	0.673141	26.3802
