Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
20	5	0.349585	0.108971	0.109064	4.94627	0.092278	2.62332	0.973913	1.12085	1.42867	4.22243	0.387209	0.433989	0.9	0	1	3.61279	1.97534	3.47674	0.000978866	0	0.016674	0.000540517	0.0674744	12.9347	0.01	0.12668	0.197629	0.313662	0.197326	5	0.523257	0.01	1.60839	0	3.9474	10.1195	0.119532	0	0.367554	0	0.0537284	19.3767	0.00139941	0.0124462	0.00595766	1.00282	4.93381	1159.34	0.495984	0.0525977
21	5	0.349923	0.10937	0.109463	4.94627	0.0918792	2.62368	0.97203	1.12302	1.42795	4.22968	0.387223	0.434843	0.9	0	1	3.61278	1.97699	3.47672	0.000977586	0	0.0166741	0.000540531	0.0673531	13.0733	0.01	0.126789	0.198923	0.312994	0.19862	5	0.523285	0.01	1.61091	0	3.94742	10.1181	0.119548	0	0.367554	0	0.0537294	19.3794	0.00139943	0.0124459	0.00595786	1.0035	4.93609	1161.23	0.495066	0.052578
22	5	0.350193	0.109722	0.109816	4.94627	0.0915332	2.62393	0.970393	1.12488	1.42735	4.23547	0.387236	0.435576	0.9	0	1	3.61276	1.97833	3.47669	0.000976473	0	0.0166743	0.000540543	0.0672477	13.1961	0.01	0.12687	0.200062	0.312414	0.199759	5	0.523308	0.01	1.61292	0	3.94744	10.1164	0.119559	0	0.367554	0	0.0537346	19.3829	0.00139944	0.0124456	0.00595802	1.00404	4.93807	1162.74	0.494318	0.0525639
23	5	0.35041	0.110033	0.110126	4.94626	0.0912323	2.62408	0.968966	1.12648	1.42686	4.2401	0.387246	0.436208	0.9	0	1	3.61275	1.97943	3.47667	0.000975502	0	0.0166744	0.000540554	0.0671559	13.3048	0.01	0.126931	0.201067	0.311909	0.200764	5	0.523329	0.01	1.61452	0	3.94745	10.1145	0.119566	0	0.367555	0	0.0537427	19.3869	0.00139946	0.0124453	0.00595816	1.00448	4.9398	1163.94	0.493705	0.052554
24	5	0.350584	0.110307	0.1104	4.94625	0.0909702	2.62417	0.967721	1.12787	1.42646	4.2438	0.387256	0.436752	0.9	0	1	3.61274	1.98033	3.47665	0.000974656	0	0.0166746	0.000540563	0.0670758	13.4012	0.01	0.126975	0.201952	0.311468	0.201649	5	0.523346	0.01	1.61579	0	3.94745	10.1125	0.11957	0	0.367555	0	0.0537527	19.3911	0.00139947	0.0124451	0.00595828	1.00484	4.94131	1164.91	0.493203	0.0525474
25	5	0.350724	0.110549	0.110642	4.94624	0.0907414	2.62421	0.966632	1.12906	1.42613	4.24676	0.387264	0.437223	0.9	0	1	3.61274	1.98107	3.47664	0.000973915	0	0.0166747	0.000540571	0.0670059	13.4865	0.01	0.127006	0.202733	0.311083	0.20243	5	0.523361	0.01	1.61679	0	3.94746	10.1105	0.119572	0	0.367555	0	0.0537639	19.3954	0.00139948	0.0124449	0.00595838	1.00512	4.94263	1165.68	0.492791	0.0525433
26	5	0.350836	0.110763	0.110856	4.94622	0.0905415	2.62421	0.965679	1.1301	1.42586	4.24912	0.387271	0.437631	0.9	0	1	3.61273	1.98169	3.47663	0.000973268	0	0.0166748	0.000540578	0.0669447	13.562	0.01	0.127028	0.203422	0.310747	0.203119	5	0.523374	0.01	1.6176	0	3.94746	10.1085	0.119571	0	0.367555	0	0.0537755	19.3996	0.00139949	0.0124448	0.00595847	1.00535	4.94378	1166.29	0.492451	0.0525409
27	5	0.350926	0.110951	0.111044	4.94621	0.0903667	2.62419	0.964845	1.131	1.42564	4.25101	0.387277	0.437984	0.9	0	1	3.61272	1.98219	3.47661	0.0009727	0	0.0166748	0.000540585	0.0668912	13.6288	0.01	0.127042	0.20403	0.310452	0.203727	5	0.523386	0.01	1.61823	0	3.94746	10.1066	0.11957	0	0.367555	0	0.0537872	19.4037	0.0013995	0.0124446	0.00595855	1.00554	4.94479	1166.78	0.492171	0.0525399
28	5	0.350998	0.111118	0.111211	4.9462	0.0902135	2.62414	0.964113	1.13179	1.42545	4.25252	0.387283	0.438291	0.9	0	1	3.61272	1.98261	3.4766	0.000972203	0	0.0166749	0.00054059	0.0668442	13.6879	0.01	0.127051	0.204566	0.310194	0.204263	5	0.523395	0.01	1.61873	0	3.94746	10.1048	0.119568	0	0.367555	0	0.0537988	19.4076	0.0013995	0.0124445	0.00595861	1.00569	4.94567	1167.17	0.491939	0.0525399
29	5	0.351056	0.111265	0.111358	4.94619	0.0900793	2.62409	0.963471	1.13247	1.4253	4.25372	0.387288	0.438558	0.9	0	1	3.61271	1.98295	3.4766	0.000971766	0	0.016675	0.000540595	0.0668031	13.7402	0.01	0.127055	0.205039	0.309967	0.204736	5	0.523404	0.01	1.61913	0	3.94746	10.1031	0.119565	0	0.367556	0	0.0538099	19.4113	0.00139951	0.0124444	0.00595867	1.00581	4.94645	1167.49	0.491747	0.0525406
