Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
55	0.418401	0.000173696	0.0994038	0	0	0	0	-1.89417e-24	-8.77231e-25	-1.04396e-24	0	0	0	0	0.000269003	0.121907	0.00115347	0	0	0	0.0417716	0	0	0	0.5
56	0.420453	0.000173128	0.099422	0	0	0	0	-1.89549e-24	-8.73236e-25	-1.03914e-24	0	0	0	0	0.000257052	0.127016	0.00114785	0	0	0	0.0411675	0	0	0	0.5
57	0.422367	0.000172602	0.0994385	0	0	0	0	-1.89646e-24	-8.6941e-25	-1.03453e-24	0	0	0	0	0.000246159	0.132104	0.00114272	0	0	0	0.0405735	0	0	0	0.5
58	0.42415	0.000172114	0.0994537	0	0	0	0	-1.89709e-24	-8.65745e-25	-1.03013e-24	0	0	0	0	0.000236197	0.137167	0.00113804	0	0	0	0.0399893	0	0	0	0.5
59	0.425806	0.000171663	0.0994675	0	0	0	0	-1.89742e-24	-8.62234e-25	-1.02591e-24	0	0	0	0	0.000227058	0.142205	0.00113375	0	0	0	0.0394149	0	0	0	0.5
60	0.427341	0.000171247	0.0994803	0	0	0	0	-1.89745e-24	-8.58867e-25	-1.02188e-24	0	0	0	0	0.00021865	0.147213	0.00112983	0	0	0	0.03885	0	0	0	0.5
61	0.428761	0.000170864	0.099492	0	0	0	0	-1.89719e-24	-8.55638e-25	-1.01801e-24	0	0	0	0	0.000210895	0.152192	0.00112625	0	0	0	0.0382946	0	0	0	0.5
62	0.430069	0.000170512	0.0995028	0	0	0	0	-1.89668e-24	-8.5254e-25	-1.01431e-24	0	0	0	0	0.000203723	0.157137	0.00112297	0	0	0	0.0377484	0	0	0	0.5
63	0.431271	0.000170191	0.0995128	0	0	0	0	-1.89591e-24	-8.49566e-25	-1.01076e-24	0	0	0	0	0.000197077	0.162049	0.00111998	0	0	0	0.0372113	0	0	0	0.5
64	0.432371	0.000169897	0.0995219	0	0	0	0	-1.89491e-24	-8.4671e-25	-1.00736e-24	0	0	0	0	0.000190904	0.166924	0.00111725	0	0	0	0.0366831	0	0	0	0.5
65	0.433374	0.000169631	0.0995304	0	0	0	0	-1.89368e-24	-8.43965e-25	-1.00409e-24	0	0	0	0	0.00018516	0.171763	0.00111477	0	0	0	0.0361637	0	0	0	0.5
66	0.434284	0.000169391	0.0995383	0	0	0	0	-1.89224e-24	-8.41327e-25	-1.00095e-24	0	0	0	0	0.000179804	0.176562	0.00111252	0	0	0	0.035653	0	0	0	0.5
67	0.435104	0.000169174	0.0995455	0	0	0	0	-1.8906e-24	-8.3879e-25	-9.97929e-25	0	0	0	0	0.000174801	0.181321	0.00111048	0	0	0	0.0351508	0	0	0	0.5
68	0.435839	0.000168981	0.0995523	0	0	0	0	-1.88877e-24	-8.36348e-25	-9.95028e-25	0	0	0	0	0.000170121	0.186038	0.00110864	0	0	0	0.034657	0	0	0	0.5
69	0.436492	0.000168811	0.0995585	0	0	0	0	-1.88676e-24	-8.33997e-25	-9.92236e-25	0	0	0	0	0.000165735	0.190713	0.00110699	0	0	0	0.0341714	0	0	0	0.5
70	0.437068	0.000168661	0.0995642	0	0	0	0	-1.88458e-24	-8.31732e-25	-9.8955e-25	0	0	0	0	0.00016162	0.195345	0.00110552	0	0	0	0.0336938	0	0	0	0.5
