Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[ssa]	[suc]	[sca]	[fa]	[mal]	[gly]	[biosyn]
13	0.5	0.0003	0.0001	0.0558292	0.00212768	0.00999079	0.109582	5.83729	0.000233554	0.00398087	0.0102558	5.72804e-06	0.1
14	0.5	0.0003	0.0001	0.0558292	0.00212764	0.00998828	0.108794	5.79438	0.000231837	0.00398034	0.0102551	5.76343e-06	0.1
15	0.5	0.0003	0.0001	0.0558292	0.0021276	0.00998578	0.108008	5.75162	0.000230126	0.0039798	0.0102545	5.79915e-06	0.1
16	0.5	0.0003	0.0001	0.0558292	0.00212755	0.00998328	0.107225	5.70902	0.000228422	0.00397925	0.0102538	5.8352e-06	0.1
17	0.5	0.0003	0.0001	0.0558292	0.00212751	0.0099808	0.106446	5.66658	0.000226724	0.0039787	0.0102531	5.87157e-06	0.1
18	0.5	0.0003	0.0001	0.0558292	0.00212747	0.00997832	0.105669	5.62429	0.000225032	0.00397814	0.0102524	5.90828e-06	0.1
19	0.5	0.0003	0.0001	0.0558292	0.00212742	0.00997585	0.104895	5.58217	0.000223346	0.00397758	0.0102517	5.94533e-06	0.1
20	0.5	0.0003	0.0001	0.0558292	0.00212738	0.00997338	0.104124	5.54021	0.000221668	0.00397701	0.0102509	5.98271e-06	0.1
21	0.5	0.0003	0.0001	0.0558292	0.00212733	0.00997093	0.103356	5.49842	0.000219996	0.00397644	0.0102502	6.02043e-06	0.1
22	0.5	0.0003	0.0001	0.0558292	0.00212729	0.00996848	0.102591	5.4568	0.00021833	0.00397586	0.0102495	6.0585e-06	0.1
23	0.5	0.0003	0.0001	0.0558292	0.00212724	0.00996605	0.10183	5.41534	0.000216671	0.00397527	0.0102487	6.09691e-06	0.1
24	0.5	0.0003	0.0001	0.0558292	0.0021272	0.00996362	0.101071	5.37406	0.00021502	0.00397467	0.010248	6.13567e-06	0.1
25	0.5	0.0003	0.0001	0.0558292	0.00212715	0.0099612	0.100316	5.33295	0.000213375	0.00397407	0.0102472	6.17478e-06	0.1
26	0.5	0.0003	0.0001	0.0558292	0.00212711	0.00995878	0.0995638	5.29201	0.000211737	0.00397347	0.0102465	6.21424e-06	0.1
27	0.5	0.0003	0.0001	0.0558292	0.00212706	0.00995638	0.0988149	5.25125	0.000210106	0.00397285	0.0102457	6.25405e-06	0.1
28	0.5	0.0003	0.0001	0.0558292	0.00212702	0.00995399	0.0980694	5.21067	0.000208482	0.00397223	0.0102449	6.29422e-06	0.1
29	0.5	0.0003	0.0001	0.0558292	0.00212697	0.0099516	0.0973271	5.17027	0.000206866	0.0039716	0.0102441	6.33474e-06	0.1
30	0.5	0.0003	0.0001	0.0558292	0.00212692	0.00994922	0.0965882	5.13005	0.000205256	0.00397097	0.0102433	6.37563e-06	0.1
31	0.5	0.0003	0.0001	0.0558292	0.00212688	0.00994686	0.0958526	5.09001	0.000203655	0.00397033	0.0102425	6.41687e-06	0.1
32	0.5	0.0003	0.0001	0.0558292	0.00212683	0.0099445	0.0951205	5.05017	0.00020206	0.00396968	0.0102417	6.45848e-06	0.1
33	0.5	0.0003	0.0001	0.0558292	0.00212678	0.00994215	0.0943919	5.0105	0.000200473	0.00396903	0.0102409	6.50046e-06	0.1
34	0.5	0.0003	0.0001	0.0558292	0.00212674	0.00993981	0.0936668	4.97103	0.000198894	0.00396837	0.01024	6.54279e-06	0.1
35	0.5	0.0003	0.0001	0.0558291	0.00212669	0.00993748	0.0929452	4.93176	0.000197322	0.0039677	0.0102392	6.5855e-06	0.1
36	0.5	0.0003	0.0001	0.0558291	0.00212664	0.00993516	0.0922271	4.89267	0.000195759	0.00396702	0.0102383	6.62857e-06	0.1
37	0.5	0.0003	0.0001	0.0558291	0.00212659	0.00993285	0.0915127	4.85379	0.000194203	0.00396634	0.0102375	6.67201e-06	0.1
38	0.5	0.0003	0.0001	0.0558291	0.00212655	0.00993055	0.0908019	4.8151	0.000192655	0.00396565	0.0102366	6.71582e-06	0.1
39	0.5	0.0003	0.0001	0.0558291	0.0021265	0.00992826	0.0900948	4.77661	0.000191115	0.00396495	0.0102357	6.76e-06	0.1
40	0.5	0.0003	0.0001	0.0558291	0.00212645	0.00992598	0.0893914	4.73832	0.000189583	0.00396425	0.0102348	6.80456e-06	0.1
41	0.5	0.0003	0.0001	0.0558291	0.0021264	0.0099237	0.0886918	4.70024	0.000188059	0.00396354	0.0102339	6.84948e-06	0.1
42	0.5	0.0003	0.0001	0.0558291	0.00212635	0.00992144	0.087996	4.66237	0.000186544	0.00396282	0.010233	6.89478e-06	0.1
43	0.5	0.0003	0.0001	0.0558291	0.0021263	0.00991919	0.0873041	4.6247	0.000185037	0.00396209	0.0102321	6.94045e-06	0.1
44	0.5	0.0003	0.0001	0.0558291	0.00212625	0.00991696	0.086616	4.58725	0.000183538	0.00396136	0.0102311	6.9865e-06	0.1
45	0.5	0.0003	0.0001	0.0558291	0.00212621	0.00991473	0.0859318	4.55001	0.000182048	0.00396062	0.0102302	7.03291e-06	0.1
46	0.5	0.0003	0.0001	0.0558291	0.00212616	0.00991251	0.0852516	4.51298	0.000180566	0.00395987	0.0102293	7.07971e-06	0.1
47	0.5	0.0003	0.0001	0.0558291	0.00212611	0.0099103	0.0845754	4.47617	0.000179094	0.00395911	0.0102283	7.12687e-06	0.1
48	0.5	0.0003	0.0001	0.0558291	0.00212606	0.00990811	0.0839033	4.43959	0.00017763	0.00395835	0.0102273	7.1744e-06	0.1
49	0.5	0.0003	0.0001	0.0558291	0.00212601	0.00990592	0.0832352	4.40322	0.000176174	0.00395757	0.0102263	7.22231e-06	0.1
50	0.5	0.0003	0.0001	0.0558291	0.00212596	0.00990375	0.0825713	4.36708	0.000174728	0.0039568	0.0102254	7.27058e-06	0.1
51	0.5	0.0003	0.0001	0.0558291	0.0021259	0.00990159	0.0819115	4.33117	0.000173291	0.00395601	0.0102244	7.31923e-06	0.1
52	0.5	0.0003	0.0001	0.0558291	0.00212585	0.00989944	0.0812559	4.29548	0.000171863	0.00395521	0.0102234	7.36824e-06	0.1
53	0.5	0.0003	0.0001	0.0558291	0.0021258	0.0098973	0.0806046	4.26002	0.000170445	0.00395441	0.0102223	7.41762e-06	0.1
54	0.5	0.0003	0.0001	0.0558291	0.00212575	0.00989517	0.0799575	4.2248	0.000169035	0.0039536	0.0102213	7.46736e-06	0.1
55	0.5	0.0003	0.0001	0.0558291	0.0021257	0.00989306	0.0793148	4.18981	0.000167635	0.00395278	0.0102203	7.51747e-06	0.1
56	0.5	0.0003	0.0001	0.0558291	0.00212565	0.00989095	0.0786764	4.15506	0.000166245	0.00395196	0.0102192	7.56793e-06	0.1
57	0.5	0.0003	0.0001	0.0558291	0.0021256	0.00988886	0.0780424	4.12055	0.000164864	0.00395113	0.0102182	7.61875e-06	0.1
58	0.5	0.0003	0.0001	0.0558291	0.00212554	0.00988679	0.0774129	4.08628	0.000163493	0.00395028	0.0102171	7.66993e-06	0.1
59	0.5	0.0003	0.0001	0.0558291	0.00212549	0.00988472	0.0767878	4.05225	0.000162131	0.00394944	0.010216	7.72145e-06	0.1
60	0.5	0.0003	0.0001	0.055829	0.00212544	0.00988267	0.0761673	4.01847	0.00016078	0.00394858	0.0102149	7.77332e-06	0.1
61	0.5	0.0003	0.0001	0.055829	0.00212539	0.00988063	0.0755514	3.98494	0.000159438	0.00394772	0.0102138	7.82554e-06	0.1
62	0.5	0.0003	0.0001	0.055829	0.00212534	0.0098786	0.07494	3.95166	0.000158106	0.00394685	0.0102127	7.87809e-06	0.1
63	0.5	0.0003	0.0001	0.055829	0.00212528	0.00987658	0.0743333	3.91864	0.000156785	0.00394597	0.0102116	7.93098e-06	0.1
64	0.5	0.0003	0.0001	0.055829	0.00212523	0.00987458	0.0737313	3.88586	0.000155473	0.00394508	0.0102105	7.9842e-06	0.1
65	0.5	0.0003	0.0001	0.055829	0.00212518	0.00987259	0.073134	3.85335	0.000154172	0.00394419	0.0102094	8.03775e-06	0.1
66	0.5	0.0003	0.0001	0.055829	0.00212512	0.00987062	0.0725415	3.82109	0.000152882	0.00394329	0.0102082	8.09161e-06	0.1
67	0.5	0.0003	0.0001	0.055829	0.00212507	0.00986866	0.0719538	3.7891	0.000151602	0.00394238	0.0102071	8.14579e-06	0.1
68	0.5	0.0003	0.0001	0.055829	0.00212502	0.00986671	0.071371	3.75737	0.000150332	0.00394146	0.0102059	8.20028e-06	0.1
69	0.5	0.0003	0.0001	0.055829	0.00212496	0.00986478	0.070793	3.7259	0.000149073	0.00394054	0.0102047	8.25507e-06	0.1
70	0.5	0.0003	0.0001	0.055829	0.00212491	0.00986286	0.0702199	3.69471	0.000147824	0.00393961	0.0102035	8.31015e-06	0.1
71	0.5	0.0003	0.0001	0.055829	0.00212486	0.00986095	0.0696519	3.66378	0.000146587	0.00393867	0.0102023	8.36552e-06	0.1
72	0.5	0.0003	0.0001	0.055829	0.0021248	0.00985906	0.0690888	3.63312	0.00014536	0.00393773	0.0102011	8.42118e-06	0.1
73	0.5	0.0003	0.0001	0.055829	0.00212475	0.00985719	0.0685307	3.60274	0.000144145	0.00393678	0.0101999	8.4771e-06	0.1
74	0.5	0.0003	0.0001	0.055829	0.00212469	0.00985532	0.0679777	3.57264	0.00014294	0.00393582	0.0101987	8.53329e-06	0.1
75	0.5	0.0003	0.0001	0.055829	0.00212464	0.00985348	0.0674298	3.54281	0.000141746	0.00393485	0.0101975	8.58973e-06	0.1
76	0.5	0.0003	0.0001	0.055829	0.00212458	0.00985164	0.066887	3.51326	0.000140564	0.00393388	0.0101962	8.64642e-06	0.1
77	0.5	0.0003	0.0001	0.055829	0.00212453	0.00984982	0.0663495	3.48399	0.000139393	0.0039329	0.010195	8.70335e-06	0.1
78	0.5	0.0003	0.0001	0.055829	0.00212448	0.00984802	0.0658171	3.45501	0.000138233	0.00393192	0.0101938	8.76051e-06	0.1
79	0.5	0.0003	0.0001	0.055829	0.00212442	0.00984623	0.06529	3.42631	0.000137085	0.00393093	0.0101925	8.81789e-06	0.1
80	0.5	0.0003	0.0001	0.055829	0.00212437	0.00984446	0.0647681	3.3979	0.000135948	0.00392993	0.0101912	8.87547e-06	0.1
81	0.5	0.0003	0.0001	0.055829	0.00212431	0.00984271	0.0642515	3.36978	0.000134822	0.00392893	0.0101899	8.93325e-06	0.1
82	0.5	0.0003	0.0001	0.055829	0.00212426	0.00984096	0.0637403	3.34194	0.000133709	0.00392792	0.0101887	8.99121e-06	0.1
83	0.5	0.0003	0.0001	0.055829	0.0021242	0.00983924	0.0632345	3.3144	0.000132607	0.00392691	0.0101874	9.04935e-06	0.1
84	0.5	0.0003	0.0001	0.0558289	0.00212415	0.00983753	0.062734	3.28716	0.000131516	0.00392589	0.0101861	9.10764e-06	0.1
85	0.5	0.0003	0.0001	0.0558289	0.00212409	0.00983584	0.062239	3.2602	0.000130438	0.00392487	0.0101848	9.16609e-06	0.1
86	0.5	0.0003	0.0001	0.0558289	0.00212404	0.00983416	0.0617494	3.23355	0.000129371	0.00392384	0.0101835	9.22467e-06	0.1
87	0.5	0.0003	0.0001	0.0558289	0.00212398	0.0098325	0.0612652	3.20719	0.000128316	0.00392281	0.0101821	9.28337e-06	0.1
88	0.5	0.0003	0.0001	0.0558289	0.00212393	0.00983085	0.0607866	3.18113	0.000127274	0.00392177	0.0101808	9.34218e-06	0.1
89	0.5	0.0003	0.0001	0.0558289	0.00212387	0.00982922	0.0603135	3.15537	0.000126243	0.00392073	0.0101795	9.40109e-06	0.1
90	0.5	0.0003	0.0001	0.0558289	0.00212382	0.00982761	0.0598459	3.12991	0.000125224	0.00391968	0.0101782	9.46008e-06	0.1
91	0.5	0.0003	0.0001	0.0558289	0.00212376	0.00982602	0.0593839	3.10476	0.000124217	0.00391863	0.0101768	9.51913e-06	0.1
92	0.5	0.0003	0.0001	0.0558289	0.00212371	0.00982444	0.0589275	3.07991	0.000123223	0.00391758	0.0101755	9.57824e-06	0.1
93	0.5	0.0003	0.0001	0.0558289	0.00212366	0.00982288	0.0584766	3.05536	0.000122241	0.00391652	0.0101741	9.63739e-06	0.1
94	0.5	0.0003	0.0001	0.0558289	0.0021236	0.00982133	0.0580314	3.03112	0.000121271	0.00391547	0.0101728	9.69655e-06	0.1
95	0.5	0.0003	0.0001	0.0558289	0.00212355	0.0098198	0.0575918	3.00718	0.000120313	0.0039144	0.0101714	9.75572e-06	0.1
96	0.5	0.0003	0.0001	0.0558289	0.00212349	0.00981829	0.0571579	2.98355	0.000119367	0.00391334	0.0101701	9.81488e-06	0.1
97	0.5	0.0003	0.0001	0.0558289	0.00212344	0.0098168	0.0567296	2.96023	0.000118434	0.00391227	0.0101687	9.87402e-06	0.1
98	0.5	0.0003	0.0001	0.0558289	0.00212339	0.00981532	0.0563069	2.93722	0.000117513	0.0039112	0.0101673	9.9331e-06	0.1
99	0.5	0.0003	0.0001	0.0558289	0.00212333	0.00981386	0.05589	2.91452	0.000116605	0.00391013	0.010166	9.99213e-06	0.1
100	0.5	0.0003	0.0001	0.0558289	0.00212328	0.00981242	0.0554787	2.89212	0.000115708	0.00390906	0.0101646	1.00511e-05	0.1
