Time	[cyclin]	[cyclin-cdc2 dimer]	[Thr161 phosphorylated dimer(active MPF)]	[Tyr15 phosphorylated dimer]	[Thr161-Tyr15 phosphorylated dimer]	[phosphorylated cdc25]	[phosphorylated wee1]	[phosphorylated intermediary enzyme]	[ubiquitin conjugating enzyme]	[cdc2]	[cdc25]	[wee1]	[intermediary enzyme]	[ubiquitin conjugating enzyme]
45	1.14716	1.3555	1.84183	2.98424	9.02238	0.0167174	0.223892	0.00158072	1.65303e-05	84.796	0.983283	0.776108	0.998419	1.65303e-05
46	1.15715	1.33046	1.83969	3.09949	9.67316	0.0159229	0.200226	0.00157413	1.64279e-05	84.0572	0.984077	0.799774	0.998426	1.64279e-05
47	1.16709	1.31294	1.86067	3.20032	10.2966	0.0156796	0.179454	0.00159183	1.65898e-05	83.3295	0.98432	0.820546	0.998408	1.65898e-05
48	1.17704	1.30115	1.89791	3.28998	10.8982	0.0157658	0.161599	0.00162671	1.69379e-05	82.6128	0.984234	0.838401	0.998373	1.69379e-05
49	1.18698	1.2939	1.94698	3.3708	11.4815	0.0160614	0.146573	0.00167425	1.74225e-05	81.9069	0.983939	0.853427	0.998326	1.74225e-05
50	1.19694	1.29037	2.00509	3.44442	12.0484	0.0165001	0.134209	0.00173171	1.80134e-05	81.2117	0.9835	0.865791	0.998268	1.80134e-05
51	1.20692	1.28999	2.07058	3.51207	12.6003	0.0170451	0.124287	0.00179751	1.86929e-05	80.527	0.982955	0.875713	0.998202	1.86929e-05
52	1.2169	1.29232	2.14238	3.57467	13.1379	0.0176755	0.116562	0.00187074	1.94511e-05	79.8527	0.982324	0.883438	0.998129	1.94511e-05
53	1.2269	1.29702	2.21984	3.63293	13.6615	0.0183796	0.11078	0.00195092	2.02825e-05	79.1887	0.98162	0.88922	0.998049	2.02825e-05
54	1.23691	1.3038	2.30253	3.6874	14.1715	0.0191511	0.106698	0.00203781	2.11844e-05	78.5347	0.980849	0.893302	0.997962	2.11844e-05
55	1.24693	1.31244	2.39016	3.73853	14.6682	0.0199865	0.104087	0.00213135	2.21562e-05	77.8907	0.980013	0.895913	0.997869	2.21562e-05
56	1.25696	1.32275	2.48255	3.78667	15.1516	0.0208846	0.102747	0.00223161	2.31983e-05	77.2564	0.979115	0.897253	0.997768	2.31983e-05
57	1.267	1.33457	2.5796	3.83209	15.6219	0.0218454	0.1025	0.00233874	2.43123e-05	76.6318	0.978155	0.8975	0.997661	2.43123e-05
58	1.27704	1.34778	2.68128	3.87501	16.0792	0.02287	0.103197	0.00245301	2.55012e-05	76.0167	0.97713	0.896803	0.997547	2.55012e-05
59	1.28709	1.3623	2.78761	3.91559	16.5235	0.0239603	0.104717	0.00257478	2.67684e-05	75.4109	0.97604	0.895283	0.997425	2.67684e-05
60	1.29715	1.37807	2.8987	3.95395	16.9549	0.0251195	0.106959	0.00270454	2.81191e-05	74.8144	0.974881	0.893041	0.997295	2.81191e-05
61	1.3072	1.39506	3.01472	3.99017	17.3731	0.0263513	0.109846	0.00284289	2.95594e-05	74.227	0.973649	0.890154	0.997157	2.95594e-05
62	1.31726	1.41325	3.13589	4.02429	17.7781	0.0276608	0.113316	0.00299055	3.10969e-05	73.6485	0.972339	0.886684	0.997009	3.10969e-05
63	1.32732	1.43266	3.26254	4.05633	18.1697	0.0290541	0.117328	0.00314845	3.27412e-05	73.0788	0.970946	0.882672	0.996852	3.27412e-05
64	1.33738	1.45333	3.39506	4.08629	18.5475	0.0305387	0.12185	0.00331769	3.45037e-05	72.5178	0.969461	0.87815	0.996682	3.45037e-05
65	1.34743	1.47531	3.53395	4.11411	18.9112	0.0321236	0.126867	0.00349961	3.63983e-05	71.9654	0.967876	0.873133	0.9965	3.63983e-05
66	1.35749	1.49871	3.67981	4.13974	19.2603	0.0338198	0.132373	0.00369584	3.8442e-05	71.4215	0.96618	0.867627	0.996304	3.8442e-05
67	1.36753	1.52363	3.83338	4.16307	19.5941	0.0356403	0.138374	0.00390839	4.06554e-05	70.8858	0.96436	0.861626	0.996092	4.06554e-05
68	1.37758	1.55022	3.99552	4.18397	19.9119	0.037601	0.144884	0.00413969	4.30641e-05	70.3584	0.962399	0.855116	0.99586	4.30641e-05
69	1.38761	1.57866	4.16731	4.20229	20.2127	0.0397209	0.151929	0.00439277	4.56992e-05	69.8391	0.960279	0.848071	0.995607	4.56992e-05
70	1.39763	1.60917	4.35001	4.2178	20.4953	0.0420231	0.159546	0.0046714	4.85998e-05	69.3277	0.957977	0.840454	0.995329	4.85998e-05
71	1.40765	1.64202	4.54518	4.23024	20.7583	0.044536	0.167783	0.00498031	5.18153e-05	68.8242	0.955464	0.832217	0.99502	5.18153e-05
72	1.41765	1.67755	4.75469	4.23931	20.9999	0.0472942	0.1767	0.00532555	5.5408e-05	68.3285	0.952706	0.8233	0.994674	5.5408e-05
73	1.42764	1.71615	4.98085	4.24459	21.2179	0.0503408	0.186373	0.00571491	5.94588e-05	67.8405	0.949659	0.813627	0.994285	5.94588e-05
74	1.43762	1.75835	5.22648	4.24559	21.4096	0.0537296	0.196895	0.00615858	6.40733e-05	67.36	0.94627	0.803105	0.993841	6.40733e-05
75	1.44757	1.80475	5.49508	4.2417	21.5714	0.0575282	0.20838	0.00667014	6.9392e-05	66.887	0.942472	0.79162	0.99333	6.9392e-05
76	1.45751	1.85614	5.79105	4.23216	21.6992	0.061823	0.220967	0.00726797	7.56052e-05	66.4214	0.938177	0.779033	0.992732	7.56052e-05
77	1.46743	1.9135	6.1199	4.21597	21.7875	0.0667247	0.234828	0.00797749	8.29763e-05	65.9632	0.933275	0.765172	0.992023	8.29763e-05
78	1.47732	1.97805	6.48865	4.19192	21.8292	0.0723778	0.250171	0.00883461	9.1877e-05	65.5121	0.927622	0.749829	0.991165	9.1877e-05
79	1.48719	2.05139	6.90629	4.15842	21.8155	0.0789719	0.267257	0.00989136	0.000102847	65.0684	0.921028	0.732743	0.990109	0.000102847
80	1.49702	2.13553	7.38439	4.11346	21.7348	0.0867588	0.286404	0.0112251	0.000116689	64.6318	0.913241	0.713596	0.988775	0.000116689
81	1.50682	2.23308	7.93793	4.0544	21.5721	0.0960763	0.308009	0.012954	0.000134632	64.2025	0.903924	0.691991	0.987046	0.000134632
82	1.51658	2.3474	8.58638	3.97788	21.3079	0.107381	0.33256	0.0152638	0.000158618	63.7804	0.892619	0.66744	0.984736	0.000158618
83	1.52629	2.48283	9.35485	3.87954	20.9169	0.121294	0.360653	0.0184528	0.000191791	63.3659	0.878706	0.639347	0.981547	0.000191791
84	1.53592	2.64481	10.2754	3.75386	20.3668	0.138659	0.393005	0.0230083	0.00023936	62.9591	0.861341	0.606995	0.976992	0.00023936
85	1.54547	2.84007	11.3877	3.59406	19.6174	0.160613	0.430442	0.0297235	0.000310011	62.5608	0.839387	0.569558	0.970277	0.000310011
86	1.55488	3.07634	12.7381	3.39223	18.6215	0.188665	0.473844	0.0398506	0.000418053	62.1719	0.811335	0.526156	0.960149	0.000418053
87	1.56411	3.36147	14.3746	3.14027	17.3295	0.224734	0.523984	0.0552384	0.000586211	61.7941	0.775266	0.476016	0.944762	0.000586211
88	1.57306	3.70117	16.3343	2.83207	15.7022	0.271099	0.58119	0.0783368	0.000848662	61.4303	0.728901	0.41881	0.921663	0.000848662
89	1.58157	4.09468	18.6179	2.46776	13.7348	0.330128	0.644721	0.111953	0.00125415	61.0848	0.669872	0.355279	0.888047	0.00125415
90	1.58942	4.52847	21.1532	2.05992	11.4941	0.403623	0.711903	0.158722	0.00186992	60.7644	0.596377	0.288097	0.841278	0.00186992
91	1.5963	4.97066	23.7607	1.63908	9.1509	0.49169	0.777471	0.220366	0.00278779	60.4787	0.50831	0.222529	0.779634	0.00278779
92	1.60174	5.37324	26.1635	1.25135	6.97016	0.591283	0.834326	0.296926	0.00413363	60.2417	0.408717	0.165674	0.703074	0.00413363
93	1.60512	5.68888	28.0825	0.941365	5.21421	0.695024	0.876681	0.386395	0.00608238	60.0731	0.304976	0.123319	0.613605	0.00608238
94	1.60553	5.89437	29.3723	0.728607	4.00449	0.791159	0.903509	0.485169	0.00888427	60.0002	0.208841	0.096491	0.514831	0.00888427
95	1.60173	5.99635	30.0604	0.601236	3.28052	0.865877	0.918237	0.589112	0.0129065	60.0615	0.134123	0.081763	0.410888	0.0129065
96	1.59204	6.01414	30.2507	0.532634	2.89203	0.910571	0.925393	0.694336	0.0186762	60.3105	0.0894286	0.074607	0.305664	0.0186762
97	1.57423	5.9632	30.0264	0.49747	2.69349	0.929971	0.928288	0.797075	0.0268756	60.8194	0.0700287	0.0717124	0.202925	0.0268756
98	1.54572	5.84968	29.4167	0.477468	2.57919	0.935791	0.928724	0.89239	0.0381942	61.677	0.064209	0.0712759	0.10761	0.0381942
99	1.50433	5.67214	28.4058	0.462186	2.48801	0.935729	0.927471	0.967906	0.0528106	62.9719	0.0642713	0.0725293	0.0320938	0.0528106
100	1.4504	5.43191	26.9915	0.44727	2.39345	0.932649	0.924723	0.990041	0.0686213	64.7359	0.0673506	0.0752767	0.00995938	0.0686213
