Time	[cLc]	[cLm]	[cLn]	[cP7c]	[cP7m]	[cP7n]	[cP9c]	[cP9m]	[cP9n]	[cPn]	[cTc]	[cTm]	[cTn]	[cXc]	[cXm]	[cXn]	[cYc]	[cYm]	[cYn]
17	0.0820901	0.372284	0.472878	0.0471557	0.04581	1.42671	0.00487927	0.000388354	0.0046142	0.830368	0.936305	0.0887202	5.41055	2.83684	1.90279	15.9674	6.87906	0.524504	8.74696
18	0.0864648	0.367387	0.501682	0.0515895	0.0523934	1.51756	0.00487686	0.000527048	0.00460814	0.838163	0.839845	0.0788606	4.85327	2.70778	1.78574	15.2746	6.75172	0.659847	8.56759
19	0.0881244	0.348035	0.515176	0.0568027	0.0589795	1.64565	0.0049863	0.000677878	0.00470774	0.843673	0.753706	0.0896378	4.35459	2.51876	1.65636	14.2055	7.02947	0.840659	8.90178
20	0.0869506	0.318103	0.512031	0.0622399	0.0647327	1.79988	0.00519716	0.00081103	0.00490394	0.847576	0.678785	0.130708	3.91922	2.28762	1.52163	12.8684	7.7645	1.07429	9.81558
21	0.0832615	0.282481	0.493568	0.0673037	0.0689408	1.96487	0.00547749	0.000899705	0.00516719	0.850345	0.617555	0.235321	3.55979	2.0348	1.38785	11.3895	9.02234	1.36385	11.3926
22	0.0776633	0.24558	0.46303	0.0714692	0.0711718	2.12356	0.00578238	0.000930946	0.00545529	0.85231	0.576678	0.483539	3.31075	1.78131	1.26156	9.89829	10.8626	1.69463	13.7112
23	0.0708693	0.210616	0.424521	0.0743655	0.0713251	2.26005	0.00606688	0.000907907	0.00572556	0.853706	0.570742	1.00799	3.24963	1.54757	1.15151	8.51713	13.2679	2.00467	16.7563
24	0.0635618	0.179637	0.382125	0.0758061	0.0695848	2.36194	0.00629637	0.000844451	0.0059448	0.854699	0.621094	1.87738	3.49621	1.35373	1.0712	7.35984	16.0008	2.16623	20.2392
25	0.388709	4.47383	1.83889	0.0935573	0.112432	2.50893	0.00797831	0.0109448	0.00728586	0.147766	0.771511	2.84633	4.30203	1.22269	1.04444	6.5443	18.7415	2.19727	23.7479
26	0.609607	3.73086	3.36476	0.221778	0.379697	3.8503	0.0706223	0.200236	0.0616386	0.0210447	0.967424	3.39009	5.40304	1.1781	1.08974	6.19819	20.8177	1.89141	26.4457
27	0.666418	2.55422	3.90698	0.471754	0.800498	8.0656	0.391389	0.662588	0.35309	0.00286963	1.17518	3.59535	6.59003	1.22785	1.20299	6.37666	21.7832	1.48814	27.732
28	0.622573	1.64297	3.76166	0.775091	1.18745	15.421	1.05644	1.11467	0.970913	0.000388767	1.38046	3.71113	7.76739	1.36572	1.36961	7.05841	21.6835	1.11916	27.6487
29	0.532044	1.02428	3.27153	1.07183	1.43743	25.0425	1.94093	1.34979	1.80248	5.26219e-05	1.58162	3.81719	8.92154	1.58169	1.57493	8.19872	20.7526	0.824001	26.4912
30	0.429038	0.626643	2.66778	1.32916	1.53484	35.6751	2.85631	1.3622	2.66929	7.12181e-06	1.77595	3.84358	10.0403	1.86852	1.80722	9.76737	19.2495	0.602448	24.5914
31	0.332132	0.378835	2.0809	1.53517	1.51034	46.1661	3.66871	1.24387	3.44208	9.63846e-07	1.95075	3.62796	11.0587	2.22202	2.05552	11.7528	17.4002	0.442193	22.2405
32	0.249527	0.22732	1.57177	1.68998	1.40728	55.689	4.3229	1.07976	4.06621	1.30445e-07	2.0798	2.98944	11.8352	2.63739	2.30603	14.1426	15.3867	0.329781	19.6732
33	0.183294	0.135779	1.15913	1.79914	1.26387	63.7743	4.8144	0.914984	4.53624	0.340187	2.03936	1.92629	11.6924	3.09756	2.52587	16.8676	13.3371	0.246033	17.0564
34	0.132347	0.08088	0.839452	1.86974	1.10726	70.2391	5.16043	0.767111	4.86801	0.520095	1.9247	0.919839	11.0818	3.56321	2.68296	19.7134	11.3653	0.199081	14.5349
35	0.0943027	0.0481031	0.599533	1.90861	0.954079	75.091	5.38373	0.639737	5.08298	0.629759	1.76693	0.408317	10.1965	3.99256	2.76732	22.4185	9.56814	0.180054	12.2341
36	0.0665033	0.0285869	0.423579	1.9216	0.813046	78.4451	5.5061	0.53188	5.20183	0.700838	1.60044	0.187539	9.24552	4.34819	2.7816	24.7336	8.01018	0.183392	10.2372
37	0.0465189	0.0169856	0.296734	1.91356	0.687814	80.4663	5.54672	0.441277	5.24278	0.748466	1.43964	0.0884974	8.32096	4.60177	2.73577	26.4586	6.73011	0.206204	8.59429
38	0.0323303	0.0100962	0.20648	1.88847	0.579078	81.3336	5.52189	0.365515	5.22135	0.781026	1.29006	0.0446047	7.45837	4.73502	2.64178	27.4573	5.74753	0.248073	7.33037
39	0.0223534	0.00600786	0.142906	1.84953	0.485996	81.2205	5.44535	0.302362	5.15059	0.80357	1.15345	0.0255619	6.66947	4.73951	2.51147	27.6583	5.07024	0.310748	6.45519
40	0.015391	0.00358318	0.0984772	1.79939	0.407032	80.2857	5.32853	0.249847	5.04141	0.819313	1.02989	0.0179152	5.95541	4.61628	2.35565	27.0538	4.70205	0.397997	5.97307
41	0.0105617	0.00214624	0.0676238	1.74024	0.340432	78.67	5.18095	0.206264	4.90284	0.830368	0.918795	0.0163715	5.31305	4.3752	2.18374	25.6963	4.65074	0.515629	5.89326
42	0.00722822	0.00129571	0.0463064	1.67389	0.284472	76.4955	5.01048	0.170154	4.74238	0.838163	0.819402	0.0201366	4.73808	4.03423	2.0037	23.6934	4.9361	0.671588	6.24013
43	0.00493656	0.000793373	0.031639	1.60186	0.237566	73.8678	4.8236	0.140277	4.56621	0.843673	0.731129	0.0329029	4.22695	3.61832	1.82209	21.2009	5.59751	0.87589	7.06294
44	0.00336641	0.000497844	0.0215823	1.52545	0.198312	70.8771	4.62561	0.115584	4.37937	0.847576	0.654082	0.0679065	3.7796	3.15796	1.6443	18.4128	6.70032	1.13964	8.44422
45	0.0022937	0.000325155	0.0147072	1.44575	0.165496	67.6009	4.42082	0.0951966	4.18597	0.850345	0.590361	0.164672	3.40617	2.6868	1.47504	15.5447	8.33698	1.47052	10.5016
46	0.00156269	0.000225347	0.0100194	1.36371	0.138083	64.1058	4.21275	0.0783765	3.98935	0.85231	0.54746	0.427681	3.14469	2.23862	1.3195	12.8127	10.6057	1.85615	13.3626
47	0.00106565	0.000168651	0.00683039	1.28016	0.115193	60.449	4.00419	0.0645089	3.79219	0.853706	0.544022	1.04457	3.09333	1.84431	1.18604	10.4089	13.518	2.22058	17.0509
48	0.000728406	0.000137456	0.00466554	1.19582	0.0960865	56.6807	3.79737	0.0530817	3.5966	0.854699	0.607985	2.09523	3.40932	1.53056	1.08977	8.48777	16.7907	2.3914	21.2244
49	0.330979	4.29604	1.49357	1.12237	0.109586	52.8941	3.59448	0.0472624	3.40458	0.147766	0.785536	3.26454	4.36145	1.32203	1.05776	7.17348	19.9671	2.36739	25.2982
50	0.554245	3.56331	3.033	1.14433	0.320096	50.1086	3.43179	0.160018	3.24751	0.0210448	1.01955	3.93645	5.67544	1.2394	1.11139	6.56917	22.2628	1.97777	28.2875
51	0.614437	2.42108	3.59187	1.28649	0.681842	50.195	3.4601	0.497296	3.26517	0.00286964	1.26902	4.19066	7.10027	1.28396	1.2461	6.6865	23.2471	1.50934	29.6056
52	0.57627	1.54922	3.47728	1.49274	1.0222	53.7212	3.76449	0.842446	3.544	0.000388765	1.51539	4.31971	8.51384	1.44197	1.444	7.45923	23.0363	1.10086	29.3849
53	0.492957	0.962715	3.02888	1.70738	1.24392	59.8928	4.2541	1.01941	4.00282	5.26216e-05	1.75598	4.4341	9.89479	1.698	1.68675	8.81264	21.9275	0.785755	28.0018
54	0.397519	0.587761	2.47056	1.89691	1.33125	67.419	4.78035	1.02373	4.50107	7.12178e-06	1.98859	4.477	11.2333	2.04236	1.95978	10.7049	20.222	0.556677	25.8436
55	0.307647	0.354853	1.9268	2.04734	1.31108	75.117	5.23819	0.929706	4.93721	9.63842e-07	2.20117	4.27979	12.4685	2.47087	2.25048	13.127	18.1713	0.39568	23.2345
56	0.231062	0.212744	1.45506	2.15658	1.22179	82.1498	5.5846	0.803052	5.26874	1.30444e-07	2.36612	3.62075	13.4529	2.98043	2.5444	16.0788	15.9698	0.285362	20.426
57	0.169691	0.126998	1.07288	2.22822	1.09712	88.0399	5.81586	0.677545	5.49118	0.340187	2.34081	2.4037	13.4101	3.55609	2.80758	19.5063	13.7539	0.206157	17.5954
58	0.122509	0.0756176	0.776918	2.26773	0.960927	92.5892	5.94474	0.565898	5.61628	0.520095	2.22103	1.10293	12.7852	4.15849	3.00521	23.1982	11.6357	0.160307	14.8861
59	0.0872879	0.0449579	0.554862	2.28059	0.827745	95.7815	5.98814	0.470394	5.66	0.629759	2.04117	0.444264	11.78	4.74144	3.123	26.8696	9.70472	0.138988	12.414
60	0.0615569	0.0267091	0.392031	2.27164	0.705183	97.7037	5.96227	0.389992	5.63772	0.700838	1.8494	0.191203	10.6846	5.25961	3.16138	30.2217	8.01966	0.136584	10.255
61	0.0430609	0.0158641	0.274653	2.24492	0.596405	98.4908	5.88133	0.322787	5.56291	0.748466	1.66417	0.0835177	9.61939	5.67574	3.13043	32.996	6.61349	0.149839	8.45163
62	0.029929	0.00942539	0.191131	2.20375	0.501998	98.293	5.75733	0.266829	5.44702	0.781026	1.4919	0.0378028	8.6258	5.96238	3.04278	34.9949	5.49955	0.177689	7.02112
63	0.0206946	0.00560527	0.132294	2.15085	0.421216	97.2572	5.60032	0.220352	5.29961	0.80357	1.33452	0.0186917	7.71684	6.10196	2.91109	36.0859	4.67792	0.220914	5.96338
64	0.0142499	0.00334022	0.091172	2.08845	0.352712	95.5188	5.41864	0.181821	5.12862	0.819313	1.19203	0.0108377	6.89331	6.08655	2.74713	36.2011	4.14234	0.281945	5.27002
65	0.0097791	0.00199834	0.0626114	2.01841	0.294953	93.1978	5.21918	0.149926	4.94059	0.830368	1.06365	0.00794999	6.15113	5.91756	2.56135	35.3358	3.88728	0.364856	4.93339
66	0.00669286	0.0012045	0.042876	1.94226	0.246435	90.3989	5.00759	0.123556	4.74092	0.838163	0.948383	0.00781911	5.48459	5.60532	2.36279	33.5456	3.91483	0.475488	4.95542
67	0.00457098	0.000736144	0.0292957	1.86131	0.205777	87.2124	4.78847	0.101777	4.534	0.843673	0.845211	0.0104894	4.88783	5.16856	2.159	30.9438	4.24131	0.621672	5.3561
68	0.00311708	0.000461246	0.0199838	1.77665	0.171758	83.7155	4.56558	0.083804	4.32338	0.847576	0.753299	0.0186433	4.35589	4.63391	1.95621	27.6974	4.9036	0.813376	6.1815
69	0.00212382	0.000301486	0.0136179	1.68921	0.143325	79.9746	4.34191	0.0689828	4.11195	0.850345	0.672321	0.0413649	3.88643	4.03505	1.7594	24.0216	5.96516	1.06233	7.51161
70	0.00144703	0.000210327	0.00927767	1.5998	0.119575	76.0465	4.11989	0.0567677	3.90199	0.85231	0.603381	0.106764	3.48442	3.41132	1.57275	20.1707	7.51956	1.37939	9.46515
71	0.000987037	0.000159983	0.00632599	1.50912	0.0997473	71.9803	3.90139	0.0467053	3.69531	0.853706	0.551676	0.296003	3.17578	2.80522	1.40049	16.4197	9.68044	1.76322	12.188
72	0.000675144	0.000133692	0.00432347	1.41777	0.0831989	67.8184	3.6879	0.0384196	3.49331	0.854699	0.532314	0.788304	3.03874	2.2587	1.24913	13.0371	12.5179	2.16416	15.7761
73	0.330943	4.29604	1.49334	1.33734	0.0988193	63.6477	3.48097	0.0351884	3.29739	0.147766	0.598995	1.72908	3.3653	1.81122	1.13609	10.2593	16.1734	2.62102	20.4059
74	0.55422	3.56331	3.03284	1.35231	0.311075	60.4842	3.31632	0.150031	3.1384	0.0210448	0.738002	2.69871	4.11649	1.49706	1.08446	8.2783	19.9511	2.58207	25.2518
75	0.614419	2.42108	3.59175	1.48764	0.674267	60.2076	3.34423	0.488938	3.15563	0.00286964	0.930126	3.39249	5.18811	1.33075	1.10705	7.16795	22.8078	2.20318	28.9589
76	0.576255	1.5492	3.47719	1.68762	1.01582	63.4036	3.64925	0.835365	3.43504	0.000388768	1.15487	3.92163	6.45637	1.30494	1.20424	6.8761	24.3178	1.72379	30.9522
77	0.492945	0.962699	3.02881	1.89681	1.23854	69.2894	4.14016	1.01337	3.89507	5.26218e-05	1.40394	4.4071	7.86717	1.40223	1.36892	7.29724	24.5351	1.28019	31.2844
78	0.39751	0.587745	2.4705	2.08175	1.32672	76.5745	4.66817	1.01857	4.39496	7.12179e-06	1.67443	4.869	9.40253	1.60827	1.59199	8.35078	23.7172	0.920474	30.2795
79	0.307639	0.354839	1.92675	2.22829	1.30726	84.0686	5.12809	0.925311	4.83307	9.63841e-07	1.96103	5.24069	11.0353	1.91688	1.86396	10.0109	22.1619	0.649125	28.3188
80	0.231055	0.212731	1.45502	2.33419	1.21857	90.9262	5.4769	0.799325	5.16685	1.30444e-07	2.25027	5.3839	12.6949	2.32869	2.17394	12.298	20.1394	0.453608	25.7501
81	0.169686	0.126988	1.07284	2.40289	1.09441	96.6626	5.71082	0.674399	5.39179	0.340187	2.41331	5.09001	13.6912	2.84085	2.49386	15.2313	17.8599	0.310903	22.8456
82	0.122505	0.0756093	0.776891	2.43976	0.958649	101.074	5.84257	0.563253	5.51961	0.520095	2.51437	4.11432	14.325	3.43651	2.79516	18.7399	15.4997	0.218491	19.8316
83	0.0872842	0.0449512	0.554839	2.45018	0.825832	104.14	5.88905	0.468177	5.56623	0.629759	2.4977	2.4361	14.3149	4.09525	3.05742	22.7166	13.1979	0.160621	16.8883
84	0.0615539	0.0267037	0.392013	2.43894	0.703579	105.944	5.86641	0.388141	5.54698	0.700838	2.35283	0.915288	13.5567	4.78236	3.25323	26.9691	11.0526	0.127744	14.1427
85	0.0430585	0.0158597	0.274638	2.41003	0.59506	106.619	5.7888	0.321245	5.47533	0.748466	2.15024	0.343108	12.4158	5.44892	3.36442	31.1996	9.13188	0.114063	11.6829
86	0.0299271	0.00942162	0.191119	2.36673	0.500873	106.312	5.66823	0.265548	5.36268	0.781026	1.94318	0.143018	11.2293	6.04613	3.39351	35.0842	7.47874	0.115456	9.56441
87	0.020693	0.00560199	0.132284	2.31174	0.420275	105.171	5.5147	0.219289	5.21855	0.80357	1.74655	0.0602897	10.0969	6.53416	3.35204	38.3454	6.11392	0.129593	7.81399
88	0.0142485	0.00333728	0.0911638	2.24726	0.351924	103.327	5.33653	0.180941	5.05088	0.819313	1.56508	0.026334	9.04953	6.8831	3.25313	40.7689	5.04108	0.155935	6.43638
89	0.00977797	0.00199565	0.0626046	2.17512	0.294295	100.901	5.14058	0.149198	4.86617	0.830368	1.39986	0.0125739	8.09491	7.07292	3.10962	42.2059	4.25277	0.195459	5.42182
90	0.00669189	0.00120202	0.0428701	2.09685	0.245885	97.9953	4.93247	0.122954	4.6698	0.838163	1.25045	0.00705239	7.2313	7.09318	2.93335	42.5722	3.73679	0.250523	4.75432
91	0.00457013	0.000733896	0.0292906	2.01372	0.205318	94.7001	4.71681	0.10128	4.46614	0.843673	1.11587	0.00502157	6.45327	6.94273	2.73484	41.8459	3.48271	0.324904	4.42
92	0.00311635	0.00045937	0.0199793	1.92682	0.171375	91.0915	4.49731	0.083394	4.25874	0.847576	0.995	0.00482019	5.75432	6.62935	2.52324	40.0659	3.48806	0.423951	4.41499
93	0.0021232	0.000300281	0.0136141	1.83705	0.143005	87.2349	4.27698	0.0686448	4.05046	0.850345	0.886696	0.00635318	5.12794	6.16935	2.30626	37.329	3.76398	0.554832	4.75271
94	0.00144659	0.000210357	0.00927481	1.7452	0.119308	83.1861	4.05821	0.0564892	3.84358	0.85231	0.789969	0.0111678	4.56834	5.58725	2.09026	33.7879	4.34076	0.726794	5.47089
95	0.000986865	0.000162202	0.00632457	1.65196	0.0995244	78.9933	3.84289	0.046476	3.6399	0.853706	0.704164	0.0246615	4.07144	4.91537	1.88034	29.6484	5.27345	0.951185	6.63878
96	0.000675424	0.000139546	0.00432442	1.55792	0.0830129	74.6981	3.63247	0.0382308	3.44081	0.854699	0.629522	0.0638866	3.63778	4.19326	1.68062	25.1658	6.64692	1.24027	8.36374
97	0.330944	4.29605	1.49334	1.47463	0.0986644	70.3861	3.42851	0.0350331	3.2477	0.147766	0.597327	0.189361	3.43443	3.46882	1.50025	20.6447	8.79187	1.74739	11.0514
98	0.554222	3.56333	3.03285	1.48657	0.310948	67.0737	3.26674	0.149905	3.09143	0.0210447	0.584788	0.53831	3.34438	2.7973	1.3472	16.439	11.7519	2.16827	14.7938
99	0.614423	2.4211	3.59177	1.61884	0.674163	66.6459	3.29738	0.488839	3.11126	0.00286964	0.615295	1.21455	3.48562	2.22806	1.22782	12.8659	15.1896	2.42838	19.168
100	0.576261	1.54923	3.47722	1.81591	1.01574	69.6987	3.60499	0.835292	3.39311	0.000388769	0.707129	2.098	3.96957	1.79845	1.15518	10.1524	18.5915	2.43089	23.5276
