Time	[L]	[PCNA]	[PCNAon]	[Rad18:Rad18]	[Rad18]	[Rad6]	[Rad6U]	[U]	[Rad18:Rad18:PCNAon]	[Rad18:Rad18:PCNAon:Rad6U]	[Rad18:Rad18:PCNAonU]	[PCNAonU]	[Rad5]	[Rad5:PCNAonU]	[Ubc13U:Mms2]	[Ubc13U:Mms2:Rad5:PCNAonU]	[Rad5:PCNAonU:U]	[Ubc13:Mms2]	[PCNAonU:U]	[Ubc13U:Mms2:Rad5:PCNAonU:U]	[Rad5:PCNAonU:U:U]	[PCNAonU:U:U]	[PCNAoff]
53	995.067	7474.07	0.00794851	0.382356	195.556	174.441	15.0676	8484.26	0.303804	4.49151	0.0441978	0.966738	1519.88	0.000486912	192.885	0.0715458	0.000236946	4.47491e-12	2.11672e-08	0.0438672	0.00210718	8.34433e-05	3.37278e-06
54	994.956	7473.96	0.00785376	0.381836	195.423	174.116	15.3216	8483.89	0.299773	4.56192	0.0449107	1.00381	1519.87	0.000505632	192.877	0.0753401	0.000249544	4.71894e-12	2.28067e-08	0.0472985	0.00232395	9.40711e-05	3.84572e-06
55	994.844	7473.84	0.00776236	0.381322	195.291	173.793	15.575	8483.52	0.295884	4.63147	0.0456149	1.0413	1519.87	0.00052457	192.87	0.0792253	0.000262447	4.96938e-12	2.45277e-08	0.0509039	0.00255719	0.000105768	4.37555e-06
56	994.733	7473.73	0.0076741	0.380814	195.161	173.472	15.8279	8483.14	0.292129	4.70018	0.0463105	1.07921	1519.86	0.000543718	192.862	0.0832002	0.000275649	5.22618e-12	2.63319e-08	0.0546871	0.00280768	0.000118612	4.96783e-06
57	994.621	7473.62	0.00758881	0.380312	195.032	173.152	16.0803	8482.77	0.2885	4.76806	0.0469976	1.11752	1519.85	0.000563072	192.854	0.0872634	0.000289147	5.48928e-12	2.82206e-08	0.0586515	0.00307625	0.000132687	5.62852e-06
58	994.51	7473.51	0.00750632	0.379815	194.905	172.833	16.332	8482.4	0.28499	4.83513	0.0476765	1.15623	1519.84	0.000582625	192.846	0.0914135	0.000302935	5.75861e-12	3.01955e-08	0.0628007	0.00336371	0.000148077	6.36399e-06
59	994.398	7473.4	0.00742649	0.379325	194.779	172.515	16.5832	8482.03	0.281594	4.9014	0.0483473	1.19531	1519.83	0.000602373	192.837	0.0956492	0.00031701	6.03411e-12	3.22579e-08	0.0671381	0.0036709	0.000164873	7.18106e-06
60	994.287	7473.29	0.00734918	0.378839	194.654	172.199	16.8339	8481.66	0.278304	4.96689	0.0490101	1.23476	1519.82	0.000622309	192.828	0.0999691	0.000331367	6.31573e-12	3.44092e-08	0.0716669	0.00399867	0.000183169	8.087e-06
61	994.175	7473.18	0.00727425	0.37836	194.53	171.884	17.084	8481.29	0.275117	5.03162	0.049665	1.27456	1519.81	0.000642429	192.819	0.104372	0.000346	6.6034e-12	3.66508e-08	0.0763904	0.00434787	0.000203061	9.08955e-06
62	994.064	7473.06	0.00720159	0.377886	194.408	171.571	17.3335	8480.92	0.272026	5.09558	0.0503123	1.31472	1519.8	0.000662727	192.81	0.108856	0.000360907	6.89706e-12	3.8984e-08	0.0813117	0.00471939	0.000224652	1.0197e-05
63	993.953	7472.95	0.00713108	0.377417	194.288	171.259	17.5824	8480.55	0.269027	5.1588	0.050952	1.35521	1519.79	0.000683199	192.8	0.113419	0.000376081	7.19663e-12	4.141e-08	0.0864338	0.00511409	0.000248044	1.1418e-05
64	993.841	7472.84	0.00706262	0.376953	194.168	170.948	17.8308	8480.18	0.266116	5.22129	0.0515843	1.39603	1519.78	0.000703838	192.79	0.118062	0.000391518	7.50206e-12	4.393e-08	0.0917596	0.00553288	0.000273349	1.2762e-05
65	993.73	7472.73	0.00699611	0.376495	194.05	170.638	18.0786	8479.81	0.263288	5.28305	0.0522092	1.43717	1519.77	0.000724642	192.78	0.122781	0.000407214	7.81327e-12	4.65452e-08	0.0972921	0.00597666	0.000300678	1.42387e-05
66	993.618	7472.62	0.00693145	0.376042	193.933	170.33	18.3258	8479.44	0.26054	5.34411	0.052827	1.47861	1519.76	0.000745603	192.769	0.127576	0.000423164	8.1302e-12	4.92567e-08	0.103034	0.00644635	0.000330149	1.58586e-05
