Time	[Ca_Cyt]	[IP3_Cyt]	[Ca_ER]	[S2]	[S2a]	[S4]	[Oc]	[O_o]	[Orai1]	Values[h]
87	0.0585833	0.783997	10.517	0.0984464	0.0660001	0.109737	0.00022574	1.77696e-05	2.59635e-05	0.858576
88	0.0593434	0.780353	10.7532	0.0953071	0.0638771	0.104848	0.000226154	1.73573e-05	2.59545e-05	0.861225
89	0.0600962	0.777244	10.9796	0.0924196	0.0619251	0.100311	0.000226542	1.69711e-05	2.59461e-05	0.863041
90	0.0608584	0.774625	11.1967	0.0897594	0.0601272	0.0961015	0.000226906	1.66091e-05	2.59382e-05	0.864193
91	0.0616503	0.772456	11.4047	0.0873058	0.0584692	0.0921977	0.000227248	1.62698e-05	2.59308e-05	0.864808
92	0.0624967	0.770704	11.6037	0.0850419	0.0569394	0.0885799	0.000227567	1.59518e-05	2.59239e-05	0.86498
93	0.0634292	0.769342	11.7936	0.082954	0.0555284	0.0852306	0.000227867	1.56541e-05	2.59174e-05	0.864774
94	0.0644905	0.768357	11.9742	0.0810321	0.054229	0.0821351	0.000228146	1.53758e-05	2.59114e-05	0.864227
95	0.0657431	0.767747	12.1449	0.0792702	0.0530367	0.0792825	0.000228407	1.51167e-05	2.59057e-05	0.863348
96	0.0672873	0.767535	12.3048	0.0776678	0.0519506	0.0766664	0.000228648	1.48768e-05	2.59005e-05	0.862115
97	0.069307	0.767776	12.4517	0.076234	0.0509753	0.0742882	0.000228869	1.46572e-05	2.58958e-05	0.860458
98	0.0721989	0.768606	12.5816	0.0749981	0.0501275	0.072164	0.000229067	1.44605e-05	2.58915e-05	0.85822
99	0.0770696	0.77037	12.6835	0.0740487	0.0494566	0.0703458	0.000229234	1.42939e-05	2.58878e-05	0.855014
100	0.088959	0.774307	12.7153	0.0737686	0.0491607	0.0690227	0.000229348	1.4181e-05	2.58853e-05	0.849595
