Time	[GTPgS_C]	[KCNQsites_M]	[PIP2_M]	[GGDPbS_M]	[Mg2_C]	[ATP_C]	[oxoM_EX]	[GDPbS_C]	[GGTPMg_M]	[GDP_C]	[GTP_C]	[GGDPAIF4Mg_M]	[IP3_C]	[AIF4_C]	[G_M]	[GGTP_M]	[GGDPAIF4_M]	[GGTPgS_M]	[PI_M]	[PIP_M]	[PIP2xKCNQ_M]	[GGTPgSMg_M]	[GGDP_M]
32	0	21.0355	940.352	0	2100	2998.2	0	0	0.111639	0.240647	96.5832	0	0.019905	0	0.00466449	0.0317759	0	0	199524	504.112	18.9645	0	200.065
33	0	20.8373	956.582	0	2100	2998.16	0	0	0.111639	0.240847	96.6116	0	0.0198597	0	0.00466312	0.0317759	0	0	199509	496.576	19.1627	0	200.065
34	0	20.6502	972.25	0	2100	2998.12	0	0	0.111639	0.241046	96.6397	0	0.0199123	0	0.00466176	0.0317759	0	0	199495	489.514	19.3498	0	200.065
35	0	20.4733	987.384	0	2100	2998.08	0	0	0.111639	0.241246	96.6676	0	0.0200343	0	0.00466041	0.0317759	0	0	199480	482.897	19.5267	0	200.065
36	0	20.3058	1002.01	0	2100	2998.04	0	0	0.111639	0.241445	96.6953	0	0.020205	0	0.00465908	0.0317759	0	0	199465	476.699	19.6942	0	200.065
37	0	20.1469	1016.17	0	2100	2998	0	0	0.111639	0.241645	96.7227	0	0.020409	0	0.00465776	0.0317759	0	0	199450	470.896	19.8531	0	200.065
38	0	19.9959	1029.86	0	2100	2997.96	0	0	0.111639	0.241844	96.7499	0	0.0206352	0	0.00465645	0.0317759	0	0	199435	465.465	20.0041	0	200.065
39	0	19.8522	1043.14	0	2100	2997.92	0	0	0.111639	0.242044	96.7769	0	0.0208754	0	0.00465515	0.0317759	0	0	199420	460.384	20.1478	0	200.065
40	0	19.7153	1056	0	2100	2997.88	0	0	0.111639	0.242243	96.8036	0	0.0211237	0	0.00465387	0.0317759	0	0	199405	455.632	20.2847	0	200.065
41	0	19.5847	1068.48	0	2100	2997.84	0	0	0.111639	0.242443	96.8301	0	0.021376	0	0.00465259	0.0317759	0	0	199391	451.191	20.4153	0	200.065
42	0	19.4599	1080.6	0	2100	2997.8	0	0	0.111639	0.242642	96.8564	0	0.021629	0	0.00465133	0.0317758	0	0	199376	447.042	20.5401	0	200.065
43	0	19.3405	1092.37	0	2100	2997.76	0	0	0.111639	0.242842	96.8825	0	0.0218808	0	0.00465007	0.0317758	0	0	199361	443.168	20.6595	0	200.065
44	0	19.2261	1103.81	0	2100	2997.72	0	0	0.111639	0.243041	96.9084	0	0.0221298	0	0.00464883	0.0317758	0	0	199346	439.554	20.7739	0	200.065
45	0	19.1164	1114.94	0	2100	2997.68	0	0	0.111639	0.243241	96.9341	0	0.022375	0	0.0046476	0.0317758	0	0	199331	436.183	20.8836	0	200.065
46	0	19.011	1125.77	0	2100	2997.65	0	0	0.111639	0.243441	96.9595	0	0.0226158	0	0.00464638	0.0317758	0	0	199316	433.041	20.989	0	200.065
47	0	18.9097	1136.33	0	2100	2997.61	0	0	0.111639	0.24364	96.9847	0	0.0228518	0	0.00464517	0.0317758	0	0	199302	430.115	21.0903	0	200.065
48	0	18.8122	1146.62	0	2100	2997.57	0	0	0.111639	0.24384	97.0097	0	0.0230827	0	0.00464397	0.0317758	0	0	199287	427.393	21.1878	0	200.065
49	0	18.7183	1156.65	0	2100	2997.53	0	0	0.111639	0.244039	97.0346	0	0.0233085	0	0.00464279	0.0317758	0	0	199272	424.862	21.2817	0	200.065
50	0	18.6277	1166.45	0	2100	2997.49	0	0	0.111639	0.244239	97.0592	0	0.0235291	0	0.00464161	0.0317758	0	0	199257	422.511	21.3723	0	200.065
51	0	18.5402	1176.02	0	2100	2997.46	0	0	0.111639	0.244438	97.0836	0	0.0237447	0	0.00464044	0.0317758	0	0	199242	420.33	21.4598	0	200.065
52	0	18.4557	1185.37	0	2100	2997.42	0	0	0.111639	0.244638	97.1078	0	0.0239553	0	0.00463928	0.0317758	0	0	199227	418.307	21.5443	0	200.065
53	0	18.3739	1194.51	0	2100	2997.38	0	0	0.111639	0.244837	97.1318	0	0.0241612	0	0.00463814	0.0317758	0	0	199213	416.435	21.6261	0	200.065
54	0	18.2948	1203.46	0	2100	2997.35	0	0	0.111639	0.245037	97.1556	0	0.0243624	0	0.004637	0.0317758	0	0	199198	414.705	21.7052	0	200.065
55	0	18.218	1212.22	0	2100	2997.31	0	0	0.111639	0.245236	97.1792	0	0.0245591	0	0.00463588	0.0317758	0	0	199183	413.107	21.782	0	200.065
56	0	18.1436	1220.8	0	2100	2997.27	0	0	0.111639	0.245436	97.2026	0	0.0247515	0	0.00463476	0.0317758	0	0	199168	411.633	21.8564	0	200.065
57	0	18.0713	1229.22	0	2100	2997.23	0	0	0.111639	0.245635	97.2258	0	0.0249398	0	0.00463365	0.0317758	0	0	199153	410.278	21.9287	0	200.065
58	0	18.0011	1237.47	0	2100	2997.2	0	0	0.111639	0.245835	97.2488	0	0.0251242	0	0.00463255	0.0317758	0	0	199139	409.033	21.9989	0	200.065
59	0	17.9328	1245.56	0	2100	2997.16	0	0	0.111639	0.246034	97.2717	0	0.0253048	0	0.00463147	0.0317758	0	0	199124	407.891	22.0672	0	200.065
60	0	17.8664	1253.51	0	2100	2997.12	0	0	0.111639	0.246234	97.2943	0	0.0254818	0	0.00463039	0.0317758	0	0	199109	406.848	22.1336	0	200.065
61	0	17.8017	1261.32	0	2100	2997.09	0	0	0.111639	0.246433	97.3168	0	0.0256553	0	0.00462932	0.0317758	0	0	199094	405.896	22.1983	0	200.065
62	0	17.7387	1268.99	0	2100	2997.05	0	0	0.111639	0.246633	97.339	0	0.0258256	0	0.00462826	0.0317758	0	0	199079	405.031	22.2613	0	200.065
63	0	17.6772	1276.54	0	2100	2997.01	0	0	0.111639	0.246832	97.3611	0	0.0259927	0	0.00462721	0.0317758	0	0	199064	404.247	22.3228	0	200.065
64	0	17.6172	1283.96	0	2100	2996.98	0	0	0.111639	0.247032	97.383	0	0.0261568	0	0.00462617	0.0317758	0	0	199050	403.539	22.3828	0	200.065
65	0	17.5587	1291.26	0	2100	2996.94	0	0	0.111639	0.247232	97.4047	0	0.026318	0	0.00462514	0.0317758	0	0	199035	402.903	22.4413	0	200.065
66	0	17.5014	1298.46	0	2100	2996.9	0	0	0.111639	0.247431	97.4263	0	0.0264764	0	0.00462412	0.0317758	0	0	199020	402.334	22.4986	0	200.065
67	0	17.4455	1305.54	0	2100	2996.87	0	0	0.111639	0.247631	97.4476	0	0.0266323	0	0.0046231	0.0317758	0	0	199005	401.828	22.5545	0	200.065
68	0	17.3908	1312.52	0	2100	2996.83	0	0	0.111639	0.24783	97.4688	0	0.0267856	0	0.0046221	0.0317758	0	0	198990	401.382	22.6092	0	200.065
69	0	17.3372	1319.4	0	2100	2996.79	0	0	0.111639	0.24803	97.4898	0	0.0269365	0	0.0046211	0.0317758	0	0	198976	400.992	22.6628	0	200.065
70	0	17.2848	1326.19	0	2100	2996.76	0	0	0.111639	0.248229	97.5106	0	0.0270851	0	0.00462011	0.0317758	0	0	198961	400.654	22.7152	0	200.065
71	0	17.2334	1332.88	0	2100	2996.72	0	0	0.111639	0.248429	97.5313	0	0.0272315	0	0.00461913	0.0317758	0	0	198946	400.366	22.7666	0	200.065
72	0	17.183	1339.49	0	2100	2996.69	0	0	0.111639	0.248628	97.5518	0	0.0273758	0	0.00461816	0.0317758	0	0	198931	400.123	22.817	0	200.065
73	0	17.1336	1346.01	0	2100	2996.65	0	0	0.111639	0.248828	97.5721	0	0.027518	0	0.0046172	0.0317758	0	0	198916	399.924	22.8664	0	200.065
74	0	17.0852	1352.45	0	2100	2996.61	0	0	0.111639	0.249027	97.5923	0	0.0276583	0	0.00461625	0.0317758	0	0	198902	399.766	22.9148	0	200.065
75	0	17.0376	1358.81	0	2100	2996.58	0	0	0.111639	0.249227	97.6122	0	0.0277967	0	0.0046153	0.0317758	0	0	198887	399.645	22.9624	0	200.065
76	0	16.9909	1365.1	0	2100	2996.54	0	0	0.111639	0.249426	97.6321	0	0.0279332	0	0.00461437	0.0317758	0	0	198872	399.561	23.0091	0	200.065
77	0	16.945	1371.31	0	2100	2996.5	0	0	0.111639	0.249626	97.6517	0	0.0280681	0	0.00461344	0.0317758	0	0	198857	399.51	23.055	0	200.065
78	0	16.9	1377.45	0	2100	2996.47	0	0	0.111639	0.249825	97.6712	0	0.0282013	0	0.00461252	0.0317758	0	0	198842	399.49	23.1	0	200.065
79	0	16.8556	1383.52	0	2100	2996.43	0	0	0.111639	0.250025	97.6905	0	0.0283328	0	0.0046116	0.0317758	0	0	198828	399.5	23.1444	0	200.065
80	0	16.812	1389.53	0	2100	2996.4	0	0	0.111639	0.250224	97.7097	0	0.0284628	0	0.0046107	0.0317758	0	0	198813	399.537	23.188	0	200.065
81	0	16.7692	1395.48	0	2100	2996.36	0	0	0.111639	0.250424	97.7287	0	0.0285913	0	0.0046098	0.0317758	0	0	198798	399.6	23.2308	0	200.065
82	0	16.727	1401.36	0	2100	2996.32	0	0	0.111639	0.250623	97.7475	0	0.0287183	0	0.00460891	0.0317758	0	0	198783	399.687	23.273	0	200.065
83	0	16.6854	1407.18	0	2100	2996.29	0	0	0.111639	0.250823	97.7662	0	0.028844	0	0.00460803	0.0317758	0	0	198768	399.796	23.3146	0	200.065
84	0	16.6445	1412.95	0	2100	2996.25	0	0	0.111639	0.251023	97.7848	0	0.0289683	0	0.00460716	0.0317758	0	0	198754	399.927	23.3555	0	200.065
85	0	16.6043	1418.65	0	2100	2996.21	0	0	0.111639	0.251222	97.8032	0	0.0290913	0	0.00460629	0.0317758	0	0	198739	400.077	23.3957	0	200.065
86	0	16.5646	1424.31	0	2100	2996.18	0	0	0.111639	0.251422	97.8214	0	0.029213	0	0.00460543	0.0317758	0	0	198724	400.246	23.4354	0	200.065
87	0	16.5254	1429.91	0	2100	2996.14	0	0	0.111638	0.251621	97.8395	0	0.0293335	0	0.00460458	0.0317758	0	0	198709	400.432	23.4746	0	200.065
88	0	16.4869	1435.46	0	2100	2996.1	0	0	0.111638	0.251821	97.8574	0	0.0294527	0	0.00460374	0.0317758	0	0	198694	400.633	23.5131	0	200.065
89	0	16.4489	1440.96	0	2100	2996.07	0	0	0.111638	0.25202	97.8752	0	0.0295709	0	0.0046029	0.0317758	0	0	198680	400.85	23.5511	0	200.065
90	0	16.4114	1446.41	0	2100	2996.03	0	0	0.111638	0.25222	97.8928	0	0.0296879	0	0.00460207	0.0317758	0	0	198665	401.081	23.5886	0	200.065
91	0	16.3744	1451.81	0	2100	2996	0	0	0.111638	0.252419	97.9103	0	0.0298038	0	0.00460125	0.0317758	0	0	198650	401.324	23.6256	0	200.065
92	0	16.3379	1457.17	0	2100	2995.96	0	0	0.111638	0.252619	97.9276	0	0.0299186	0	0.00460044	0.0317758	0	0	198635	401.58	23.6621	0	200.065
93	0	16.3019	1462.48	0	2100	2995.92	0	0	0.111638	0.252818	97.9448	0	0.0300325	0	0.00459963	0.0317758	0	0	198621	401.847	23.6981	0	200.065
94	0	16.2664	1467.74	0	2100	2995.89	0	0	0.111638	0.253018	97.9619	0	0.0301453	0	0.00459883	0.0317758	0	0	198606	402.124	23.7336	0	200.065
95	0	16.2313	1472.97	0	2100	2995.85	0	0	0.111638	0.253217	97.9788	0	0.0302571	0	0.00459803	0.0317758	0	0	198591	402.41	23.7687	0	200.065
96	0	16.1966	1478.15	0	2100	2995.81	0	0	0.111638	0.253417	97.9956	0	0.030368	0	0.00459725	0.0317758	0	0	198576	402.706	23.8034	0	200.065
97	0	16.1624	1483.29	0	2100	2995.78	0	0	0.111638	0.253616	98.0122	0	0.0304779	0	0.00459647	0.0317758	0	0	198561	403.01	23.8376	0	200.065
98	0	16.1287	1488.39	0	2100	2995.74	0	0	0.111638	0.253816	98.0287	0	0.0305869	0	0.00459569	0.0317758	0	0	198547	403.321	23.8713	0	200.065
99	0	16.0953	1493.45	0	2100	2995.7	0	0	0.111638	0.254015	98.0451	0	0.0306951	0	0.00459492	0.0317758	0	0	198532	403.639	23.9047	0	200.065
100	0	16.0623	1498.47	0	2100	2995.67	0	0	0.111638	0.254215	98.0613	0	0.0308023	0	0.00459416	0.0317758	0	0	198517	403.964	23.9377	0	200.065
