Time	[Auxin]	[Cytokinin]	[AHP6m]	[AHP6p]	[IAA2m]	[IAA2p]	[ARR5m]	[ARR5p]	[PHBm]	[PHBp]	[CKX3m]	[CKX3p]	[PIN3m]	[PIN1m]	[PIN7m]	[miRNA]
52	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
53	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
54	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
55	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
56	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
57	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
58	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
59	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
60	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
61	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
62	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
63	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
64	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
65	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
66	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
67	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
68	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
69	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
70	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
71	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
72	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
73	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
74	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
75	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
76	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
77	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
78	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
79	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
80	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
81	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
82	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
83	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
84	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
85	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
86	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
87	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
88	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
89	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
90	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
91	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
92	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
93	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
94	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
95	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
96	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
97	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
98	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
99	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
100	0.06	0.2	0.000913868	0.000913868	0.0544629	0.0544629	0.275859	0.275859	2	2	0	0	0	0	0.95453	0
