Time	[EGF]	[EGFR]	[pEGFR]	[pEGFR_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_EGFR]	[EGF_EGFR]
80	0.666667	61923.7	621.64	0.00593929	0.0345567	0.00281258	3.54317	4.15195e-07	7.62783e-09	68190.2	3763.37
81	0.675	61799.1	632.039	0.00606049	0.0343458	0.00290226	3.54317	4.35958e-07	8.13592e-09	68190.2	3815.67
82	0.683333	61673.9	642.406	0.00618084	0.034135	0.00299268	3.54317	4.57366e-07	8.66904e-09	68190.2	3867.74
83	0.691667	61547.8	652.741	0.0063003	0.0339245	0.00308378	3.54317	4.79423e-07	9.22795e-09	68190.2	3919.58
84	0.7	61421	663.042	0.00641881	0.0337142	0.00317552	3.54317	5.02134e-07	9.8134e-09	68190.2	3971.18
85	0.708333	61293.5	673.308	0.00653632	0.0335043	0.00326785	3.54317	5.25502e-07	1.04262e-08	68190.2	4022.54
86	0.716667	61165.2	683.538	0.0066528	0.0332949	0.00336072	3.54317	5.49532e-07	1.1067e-08	68190.2	4073.66
87	0.725	61036.2	693.73	0.00676819	0.0330862	0.00345408	3.54317	5.74225e-07	1.17367e-08	68190.2	4124.53
88	0.733333	60906.5	703.885	0.00688246	0.0328781	0.00354788	3.54317	5.99585e-07	1.24361e-08	68190.2	4175.16
89	0.741667	60776.1	714	0.00699558	0.0326707	0.00364207	3.54317	6.25613e-07	1.31658e-08	68190.2	4225.53
90	0.75	60645	724.076	0.00710751	0.0324643	0.00373661	3.54317	6.52313e-07	1.39268e-08	68190.2	4275.65
91	0.758333	60513.3	734.11	0.00721821	0.0322587	0.00383144	3.54317	6.79684e-07	1.47197e-08	68190.2	4325.51
92	0.766667	60380.8	744.103	0.00732765	0.0320541	0.00392652	3.54317	7.0773e-07	1.55453e-08	68190.2	4375.1
93	0.775	60247.6	754.053	0.00743582	0.0318507	0.00402181	3.54317	7.36449e-07	1.64045e-08	68190.2	4424.44
94	0.783333	60113.8	763.96	0.00754268	0.0316483	0.00411725	3.54317	7.65844e-07	1.7298e-08	68190.2	4473.51
95	0.791667	59979.3	773.822	0.00764821	0.0314472	0.00421281	3.54317	7.95913e-07	1.82266e-08	68190.2	4522.31
96	0.8	59844.2	783.639	0.0077524	0.0312474	0.00430843	3.54317	8.26658e-07	1.91911e-08	68190.2	4570.85
97	0.808333	59708.5	793.411	0.00785521	0.0310489	0.00440409	3.54317	8.58077e-07	2.01922e-08	68190.2	4619.1
98	0.816667	59572.1	803.137	0.00795664	0.0308518	0.00449972	3.54317	8.9017e-07	2.12308e-08	68190.2	4667.09
99	0.825	59435	812.815	0.00805667	0.0306561	0.0045953	3.54317	9.22936e-07	2.23075e-08	68190.2	4714.79
100	0.833333	59297.4	822.446	0.00815529	0.030462	0.00469079	3.54317	9.56373e-07	2.34233e-08	68190.2	4762.22
