Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
30	0	0.00131274	0.000746217	4.70606e-08	2.42443e-08	2.35337e-11	4.70707e-08	4.04221e-08	1.07749e-08	0.00118434	0.00044029	5.27004e-06	0.0589304
31	0	0.00131246	0.000769901	4.82672e-08	2.4247e-08	2.41739e-11	5.01936e-08	4.34039e-08	1.20273e-08	0.00123308	0.000470112	5.27062e-06	0.0581233
32	0	0.00131225	0.000793582	4.94582e-08	2.42496e-08	2.48059e-11	5.33998e-08	4.64758e-08	1.337e-08	0.00128094	0.00050084	5.27121e-06	0.0573529
33	0	0.00131209	0.000817261	5.0634e-08	2.42521e-08	2.54299e-11	5.66881e-08	4.96367e-08	1.4806e-08	0.00132782	0.000532442	5.27179e-06	0.0566175
34	0	0.00131197	0.000840939	5.17953e-08	2.42547e-08	2.60462e-11	6.00576e-08	5.28853e-08	1.63377e-08	0.00137362	0.000564883	5.27237e-06	0.0559155
35	0	0.00131187	0.000864615	5.29435e-08	2.42576e-08	2.66543e-11	6.35072e-08	5.62205e-08	1.79678e-08	0.00141826	0.000598129	5.27295e-06	0.0552455
36	0	0.0013118	0.000888291	5.40778e-08	2.42603e-08	2.72554e-11	6.7036e-08	5.96411e-08	1.96988e-08	0.0014617	0.000632147	5.27353e-06	0.0546058
37	0	0.00131174	0.000911966	5.51989e-08	2.42629e-08	2.78494e-11	7.0643e-08	6.3146e-08	2.15333e-08	0.00150389	0.000666902	5.27411e-06	0.0539953
38	0	0.0013117	0.00093564	5.63073e-08	2.42655e-08	2.84365e-11	7.43273e-08	6.67342e-08	2.34738e-08	0.00154481	0.000702363	5.27468e-06	0.0534125
39	0	0.00131167	0.000959314	5.74033e-08	2.42681e-08	2.9017e-11	7.8088e-08	7.04047e-08	2.55228e-08	0.00158444	0.000738497	5.27524e-06	0.0528563
40	0	0.00131164	0.000982988	5.84873e-08	2.42707e-08	2.95909e-11	8.19243e-08	7.41565e-08	2.76826e-08	0.00162276	0.000775274	5.2758e-06	0.0523254
41	0	0.00131162	0.00100666	5.95599e-08	2.42732e-08	3.01587e-11	8.58353e-08	7.79886e-08	2.99558e-08	0.0016598	0.000812664	5.27636e-06	0.0518186
42	0	0.0013116	0.00103033	6.06211e-08	2.42757e-08	3.07203e-11	8.98202e-08	8.19e-08	3.23447e-08	0.00169555	0.000850637	5.27691e-06	0.0513349
43	0	0.00131159	0.00105401	6.16714e-08	2.42782e-08	3.1276e-11	9.38783e-08	8.589e-08	3.48516e-08	0.00173004	0.000889167	5.27746e-06	0.0508733
44	0	0.00131158	0.00107768	6.27109e-08	2.42807e-08	3.18261e-11	9.80087e-08	8.99577e-08	3.74789e-08	0.00176329	0.000928228	5.278e-06	0.0504327
45	0	0.00131157	0.00110135	6.37402e-08	2.42832e-08	3.23706e-11	1.02211e-07	9.41021e-08	4.0229e-08	0.00179533	0.000967794	5.27854e-06	0.0500122
46	0	0.00131157	0.00112503	6.47596e-08	2.42857e-08	3.29097e-11	1.06484e-07	9.83225e-08	4.3104e-08	0.0018262	0.00100784	5.27907e-06	0.0496108
47	0	0.00131156	0.0011487	6.57694e-08	2.4288e-08	3.34433e-11	1.10827e-07	1.02618e-07	4.61063e-08	0.00185591	0.00104835	5.2796e-06	0.0492278
48	0	0.00131156	0.00117237	6.67698e-08	2.42903e-08	3.39718e-11	1.1524e-07	1.06988e-07	4.9238e-08	0.00188451	0.00108929	5.28012e-06	0.0488623
49	0	0.00131156	0.00119604	6.77605e-08	2.42925e-08	3.44955e-11	1.19721e-07	1.11432e-07	5.25014e-08	0.00191205	0.00113065	5.28064e-06	0.0485134
50	0	0.00131155	0.00121972	6.87416e-08	2.42947e-08	3.50149e-11	1.24271e-07	1.15949e-07	5.58987e-08	0.00193854	0.00117241	5.28116e-06	0.0481805
51	0	0.00131155	0.00124339	6.97148e-08	2.42974e-08	3.5529e-11	1.28889e-07	1.20537e-07	5.94321e-08	0.00196404	0.00121454	5.28167e-06	0.0478628
52	0	0.00131155	0.00126706	7.06794e-08	2.42997e-08	3.60386e-11	1.33573e-07	1.25198e-07	6.31036e-08	0.00198859	0.00125704	5.28217e-06	0.0475596
53	0	0.00131155	0.00129073	7.16356e-08	2.43021e-08	3.65437e-11	1.38324e-07	1.29929e-07	6.69155e-08	0.00201221	0.00129988	5.28267e-06	0.0472703
54	0	0.00131155	0.00131441	7.25836e-08	2.43043e-08	3.70445e-11	1.43141e-07	1.34731e-07	7.08698e-08	0.00203495	0.00134305	5.28317e-06	0.0469942
55	0	0.00131155	0.00133808	7.35237e-08	2.43066e-08	3.75411e-11	1.48023e-07	1.39602e-07	7.49686e-08	0.00205684	0.00138654	5.28366e-06	0.0467308
56	0	0.00131155	0.00136175	7.44561e-08	2.43089e-08	3.80334e-11	1.52969e-07	1.44542e-07	7.9214e-08	0.00207793	0.00143033	5.28415e-06	0.0464794
57	0	0.00131155	0.00138542	7.5381e-08	2.43113e-08	3.85217e-11	1.5798e-07	1.49551e-07	8.36088e-08	0.00209825	0.0014744	5.28464e-06	0.0462394
58	0	0.00131155	0.00140909	7.62985e-08	2.43136e-08	3.90059e-11	1.63055e-07	1.54627e-07	8.81528e-08	0.0021178	0.00151876	5.28512e-06	0.0460108
59	0	0.00131154	0.00143277	7.72081e-08	2.43156e-08	3.94865e-11	1.68193e-07	1.59771e-07	9.28503e-08	0.00213666	0.00156337	5.2856e-06	0.0457924
60	0	0.00131154	0.00145644	7.81106e-08	2.43176e-08	3.99634e-11	1.73393e-07	1.64981e-07	9.77024e-08	0.00215483	0.00160824	5.28607e-06	0.0455841
61	0	0.00131154	0.00148011	7.90064e-08	2.43198e-08	4.04363e-11	1.78656e-07	1.70258e-07	1.02711e-07	0.00217236	0.00165335	5.28654e-06	0.0453854
62	0	0.00131154	0.00150378	7.98952e-08	2.43219e-08	4.09057e-11	1.8398e-07	1.756e-07	1.07879e-07	0.00218927	0.00169869	5.28701e-06	0.0451957
63	0	0.00131154	0.00152746	8.07771e-08	2.43239e-08	4.13715e-11	1.89365e-07	1.81007e-07	1.13207e-07	0.00220558	0.00174426	5.28747e-06	0.0450149
64	0	0.00131154	0.00155113	8.16523e-08	2.43256e-08	4.18339e-11	1.94812e-07	1.86478e-07	1.18697e-07	0.00222132	0.00179004	5.28793e-06	0.0448424
65	0	0.00131154	0.0015748	8.2521e-08	2.43273e-08	4.22929e-11	2.00318e-07	1.92014e-07	1.24352e-07	0.00223652	0.00183602	5.28838e-06	0.0446778
66	0	0.00131154	0.00159847	8.33842e-08	2.43301e-08	4.2748e-11	2.05885e-07	1.97613e-07	1.30174e-07	0.00225121	0.0018822	5.28884e-06	0.0445208
67	0	0.00131154	0.00162215	8.42406e-08	2.43322e-08	4.32e-11	2.1151e-07	2.03276e-07	1.36163e-07	0.0022654	0.00192858	5.28929e-06	0.044371
68	0	0.00131154	0.00164582	8.50907e-08	2.43343e-08	4.36488e-11	2.17195e-07	2.09001e-07	1.42323e-07	0.00227911	0.00197513	5.28973e-06	0.0442282
69	0	0.00131154	0.00166949	8.59346e-08	2.43363e-08	4.40944e-11	2.22938e-07	2.14788e-07	1.48655e-07	0.00229238	0.00202186	5.29017e-06	0.044092
70	0	0.00131154	0.00169316	8.67726e-08	2.43383e-08	4.45369e-11	2.28739e-07	2.20636e-07	1.55161e-07	0.0023052	0.00206876	5.29061e-06	0.043962
71	0	0.00131154	0.00171684	8.76046e-08	2.43404e-08	4.49761e-11	2.34599e-07	2.26546e-07	1.61842e-07	0.00231762	0.00211583	5.29105e-06	0.0438382
72	0	0.00131154	0.00174051	8.84308e-08	2.43425e-08	4.54123e-11	2.40515e-07	2.32517e-07	1.687e-07	0.00232963	0.00216305	5.29148e-06	0.04372
73	0	0.00131154	0.00176418	8.92514e-08	2.43445e-08	4.58454e-11	2.46488e-07	2.38548e-07	1.75738e-07	0.00234127	0.00221042	5.29191e-06	0.0436074
74	0	0.00131154	0.00178785	9.00663e-08	2.43466e-08	4.62755e-11	2.52518e-07	2.44639e-07	1.82958e-07	0.00235255	0.00225793	5.29234e-06	0.0434998
75	0	0.00131154	0.00181153	9.08757e-08	2.43486e-08	4.67025e-11	2.58604e-07	2.5079e-07	1.9036e-07	0.00236346	0.0023056	5.29276e-06	0.0433975
76	0	0.00131154	0.0018352	9.16789e-08	2.43504e-08	4.7127e-11	2.64746e-07	2.57e-07	1.97946e-07	0.00237405	0.00235339	5.29319e-06	0.0432999
77	0	0.00131154	0.00185887	9.24764e-08	2.43521e-08	4.75486e-11	2.70943e-07	2.63268e-07	2.05719e-07	0.00238432	0.00240132	5.29361e-06	0.0432068
78	0	0.00131154	0.00188254	9.32688e-08	2.43539e-08	4.79673e-11	2.77195e-07	2.69595e-07	2.1368e-07	0.00239428	0.00244938	5.29402e-06	0.043118
79	0	0.00131154	0.00190621	9.40559e-08	2.43558e-08	4.83831e-11	2.83501e-07	2.75979e-07	2.21832e-07	0.00240394	0.00249756	5.29443e-06	0.0430335
80	0	0.00131154	0.00192989	9.48377e-08	2.43577e-08	4.87961e-11	2.89862e-07	2.82421e-07	2.30174e-07	0.00241332	0.00254586	5.29484e-06	0.0429528
81	0	0.00131154	0.00195356	9.56141e-08	2.43594e-08	4.92064e-11	2.96277e-07	2.8892e-07	2.3871e-07	0.00242243	0.00259427	5.29525e-06	0.042876
82	0	0.00131154	0.00197723	9.63853e-08	2.43611e-08	4.96141e-11	3.02745e-07	2.95476e-07	2.47441e-07	0.00243128	0.0026428	5.29566e-06	0.0428028
83	0	0.00131154	0.0020009	9.71513e-08	2.43627e-08	5.0019e-11	3.09266e-07	3.02088e-07	2.56369e-07	0.00243988	0.00269143	5.29606e-06	0.042733
84	0	0.00131154	0.00202458	9.79122e-08	2.43643e-08	5.04213e-11	3.15841e-07	3.08756e-07	2.65495e-07	0.00244823	0.00274017	5.29646e-06	0.0426665
85	0	0.00131154	0.00204825	9.8669e-08	2.43667e-08	5.08205e-11	3.22467e-07	3.1548e-07	2.74821e-07	0.00245636	0.00278901	5.29685e-06	0.0426032
86	0	0.00131154	0.00207192	9.94202e-08	2.43686e-08	5.12173e-11	3.29146e-07	3.22259e-07	2.84349e-07	0.00246426	0.00283795	5.29725e-06	0.0425428
87	0	0.00131154	0.00209559	1.00166e-07	2.43705e-08	5.16116e-11	3.35877e-07	3.29092e-07	2.94081e-07	0.00247195	0.00288699	5.29764e-06	0.0424854
88	0	0.00131154	0.00211927	1.00908e-07	2.43723e-08	5.20034e-11	3.42659e-07	3.3598e-07	3.04017e-07	0.00247943	0.00293612	5.29803e-06	0.0424306
89	0	0.00131154	0.00214294	1.01644e-07	2.4374e-08	5.23927e-11	3.49492e-07	3.42923e-07	3.1416e-07	0.00248671	0.00298534	5.29841e-06	0.0423785
90	0	0.00131154	0.00216661	1.02376e-07	2.43758e-08	5.27794e-11	3.56376e-07	3.49919e-07	3.24511e-07	0.0024938	0.00303465	5.2988e-06	0.0423288
91	0	0.00131154	0.00219028	1.03102e-07	2.43776e-08	5.31636e-11	3.63311e-07	3.56968e-07	3.35071e-07	0.00250071	0.00308404	5.29918e-06	0.0422816
92	0	0.00131154	0.00221396	1.03825e-07	2.43795e-08	5.35453e-11	3.70295e-07	3.64071e-07	3.45844e-07	0.00250744	0.00313351	5.29956e-06	0.0422366
93	0	0.00131154	0.00223763	1.04542e-07	2.43814e-08	5.39245e-11	3.7733e-07	3.71226e-07	3.56829e-07	0.002514	0.00318307	5.29993e-06	0.0421937
94	0	0.00131154	0.0022613	1.05254e-07	2.43828e-08	5.43016e-11	3.84414e-07	3.78434e-07	3.68029e-07	0.0025204	0.0032327	5.30031e-06	0.042153
95	0	0.00131154	0.00228497	1.05962e-07	2.43844e-08	5.46761e-11	3.91547e-07	3.85694e-07	3.79444e-07	0.00252663	0.00328242	5.30068e-06	0.0421142
96	0	0.00131154	0.00230864	1.06666e-07	2.43861e-08	5.50483e-11	3.98729e-07	3.93005e-07	3.91078e-07	0.00253271	0.0033322	5.30105e-06	0.0420772
97	0	0.00131154	0.00233232	1.07365e-07	2.43878e-08	5.5418e-11	4.05959e-07	4.00368e-07	4.02931e-07	0.00253865	0.00338206	5.30141e-06	0.0420421
98	0	0.00131154	0.00235599	1.08059e-07	2.43894e-08	5.57854e-11	4.13238e-07	4.07782e-07	4.15004e-07	0.00254443	0.00343199	5.30178e-06	0.0420087
99	0	0.00131154	0.00237966	1.08749e-07	2.43911e-08	5.61505e-11	4.20565e-07	4.15246e-07	4.273e-07	0.00255009	0.00348198	5.30214e-06	0.0419769
100	0	0.00131154	0.00240333	1.09435e-07	2.43927e-08	5.65133e-11	4.27939e-07	4.22762e-07	4.39819e-07	0.0025556	0.00353205	5.3025e-06	0.0419467
