Time	[eIFNg]	[eIL12]	[eIL21]	[eIL23]	[eIL4]	[eTGFb]	[eIL2]	[eIL6]	[eIL17]	[eIL10]	[eIL18]	[anti-IL4]	[anti-IFNg]	[pIL4]	[IL18_pool]	[IL12_pool]	[IFNg_pool]	[IL21_pool]	[IL23_pool]	[IL17_pool]	[IL10_pool]	[IL6_pool]	[IL2_pool]	[TGFb_pool]	[IL4_pool]	[pIL10]	[IL6-IL6R]	[IL6R]	[IL6]	[TGFb-TGFbR]	[TGFbR]	[TGFb]	[IL2-IL2R]	[IL2R]	[IL2]	[IL4-IL4R]	[IL4R]	[IL4]	[IFNg-IFNgR]	[IFNgR]	[IL12-IL12R]	[IL12R]	[IL12]	[IL18-IL18R]	[IL18R]	[IL18]	[IL21]	[IL21-IL21R]	[IL21R]	[IL23R]	[IL23-IL23R]	[IL10R]	[IL10-IL10R]	[IRAK1]	[IRAK1-P]	[p50/p65 dimer]	[STAT4]	[STAT4-P]	[IFNg]	[JAK1]	[JAK1-P]	[STAT1]	[STAT1-P]	[p40/p19 dimer]	[IL17]	[IL10]	[RORgt]	[RORgt-ligand]	[STAT3-P]	[STAT3]	[STAT5-P]	[STAT5]	[FOXP3]	[SOCS1]	[SOCS1-JAKs]	[Tbet-P]	[Tbet]	[GATA3]	[GATA3-P]	[STAT6-P]	[STAT6]	[PPARg]	[L-PPARg]	[Ligand]	[acetylated FOXP3]	[p19]	[p40]	[p50]	[p65]	[IL17R]	[IL17-IL17R]	[pIFNg]	[pIL21]	[pIL17]
20	5.48545e-07	0	1.16743	0.328667	0.0106874	1.23695	0	1.23695	0.0435628	0.417398	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.523806	0.476194	0	0.523806	0.476194	0	0	1	0	0.00409488	0.995905	0.019849	1.97465e-07	1	0	1	0	0	1	0	0.952061	0.0494716	0.950528	0.725055	0.274945	0.818314	0.181686	0.5	0.432332	0.374592	1	7.43119e-06	1.23304e-06	0.5	0.384759	1	0.00038736	0.499833	0.143621	0.458304	1	0.2967	0.680231	1	0.864665	1	1	1	3.27915e-24	6.21947e-08	1	1	0.0959106	0.427268	1	0.0407205	0.0392795	1	0.5845	1	1	0.5	0.5	0.98264	0.0173604	1	1	1
21	6.36441e-07	0	1.24785	0.34228	0.0119311	1.25731	0	1.25731	0.0539889	0.442908	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.530098	0.469902	0	0.530098	0.469902	0	0	1	0	0.00477731	0.995223	0.0209227	2.35043e-07	1	0	1	0	0	1	0	0.958118	0.0525002	0.9475	0.716566	0.283433	0.802422	0.197578	0.5	0.438772	0.379834	1	8.14306e-06	1.39734e-06	0.5	0.389345	1	0.000413941	0.510486	0.166231	0.455648	1	0.318519	0.693748	1	0.877544	1	1	1	5.55402e-24	7.34303e-08	1	1	0.0971947	0.43387	1	0.0405826	0.0394174	1	0.563391	1	1	0.5	0.5	0.977579	0.0224206	1	1	1
22	7.35284e-07	0	1.32802	0.355467	0.0132121	1.27713	0	1.27713	0.0658004	0.468112	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.535964	0.464036	0	0.535964	0.464036	0	0	1	0	0.00551361	0.994486	0.0219248	2.77932e-07	1	0	1	0	0	1	0	0.96317	0.0555178	0.944482	0.708571	0.291429	0.786772	0.213227	0.5	0.444598	0.38455	1	8.84609e-06	1.57677e-06	0.5	0.39346	1	0.000440203	0.520802	0.189452	0.452463	1	0.339707	0.706185	1	0.889197	1	1	1	9.06732e-24	8.5667e-08	1	1	0.0982484	0.43986	1	0.0404673	0.0395327	1	0.543176	1	1	0.5	0.5	0.971611	0.0283894	1	1	1
23	8.45865e-07	0	1.40787	0.368242	0.014525	1.29642	0	1.29642	0.0790052	0.493031	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.541446	0.458554	0	0.541446	0.458554	0	0	1	0	0.00630168	0.993698	0.0228554	3.26708e-07	1	0	1	0	0	1	0	0.967389	0.0585241	0.941476	0.701037	0.298963	0.771427	0.228573	0.5	0.449871	0.388795	1	9.53525e-06	1.77058e-06	0.5	0.397153	1	0.000466124	0.530785	0.21298	0.448892	1	0.36021	0.717654	1	0.899741	1	1	1	1.43239e-23	9.88832e-08	1	1	0.0990977	0.445293	1	0.0403698	0.0396302	1	0.523897	1	1	0.5	0.5	0.964695	0.0353049	1	1	1
24	9.68853e-07	0	1.48732	0.380615	0.0158648	1.31518	0	1.31518	0.0935993	0.517683	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.546582	0.453418	0	0.546582	0.453418	0	0	1	0	0.00713911	0.992861	0.0237155	3.81961e-07	1	0	1	0	0	1	0	0.970915	0.0615191	0.938481	0.693934	0.306066	0.756434	0.243566	0.5	0.454641	0.392617	1	1.02061e-05	1.9776e-06	0.5	0.400469	1	0.000491687	0.540441	0.23654	0.445051	1	0.379992	0.728253	1	0.909282	1	1	1	2.1969e-23	1.13053e-07	1	1	0.0997663	0.450223	1	0.0402862	0.0397138	1	0.505573	1	1	0.5	0.5	0.956812	0.0431876	1	1	1
25	1.10478e-06	0	1.56631	0.392598	0.0172269	1.33341	0	1.33341	0.10957	0.542087	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.551404	0.448596	0	0.551404	0.448596	0	0	1	0	0.00802324	0.991977	0.0245068	4.44282e-07	1	0	1	0	0	1	0	0.973866	0.0645026	0.935497	0.687235	0.312765	0.741832	0.258168	0.5	0.458957	0.39606	1	1.08548e-05	2.19633e-06	0.5	0.403448	1	0.000516889	0.549774	0.259891	0.441032	1	0.399028	0.738071	1	0.917915	1	1	1	3.28092e-23	1.28147e-07	1	1	0.100275	0.454695	1	0.0402134	0.0397866	1	0.488204	1	1	0.5	0.5	0.947959	0.0520413	1	1	1
26	1.25402e-06	0	1.6448	0.404202	0.0186072	1.35113	0	1.35113	0.126898	0.566259	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.555942	0.444058	0	0.555942	0.444058	0	0	1	0	0.00895123	0.991049	0.025232	5.1425e-07	0.999999	0	1	0	0	1	0	0.976339	0.0674746	0.932525	0.680914	0.319086	0.727648	0.272352	0.5	0.462863	0.399161	1	1.14782e-05	2.42498e-06	0.5	0.406124	1	0.000541731	0.558789	0.282828	0.436913	1	0.417306	0.747186	1	0.925726	1	1	1	4.7833e-23	1.44134e-07	1	1	0.100644	0.458754	1	0.0401486	0.0398514	1	0.471778	1	1	0.5	0.5	0.938147	0.061853	1	1	1
27	1.41678e-06	0	1.72274	0.415435	0.0200021	1.36834	0	1.36834	0.145563	0.590212	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.56022	0.43978	0	0.56022	0.43978	0	0	1	0	0.00992012	0.99008	0.0258938	5.92414e-07	0.999999	0	1	0	0	1	0	0.978416	0.0704353	0.929565	0.674947	0.325053	0.7139	0.2861	0.5	0.466397	0.401953	1	1.20734e-05	2.66154e-06	0.5	0.408528	1	0.000566222	0.567492	0.305186	0.432756	1	0.434825	0.755668	1	0.932794	1	1	1	6.82315e-23	1.60983e-07	1	1	0.100891	0.462437	1	0.0400895	0.0399105	1	0.456274	1	1	0.5	0.5	0.927405	0.0725948	1	1	1
28	1.5931e-06	0	1.80011	0.426307	0.0214082	1.38506	0	1.38506	0.165539	0.613959	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.564259	0.435741	0	0.564259	0.435741	0	0	1	0	0.0109269	0.989073	0.0264956	6.79285e-07	0.999999	0	1	0	0	1	0	0.980162	0.0733846	0.926615	0.669312	0.330688	0.7006	0.2994	0.5	0.469595	0.404468	1	1.26384e-05	2.90383e-06	0.5	0.410687	1	0.000590374	0.575889	0.326833	0.428608	1	0.451587	0.763579	1	0.93919	1	1	1	9.54178e-23	1.78661e-07	1	1	0.10103	0.46578	1	0.0400341	0.0399659	1	0.441661	1	1	0.5	0.5	0.915775	0.0842254	1	1	1
29	1.78285e-06	0	1.87687	0.436828	0.0228227	1.4013	0	1.4013	0.186805	0.63751	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0.568079	0.431921	0	0.568079	0.431921	0	0	1	0	0.0119686	0.988031	0.0270409	7.7532e-07	0.999999	0	1	0	0	1	0	0.981634	0.0763224	0.923678	0.663988	0.336012	0.687753	0.312247	0.5	0.472488	0.406732	1	1.31714e-05	3.14958e-06	0.5	0.412625	1	0.000614205	0.583986	0.347669	0.424509	1	0.467605	0.770973	1	0.944977	1	1	1	1.31048e-22	1.97137e-07	1	1	0.101075	0.468815	1	0.0399809	0.0400191	1	0.427908	1	1	0.5	0.5	0.903308	0.0966919	1	1	1
