Time	[EGF]	[EGFR]	[pEGFR]	[pEGFR_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_EGFR]	[EGF_EGFR]	[EGFR_i]	[EGF_EGFR_i]	[Inhibitor]
73	30	4203.98	4350.74	0.0123894	0.00961609	0.021296	3.54316	7.58804e-06	2.33423e-07	68190.2	19100.3	0	0	0
74	30	4139.8	4284.82	0.012322	0.00972862	0.0212507	3.54316	7.73716e-06	2.42464e-07	68190.2	18806.6	0	0	0
75	30	4076.63	4219.82	0.0122561	0.00984167	0.0212034	3.54316	7.88575e-06	2.51675e-07	68190.2	18517.6	0	0	0
76	30	4014.44	4155.74	0.0121915	0.00995524	0.0211542	3.54316	8.03381e-06	2.61056e-07	68190.2	18233.1	0	0	0
77	30	3953.24	4092.58	0.0121282	0.0100693	0.0211033	3.54316	8.18131e-06	2.70606e-07	68190.2	17953	0	0	0
78	30	3892.99	4030.32	0.0120659	0.0101839	0.0210508	3.54316	8.32825e-06	2.80324e-07	68190.2	17677.4	0	0	0
79	30	3833.69	3968.97	0.0120047	0.0102991	0.0209968	3.54316	8.47462e-06	2.90209e-07	68190.2	17406	0	0	0
80	30	3775.31	3908.51	0.0119443	0.0104147	0.0209414	3.54316	8.62039e-06	3.0026e-07	68190.2	17138.9	0	0	0
81	30	3717.86	3848.93	0.0118847	0.0105309	0.0208846	3.54316	8.76558e-06	3.10477e-07	68190.2	16876.1	0	0	0
82	30	3661.3	3790.24	0.0118259	0.0106476	0.0208266	3.54316	8.91016e-06	3.20858e-07	68190.2	16617.3	0	0	0
83	30	3605.63	3732.41	0.0117677	0.0107648	0.0207674	3.54316	9.05413e-06	3.31402e-07	68190.2	16362.6	0	0	0
84	30	3550.84	3675.45	0.0117101	0.0108826	0.0207071	3.54316	9.19748e-06	3.42109e-07	68190.2	16111.9	0	0	0
85	30	3496.9	3619.34	0.011653	0.0110009	0.0206458	3.54316	9.3402e-06	3.52977e-07	68190.2	15865.1	0	0	0
86	30	3443.81	3564.07	0.0115963	0.0111197	0.0205836	3.54316	9.4823e-06	3.64007e-07	68190.2	15622.2	0	0	0
87	30	3391.55	3509.63	0.01154	0.011239	0.0205203	3.54316	9.62375e-06	3.75195e-07	68190.2	15383.1	0	0	0
88	30	3340.11	3456.02	0.0114841	0.0113589	0.0204563	3.54316	9.76455e-06	3.86543e-07	68190.2	15147.7	0	0	0
89	30	3289.48	3403.22	0.0114284	0.0114793	0.0203913	3.54316	9.90471e-06	3.98048e-07	68190.2	14916.1	0	0	0
90	30	3239.64	3351.23	0.0113731	0.0116003	0.0203256	3.54316	1.00442e-05	4.0971e-07	68190.2	14688	0	0	0
91	30	3190.59	3300.02	0.0113179	0.0117218	0.0202592	3.54316	1.0183e-05	4.21528e-07	68190.2	14463.6	0	0	0
92	30	3142.3	3249.6	0.0112629	0.0118438	0.020192	3.54316	1.03212e-05	4.33501e-07	68190.2	14242.6	0	0	0
93	30	3094.77	3199.96	0.0112081	0.0119663	0.0201242	3.54316	1.04587e-05	4.45627e-07	68190.2	14025.2	0	0	0
94	30	3047.99	3151.07	0.0111533	0.0120894	0.0200556	3.54316	1.05955e-05	4.57907e-07	68190.2	13811.1	0	0	0
95	30	3001.94	3102.93	0.0110987	0.0122131	0.0199865	3.54316	1.07317e-05	4.70338e-07	68190.2	13600.4	0	0	0
96	30	2956.61	3055.54	0.0110442	0.0123372	0.0199168	3.54316	1.08672e-05	4.8292e-07	68190.2	13393	0	0	0
97	30	2911.99	3008.88	0.0109897	0.0124619	0.0198464	3.54316	1.10019e-05	4.95652e-07	68190.2	13188.9	0	0	0
98	30	2868.08	2962.93	0.0109352	0.0125871	0.0197755	3.54316	1.1136e-05	5.08533e-07	68190.2	12988	0	0	0
99	30	2824.85	2917.7	0.0108808	0.0127128	0.0197041	3.54316	1.12694e-05	5.21561e-07	68190.2	12790.2	0	0	0
100	30	2782.3	2873.17	0.0108263	0.0128391	0.0196322	3.54316	1.14021e-05	5.34737e-07	68190.2	12595.5	0	0	0
