Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]	[Mr]	[Rc]	[Rn]
60	7.39761	2.25828	0.118912	1.48044	195.79	1.86877	0.755573	1.30071	0.0113954	0.00634296	0.745339	3.63652	0.177131	0.0818451	0.0772988	0.0536918	1.0796	0.18153	0.0485808
61	7.80485	2.50891	0.124617	1.74817	195.561	2.09784	0.755584	1.56234	0.0137168	0.00767417	0.900668	3.16381	0.190918	0.0897336	0.0769288	0.0685096	1.26857	0.234687	0.064658
62	8.1966	2.75691	0.129691	1.98495	195.807	2.35235	0.755592	1.83431	0.0161997	0.00912218	1.1031	2.83327	0.2206	0.0958106	0.089145	0.0951104	1.4549	0.298461	0.0860956
63	8.57045	2.99361	0.134068	2.18657	196.561	2.61242	0.75561	2.10284	0.018671	0.0105825	1.33222	2.63718	0.256662	0.10043	0.105738	0.13223	1.63126	0.371892	0.113365
64	8.92234	3.21358	0.137781	2.35119	197.82	2.86884	0.755648	2.36227	0.0210461	0.0120025	1.57774	2.55599	0.29652	0.103885	0.125125	0.180997	1.79539	0.454682	0.147526
65	9.24577	3.41257	0.140885	2.47773	199.567	3.11708	0.75571	2.61016	0.0232779	0.0133512	1.83315	2.56822	0.339569	0.106383	0.147035	0.24369	1.94684	0.54665	0.190041
66	9.53089	3.58642	0.143425	2.56551	201.776	3.35476	0.7558	2.84528	0.0253373	0.0146082	2.09367	2.65435	0.385959	0.108061	0.171661	0.32329	2.08577	0.647485	0.242669
67	9.76355	3.73027	0.145429	2.61386	204.416	3.58043	0.755917	3.06686	0.0272055	0.015759	2.35543	2.79824	0.436281	0.109004	0.199484	0.423137	2.21247	0.756611	0.30735
68	9.92495	3.838	0.146899	2.62168	207.454	3.79289	0.75606	3.2741	0.0288697	0.016793	2.61515	2.98706	0.491534	0.109248	0.231256	0.546315	2.32706	0.873083	0.385997
69	9.99259	3.90193	0.147803	2.58701	210.854	3.99081	0.756227	3.46584	0.0303194	0.0177011	2.86988	3.21085	0.553198	0.108773	0.268078	0.694637	2.42935	0.995447	0.480181
70	9.94353	3.9131	0.148077	2.50701	214.579	4.17227	0.756414	3.64016	0.0315433	0.0184741	3.11671	3.46182	0.623384	0.107502	0.311512	0.867174	2.51857	1.12147	0.590663
71	9.75966	3.86248	0.147624	2.37873	218.587	4.3342	0.756619	3.79383	0.0325246	0.0190996	3.35227	3.73378	0.704977	0.105292	0.363731	1.05849	2.59307	1.24769	0.716761
72	9.43343	3.74315	0.146317	2.20101	222.828	4.47153	0.756837	3.92141	0.0332343	0.0195583	3.572	4.0216	0.801654	0.101942	0.427639	1.25692	2.64973	1.36857	0.85549
